https://item.jd.com/100026675366.html,商品名称：AppleApple Watch Series 7商品编号：100026675366商品毛重：390.00g商品产地：中国大陆主机机型：其他电源方式：磁吸充电线屏幕类型：OLED血氧监测：手动测量表盘形状：圆形防水：50米表带材质：硅胶防尘等级：IP6X
用户名,评分,评论
j***n,star5,用了一个月，觉得非常不错，可以监督自己早睡觉，多锻炼，查找手机位置，及时查看消息，效率比以前提高了，外观好看，大小合适。
朱***亮,star5,挺好的，就是当时没有星光色，抢了黑色，现在越看越喜欢续航能力：一天半舒适程度：自己带硅胶表带有些闷气，换了其他表带
j***5,star5,舒适程度：舒适精准程度：精准续航能力：还行主要功能：各种各样的功能哈哈非常贴心呢！
x***3,star5,还行不错不错不错不错啊
远***见,star5,挺好的，适合我的风格
知***手,star5,非常好，非常喜欢！忠实用户?
n***h,star5,无感佩戴体验，闹钟感受非常好！
j***5,star5,刚过保价日期又降价了，东西还不错
d***e,star5,手表很棒，轻巧方便，颜色是黑里带点儿蓝，跟表带颜色很搭，有很多功能，运动的人戴也挺好的，检测心率，骑车的时候自动就切换到骑行功能！快递也快，前一天晚上下单，第二天下午五点多收到！主要是续航能力，Apple Watch真是绝了，一天半左右吧就得充电。
姜***平,star5,apple watch s7的全面屏真的看起来很舒服，这次果断下手，画面细腻操作流畅。配合apple手机简直就是无缝链接，充电特别快，很多新功能还在慢慢研究中，表盘设计很漂亮。
三***墨,star5,外形外观：手表设计小巧精致，外观外形都很好看主要功能：天气 血氧等等续航能力：基本上一天一充舒适程度：硅胶表带 戴着舒适灵敏度：屏幕滑动灵敏其他特色：佩戴手表可以解锁手机，很奈斯
琪***李,star5,苹果的东西一直以来品质做得很好。前前后后用过好几个Android系统的手环手表，所以说功能都不错，但是质感和使用体验，还是苹果更胜出一筹。
我***填,star5,主要功能：不错 很全面续航能力：挺好的 耐用充电快舒适程度：大小使用 表带柔软精准程度：运动计数 测试心跳各方面都不错其他特色：性价比挺高 值得推荐 功能齐全外形外观：好看 简单大气
j***j,star5,之前那个是S3 戴了好几年了 本来不打算换  但是S7带血氧功能  还可以测心电图  疫情期间太需要了  买个血氧仪还好几百呢  苹果多香啊  又时尚 又好用  非常喜欢
s***k,star5,送给老婆的生日礼物，很喜欢，心心念念的小手表终于带上了，物流还是那么给力，上午下单下午到 ??主要功能：想要的功能基本都有了续航能力：一周充一次就完美了舒适程度：还可以，以后再买几个人表带换着戴精准程度：完美
M***g,star3,刚用上，过段时间来追评
敏***生,star5,昨天晚上下单的今天就到了 首先速度很快 然后上手颜色很好看 使用很方便 很舒适 功能强大易懂 很喜欢灵敏度：很好精准程度：很快舒适程度：不错主要功能：迅速续航能力：强操作难易：简单外形外观：好看
j***o,star5,纠结了好久才买的，还挺好的，主要是充电快，不用等太久。续航能力：一天到晚操作难易：挺简单的灵敏度：高其他特色：测血氧功能很有用在现在这个时候，精准程度：识别度很高，走路骑车
j***2,star5,手表非常精致，只是比想象中的小了点，早知道应该买大点的。随机配备的表带戴着也很舒服，各种功能很齐全，和手机一起使用，非常方便。首次使用，正在摸索中学习中。
j***c,star5,主要功能：功能非常的多，也非常的方便，适合生活中的各种场景舒适程度：带着非常舒服，整体也比较轻便精准程度：各种程序测量的数据都非常精准操作难易：操作易上手，傻瓜都会用做工质量：质量非常的好
j***m,star5,主要功能：接电话，收发消息，看时间。续航能力：一天一充完全没问题。舒适程度：佩戴没有感觉，很舒服。精准程度：一般灵敏度：灵敏度很高准确性：打字虽然按键很小但是识别很精准操作难易：操作简单，易上手
j***5,star5,主要功能：功能强大 震动很舒服 比其他智能手表好很多续航能力：一天半 正常用 没开启省电模式舒适程度：舒服的很 买41挺好的 冬天穿衣服方便一些京东的售后还是很好，买的第一支表带有些问题，马上解决了，好评。用一段时间再来追评。
p***u,star5,一直想入手，想了很久，重要下单了，很给力，第二天就到了，双十一物流都没耽误，太赞了，包装严实，运输途中无破损，符合预期，满意
j***z,star5,主要功能：挺好用的，性价比挺好续航能力：一天一次，挺好的舒适程度：挺舒服的，不错，五星精准程度：可以可以，好其他特色：不错，真的可以灵敏度：可以可以，五星好评！！！不错，五星好评！
j***g,star5,主要功能：血氧、遥控拍照、扫码等都非常好用续航能力：一天一充，有时候一天半一充舒适程度：送的表带就挺好用，没另外买其他的精准程度：高其他特色：配合手机非常好用准确性：高灵敏度：高操作难易：简单易上手做工质量：好，非常好的装饰外形外观：无可挑剔其他特色：配合收集发挥全部功能
M***F,star5,全家桶全了哦主要功能：目前还在琢磨当中，以前机械表 第一次电子续航能力：基本一天一充吧舒适程度：表带很舒服，感觉是硅胶吗？以前都是皮质的表带，新的特别硬，这种很舒服，而且配备两种类型，粗细可以根据自己 调换！精准程度：这电子表，没毛病吧，机械才会存在误差来个开箱
百***中,star5,主要功能：7的颜值没得说，屏幕更加清洗，反应也更灵敏，血氧和心率功能很强大续航能力：续航在常亮模式下可以待机24小时吧，可以接受的舒适程度：佩戴很舒适，因为手腕细，买的是41mm的外形外观：颜值非常高，不过夏天戴原装表带不太舒服，在网上买了编织表带
卜***8,star5,买的41的表盘 带着大小刚刚好 现在每天除了充电的一小时 基本不离手 非常好用 用到最多的是运动健身 睡眠 还有提醒 相机控制偶尔会用 总得来说很值！
小***7,star5,还是苹果的手表质感好，一直用这个品牌好几年啦，这是第三个手表啦，物流还快，服务好，功能多，相信品牌的力量，戴上这个手表机械手表真心不想戴啦！
j***l,star5,续航能力：续航真的一般，一天半的续航，基本每天都要冲，不如华为的方便。舒适程度：带起来很不错，老婆还是很喜欢的，觉得41mm就够了主要功能：功能还是很实用的，就是手握两下一直没反应
啊***糊,star5,续航能力：一天，续航能力确实很值得提高外形外观：很好看，戴着很有质感，重量也很适合，线性马达的震动也很舒服。做工质量：可以，不愧是苹果主要功能：动作检测都很灵敏。
门***傅,star5,还能说啥？Apple watch就是现在市面上最好的电子手表了。个人建议多准备几个表带，皮质的，钢带的，运动的，都可以，这样可以让手超变得更加百搭。
牧***8,star5,主要功能：喜欢健身锻炼的，很有用，可以统计运动的各种数据。续航能力：高性能的同时，续航很足，频繁使用还能用一天。轻度使用可以用两天。舒适程度：硅胶材质，出汗的话很难受，好在防水，用水冲一冲就好。其他特色：屏幕不耐磕。磁性充电很方便，不用到处找。
a***l,star5,收到后拿去实体店，店员帮忙开启、配对。花了大约半小时，店员都很热情，虽然是在网上买的，喜欢苹果的产品，都是因为有很好的售后服务。手表很好用，现在坐车、平时付费都不用拿手机出来了。
K***g,star5,主要功能：满足日常的使用，配合ios系统很舒适续航能力：一天一充是避免不了的舒适程度：配合尼龙表带特别舒服，很棒精准程度：让我感觉买的很值灵敏度：触控很灵敏，比我之前的s3快了很多
_***长,star5,开始为了打卡戴的小米手环7pro，戴了几个月之后发现打卡功能很少用到，为了跟苹果手机更好的适配，换了s7续航能力：差不多调整一下设置，能用35个小时左右舒适程度：很舒服，还能自己再买表带。
强***甙,star5,"外地调货第三天到货。匹配,手机的功能基本上在手表上都能用。外观大气,漂亮,很满意的一次购物。美观,大气美中不足:没发现总结:挺好的,屏占比大了很多,视野开阔,各项数据一目了然,运行速度自然也提升明显..."
买***X,star5,这款iwatch算是自己种草很久的宝贝了，一直在看，手表戴在手上很舒服，功能也很齐全，基本满足了日常运动生活的需要，充电基本上一天一充，也不麻烦，很满意。
j***7,star5,一直想买个手表或者手环，记录运动数据。最终入手了S7，胜在颜值。体验了一段时间下来觉得非常好用！电池还算耐用，一天下来还有20%。主要是充电也很快，问题不大。就是这次下单之后等得时间太久啦！整体很满意！
j***G,star5,主要功能：功能很多，足够我用。舒适程度：戴上很舒适，简单大方，推荐男士使用。买东西还是买大品牌，信得过。和苹果手机很匹配，简单大方款，推荐您使用
j***4,star3,很好用，就是电量续航差了点，基本每天一冲
j***鷲,star5,第一次用苹果手表，显示细腻清晰，亮度高，质感好，佩戴舒适，功能丰富拓展性强，平常用它监测心率，运动记录，查看信息等非常方便，是一款值得购买的产品
J***F,star5,主要功能：功能很多，得一一发掘，和iphone适配完美续航能力：续航一般，3天一充吧舒适程度：表带材质不错，呆着舒服，没有过敏精准程度：不做评价做工质量：做工精细，看着很好看
j***k,star5,第一次买Apple Watch手表，拆开后很大气，这盒子给人一看就很有仪式感，科技感，第一次充电也还可以，不算很慢，链接手机，功能很全，还不错
李***费,star5,做工非常的精致，带着很舒服，搭配苹果的生态使用起来很方便，iPhone解锁watch，watch也能解锁iPhone ，健康监测功能也很强大，Good！！！
人***中,star5,用了有一个多月了，真的是润物细无声的给生活带来方便。但是最重要的还是健康管理以及非常贴心的闹钟，还有抬腕即可跟Siri对话，不要太方便。夏天衣服没口袋，经常把手机装到包包里，这样来消息了不用再掏手机，非常方便。一天一充没问题，不要对续航抱有太大幻想。
小***妈,star5,41的尺寸女生带刚刚好，小小的一个，很有质感，黑色百搭好看，自己又配了表带和原装表带换着带，功能很强大，和iPhone绝配
5***7,star5,好看漂亮，下了好多可爱的壁纸，每天可以换各种表盘。母乳喂养需要时刻知道时间，喂奶神器。还有各种app，健身也可以用，太香了！
j***9,star5,主要功能：本来我是一名健身好爱者，平时就有锻炼的习惯，买来能更好提升我训练参数续航能力：早上到的，然后我充满电，现在下午三点，还有99%的电量舒适程度：带着睡了午觉，没感觉到异物感，也不重灵敏度：买的目前最新model，反应速度确实快，而且很灵敏，小键盘也居然能准确输入其他特色：目前搞活动，确实很吸引，毕竟这个手表除了运动、还能听歌、支付、我直接在iPhone添加了公交卡到手表，又省一件事，坐地铁更方便了。另外这个还是年轻人的时尚单品，从第一代到现在没有变化太大，依然很百搭。
F***帅,star5,apple watch seires7的佩戴体验完全超乎我的想象，去线下试戴了41的正正好好，建议大家先去线下门店试戴，什么男生戴大的女生戴小的都是错的，一定要自己去试。电池续航非常可以，早上的闹钟体验好到爆炸，再也不会被滴滴滴滴滴吓醒，起床洗漱的半小时就能充满，整体佩戴感受非常好！
j***9,star5,手表收到了，终于拥有了它，感觉很不错，运动睡觉都带着，功能很强大，很方便，带娃的时候更棒，价格还不错，自己用乐高搭了支架，棒棒的
d***w,star5,本来是准备官网买的，结果要11/6才能送货，然后突然想到在京东上看看，没想到意外还有货，立马下单。不得不说京东还是很给力的，10/15就到货了，很给力。对于手表，还是挺满意的，很轻，也很漂亮，用的很喜欢！
F***x,star5,集齐了苹果全家桶，体验很舒服。用来监测身体状况很合适，记录睡眠情况，运动模式记录身体情况。显示也特别清晰，精致。2400入手特别合适。
二***蒜,star5,给对象买的，他很喜欢，颜值也很高，用起来很不错。给好评！！！高大上
瞌***y,star5,很不错很好全五分了.物流超级快.今天下单第二天就到了。特别好。苹果老粉了.冲了个A+会员.会推荐朋友来买的.准备等双十一在来买点东西送朋友，之前就想买iPad.希望会员优惠更多一点，
j***u,star5,"Apple Watch屏幕覆盖蓝宝石玻璃,屏幕达到视网膜级别,并且可以感应到触摸力度。通过机身右侧的圆形滚轮可以精确调节表内功能。 在硬件方面搭载S1处理器,从侧面看一股浓浓的金属质相当强,值得购买，质量不错"
_***光,star5,种草很久了，趁着6月有活动就入手了，颜值很高，原本打算到手之后开始锻炼的，结果因为疫情啥也做不了了，有潜在功能有空的时候再挖掘看看！
度***庄,star5,主要是送给朋友的。大小，尺寸，价格都很合适，很好的，屏幕我的三代要大了不少，流畅度也强了不少
u***6,star5,颜值高还好用续航能力：强 一天没问题舒适程度：很舒适精准程度：一般外形外观：颜值高！
九***佳,star5,功能特别齐全，一买来就玩了很久，操作都还蛮容易的，大部分功能都get了。这个黑色真的太百搭了，男女都能戴，戴起来也很舒服，很酷很好看。
2***日,star3,主要功能：对于不运动的人来说，就是看时间、没用过新鲜感、装饰品、装13。续航能力：一天一充。舒适程度：感觉还好吧。灵敏度：有时反应也很慢。操作难易：挺简单。做工质量：不错。外形外观：好看。
