https://item.jd.com/100038004353.html,AppleiPhone 14,100038004353,340.00g,中国大陆,A15,未公布,星光色,IP68,FHD+,以官网信息为准,128GB,白色系,OLED直屏,1200万像素,苹果风，商务，科技
用户名,评分,评论
河***哥,star5,外形外观：做工精致，黑色很深選，有质感，男生推荐买黑色。屏幕音效：屏幕清晰，音效也很好。抽照效果：原相机比较真实，没有微距镜头。注重拍照还得上pro。运行速度：十分流畅。待机时间：中度使用一整天其他特色：小屏手感嘎嘎好，单手握持无压力。
u***2,star5,一整个爱住了，太好看了这个颜色，拿在手上不想放下!而且拍照很细腻真实，录像的效果也很好，还流畅，广告也少。平时对手机圈不了解，就直接选择了苹果，而且我不玩大型游戏，平时就喜欢拍照录视频。很好，很喜欢
我***_,star5,外形外观：白色，6.1寸的oled全面屏屏幕音效：60hz刷新率拍照效果：1200w像素，在算法加持下，拍照效果很好运行速度：a15处理器，运行速度很快待机时间：一天其他特色：快递速度很快
F***u,star5,外形外观：挺好好好看的屏幕音效：音效特别好拍照效果：拍照很真实运行速度：运行速度特别快待机时间：待机时间也不错其他特色：外观好看，很小巧
3***6,star5,活动优惠的时候买的    少了几百元   很划算   本来想买紫色的   和平板配套i  但是吗卖完了   选了黄色    到货后也还是很好看的  喜欢   想了很久很久 家里人终于买了   希望能多用几年吧 充电很快  颜色艳丽  拍照高清  喜欢   喜欢 喜欢
B***娜,star5,手机充电很快，外观很漂亮，颜值很高，屏幕接触这方面很灵敏，音效效果挺不错的，拍照很清晰，运行速度快，容量大，待机时间比较长，很适合每个年龄段使用
j***j,star5,外形外观：外观起码符合我自己的审美屏幕音效：音效好，没毛病拍照效果：拍照及处理效果好的很运行速度：要谈运行速度，依然得是大苹果
j***7,star5,用了一段时间了吧，手感那是相当不错啊，没有带手机壳都会害怕掉了，很顺滑。拍照效果那更是杠杠的，我从11换到14，总体还是很不错的，用了一个月电池就到99%，说实话心里好难受啊，我的11就是因为电池问题才换的，分享几张日常拍的，原相机直出，很不错哈
鹏***8,star5,海边阳光下这个蓝真的绝了，影子下就是玻璃版的远峰蓝，光线比较暗的情况下又是灰蓝，没有任何滤镜，越看越喜欢????，绝配有木有，诶，碧海蓝天白云，真的帅爆了，冲就完啦，奥利给????
欢***帝,star5,手机非常惊艳，苹果果然不凡，打开的一刹那，我都惊呆了，居然是如此的高大上，超出了我可怜的想象。拿到手上沉甸甸的，它无声地提醒我绝非俗物。好，太好了，除了价格有点贵，其他真的是非常好！
噗***3,star5,外形外观：很好看很好看很好看屏幕音效：很响亮很响亮很响亮拍照效果：很清晰很清晰很清晰运行速度：很流畅很流畅很流畅待机时间：很持久很持久很持久
