https://item.jd.com/100014352525.html,AppleiPhone 13,100014352525,320.00g,中国大陆,A15,未公布,蓝色,IP68,FHD+,以官网信息为准,128GB,蓝色系,OLED直屏,1200万像素,苹果风，商务，科技
用户名,评分,评论
j***0,star5,外形外观：很好看屏幕音效：流畅不卡顿拍照效果：杠杠的运行速度：15系统也很顺滑待机时间：大概6 7小时的样子（不打游戏）其他特色：很适合大学生入门用哦
J***r,star5,外观设计当然，关于绿色iPhone 13最重要的一点是对颜色的感知，这也是该设备与其它iPhone 13的颜色相比，最明显的区别。墨绿色给人的感觉非常自然优雅，既不刺眼也不淡，男女皆宜。如果你不喜欢 Pro Max 或 Pro 机型略显笨重的风格，绿色iPhone 13将是今年最值得购买的iPhone。此外，该产品外观小巧，握持非常舒适，操作使用极为方便。但如果你是大屏手机爱好者，并且想拥有动感和激进的设计，那么绿色的iPhone 13 Pro和iPhone 13 Pro Max也是不错的选择。
嘿***y,star5,贴错图片了，哈哈外形外观：很好看，手感很好拍照效果：苹果手机拍照很可以运行速度：好像卡了一次这尺寸对女生很可以，虎口位置不累。
j***M,star5,外形外观：手机很好看，方形无敌屏幕音效：顶级屏幕，音效无敌拍照效果：拍照一般，中规中矩，到画面很舒服运行速度：运行地表最强
刘***丰,star5,好看的苹果，中国红的颜色，非常的喜欢好看，6.1寸尺寸刚好合适，一手掌控稳稳的，不用担心了掉地上，男女非常的合适，这个是第二台苹果手机
密***g,star5,手机性能真的很不错。玩起来很流畅，摸起来很舒服，很丝滑。拍照也很清晰，功能很强大，续航也很不错，基本可以支持我一天的用量。
j***s,star5,手机很漂亮，店家服务很好，发货也快，手机屏幕显示颜色清晰度高，图象显示细腻，手机充电很快，待机时间很长，总体很满意
M***P,star5,外形外观：美观，时尚屏幕音效：显示细腻，色彩好，音质好，音量大。拍照效果：清晰度高色彩好，功能强大，拍照录像都很棒。运行速度：快待机时间：电池耐用，两天一充不是问题。其他特色：整体像一件艺术品，非常喜欢。
s***亚,star5,机型的手感是所有手机最好的，。拍照效果很清晰通信音质很好颜值爆表的一款手机，Bingbing的好喜欢。不但颜值好，硬件也很实打实的，运行超快。会一直支持。太太喜欢了，外观设计很时尚，超薄，金属边框很扎实的感觉。运行速特很赞
鱼***摇,star5,15都快出来了还在用11，屏都裂了，今天终于狠心换个13，实测一下比11快一些，关键信号好多了，之前一来短信直接断网半分钟，现在只断5秒钟，哈哈哈
通***鱼,star5,京东物流一如既往地给力，下单后很快就送到了，当面签收，手机很不错，外观很漂亮，白色很好看，手机运行也很流畅，运行时间也很不错，一天下来电量没什么问题，充电速度也还可以，值得够买。
婉***壮,star5,拿到手就迫不及待的拆封了，做工很精细，机器运转流畅，苹果的产品好就好在你用了一段时间后还是一样的感觉，不会觉得会卡顿，好评，赞一个。
j***4,star5,京东大平台购物就是省心，质量有保证。物流给力、包装精致完美、送货上门、服务态度好，手机是国行正品、无拆封无激活、和商家描述一样。外观大气、拿在手里很是有面，等用几天再追评。
掌***A,star5,29号买的2号到   然后检查过了也没有什么问题使用起来都很流畅拍照也很好的   手机都是一天一充就够了   手机摸起来都很有手感很好
1***9,star5,可以说是非常愉快的一次购物体验，商品展示非常清晰，客服小姐姐耐心专业的讲解，商品质量简直不用说，京东快递嘎嘎快呀，绝绝子，还会再来
李***灯,star5,老公的时间久了卡通，刚好618活动对比了很久买了这一款，性价比很高的，满意，虽然有的店便宜几百但是还是相信官方旗舰店更靠谱。
源***圆,star5,1外形外观：苹果的配色总是给人很舒服的感觉，这个粉色，浅浅的，好干净好舒服 1屏幕音效：屏幕反应灵敏，颜色也艳丽无比 1拍照效果：拍照真的写实，没有自动美颜的功能，但是很清楚 1运行速度：多任务处理很优秀，开大软件不费力 1其他特色：系统好用
布***-,star3,第二天就到了，就是没红的了
