https://item.jd.com/100060344323.html,AppleMacBook Air,100060344323,2.89kg,中国大陆,15.0-15.9英寸,Apple-MacBook Air,DCI-P3,无机械硬盘,支持IPv6,256GB,MacOS,8GB,15.0mm及以下,60Hz,高端轻薄笔记本,16:10,Apple M2集成显卡,Apple M2,Apple,星光色
用户名,评分,评论
j***0,star5,东西很好，用着很方便，颜值也高，目前还在使用中，电脑运行速度还可以啊，没有风扇基本不会用声音，点赞。推荐给需要的朋友。
j***w,star5,电脑非常棒，全新机器，开机特别流畅，金色真好看，16个512，顶配用起来就是爽，超薄边框，颜值担当，纠结了好久，最终还是买了苹果笔记本，京东物流没话说，晚上买好，第二天就送到了。
W***0,star5,质量非常好，与卖家描述的完全一致，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，京东物流公司服务态度很好，运送速度很快，很满意的一次购物质量很好，希望更多的朋友信赖京东．客服态度特好，我会再次光顾的，发货迅速·态度很好·很满意！很好很好！下次有机会再找你，客服人蛮好的，东东很不错，淘到心意的宝贝是一件让人很开心的事．比心
共***谁,star5,性能好，运行快，外观漂亮，高端大气上档次，苹果不是吹的，新品抢购的，值得拥有，运行了几天了，现在就差一些配件买回来了，快递物流也很快，包装结实
j***e,star5,笔记本，大品牌大厂家果然外观质感光滑柔韧，横线清晰，日常记录学习方便。桌面面不同颜色设计，方便区分各种不同类别，设计暖心。厚薄合适，大小放入办公桌，书包合适，轻松书写，轻松使用，轻松书写。
j***L,star5,昨天下单，今早送到，配送及时。开箱全新，半年内只修不换，京东值得信赖，品质保障。外观简洁美观，运行流畅，色彩饱和，大小适中，喜欢！
五***儿,star5,对这个笔记本儿非常的满意，他这个键盘呀，还有手触的地方，还有屏幕都特别的大，看起来很舒服。然后它的软键盘也非常的流畅，不卡顿，没有延迟。是一次非常好的体验。
l***7,star5,暂时用起来还不错，速度很快很丝滑，外观设计风格非常好看，高大尚。轻薄是最大的亮点，电池也是比较耐用！暂时没有发现其他问题，先用一段时间以后再来评价。
石***舟,star5,小朋友高考结束后的礼物，很喜欢，是今年的新款，非常薄，大屏幕也是学习看电影的不二之选，价格略贵，不过物有所值，值得推荐！
T***0,star5,很不错，新款，运行很流畅呢，屏幕分辨率也高，散热性能也不错呢，外观精致，薄薄一一本，有点份量，家里手机都是苹果的，所以笔记本也选择了苹果，很好，物流也超级快
韩***长,star5,挺喜欢的。爱不释手。当天就到了，没有瑕疵，，，，，，，，，，，，。，，。。，，，，，，，，，，，，，，，，服务也好。喜欢
s***o,star5,Apple商品的质量肯定是没得说了，屏幕也够大，清晰度也非常OK，总之，这台笔记本还是值得购买的，比原来老款的Air强太多了。
永***妈,star5,超薄的机型比较轻，孩子很喜欢，我们也一直种草，这个，嗯艾尔笔记本。用来处理一些软件或者是做文字处理，出差携带比较方便。送货速度很快，昨天下单今天就到货了
j***s,star5,苹果新款，官方渠道，值得信赖。超大高清Retina屏幕，1080P摄像头，三麦克风阵列，超长续航待机，M2超低功耗芯片加持！优选推荐！
P***0,star5,很不错好好看屏幕也很好看就是周边的产品还没有出期待能赶紧出系统也很快选择苹果没有错赞赞
j***5,star2,刚买一个月降价500
我***睹,star5,还可以 希望能够熟练使用  成为工作主力机 加油！屏幕效果：屏幕挺好的 虽然只有60hz刷新 但是够用外形外观：帅就完事了
n***1,star5,真的超级喜欢，非常支持，质量非常好，与卖家描述的完全一致，非常满意，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、运送速度非常快，很满意的一次购物。
j***U,star5,苹果笔记本没的说，品质就是不一样，就是有点小贵，做前端开发完全没问题京东物流值得信赖，我都好多年是京东会员了，希望京东越来越好
s***d,star5,Apple MacBook Air 15.3英寸 8核M2芯片(10核图形处理器) 16GB 512GB 星光色 笔记本电脑 Z18S00028【定制机】浏览对比很久，选了这款，颜色好，功能强，超喜欢。。。
魅***p,star5,运行速度：快到飞起屏幕效果：清楚细腻散热性能：完成不发热外形外观：简约大方轻薄程度：薄到难以置信
蓝***华,star5,运行速度：快，流畅。屏幕效果：清晰散热性能：很好，一点都不发热外形外观：轻薄，美观
方***朋,star5,性能好，运行快，外观漂亮，高端大气上档次，苹果不是吹的，新品抢购的，值得拥有，运行了几天了，现在就差一些配件买回来了，快递物流也很快，包装结实
j***a,star5,给孩子的礼物、非常喜欢、大屏比较清晰、音质好、比较流畅、非常不错，值得推荐。物流比较快、外观大气上档次、颜色比较喜欢。
j***2,star5,非常喜欢，非常满意运行速度：快，非常快，特别丝滑屏幕效果：特别好，特满意散热性能：很好
w***9,star5,物流速度非常快，提前预定后，发售当天就送到家了，价格非常合适，包装很结实，本本很厚实，颜色也很养颜，太棒啦?买电子产品就来京东?
素***衫,star5,运行速度：M2芯片运行起来特别快，非常丝滑屏幕效果：屏幕细腻生动，看着很舒服散热性能：散热没试过，无风扇倒是很安静外形外观：外形轻薄，屏幕大，质感一流其他特色：外放音效特别好，低音强劲，听歌看视频特别舒服，
冷***知,star5,物流很及时，东西包装很严实，拆包装很有仪式感，就是苹果的客服太冷漠，咨询问题爱答不理的，一股让人不舒服的爱买不买的高傲感。
j***b,star5,运行速度：运行速度飞快，不愧是m2屏幕效果：新款的显示屏有了高刷，看剧更爽散热性能：m2的散热确实比上一代有提高外形外观：新出的金色真的是太漂亮了轻薄程度：air系列的轻薄程度真的很棒
好***k,star5,电脑很好用，一键迁移老的Macbook到新的电脑，很流畅，电池续航很久。
G***糖,star5,运行速度：块屏幕效果：好散热性能：很好外形外观：很喜欢轻薄程度：很薄其他特色：贵了点
小***吖,star5,苹果的系统值得肯定，稳定流畅不卡顿屏幕色准和音响音色也很好
