https://item.jd.com/100025114549.html,"['AppleMacBook Air ', '100025114549', '2.37kg', '中国大陆', '8GB', 'Apple-MacBook Air', '99% sRGB', '无机械硬盘', '高端轻薄笔记本', '256GB', 'MacOS', '13.0-13.9英寸', '15.0mm及以下', '60Hz', 'Apple M2', '16:10', 'Apple M2集成显卡', '支持IPv6', 'Apple', '午夜色']"
用户名,评分,评论
a***9,star5,运行速度：我很满意，快屏幕效果：好呀，没看出来啥材质的散热性能：自然散热，也不怎么热外形外观：逼格高，颜值天花板轻薄程度：肯定薄呀，你想象不到的薄其他特色：其实到货之后，比在店里看要大些，也会感官比在店里要好
j***5,star5,运行速度：快 苹果的产品 优秀的超越时代屏幕效果：好 高清视网膜屏 一如既往的优秀散热性能：好外形外观：好轻薄程度：好昨天晚上8点左右上班 今天早上8点就到了 还是周末 辛苦了 京东的师傅们 非常好用 非常感谢 之前买的一个就非常喜欢
z***y,star5,运行速度很快，开关机也流畅，电池续航能力很好，一般八个小时没有问题。屏幕分辨率高，电脑支持指纹密码解锁，比较轻薄，可以随身携带，适合办公。
j***4,star5,买到了非常喜欢的深空灰色，屏幕大小正合适，京东的价格也合适。苹果mac电脑很好用，系统运行流畅，下载app很快速，妙控键盘操作方便，满足日常的文档处理和学习。
A***0,star5,电脑非常喜欢，苹果的东西，做工就是好，电脑也非常轻。就是里面什么东西也不带，还需要自己买电脑包和鼠标。包装也越来越简单。用一用再来追评。
j***V,star5,安全下车 真的很不错电脑没有一点问题 使用也很流畅 基本天天都带在身边 教育优惠还送一个耳机 很不错 快冲吧 而且我是当天晚上十点多下的单 第二天早上八点就到了 物流也真的没话说
解***L,star5,购买电子产品，首选京东自营。在京东平台上购买苹果产品已经很多次了，物流在约定时间送货，非常准时。产品是双层包装，杜绝二手可能性，全新未拆封，一切都是那么完美。这是买给儿子的六一节礼物，虽迟但完美。儿子收到后非常开心，整整研究到半夜……
j***人,star5,非常喜欢，用了教育优惠活动，便宜了好多，还送耳机，第二天就收到！用了一下，操作还是蛮简单的，熟悉了就好！苹果产品真的可以用到不想用也不坏！
j***G,star5,运行速度：挺快的，流畅外形外观：非常轻薄作为苹果的新膜具非常有特色，理论上最安全的电脑系统非常顺滑。因为是新手，多次麻烦了客服人员，对于他们表示歉意，也感谢客服人员的耐心解答。
j***V,star5,第一次用macos相当不习惯，而且接口也很难受，需要另买拓展坞。续航确实好，外观做工没得说。总体还可以吧，但1万的价位有更好的选择。
u***l,star5,挺精致的一台电脑，运行流畅，屏幕也很好，码了一天字，键盘打字很舒服，剪了一段视频，也挺流畅的，还没有遇到卡顿的情况。
