https://item.jd.com/100038004359.html,"['AppleiPhone 14 Pro Max', '100038004359', '420.00g', '中国大陆', 'A16', '未公布', '暗紫色', 'IP68', 'FHD+', '以官网信息为准', '256GB', '苹果风，商务，科技', 'OLED直屏', '4800万像素', '紫色系']"
用户名,评分,评论
u***g,star5,用用了这么久了，运行还是那么丝滑，就喜欢这样子的，拍照效果：拍照很是清晰，可惜最近天气太热了，都没得出去玩，出去拍照。
j***m,star5,外形外观：手感和材质真是太棒了 真香屏幕音效：清晰无杂音，真好听拍照效果：不太玩这个，还可以吧运行速度：一如既往的流畅待机时间：跟写的时间差不多
f***6,star5,外形外观：外观没得说，颜值属于顶级?屏幕音效：屏幕清晰！音效杠杠滴？拍照效果：非常牛?自然清晰！运行速度：极速顺滑！待机时间：正常一天半！
j***D,star5,外形外观：这款7千，去入手买。很便宜开心呀，评论1図片，可以清晰可见超级舒服拍照效果：拍照很清晰呢，再也不怕拍不出好照片运行速度：运行速度也不错，使用起来不是很烫待机时间：待机时间够用的，外观设计风格简约大气上档次。屏幕大小尺寸比较合适。屏幕的分辨率比较清晰。音质效非常不错。听歌听音乐非常舒心。拍照效果特别好。照片儿拍出来比较漂亮。运行速度特别快。待机时间比较长。外观很漂亮，。这款手机颜值非常高，苹果手机感觉真的不是安卓手机能比的，系统流畅度太棒了，其他各方面也一样的强，运行非常流畅没有卡顿。显示屏看着很舒服，非常漂亮。手感超好很喜欢。除了运行更流畅之外，它的机身手感也很好超薄。拍照的很像非常的清晰、很好看，屏幕分辨率显示很高，眼睛看着很舒服，音质很好，已经使用好几天了，体验感非常好，没有丝毫的卡顿迹象，运行 APP 都非常流畅。速度非常完美，尺寸比较合适，续航能力强，配合原装充电器，一个半小时充满电。到货快，好评。手机外观非常漂亮，屏幕的音效也非常的不错，拍照效果，尤其的完美运行运行速度一般待机时前一般其他各方面都还会非常不错，非常感谢京东上面能够抢道如此好的手机，谢谢京东物流也非常
j***H,star5,平板电脑收到了，包装完好无损，发货速度很快，使用效果不错，拍照清晰，系统运行流畅，画质清晰，性价比高，一次不错的购物体验！
l***c,star5,我是不到伍钎买到的。方法放评价图上了。 外形外观：第一次买pro这次买的Max，非常好看屏幕音效：这些都是没问题的，自营有保证拍照效果：Max拍照提升了好几个档次运行速度：运行畅快不卡顿待机时间：待机正常使用能用一天
云***6,star5,苹果14pm  紫色手机颜色好看，大气，拿在手上手感好，使用起来，速度挺快，大电量不用天天充电挺好。照相效果也挺好，带广角的，有景深感。买的高配，性价比高，希望多用段时间。手机整体性价比较高、拍照效果很棒的，手机会自动根据不同环境会补光、电池续航快速充电、音质不错的、运行速度也很快的，不卡顿、处理器是很好的，用起来很不错。希望以后可以有力度大一点的活动。外观时尚大气、拍照效果好，电池经久耐用、通话清晰、运行速度快。
路***h,star5,这个暗紫色的iPhone 14 Pro Max真是太美了！第一眼看到就被它的外观吸引了。屏幕显示效果非常出色，色彩鲜艳，细节清晰，实在是太惊艳了。而且，这款手机的处理速度非常快，操作起来非常流畅。拍照方面更是没话说，iPhone一直以来就以拍照出众而著称，这次的升级更是让人惊艳不已。无论是白天还是夜晚，照片的细节都能呈现得非常出色。总之，这款暗紫色的iPhone 14 Pro Max真是超级好用，让我完全爱上了它！
j***a,star5,外形外观：给老公买的紫色的，有可能我自己手机晚上拍不出来效果，实际好看的，手感很好?拍照效果：像素杠杠滴运行速度：我老公说运行挺好的反正他喜欢就好，毕竟第一次给老公买这么贵的东西?
t***g,star5,iphone14promax暗夜紫，首先这个颜色特别的好看，很适合女生拿，特别的独特，颜值十分在线，活动的时候购买特别的合适
不***了,star5,iOS一如既往的动画流畅丝滑，银色的质感和颜值真的高，百亿补贴下来加消费券真的好划算，max的话使用强度拉满的话电量还能剩好多，对max的续航真的特别满意
V***W,star5,使用流畅，发热低，速度快，同时续航很顶。拍照在这个价位还可以，购买的时候很实惠，玩游戏也是不错，流畅不热续航好。非常好用的手机。
爱***书,star5,外形外观：非常的大气，漂亮屏幕音效：分辨率非常的高，音质不错拍照效果：拍照拍视频简直就是无敌的存在运行速度：玩游戏一点卡顿都没有待机时间：电池电量还是比较能用的
e***s,star5,8.真的超级喜欢，非常支持，质量非常好，与卖家描达的完全一致，非常满总，完全超出期直，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满句一次购物呢。
漫***_,star5,心仪已久的手机！很喜欢！屏幕大！拍照清晰，运行速度也很快！待机时间够长！以前都是买带颜色！现在只喜欢黑色！太喜欢了！用了几天感觉很好！犹豫了好久在哪里买！最后决定相信京东！隔日达！包装简单！其他都好！
无***丶,star5,外形外观：好看 。屏幕大，很好用。屏幕音效：不错，手感反馈也很好。拍照效果：好，清晰。运行速度：快。
小***雅,star5,苹果手机还是精致和快速，体现在各个方面，在京东买过几次苹果了，毫无瑕疵，无可挑剔，手机大小手感还是很合适的，大品牌手机还是在京东购买比较放心
F***g,star3,为啥我六月会买到去年生产的机子？
烟***寞,star5,是正品，信赖商家，宝贝质感很好，价格也适中，无限回购！比平时要便宜，囤了不少，特别特别满意?，超级好看?，客服很有礼貌，很客气，良心商家，支持！宝贝收到，物流很快，描述相符，比较满意，好评，推荐
4***A,star5,买苹果手机还是京东自营靠谱点，不用担心后封之类的。不过618过了价格回升了不少，有点可惜，但是需要买的时候也等不了，就直接买了。京东物流也是一如既往地快，好评
程***b,star5,外形外观：平整顺滑，识别度高屏幕音效：全方位立体无死角拍照效果：4800万加持黑夜如白天运行速度：6g运行吊打安卓待机时间：充一次电包一天
D***斌,star5,外形外观：苹果外形设计不错，就是手机尺寸大屏幕音效：屏幕无敌，通透亮度高拍照效果：随手拍点赞，不需要像安卓等待1-2S成像运行速度：嗖嗖滴待机时间：提升很大，一天随便玩其他特色：苹果特色
t***u,star5,手机功能强大，续航能力不错，但是电池还是有发热的问题，电池一个月后健康就是99%手机大小和重量OK，手感不错
大***妮,star5,我的手机X-RAY真的挺不住了所以就换了这款，怎么说呢这个白色真的是爱了特别喜欢很干净，比紫色什么的颜色好看，另外就是音质特别好，看电影也有电影院的立体声真的可以，还有速度也是挺快的，拍照也是很不错清晰！唯一的遗憾跟缺点也许就是重吧，有点沉，其他都是真心好！
