https://item.jd.com/100009085421.html,"['AppleMHY53CH/A', '100009085421', '0.74kg', '以官网信息为准', '家用', '智能音箱']"
用户名,评分,评论
宝***浮,star5,外观很好看 橙色和黄色也挺搭的 很有活力 插电后自动连接手机 音质还行 操作方便 两个能组成立体声效果 可以使用语音控制播放歌单
橙***管,star5,刚好做活动，价格便宜了很多，性价比超高，真的特别划算，音质音效：音质不错，听起来很舒服发货速度很快，东西包装的很好，价格优惠，我很满意?，还会回购
j***y,star5,送男朋友作为礼物的，用了一段时间了，一整套苹果生态用下来还是比较舒服的，就是有的时候凑得很近叫siri也没啥反应，感觉叫半天得
阿***四,star5,外形外观：外观设计简约，小小的一颗苹果，外观很好看做工质感：做工质感很好，外观织布质感不错音质音效：音质不错，低音很好，之前一直觉得苹果白开水吧，但买两个组左右声道就很棒安装难易：安装简单其他特色：可以连智能家居，很方便控制
不***-,star5,之前有两个，趁着活动又买了两个，为了以后组职能家居每个屋都能控制，小小的不占地方，还有Siri真是太灵敏了，绝对比小爱同学灵敏太多了
美***y,star5,颜值很高，适合拥有苹果全家桶的入手，无论是放歌还是作为摆件都很美观，最近还解锁了温湿度功能，很小巧，放在桌上也不占地方，活动时购买很划算
P***e,star5,最终还是又买了一个组立体声 音质显著的提升 放到单位宿舍里刚刚好 隔空投放也很实用 无论是听音乐还是刷剧都是视觉和听觉的盛宴 做工也一如既往的好 虽然是mini 质感也丝毫不差 外形小巧 非常简单安装 物流也很快 推荐大家购买 必须一次性买俩个?
p***g,star5,刚刚拆开，还没使用，首先颜值很高，颜色靓，外观小巧，先给个好评，待使用后再来详细追评吧。物流发货速度很快，给配送小哥点赞！
t***f,star5,白色椭圆的外形很可爱 只买了一个用起来还不错 准备再买一个组成立体声 应该很棒 搭配手机用起来也很方便 控制智能家居也很方便
老***肥,star5,Apple homepod mini一直想买。这次终于下手了。外形小球一样，手感很好。接通后小小的身体大大的能量。音质很好。完全满足我的需求。
王***7,star5,东西收到后迫不及待打开看了一下、非常不错、很喜欢、一看就是正品、音质非常好、比普通音响好很多、三维立体的音质、下次还会继续购买！
锦***度,star5,宝贝比想象中的要小，但是比想象中精致许多，音质基本满意，对于音质没有过分追求的可以入手，苹果全家桶又多了一个。更多的功能还需要继续研究
