https://item.jd.com/100038004391.html,品牌： Apple商品名称：AppleMQD83CH/A商品编号：100038004391商品毛重：244.00g商品产地：其他类别：降噪耳机连接方式：无线，蓝牙佩戴方式：入耳式
用户名,评分,评论
j***p,star5,100%的正品，加了200块，补了一个两年全险，这样用着也很放心，音质他们都说是白开水，但综合体验绝对是我用过最牛的tws，降噪体验很好，没有耳压感，通透模式做的很自然，不会像助听器，英质能用就行，而且续航比一代提升了很多
F***a,star5,做工质感：做工一流，摸起来很舒服。音质音效：音质很好，降噪效果很好。舒适度：带起来很贴合，很贴合耳朵，带起来没有很强的压迫感。续航能力：续航很久，充电也很快。
S***o,star5,做工质感：苹果的产品没得说，好看音质音效：降噪功能拉满，而且带着很舒服舒适度：有各种款型的耳塞可以选择续航能力：正常4-6小时没问题，苹果的产品力还是非常不错的，主要是价格还是挺贵的，不过好用就行
M***o,star5,做工质感：做工优秀音质音效：音质吧比一般的有线耳机还是好挺多舒适度：4副不同型号的耳塞选择续航能力：续航还行其他特色：通透模式和降噪模式很给力，支持耳机柄按压切换，很给力！
j***g,star5,做工质感：质量很好，没有瑕疵，用了两个月才来评论音质音效：老婆是电子设备一窍不通，想来想去也只有Air pod最适合她用，就给她买了一个，音质和降噪特别好
C***A,star5,好 用 第 一 次 在 京 东 购 买 很 喜 欢 . 出 门 放 在 包 里 很 方 便 . 接 听 电 话 随 身 携 呆 .
u***c,star5,第二个了，第一个送人了，这个耳机非常的棒，戴上不会掉，而且有很多耳塞可以选择。音质非常的好，电池的续航也是非常满意的，同级感觉应该是使用感最好的耳机了。
爱***哥,star5,一直等到了活动才下手购买了心爱的耳机套件，为的就是完美匹配俺的独一无二的爱机。一直搜寻了很多京东自营其他品牌，还是苹果自己的最放心。收到货打开仔细检查，发现越南版的，起初很担心网上到处说不太好。待机加上使用我基本用四天样子。用的很厉害，不到两天。充电一般在四个小时左右。本人经过了很长时间使用，充电，放置，冷热交替，测试，确实购买的这件满意放心了。还特意购买了耳机保护套，防范于未然，保护每一天。价格嘛，买早了，只能没办法。618才是最优惠的时候。哈哈。不过还是要感谢最挚爱的京东自营商城。谢谢小苹果。希望越做越好，以人为本，品质过硬，售后完美，诚信经营。
M***e,star5,苹果AirPods Pro第二代是一款非常出色的真无线降噪耳机。它具有出色的音质、透明模式和主动降噪功能，让你能够在任何环境中都能够享受到高品质的音乐体验。另外，它还拥有防水防汗功能，让你在运动或户外活动中也能够使用。AirPods Pro第二代还具有快速无线充电功能，使用起来非常方便。总而言之，苹果AirPods Pro第二代非常值得购买，是一款非常实用的耳机产品。
波***瑞,star5,用了几个小时，不管是降噪还是音效都算是一流的。目前不知道续航如何，过段时间在追加评论。总体来说外观和质感都很好，值得购买！！！
j***o,star5,中国制造，降噪效果特别好！从下单到收货一共半天，效果特别高。耳机戴着很舒服，不会耳朵疼，可以设置的地方比较多，可以多研究一下。
