https://item.jd.com/100028057022.html,品牌： Apple商品名称：AppleMME73CH/A商品编号：100028057022商品毛重：180.00g商品产地：其他货号：A2565,A2564,A2566类别：音乐耳机连接方式：无线，蓝牙佩戴方式：入耳式
用户名,评分,评论
j***c,star5,做工质感：之前丢了一只，没办法又买了一副新的，做工精细，那在手里比较有分量。舒适度：戴着很舒服，一早上耳朵也不痛。声音清晰，音质也很好。续航能力：续航一整天没问题?
菇***嘟,star5,用了几天来反馈，首先非常幸运的是得到中国制造，其次音质真的很好，特别是左右转头的环绕立体声，反正无论从哪方面去剖析它就是很高端，安全下车啦！最后本来还在2代和3代纠结，测评说2代更好入耳，更适合女孩子，但3代续航也更强，秉承着买新不买旧的理念就下手了，平时室内上班，偶尔跑跑步，够用了，戴久了耳朵是会有点疼
l***3,star5,耳机?灰常不错。老婆很喜欢。开盖自动连接手机。充一次电可以续航2.3.天。音质音效特别棒??。颜值非常高。做工质感很高级
冬***静,star5,苹果手表颜值性能在线，买回来就迫不及待的拆封了，果然不出意料的惊艳，做工细致精良，功能强大完美，超有范儿，永远支持apple！
伍***狗,star5,二代用了几年了，终于给自己换了三代，配送很快，当天下单第二天一大早就到了，官网查了序列号是正品，可以放心购买，另外三代用起来音质真的提升了很多，而且三代还有抗水抗汗功能，特别适合我这种喜欢听歌运动的人。
M***1,star5,第三代苹果耳机，外形依旧很精神，有质感，耳柄略短。入耳比较贴合，音质环绕感很强。吸力好，仓盖打开倒置，耳机不会掉落。充电迅速，待机时间长。物流依旧快速给力。
u***y,star5,苹果的耳机和手机联网很快，做工精细，和手机一样非常不错，手感很好，设计时尚，入耳舒适，佩戴自然。音效非常不错，充电方便自由。总体来说还是不错的。
阿***o,star5,之前一直用有线的和pro交替使用，运动的时候还是觉着无线的更舒适更好的运动，总感觉pro的胶套带着不太适应，降噪模式几乎没有使用过。看了网上测评，还是觉着买3代回来更适合运动的时候使用，昨天下的单子今天就到货了，不得不佩服京东的速度。中午开箱激活，佩戴试了一下效果，音质效果确实很震撼，不得不说一代更比一代强大。
W***3,star5,做工质感：苹果一如往昔的好用音质音效：音质效果不错的值得使用。舒适度：倒膜也很好，佩戴舒服。续航能力：续航时间长时间。其他特色：真的很好，推荐使用，一起来用，加油。支持。
1***k,star5,做工质感：做工精致，处处体现匠人精神，很精致音质音效：音质音效效果很好，还原原声，清晰好听舒适度：戴久了完全不觉得难受，很舒服，使用简单续航能力：续航能力足，充电能够用很久
h***o,star5,做工质感：非常非常满意音质音效：音质很棒没有杂音舒适度：非常轻便舒适度高续航能力：续航怎么说呢，5个小时听歌没问题其他特色：轻便，各型号里边选了她没有选错，下一个还会买它
Z***e,star5,"宝贝收到，小巧轻便，外观特别好，没有色差，和图上的是一样的。低音浑厚，音质清晰，质量也是相当的好，性价比高,做工过关 配对也很快 连接稳定，而且电量也很给力，十分耐用，物有所值，值得拥有"
j***v,star5,做工质感：原配的就是好，买回来就迫不及待的戴上了保护套音质音效：音效音质特别好，和其他耳机的感觉完全不一样舒适度：很舒服，不喜欢降噪的那种完全入耳的，这个就刚刚好续航能力：还好吧 刚买了几天 两个耳机一直戴 大概8个小时 完全没问题
j***n,star5,做工质感：质感很好音质音效：效果很棒舒适度：佩戴舒适续航能力：续航能力强其他特色：是正品，值得购买。
深***丶,star5,做工质感：非常细节 样子简洁大方得体音质音效：简直完爆同价位耳机舒适度：佩戴感觉舒服没什么不舒服续航能力：可以听好长时间其他特色：这一款耳机简直太棒了 之前用的是1 现在用这个也感觉很棒
m***9,star5,音质不错！！待机时间也非常满意！！！舒适度：非常贴合！！！！！做工质感：喜欢关盖时候的声音！！！！！音质音效：非常满意！！！！续航能力：时间长！！！其他特色：手感不错！
j***r,star5,耳机音质听起来还是不错的样子，非常好听的，连接手机速度还是很快的了。非常方便使用起来，电池容量很大的，够用一段时间了。不错
八***关,star5,已经使用了一周才来评价的，包装之类的没问题，是Apple正品，蓝牙连接很灵敏。做工质感：做工细致手感细腻，轻便。音质音效：音质效果没话说，低音环绕效果很好。舒适度：入耳舒适度OK，长时间戴着耳朵不疼。续航能力：一整天戴着没问题。其他特色：这款不是降噪耳机，外面干扰声音能听到。
籃***鲸,star5,买来送给女朋友的，目前看来她是很喜欢。拿在手里特别有质感，试音后音质挺好。颜值方面，苹果一如既往的优秀。连接手机方便迅速，总的来说，就是满意?
节***吸,star3,刚拿到手几天先体验一下吧
陌***玉,star5,音质音效：很明显的感觉到和一百多耳机的差别舒适度：直接挂在耳朵孔，没有一点点的压迫和不舒服的感觉，非常的贴合做工质感：就喜欢这样没有花里胡哨的外观，光滑完美，握在手里都十分的舒适
咪***卢,star5,很惊艳，苹果大品牌，做工和质量都没得说，音质也很好，佩戴舒适，续航力强，降噪功能也不错，值得购买，下次还会回购，推荐给身边的朋友
颜***芳,star5,耳机做工质感非常高级，触摸起来非常丝滑。开盖自动连接手机，太方便了。音质音效很动听。老婆特别满意。充一次电可以续航两到三天，非常耐用。
7***七,star5,质感一直在线，连接手机非常丝滑，好用，赶着活动买的，价格也挺合适的，耳机颜值在线，使用方便，电量持续时间还算ok，日常打电话听歌什么的足够用了，很满意的，送货也很速度。
j***r,star5,千呼万唤的airpods 3啊太美丽啦，音质效果杠杠滴，个人很喜欢半入耳，因为我戴pro时间久了会耳朵疼，而这款就很舒适了，另外，续航能力也很不错，买来自用或送人再合适不过啦！
x***夏,star5,做工质感：质感很好，苹果的东西，一向来质量都是杠杠的，还记得上一个蓝牙在京东买的，那天进去洗衣机洗了一圈，还风干晒了，后面才发现，拿出来没问题，还是好好的，也是神奇了，信赖京东，所有东西都是在京东买的音质音效：音质杠杠的舒适度：很舒服续航能力：耐用其他特色：音质真的很强，值得购买
夏***n,star5,心心念念的苹果蓝牙耳机终于到手啦，京东快递也给力，晚上睡前下的单，第二天下午就收到了，耳机精致至极，在我眼里没有瑕疵，试了一下声音，很满意。
小***妈,star5,这个耳机很不错 耳机音质非常好 我很喜欢 带着耳朵也不疼 买过苹果很多产品了 这个很喜欢做工质感：非常高大上尚音质音效：音质非常不错舒适度：佩戴很舒服续航能力：不错
-***-,star5,玩会游戏试了下，一点延迟都没有，效果杠杠的，质量很强硬，信号定没有延迟，戴着很轻巧，没任何感觉到不舒服和疼痛感，感觉像没佩戴耳机一样，音效效果特别的棒，没有杂音，价格实惠，值得入手
