https://item.jd.com/100046043020.html,AppleApple iPhone 14 plus,100046043020,380.00g,中国大陆,A15,未公布,黄色,IP68,FHD+,以官网信息为准,128GB,黄色系,OLED直屏,1200万像素,苹果风，商务，科技
用户名,评分,评论
l***t,star5,7已经感觉太小了，曾这次活动直接下单，听说15有更多的提升，老年人用起来还是比较省心，不用担心乱七八糟的一些东西来打扰，顺滑度用了那么多年都很好。
L***n,star5,外形外观：靚仔！而且好輕。屏幕音效：屏幕夠大，色彩也很好，合我們的老人家用。音效也很好！拍照效果：拍攝人像也很柔和，不似其他手机，拍到像蛇精。而且还可以拉長拍全境。apple store 設有不同課程，有時間會預約去上堂學習用此機拍攝效果！运行速度：也很快，暫時沒有卡機待机时间：也很快其他特色：因為第一次用apple 手機，所以覺得很多功能很新鮮，而且还有學習課程給用戶登記上課，這是一個賣點。
Z***8,star5,这个颜色超级爱呀，设计感很强，尺寸大小刚刚好，手感很舒适，屏幕很高清，音效也清晰，高音不刺耳，低音也很清晰，拍照更是没得说，清晰度非常高，运行速度很快，玩游戏一点不卡壳，充电很快，充上电用一天没问题。一款颜值和性价比双高的手机
l***7,star5,外形外观：14plus屏幕音效：显示杰出音效出色拍照效果：高清运行速度：超快无卡顿待机时间：48小时以上其他特色：大屏
好***优,star5,用了10几天了，是全新正品，价格也比较优惠，发货非常快，上午下单，下午就收到。14plus非常流畅，屏幕色彩鲜艳，性价比高，非常满意
k***i,star5,外形时尚魅力，运行速度卓越，拍照效果很棒，功能齐全，自带app很全很棒，物流速度快，包装安美，国内apple store和英美apple store切换方便，性价比高，???666
j***s,star5,618买的苹果手机，颜色是自己喜欢的颜色，苹果手机使用非常流畅，现在是双卡双待了，很不错，功能也很好，触屏也很灵敏，价格也很美丽。
陌***人,star5,非常满意的一次购物体验。一直信任京东，家里几部手机全是在京东上面买的。拿到快递就迫不及待的打开了，很惊艳。手感超好，轻重也合适。最主要的是待机时间是真长，真香。
j***b,star5,发货神速，包装完好，质量不错，价格实惠，比实体店卖得便宜好多，值得购买，推荐！赞赞赞！????????，孩子很喜欢，京东让人放心一点
疯***你,star5,用了一个月了，使用效果非常好，电池耐用，屏幕清晰，老婆非常喜欢。华为换苹果，还是有些不适应，慢慢摸索中，颜色亮，手机拍照效果有点失真，实际没那么黄，这个黄色像是那种小甜心，哈哈，就是喜欢。
l***t,star5,7已经感觉太小了，曾这次活动直接下单，听说15有更多的提升，老年人用起来还是比较省心，不用担心乱七八糟的一些东西来打扰，顺滑度用了那么多年都很好。
L***n,star5,外形外观：靚仔！而且好輕。屏幕音效：屏幕夠大，色彩也很好，合我們的老人家用。音效也很好！拍照效果：拍攝人像也很柔和，不似其他手机，拍到像蛇精。而且还可以拉長拍全境。apple store 設有不同課程，有時間會預約去上堂學習用此機拍攝效果！运行速度：也很快，暫時沒有卡機待机时间：也很快其他特色：因為第一次用apple 手機，所以覺得很多功能很新鮮，而且还有學習課程給用戶登記上課，這是一個賣點。
Z***8,star5,这个颜色超级爱呀，设计感很强，尺寸大小刚刚好，手感很舒适，屏幕很高清，音效也清晰，高音不刺耳，低音也很清晰，拍照更是没得说，清晰度非常高，运行速度很快，玩游戏一点不卡壳，充电很快，充上电用一天没问题。一款颜值和性价比双高的手机
l***7,star5,外形外观：14plus屏幕音效：显示杰出音效出色拍照效果：高清运行速度：超快无卡顿待机时间：48小时以上其他特色：大屏
好***优,star5,用了10几天了，是全新正品，价格也比较优惠，发货非常快，上午下单，下午就收到。14plus非常流畅，屏幕色彩鲜艳，性价比高，非常满意
k***i,star5,外形时尚魅力，运行速度卓越，拍照效果很棒，功能齐全，自带app很全很棒，物流速度快，包装安美，国内apple store和英美apple store切换方便，性价比高，???666
j***s,star5,618买的苹果手机，颜色是自己喜欢的颜色，苹果手机使用非常流畅，现在是双卡双待了，很不错，功能也很好，触屏也很灵敏，价格也很美丽。
陌***人,star5,非常满意的一次购物体验。一直信任京东，家里几部手机全是在京东上面买的。拿到快递就迫不及待的打开了，很惊艳。手感超好，轻重也合适。最主要的是待机时间是真长，真香。
j***b,star5,发货神速，包装完好，质量不错，价格实惠，比实体店卖得便宜好多，值得购买，推荐！赞赞赞！????????，孩子很喜欢，京东让人放心一点
疯***你,star5,用了一个月了，使用效果非常好，电池耐用，屏幕清晰，老婆非常喜欢。华为换苹果，还是有些不适应，慢慢摸索中，颜色亮，手机拍照效果有点失真，实际没那么黄，这个黄色像是那种小甜心，哈哈，就是喜欢。
我***谁,star5,买来送给媳妇的礼物，庆祝有小宝宝了，庆祝我俩结婚五年。买个红颜色，喜庆，我俩都喜欢这个颜色，女生买个大点的，看着也舒服，128基本就够用了，天天好心情，看着也舒服
