https://item.jd.com/100015470348.html,Appleipad Air（第四代）,100015470348,0.84kg,中国大陆,其他,64GB,2360*1640,7.0mm以下,不支持IPv6,娱乐平板,iPadOS,灰色
用户名,评分,评论
临***鱼,star5,这款平板挺喜欢的，之前有一个 iPad 用的时间太久了，已经不太好用了，就买了个新的。京东快递很快收到了，首先拆开后外观非常的好看，苹果的外形都是设计的很美观，很高级的深空灰色。拿在手里挺小巧的，非常有质感，摸起来很舒服。A14的处理器运行速度没得说，系统运行很流畅。平板很好用，我很喜欢，显示清晰，厚度非常薄，非常方便。非常给力，性价比挺高的，屏幕显示效果还可以，非常的好，看着很舒服。外观非常酷炫，深灰色的背面，显得质感十足。操作系统很流畅，无Home键，右上角与机身同色系的，具备指纹识别的电源键，操作流畅顺滑，厚度很合心意，重量上单拿还可以。1200万像素摄像头，拍照清晰！特别是待机时间长。10．9英寸全面屏，屏幕分辨率高，具备全面性能，四直角4S＂乔布斯＂铝合金边框，尽显苹果系列特色。WiFi版，操作简单，非常好的设计。
宝***儿,star5,东西很不错！轻薄漂亮颜色很惬意！京东大品牌值得信赖！？屏幕效果：超级棒很艳丽外观材质：大方美观耐看运行速度：很快的用起来很顺手轻薄程度：手感很舒服
可***妈,star5,苹果的产品有一种魅力：当你打开包装，肆意端详和抚触它的时候，瞬间值回票价。几乎一直以来，苹果用自己的设计语言传递异常有力的讯息：花更多的钱，去拥有好得多的产品。拆封和使用的过程，每一刻都在享受苹果产品和封装设计带来的快感，每一个细节都是如此规整美观、合理友好。值得一提的事，如果家中有喜欢涂鸦的学龄儿童的话，非常推荐直接购买套装。此次活动Plus会员的套装价格性价比极高，价格要远低于单独购买配件和平板的价格，而原装Pencil和键盘套夹的性能也远非第三方产品可以比拟，运笔行云流水，码字得心应手。Air比之前用的老Mini大了两圈，屏幕效果更加细腻，光感更加舒适了，做工也更加精致了。A14虽然是去年的芯片，但性能足够强大，对一般非深度玩家来说已经游刃有余了。总体来说，非常满意，爱不释手，但一想到这宝贝很快就要被孩子掳夺和强行征用，自己只能接用旧物，就心下不甘啊。
j***a,star5,颜色很好看 天蓝色很高级 开机激活各国语言的你好 使用也挺好的 反应很快 电量还可以 和预计差不多 看视频也很舒服 挺轻薄 开心 终于有了心水的ipad哈哈哈哈还这么好看 完美激活时候弄了一会 不过好在最后顺利 哈哈哈
不***争,star5,"买的天蓝色的，高级感绝了，啊哈哈哈，iPad的活动给力，特别是待机时间长，续航给力!总之对于我这个从ipad4更新到ipadAir4的用户，它简直就是颠覆性的改变和翻天覆地的变化!感谢所有!新款ipadAir将带给我长长久久的幸福感，满足感。外形感观高挡、实用，材质厚实但实际重量较轻;经典的怀 旧风格，四直角4S ""乔布斯""铝合金边框，尽显 苹果系列特色。屏幕效果: 10. 9英寸全面屏,分辨率高，具备全面性能，镜面效果逼真，令您赏 心悦目。运行速度: A14仿生芯片流畅度高，孩子学习，观看电影，浏览新闻，游戏娱乐，功能强大，尽显流畅本色。轻薄程度:拿着顺手，放桌美观，触感好、很轻薄，深灰色、大众化，镜 贴膜、体验好。其他特色: WiFi版，操作简易;触控ID，人性化的设计;摄像头前后设置，秉持一贯风格。外观材质：外观天蓝色铝合金材质，有点重屏幕效果：屏幕效果要比ipad8代好的多，没有黑边是最重要的轻薄程度：很薄，手感比较重，"
I***线,star5,原本准备等官网暑假返校活动送耳机再买的，但京东618，4599就有pencil套装了，想想还是十分划算的，忍不住就下单了。用了半个月了，体验很不错。做工十分精致，很轻。但iPad一般都会带套。套上套之后，重量还是挺重的。裸机的手感非常好，但没有安全感。一开始一直在担心64g的够不够用，装好了各种软件之后，目前用了差不多32g了，只用来学习的话，感觉还是挺够用的。运行十分流畅，玩游戏发热也不严重。续航方面，中度使用能用一天。平时在图书馆学习，做做笔记啥的，回来还剩几十的电。充电速度也很快。搭配pencil做做笔记，学习啥的体验真的特别棒。虽然只是横向双扬声器，但音质还是很不错的。在横屏的时候，立体声很棒。听歌看剧体验都十分好。总的来说，如果能退的话，我还挺想加一千换个256g的(?ω?)hiahiahia
比***人,star5,大小尺寸合适，比mini的效果好多了，屏幕效果很好，速度很快，质量很好，看电子书效果很好，不太大，也不太重，店庆活动力度很大，比5代便宜，使用起来没有太大区别
茉***7,star5,外观材质：ipadair4还是很好看的 比基础班的好看很多 金属材质 摸上去有一点凉屏幕效果：全贴合屏幕 超窄边框 比之前那个ipad好很多运行速度：挺快的 因为不玩游戏 就听网课 看视频 做笔记 也就这些轻薄程度：看图 手感很好其他特色：支持apple pencil2代 磁吸充电 买了两年ac+ 放心很多 剩下的就好好学习行了
做***半,star5,外观材质：比上一代总体质感高一大截屏幕效果：屏幕素质特别好，裸眼观感运行速度：A14地表最强，妥妥的轻薄程度：够轻薄，手感特别好其他特色：给女朋友买的，新一代Air真的香，她特别喜欢
j***I,star5,外观材质：外观很漂亮，蓝色的百看不厌屏幕效果：全贴合屏幕，细腻运行速度：4G运行内存加持A14芯片不用说的快轻薄程度：很轻，符合air理念其他特色：全面屏一直就是我想要的，这款很满意，值得推荐
临***鱼,star5,这款平板挺喜欢的，之前有一个 iPad 用的时间太久了，已经不太好用了，就买了个新的。京东快递很快收到了，首先拆开后外观非常的好看，苹果的外形都是设计的很美观，很高级的深空灰色。拿在手里挺小巧的，非常有质感，摸起来很舒服。A14的处理器运行速度没得说，系统运行很流畅。平板很好用，我很喜欢，显示清晰，厚度非常薄，非常方便。非常给力，性价比挺高的，屏幕显示效果还可以，非常的好，看着很舒服。外观非常酷炫，深灰色的背面，显得质感十足。操作系统很流畅，无Home键，右上角与机身同色系的，具备指纹识别的电源键，操作流畅顺滑，厚度很合心意，重量上单拿还可以。1200万像素摄像头，拍照清晰！特别是待机时间长。10．9英寸全面屏，屏幕分辨率高，具备全面性能，四直角4S＂乔布斯＂铝合金边框，尽显苹果系列特色。WiFi版，操作简单，非常好的设计。
宝***儿,star5,东西很不错！轻薄漂亮颜色很惬意！京东大品牌值得信赖！？屏幕效果：超级棒很艳丽外观材质：大方美观耐看运行速度：很快的用起来很顺手轻薄程度：手感很舒服
可***妈,star5,苹果的产品有一种魅力：当你打开包装，肆意端详和抚触它的时候，瞬间值回票价。几乎一直以来，苹果用自己的设计语言传递异常有力的讯息：花更多的钱，去拥有好得多的产品。拆封和使用的过程，每一刻都在享受苹果产品和封装设计带来的快感，每一个细节都是如此规整美观、合理友好。值得一提的事，如果家中有喜欢涂鸦的学龄儿童的话，非常推荐直接购买套装。此次活动Plus会员的套装价格性价比极高，价格要远低于单独购买配件和平板的价格，而原装Pencil和键盘套夹的性能也远非第三方产品可以比拟，运笔行云流水，码字得心应手。Air比之前用的老Mini大了两圈，屏幕效果更加细腻，光感更加舒适了，做工也更加精致了。A14虽然是去年的芯片，但性能足够强大，对一般非深度玩家来说已经游刃有余了。总体来说，非常满意，爱不释手，但一想到这宝贝很快就要被孩子掳夺和强行征用，自己只能接用旧物，就心下不甘啊。
j***a,star5,颜色很好看 天蓝色很高级 开机激活各国语言的你好 使用也挺好的 反应很快 电量还可以 和预计差不多 看视频也很舒服 挺轻薄 开心 终于有了心水的ipad哈哈哈哈还这么好看 完美激活时候弄了一会 不过好在最后顺利 哈哈哈
不***争,star5,"买的天蓝色的，高级感绝了，啊哈哈哈，iPad的活动给力，特别是待机时间长，续航给力!总之对于我这个从ipad4更新到ipadAir4的用户，它简直就是颠覆性的改变和翻天覆地的变化!感谢所有!新款ipadAir将带给我长长久久的幸福感，满足感。外形感观高挡、实用，材质厚实但实际重量较轻;经典的怀 旧风格，四直角4S ""乔布斯""铝合金边框，尽显 苹果系列特色。屏幕效果: 10. 9英寸全面屏,分辨率高，具备全面性能，镜面效果逼真，令您赏 心悦目。运行速度: A14仿生芯片流畅度高，孩子学习，观看电影，浏览新闻，游戏娱乐，功能强大，尽显流畅本色。轻薄程度:拿着顺手，放桌美观，触感好、很轻薄，深灰色、大众化，镜 贴膜、体验好。其他特色: WiFi版，操作简易;触控ID，人性化的设计;摄像头前后设置，秉持一贯风格。外观材质：外观天蓝色铝合金材质，有点重屏幕效果：屏幕效果要比ipad8代好的多，没有黑边是最重要的轻薄程度：很薄，手感比较重，"
I***线,star5,原本准备等官网暑假返校活动送耳机再买的，但京东618，4599就有pencil套装了，想想还是十分划算的，忍不住就下单了。用了半个月了，体验很不错。做工十分精致，很轻。但iPad一般都会带套。套上套之后，重量还是挺重的。裸机的手感非常好，但没有安全感。一开始一直在担心64g的够不够用，装好了各种软件之后，目前用了差不多32g了，只用来学习的话，感觉还是挺够用的。运行十分流畅，玩游戏发热也不严重。续航方面，中度使用能用一天。平时在图书馆学习，做做笔记啥的，回来还剩几十的电。充电速度也很快。搭配pencil做做笔记，学习啥的体验真的特别棒。虽然只是横向双扬声器，但音质还是很不错的。在横屏的时候，立体声很棒。听歌看剧体验都十分好。总的来说，如果能退的话，我还挺想加一千换个256g的(?ω?)hiahiahia
比***人,star5,大小尺寸合适，比mini的效果好多了，屏幕效果很好，速度很快，质量很好，看电子书效果很好，不太大，也不太重，店庆活动力度很大，比5代便宜，使用起来没有太大区别
茉***7,star5,外观材质：ipadair4还是很好看的 比基础班的好看很多 金属材质 摸上去有一点凉屏幕效果：全贴合屏幕 超窄边框 比之前那个ipad好很多运行速度：挺快的 因为不玩游戏 就听网课 看视频 做笔记 也就这些轻薄程度：看图 手感很好其他特色：支持apple pencil2代 磁吸充电 买了两年ac+ 放心很多 剩下的就好好学习行了
做***半,star5,外观材质：比上一代总体质感高一大截屏幕效果：屏幕素质特别好，裸眼观感运行速度：A14地表最强，妥妥的轻薄程度：够轻薄，手感特别好其他特色：给女朋友买的，新一代Air真的香，她特别喜欢
j***I,star5,外观材质：外观很漂亮，蓝色的百看不厌屏幕效果：全贴合屏幕，细腻运行速度：4G运行内存加持A14芯片不用说的快轻薄程度：很轻，符合air理念其他特色：全面屏一直就是我想要的，这款很满意，值得推荐
j***r,star5,我以前那个爱派的用了好多年了。非常相信京东送货快，第二天就收到货了。这款产品还可以。采用了苹果最新的芯片和iPhone12一个芯片。以后还在京东买。那小哥也很友好。这次选择了这款还不错，比较轻，适合年轻人用，我选的是蓝色的配色。苹果新出的配色。
小***8,star5,外观材质：是我最爱的蓝色，很漂亮，喜欢，因为蓝色才入手的air4，颜色很高级的，手感好，蓝色很耐看屏幕效果：10.9英寸全面屏，屏幕大，追剧贼爽。全贴合屏幕，清晰，分辨率高，特别棒运行速度：运行速度极快，A14很给力哦轻薄程度：轻、薄。便于携带其他特色：想夸一下触控解锁，对我太友好了，我的指纹不太明显，用别的设备基本用俩次以后指纹就不能用了，苹果这个太爱了。然后充电器换成了top-c，电池续航能力不错，一天一充，追一天剧问题不大。办公、追剧，打游戏都是不错的选择。音质，画质都不错。建议的话买新不买旧嘛，但是还是要根据实际情况选择，新机能多用几年
j***t,star5,"外观材质：外形感观高挡、实用，材质厚实但实际重量较轻；经典的怀旧风格，四直角4S＂乔布斯＂铝合金边框，尽显苹果系列特色。屏幕效果：10．9英寸全面屏,分辨率高，具备全面性能，镜面效果逼真，令您赏心悦目。运行速度：A14仿生芯片流畅度高，孩子学习，观看电影，浏览新闻，游戏娱乐，功能强大，尽显流畅本色。轻薄程度：拿着顺手，放桌美观，触感好、很轻薄，深灰色、大众化，镜贴膜、体验好。其他特色：WiFi版，操作简易；触控ID，人性化的设计；摄像头前后设置，秉持一贯风格。"
j***K,star5,第一次用苹果的机器，抱着尝试的心态买来试试，收到货以后打开一看，非常喜欢这个ipad，手感超好速度超快，屏幕真的跟安卓机不一样看着非常舒服，大爱，真心好用！外观材质：做工精细屏幕效果：非常清晰运行速度：挺快的轻薄程度：超薄的，手感超好
h***y,star5,活动时购买，价格合适，粉红适合妹子，女儿非常喜欢。使用时屏幕反应很快，电量持久，轻薄耐用，以前15款的用了7年，希望同样持久。
j***2,star5,配上第三方的小键盘就是一台笔记本，随身携带方便，搭配上原装的笔，书写非常流畅，压感真实，写起来的感觉非常的软，丝滑，非常赞。这是我的第一台iPad产品，第一次使用体验，非常惊艳，虽然只有60hz，但是比安卓的120hz流畅太多，完全不是一个等级的。
j***k,star3,非常棒的体验，平板值得购买
j***h,star5,好用，之前有一个平板，但是时间很长了，但是也没有卡顿，换新的更喜欢了，爱了爱了，而且这个颜色，，特别漂亮
j***4,star5,2012年购买的ipad4，16G，坚持了八年，还能正常使用，只是内存容量不足，配置落后，所以下决心购买ipad4Air，256G，属于跨越式换代！相比八年前的ipad4，最大的感受就是轻，薄，快，大！重量轻了，200余克！全面屏，大！A14芯片，快！屏幕清晰，直角设计，1200万像素摄像头，拍照清晰！特别是待机时间长，续航给力！总之对于我这个从ipad4更新到ipadAir4的用户，它简直就是颠覆性的改变和翻天覆地的变化！感谢所有！新款ipadAir将带给我长长久久的幸福感，满足感！
老***街,star5,外观材质：外观材料采用的非常高端，手感极佳屏幕效果：屏幕显示清晰，色彩鲜艳亮丽运行速度：运行速度快，反应灵敏轻薄程度：产品厚薄很薄，重量很轻其他特色：送货速度快，优惠后性价比很高！
u***m,star5,外观材质：天蓝色看起来很舒服，磨砂金属壳手感也很好屏幕效果：屏幕很清晰，画质好，屏幕光滑运行速度：运行速度流畅不卡顿，软件秒开轻薄程度：很轻很薄，拿在手上都不敢用力，生怕捏碎了
温***丶,star5,"还不错  京东的物流  就是如此的可怕  是待机时间长，续航给力！总之对于我这个从ipad4更新到ipadAir4的用户，它简直就是颠覆性的改变和翻天覆地的变化！感谢所有！新款ipadAir将带给我长长久久的幸福感，满足感。外形感观高挡、实用，材质厚实但实际重量较轻；经典的怀旧风格，四直角4S＂乔布斯＂铝合金边框，尽显苹果系列特色。 屏幕效果：10．9英寸全面屏,分辨率高，具备全面性能，镜面效果逼真，令您赏心悦目。 运行速度：A14仿生芯片流畅度高，孩子学习，观看电影，浏览新闻，游戏娱乐，功能强大，尽显流畅本色。 轻薄程度：拿着顺手，放桌美观，触感好、很轻薄，深灰色、大众化，镜贴膜、体验好。 其他特色：WiFi版，操作简易；触控ID，人性化的设计；摄像头前后设置，秉持一贯风格。2012年购买的ipad4，16G，坚持了八年，还能正常使用，只是内存容量不足，配置落后，所以下决心购买ipad4Air，256G，属于跨越式换代！相比八年前的ipad4，最大的感受就是轻，薄，快，大！重量轻了，200余克！全面屏，大！A14芯片，快！屏幕清晰，直角设计，1200万像素摄像头，拍照清晰！"
野***财,star5,为学习购买。更换了之前的一个，还能用笔写，学习效率大幅提升。现在吃喝玩乐所有的一切都是在京东商城网购了，不仅质量有保障，送货速度也很快。
j***b,star5,第1次买iPad，主要是给小孩子画画和学习使用。使用很流畅，小孩子很喜欢，可以快乐的学习了，不错，喜欢，值得拥有，哈哈。
j***f,star5,外观材质：太爽了，这手感爱不释手屏幕效果：虽然没有高刷，但是对我而言已经很棒了，毕竟我也感受不到哈哈哈运行速度：跟我手机一样的心，能不顶嘛轻薄程度：爱了爱了其他特色：这音响绝了，我敢说你只要用了，绝对爱上它
j***s,star5,简直不要太好了青岛的忠粉，很不错。外观美丽，材质好。屏幕大气，运行速度快。轻薄小巧手感好。总之，感觉很不错。品质杠杠的。点赞
y***n,star5,京东A+会员版，air4性价比很高，足够日常需要了。屏幕显示效果很好，系统流畅。买的256G版本，存储也不担心啦。京东送货特别快，很满意。好评。
祺***鸢,star5,物流还算快，物品完好无损，新买的就是香，买的蓝色的，挺耐看的，质感也很不错，拿手上挺轻薄的，但不能太久，太久也累的，摄像机也提高了，运行很流畅，我的第一代iPadAir可以光荣退休了，乘着活动买还是划算的，又是旗舰店，买的安心些。
九***风,star5,"买的天蓝色的，高级感绝了，女儿特别喜欢，铝合金边框，尽显苹果系列特色。屏幕效果:10.9英寸全面屏,分辨率高，具备全面性能，镜面效果逼真，令您赏心悦目。运行速度: A14仿生芯片流畅度高，孩子学习，观看电影，浏览新闻，游戏娱乐，功能强大，尽显流畅本色。轻薄程度:拿着顺手，放桌美观，触感好、很轻薄，深灰色、大众化，镜贴膜、体验好。其他特色: WiFi 版，操作简易;触控 ID ，人性化的设计;摄像头前后设置，秉持一贯风格。"
l***e,star3,换个货需要10多天，幸好这次没问题
c***y,star5,孩子上网课老款iPad越来越卡，用了十年了。终于给宝宝换个新款。果断最新款iPadair4。非常的好用。外观精致。做工细腻。指纹识别开机，typec接口。待机时间长，显示精美，细腻。真的非常好，超出想象的漂亮。宝宝可以继续用到高中毕业。iPad真是最能打的平板电脑。耐用，皮实，好用。支持京东支持苹果。
秋***6,star5,外观材质：苹果的品控是最好的，材质非常好，毫无瑕疵！屏幕效果：显示亮度很好，比上一代提升很多！运行速度：简直不能太快了，买给儿子画画用的，他非常满意！轻薄程度：很好，极致的人体工程学设计！其他特色：物流也很快，包装严实，很满意的购物体验！
大***1,star5,外观材质：外观很漂亮材质也很不错屏幕效果：60hz的刷新率低了运行速度：A14芯片运行速度超级快轻薄程度：很轻薄外出带着很方便其他特色：平板收到了，很轻薄外观很好看，A14芯片运行速度超级棒，最不好的就是刷新率太低了，60hz玩游戏不是很好，两台对比一下，iPadpro11强更多，苹果有些坑，画图，简单办公用还是很实用的，64G够用了，又不玩游戏，平时娱乐用，大家觉得可以接受就能下单。
E***r,star5,外观材质：金属屏幕效果：顶级效果运行速度：A14仿生轻薄程度：很薄
灵***帅,star5,屏幕效果：苹果不管手机还是平板，视网膜显示屏素质都是一流，分辨率位于2K和1080p中间 刚刚好运行速度：苹果的处理器永远都是处于第一梯队，强化版A14，比手机略强，日常操作顺畅无比轻薄程度：非常薄，比之前2017的iPad薄了1.4mm左右，手感拿着非常棒，丝毫没感觉到有四百多克重其他特色：体验下来就是上个平板撑了四年，相信这次平板可以陪我度过下个五年，信赖苹果系统
陈***州,star5,这款iPad非常的轻薄，买来用来办公的。记录笔记非常的方便，银灰色的外观，非常的高大上系统反应速度很快，是性价比非常高的一款产品。用来办公和学习都是非常合适的。京东的物流非常的快，第二天就到了。
j***n,star5,iPad Air就是给力，a14仿生芯片处理图像、视频、办公文字毫无压力，足够使用。10.9寸视网膜屏幕触控操作快速精准，USBc接口传输文件十分方便，音效，待机时间都非常满意。
l***2,star5,刚上双十一活动剁手的，10.9英寸大小刚刚好，重量也特别适合，画质什么的更是没的说，特别好！大促期间京东物流一样的快，感谢京东，比线下购物方便多了，已经用了几天，质感手感特别爽！
G***g,star5,太香了，一直都用苹果，主要还是因为流畅不卡顿，而且习惯了之后，也比较顺手，非常舒服，而且618抢的比较便宜，深得我心，还送了耳机，编程课，电话卡，人生苦短何妨一试呢
昨***丶,star5,外观材质：外观太新颖，老款机器iPad4换代了，直接看中了性价比Air。比以前的老机器材质好多了。屏幕效果：屏幕像素很清晰，无论看电影或者拍照，色彩度真舒服～真香～运行速度：运行速度非常快，内存我买的256G，爽歪歪，旧的iPad4内存16G。用不了一下就满了，游戏都不敢玩。轻薄程度：非常薄，也不重。晚上看剧或者玩游戏不会像之前那样手都举酸了。其他特色：总体来说这款性价比不错。希望这一台也可以用个7-8上十年。
言***y,star5,外观材质：很漂亮，和pro一样屏幕效果：比较满意，和2018pro差不多运行速度：很快，特别快轻薄程度：不错其他特色：平板电脑还是苹果不建议买2018pro，这个还没用，目前不清楚，应该和2018 差不多，期待能用久一点吧
蓝***飞,star5,很好很不错，挺好的挺不错的，屏幕质感很强，画质清晰没话说，色彩还原度很舒服，非常喜欢，性能也是超级赞，手机可以不用苹果，但是平板还是没得选，同价位性价比无敌，不得不爱，京东也是相当给力，大爱京东，快递无敌
_***年,star5,屏幕效果：比较清晰，看直播的小伙伴嘎嘎舒服运行速度：对于咱们正常使用完全没有任何问题轻薄程度：外形更加美观，比较薄手感极佳其他特色：指纹解锁，玩羊了个羊极为的流畅
罗***4,star5,平板终于到手啦！研究很久，钟意这款。大小合适，放在包里真合适。音质很好，听音乐很清晰，很立体。内存足足的，看电影看小说，完全没压力！锁屏键还带指纹的，识别灵敏，值得买！
j***r,star5,外观材质：蓝色的外观，很漂亮屏幕效果：10.9寸视网膜屏幕，跟a4纸差不多大了，拍照，看视频特别清晰，分辨率高，很棒。轻薄程度：非常轻薄，携带方便运行速度：运行流畅，反应灵敏，满意！
跳***崽,star5,以前从京东上买手机?，质量一直不错，还实惠，正好ipad 用了10年实在没发用，双十一活动就买了，粉色非常好看，和我的手机是一个颜色的，屏幕也清晰，因为还没贴膜就没把上面的膜去掉，拍的有点模糊，喇叭?效果太给力的，立体感超好，玩游戏很带感！电量也很足，用好几个小时才掉一点，运行也很快，会好好用的！
M***Y,star5,外观材质：外观时尚，是我喜欢的颜色！运行速度：运行流畅，玩游戏看视频无卡顿！轻薄程度：没有传统的厚实感，轻薄且方便携带！目前体验感非常好，大大提升了工作之余的生活质量！
J***m,star5,外观材质：直边给人一种规矩的感觉屏幕效果：2360x1640的屏幕显示很清晰运行速度：配上首发A14芯片，很多专业软件使用起来都非常顺手！轻薄程度：极其轻薄这段时间使用下来，感觉可以胜任很多笔记本可以的办公需要！
d***y,star5,说实话，家里也有一款iPad已经有五六年了，但一看到这款就忍不住下手了～天蓝色是我的最爱，屏幕超级清晰，画质很高。上下各有两个喇叭，声音也很大，侧面还有一个供pencil充电的磁吸。最值得赞的是，接口也不是以前苹果惯用的lighting接口，用的USB-C接口，就是现在通用的TYPE-C的接口，至少以后也不用带几个充电器了。总而言之，爱，很爱，超级爱！
j***K,star3,一般般了嘛呢嘛呢嘛呢
南***往,star5,非常好用的平板，没有home键更简洁。type-c的数据线充电口更方便，以后出差旅行只需携带一type c线全部完美解决屏幕效果：非常清晰运行速度：非常快，感觉不到卡顿。轻薄程度：非常的轻薄，安上保护套以后感觉机器重了点（保护套有点重了）。外观材质：上了保护套了设计的再好也感觉不出来了（舍不得裸奔）但愿不会掉漆。
g***o,star5,此款做工精细，屏幕清晰，处理图像，视频，办公操作毫无压力，对于普通操作运行速度流畅，立体音效有质感，非常适合学习和看电视。
好***旺,star5,京东自营商品值得信赖，下单速度快，质量好，全新未拆封，配件齐全，收到货后检测并激活，质量没的说，设备非常快，比老平板有了质的飞跃。屏幕反应很快清晰鲜艳，电池非常耐用，做笔记和日常娱乐都非常棒??，活动价格用了优惠券还便宜了不少钱，真是太实惠了。附赠的耳机非常好，蓝牙链接，既方便音质又好。
A***信,star5,外观材质：金属质感，手感很棒，一如既往滴舒服屏幕效果：屏幕虽然没有120Hz高刷，但是也蛮可以的，看着也很舒服，手感也不错运行速度：运行速度流畅，无卡顿现象轻薄程度：很薄，很小巧，很强
灰***郎,star5,真好啊 这个iPadAir2020款的 蓝色真漂亮 爱了爱了运行速度快 秒杀一切 玩游戏 看电影 追剧 学习网课必备啊 速度入手吧 给小朋友学习用哈哈 别人回头涨价了 真好 牛气冲天?????????? 感谢京东 让我第二天就收到了货了 辛苦了！2??0??2??1?????
天***人,star5,学习神器，256的空间足够挺好几年，配上笔可以吸附在旁边充电，记笔记啥的很方便。蓝色自认为是最好看的颜色，直男审美。休闲时，追剧，看直播，刷抖音，看漫画体验都不错。总体物有所值。
j***2,star5,苹果的这款平板电脑，10.9英寸视网膜全面屏显示高清细腻，操作系统非常顺滑流畅， A14芯片功能强大，手写笔套装超级实用，物流送货速度快，小哥服务态度很好，相信京东，好评！
j***2,star5,家里有一台iPad mini2已经七八年了，给孩子上个网课卡的不行，还是32g的，内存很容易就满了，刚好有活动，就换了一个大尺寸的iPad air4，选了个最大内存，256g的一步到位，再也不担心内存满的问题了，物流发货很快，第二天就到了，运行很流畅，a14仿生芯片真的很厉害。
蓝***鸿,star5,从13年的第一代ipad mini到现在已经很吃力了，很多app也不能下载了，必须换一台了。现在ipad Air性能简直值的飞跃，一分钱一分货，分屏功能，手写功能，超级实用，电池容量也大。不管游戏，办公还是学习，值得推荐！
瑞***n,star5,哇这平板颜值是真的不错呀，拿到手的瞬间真的是感觉买的超级划算，给人一种高大上的感觉，无论是外观还是内存都让我很满意，是一次很愉快的购物。外观材质：很棒屏幕效果：不错运行速度：非常快轻薄程度：薄
邹***邹,star5,使用感受非常不错，价格也还OK，用来学习比较便捷，比笔记本要轻很多，无纸化学习我来啦！但是容易玩游戏上瘾，哈哈，需要锻炼自己的自控力
c***3,star5,快递包装完好无损，送货速度很快！现在家里的电子产品全是在京东购买，质量有保证售后服务更好！这个平板种草很久了收到后没让我失望，外观大气上档次蓝色的非常漂亮。屏幕显示细腻，运行速度很快！每个方面都很满意！
j***X,star5,品质保证，质量保证。京东商城购平板就是放心，原装未拆封，配件齐全原装正品保证。做工精细无瑕疵。开机灵敏无异常，程序游戏无卡顿延迟现象发生。屏幕无亮点，无漏光。轻薄。一句话放心的网购。愉快的网购，没有出现有些评论里的那些问题。物流超快。五星好评，京东商城购物就是放心五星好评！
卜***塔,star5,很喜欢苹果的产品，买来玩游戏的，颜值高，质量超棒??，拍照也很清晰，不喜欢自带美颜，觉得太假，苹果拍得照片很自然很好！物流也很快！
娇***晨,star5,太空灰很漂亮，很高大上，开始纠结绿色和蓝色，可是没有抢到，最后买了灰色，收到货以后很是惊喜，包装很好，就是稍微膜上有点灰，不影响，速速很快，屏幕也是很清楚，好评
j***v,star5,不错，很好的平板电脑。我所有的平板电脑一直用苹果品牌。用很多年一直如当初流畅。外观材质：很好看，有当年4s在手的感觉。拿起它有点想把11换十二了。屏幕效果：显示效果也非常不错。运行速度：速度非常流畅，加上14 处理器，应该可以坚持几年了。因为我运行的软件要求有点高。
