https://item.jd.com/100014352499.html,AppleiPad（第九代） ,100014352499,0.888kg,中国大陆,64GB,支持专用键盘,其他,iPadOS,7.1-9mm,10.2英寸,其他,A13,2160*1620,不支持IPv6,指纹识别,灰色
用户名,评分,评论
不***纬,star5,从读研究生开始，心心念念了许多年，一直到现在毕业两年后，终于买了第一台ipad。首先作为京东资深用户，第一选择就是在京东购买，快并且有保障。第一次用ipad第一感受就是非常丝滑，屏幕效果很舒服，运行速度也很快，并且不带保护壳机身手感非常好。希望可以在体验更久之后再来追评！
k***i,star5,买来给小朋友上课用的，流畅易用容量大是优先考虑的事情，ipad的流畅性是毋庸置疑的，易用交互方面也是没得说，容量大就是256，这个还是很有必要的
自***c,star5,外观材质：真的很舒服，看起来很不错屏幕效果：真的可以，果然苹果还是不一样运行速度：很快，几乎不卡顿轻薄程度：很轻，用起来真的很舒服，也不重，很轻薄。其他特色：京东物流真的超级快，而且服务也很不错。如果下次还买的话，还会选择京东。
小***0,star5,系统流畅，教育优惠很划算。包装完好，价格划算，性价比高。很好用，买给弟弟的，他用来学习很方便，也完全够用，他非常喜欢。
低***氏,star5,买来做笔记，因为之前做纸质版笔记，太多了复习起来很麻烦，电子版做笔记又好看又方便。之前没用过苹果，手机也没用过，都是用安卓和win，开始不是很适应，激活花了点时间，但是客服很耐心的帮我解答。习惯适应下就可以上手。
j***b,star5,用时不到半小时就选中下单了，当天10点下单，晚上5点就送到了，物流棒棒哒，好东西当天就用起来啦，非常满意，小朋友这个暑假的兴趣课程都已经学起来啦。
p***n,star5,老iPad活了五年就挂了，质量越来越水，及时给老人续上最低配新iPad，玩玩微信，看看视频，容量偏小，勉强够用，实体按键也习惯了。
久***年,star5,"外观村西：现在来恰大家分享一下我的他用微学。首先，这款iPad的s外火设计非灣简約大方，采用了经加的得合金机号，手般非：常含道，而卫五量也不算太重在手里很品，不会牌到器。所市大小为10.2美寸，分沙冰也非省清晰，色彩鲜色，火看视顺和元游火都非第含道。其次，这款Pady啦我t北-生色，塔我了生芯片，运行連度非常快，打开成用和义用都非海流畅，而且还文1Apple PencilAnSmart Keyboard，可以满足不同用户的需水。最后，这款iPadosu说力也非第跟大，可以文持长时问的使用，不用担心电量不足的向题。总的来说，这款2021年款1Apple iPad（第9代）10.2资寸平饭电购，64GB版本09，次非汽值得购头的平板电脑，外观设计简约大方，1619,非常通合用来办公、学三和欢乐。如果你正在号找一款高性价比的"
雲***璠,star5,外观材质：外观很时尚材质是金属外壳看起来很好看。摸着也舒服。屏幕效果：屏幕效果很好，看着眼睛也不会痛。运行速度：运行速度很快相比，于国产的其他平板运行速度快了很多。
-***-,star5,外观材质：非常不错，买的深灰很有质感，没啥问题显卡效果：看电视，玩点简单的游戏，体验都很不错，喜欢电脑性能：不玩大型游戏，不会卡顿，总体来说满意，在家追剧，代替手机，挺好的，官网买放心一些
