原始爬虫数据,,预处理数据,,,,,相关信息,,,商品评价,,,,,,,,,
产品链接,产品名称,购买链接,产品名称,产品简介,产品详情,产品图片,,,,,,,,,,,,,
https://item.jd.com/100064060629.html,"['京鲜生新疆克瑞森', '100064060629', '2.36kg', '新疆', '红提', '云南', '冷藏', '国产']",https://item.jd.com/100064060629.html,京鲜生 国产克瑞森 无籽红提 精品2kg原框装 新鲜水果,"品牌： 京鲜生
商品名称：京鲜生克瑞森
商品编号：100064060629
商品毛重：2.36kg
商品产地：云南
品种：红提
原产地：云南
贮存条件：冷藏
国产/进口：国产","主体
总净含量
2kg
包装清单
无籽红提 精品2kg原框装",,"1、生鲜“优鲜赔”绿色通道

“优鲜赔”服务是为魔镜等级S2及以上的京东优质客户提供的售后特色服务，符合条件的生鲜自营订单商品有破损或腐坏等问题，可以在商品签收后48小时内提交“优鲜赔”申请，提交申请后100分钟内审核通过后即享补偿或退款，无需返回商品，为客户节省了返回商品的物流等待时间和收货检测的处理时间（非鲜活易腐类商品除外）。 客户魔镜等级查询链接
2、专业生鲜客服团队—让您售后无忧

微信在线客服：JD-fresh
京东生鲜客服电话：400-606-3311
服务时间：09:00-24:00
生鲜商品售后政策

注：因厂家会在没有任何提前通知的情况下更改产品包装、产地或者一些附件，京东生鲜不能确保客户收到的货物与商城图片、产地、附件说明完全一致。只能确保为原厂正货！并且保证与当时市场上同样主流新品一致。若京东生鲜没有及时更新，请大家谅解！
权利声明：
京东上的所有商品信息、客户评价、商品咨询、网友讨论等内容，是京东重要的经营资源，未经许可，禁止非法转载使用。
注：本站商品信息均来自于合作方，其真实性、准确性和合法性由信息拥有者（合作方）负责。本站不提供任何保证，并不承担任何法律责任。

价格说明：

京东价：京东价为商品的销售价，是您最终决定是否购买商品的依据。
划线价：商品展示的划横线价格为参考价，并非原价，该价格可能是品牌专柜标价、商品吊牌价或由品牌供应商提供的正品零售价（如厂商指导价、建议零售价等）或其他真实有依据的价格；由于地区、时间的差异性和市场行情波动，品牌专柜标价、商品吊牌价等可能会与您购物时展示的不一致，该价格仅供您参考。
折扣：如无特殊说明，折扣指销售商在原价、或划线价（如品牌专柜标价、商品吊牌价、厂商指导价、厂商建议零售价）等某一价格基础上计算出的优惠比例或优惠金额；如有疑问，您可在购买前联系销售商进行咨询。
异常问题：商品促销信息以商品详情页“促销”栏中的信息为准；商品的具体售价以订单结算页价格为准；如您发现活动商品售价或促销信息有异常，建议购买前先联系销售商咨询。",,,,,,,,,,,,
https://item.jd.com/100011740796.html,"['京鲜生甜瓜', '100011740796', '1.6kg', '山东', '羊角蜜', '香瓜/甜瓜', '冷藏', '国产']",https://item.jd.com/100011740796.html,京鲜生 羊角蜜甜瓜 1.5kg装 单果400g起 生鲜水果,"品牌： 京鲜生
商品名称：京鲜生甜瓜
商品编号：100011740796
商品毛重：1.6kg
商品产地：山东
品种：羊角蜜
类别：香瓜/甜瓜
贮存条件：冷藏
国产/进口：国产","主体
总净含量
1.5kg
包装清单
羊角蜜甜瓜1.5kg装
",,,,,,,,,,,,,,
https://item.jd.com/4746476.html,"['京鲜生进口红玫瑰苹果', '4746476', '2.1kg', '新西兰', '皇后', '75mm-79mm', '控温', '进口']",https://item.jd.com/4746476.html, 京鲜生新西兰皇后红玫瑰苹果 特级12粒礼盒装 单果重130-170g,"品牌： 京鲜生
商品名称：京鲜生进口红玫瑰苹果
商品编号：4746476
商品毛重：2.1kg
商品产地：新西兰
品种：皇后
单果果径：75mm-79mm
贮存条件：控温
国产/进口：进口","主体
总净含量
1.5kg
包装清单
新西兰进口皇后红玫瑰苹果 特级果12粒礼盒装",,,,,,,,,,,,,,
https://item.jd.com/100000769111.html,"['京鲜生云南人参果 1kg装', '100000769111', '1.1kg', '云南、甘肃', '人参果', '冷藏', '国产']",https://item.jd.com/100000769111.html,京鲜生 人参果 1kg装 单果50g起 生鲜水果,"品牌： 京鲜生
商品名称：京鲜生云南人参果 1kg装
商品编号：100000769111
商品毛重：1.1kg
商品产地：云南、甘肃
类别：人参果
贮存条件：冷藏
国产/进口：国产","主体
总净含量
1kg
包装清单
云南人参果 1kg装",,,,,,,,,,,,,,
https://item.jd.com/3042415.html,"['京鲜生椰青', '3042415', '2.31kg', '泰国', '大果（900g起）', '椰青', '香水椰', '冷藏', '进口']",https://item.jd.com/3042415.html,京鲜生 泰国进口椰青 2个装 大果 单果900g+ 赠开椰器和吸管 新鲜水果,"品牌： 京鲜生
商品名称：京鲜生椰青
商品编号：3042415
商品毛重：2.31kg
商品产地：泰国
单果规格：大果（900g起）
种类：椰青
品种：香水椰
贮存条件：冷藏
国产/进口：进口","主体
总净含量
1.8kg
数量
2个
包装清单
泰国椰青2个",,,,,,,,,,,,,,
https://item.jd.com/5383292.html,"['京鲜生火龙果', '5383292', '1.65kg', '越南', '红心果', '冷藏', '进口']",https://item.jd.com/5383292.html,京鲜生越南进口红心火龙果 4个装 中果 单果300g以上 生鲜水果,"品牌： 京鲜生
商品名称：京鲜生火龙果
商品编号：5383292
商品毛重：1.65kg
商品产地：越南
种类：红心果
贮存条件：冷藏
国产/进口：进口","主体
总净含量
1.32kg
包装清单
越南红心火龙果 4粒装 x1",,,,,,,,,,,,,,
https://item.jd.com/6223237.html,"['京鲜生山竹', '6223237', '1.6kg', '泰国', '油竹', '冷藏', '5A', '泰国']",https://item.jd.com/6223237.html,京鲜生 泰国山竹 进口山竹 5A级大果 净重1.5kg 单果80-110g,"品牌： 京鲜生
商品名称：京鲜生山竹
商品编号：6223237
商品毛重：1.6kg
商品产地：泰国
种类：油竹
贮存条件：冷藏
等级：5A
原产地：泰国","主体
总净含量
1.5kg
包装清单
山竹净重1.5kg",,,,,,,,,,,,,,
https://item.jd.com/4225568.html,"['京觅千禧圣女果1000g', '4225568', '1.5kg', '海南陵水', '圣女果', '国产']",https://item.jd.com/4225568.html,京鲜生 千禧圣女果 小西红柿 樱桃番茄 约1.5kg 水果礼盒 生鲜水果,"品牌： 京鲜生
商品名称：京觅千禧圣女果1000g
商品编号：4225568
商品毛重：1.5kg
商品产地：海南陵水
类别：圣女果
国产/进口：国产","主体
总净含量
1.5kg
包装清单
千禧圣女果1500g",,,,,,,,,,,,,,
https://item.jd.com/5254604.html,"['佳沛佳沛阳光金果 12个装', '5254604', '1.85kg', '新西兰', '阳光金果', '冷藏', '进口']",https://item.jd.com/5254604.html,佳沛（zespri）新西兰阳光金奇异果12粒礼盒 特大果 单果约120-145g 生鲜水果,"品牌： 佳沛（zespri）
商品名称：佳沛佳沛阳光金果 12个装
商品编号：5254604
商品毛重：1.85kg
商品产地：新西兰
品种：阳光金果
国产/进口：进口
贮存条件：冷藏
原产地：新西兰
","主体
总净含量
1.44kg
包装清单
Zespri佳沛新西兰阳光金奇异果12粒礼盒 特大果 单果约120-145g 生鲜水果",,,,,,,,,,,,,,
https://item.jd.com/100002445994.html,"['京鲜生玫珑网纹蜜瓜', '100002445994', '5.0kg', '山东', '哈密瓜', '蜜瓜', '冷藏', '国产']",https://item.jd.com/100002445994.html,京鲜生 网纹蜜瓜 玫珑蜜瓜 5kg起 4-6粒装 生鲜水果,"品牌： 京鲜生
商品名称：京鲜生玫珑网纹蜜瓜
商品编号：100002445994
商品毛重：5.0kg
商品产地：山东
品种：哈密瓜
类别：蜜瓜
贮存条件：冷藏
国产/进口：国产","主体
总净含量
5kg
包装清单
网纹蜜瓜 5kg",,,,,,,,,,,,,,
