https://item.jd.com/100027993347.html,"['卡萨帝K75E18', '100027993347', '44.8kg', '中国大陆', '70-77英寸', '艺术电视，适老电视，K歌电视，开机无广告电视，游戏电视', '3840*2160', '3.5-4m', '否', '三级能效', '人工智能语音', '无摄像头', '120Hz']"
用户名,评分,评论
5***6,star5,很适合家里的装修，物廉价美 爱了，很赞很满意值得推荐还在犹豫的朋友们可以下手了，操作简单，感觉速度挺快，第二天就收到了，很快，都以为很贵，很开心的一次购物，产品外观漂亮，整体造型非常好看，不错的品牌，这次购物很成功，各种小细节做的很到位，家里面积小可以用到，容量大小真好，东西很不错，调节也很简单老人家也会用，操作简单，按键灵敏
3***7,star5,我很满意亲爱的，品质在那，也没什么更多可说的，正品保障，售后服务好，满意极了，下单一天就收到了，产品质量超好，包装完整，发货速度快，非常满意，反正一样的东西，当然价格低一些比较好呀，尺寸合适 价格实惠，耗电量低，简洁大方，轻奢风，态度很热情，质量非常好，功能强大，发货迅速态度很好，一如既往的好，还会再来，值得肯定，非常好，很喜欢这个风格，东西不错
2***5,star5,"买到就是赚到，令人放心，给老人耐心的讲解了如何操作，性价比无敌，买了没有后悔，非常满意的一次购物，可以放心下单，网上下单挺方便，果断下单买了，这个尺寸不占空间，各种活动优惠后也到位，操控灵敏，特别方便，纸壳箱结实完好，产品也很好用，物流很快,搬运服务到位，找到你心中的宝藏是一件非常幸福的事情，物超所值，真的很值得购买，颜色是家里人喜欢的，设计我也很中意"
j***d,star5,电视已收到安装师傅上门安装完毕，电视效果非常好，安装师傅水平也很棒，非常满意的一次购物，以后再买家电还会选卡萨帝，京东客服小妹人也非常好?，满意！
2***1,star5,大小刚刚好，颜色也好看，感谢京东赠送优惠券，服务好，是个好卖家，产品的发货和安装都特别快，老牌子值得信赖非常大，智能模式挺人性化，老板还给了小赠品，超级喜欢东西也喜，性价比超高，买了不后悔，服务好，质量有保证，做工精致，磨砂质感，感觉这个品牌挺好的，超出期望，试了试，效果不错，家里几口用着方便，很好看给人一种简洁大方的感觉
3***2,star5,送货上门，包装完美，对于小家庭来说非常棒，美观实用，杠杠滴！爱了爱了爱了，质量很好，下次还会再光顾，商品质量好而价低廉，安装很快，预约后第二天就来了，很舒适宝贝收到了挺不错的，很满意安装方便 操作简单，外观和大小都很满意，，看着挺好看的，没有噪音，非常棒，
4***9,star5,材质感人，做工很精细，我很满意，外形外观高贵大方，喜欢，好评，性价比高，值得购买的好商品，，几乎听不到什么声音，操作很简单便捷功能也很全面，迫不及待过来好评，外观大气，稳重，存放时间长，质量也不错到货也很快宝贝很好，深色磨砂很有质感，质量不错，物流也很快啊，质量真的超好！穿上很舒服，官方正品，外观设计有特点，效果不错，物流太快了吧
2***6,star5,很满意的一次购物，商家服务好，发货神速，物流也很给力，宝贝收到后非常喜欢，买得放心，用得安心实用性和颜值都非常的赞，我很喜欢，还会再来买的
j***p,star5,电视收到，中间出现很多小插曲，但现在都解决了，电视很好，现在买电器都选择卡萨帝这个品牌了
d***b,star5,显示效果 很好 售后服务很极速 这个支架 很有美感 亮度也是不错的
龙***L,star5,电视非常好，音效非常好，物超所值，真的很喜欢
2***5,star5,东西很好，物美价廉，经济实惠，物流速度快，售后服务到位，服务好
1***3,star5,跟描述的是一样的，很显高档，物美价廉，要买的朋友可以下单噢！
u***j,star5,收到电视机了，很满意，电视机很大气，很喜欢，好评???
3***4,star5,很大程度上提高了使用方法和技巧，很喜欢的东西
5***8,star5,外形外观：外形真的很高端，尤其是脚架好像燕子一样漂亮????运行速度：运行很流畅???屏幕音效：用的是雅马哈音响，音质很棒～???
3***6,star5,材质感人，做工很精细，我很满意，外形外观高贵大方，喜欢，好评，性价比高，值得购买的好商品，，几乎听不到什么声音，操作很简单便捷功能也很全面，迫不及待过来好评，外观大气，稳重，存放时间长，质量也不错到货也很快宝贝很好，深色磨砂很有质感，质量不错，物流也很快啊，质量真的超好！穿上很舒服，官方正品，外观设计有特点，效果不错，物流太快了吧
j***y,star5,非常的好，质感，观感都很好，推荐大家购买，游戏效果很期待等手柄到了
5***8,star5,外形外观：看上去非常高端大气～?运行速度：运行流畅，YYDS???屏幕音效：雅马哈音箱绝绝子哦????尺寸大小：65寸很适合家庭的空间～看着很舒服?
1***0,star5,种草这款电视很久了、6.18下手超合适、电视很有质感画面清晰、送货安装都很及时、京东就是快、拍照没用拍出来效果、实际颜值很高
陪***主,star5,超级喜欢卡萨帝的产品，真心地好，在图片上看不出，我是去商场看的，看好了才来京东买的，雅马哈音响效果那叫一个好，性价比很高
X***8,star5,海尔卡萨帝电视高端、大气、上档次，安装专业服务好。
i***I,star5,一直就对这款电视机情有独钟，出了一点小插曲，但是客服售后态度很好，服务很好，会一直选择卡萨帝。
i***I,star5,电视机安装完毕，机身很漂亮，很轻薄，会推荐。
3***8,star5,大厂家，送货？服务！外观设计非常好看，上网运行速速度很快，色彩鲜艳夺目非常好看，音质效果非常棒，用它听歌非常爽，非常喜欢，非常满意！
3***4,star5,送货很快，服务很好很专业。而且到了就过来安装了，大品牌就是不一样。银色的边框搭配前置音响很大气，清晰度很高，反应挺灵敏的，反应速度又快65寸够大了。
4***8,star5,卡萨帝的电视非常大气，65寸大小合适，机身非常的薄，边缘是弧形的非常的光滑，带有外置音响，设计非常好看，屏幕非常清晰，运行速度非常快，买的太划算了，超级喜欢这款，推荐给大家！
3***8,star5,客服的服务也很好，放起来也很便捷，质量好物流快，售后服务态度好，用的也放心，买之前看过朋友家的，操作方便价比高，送货的师傅很负责任，也很小心，功能强大，细节完美，合作愉快，质量不错，棒棒的，京东真是厉害了，真棒，优秀的京东物流服务，卖家非常守信用，发货及时，派送快！5颗星赞，真的很爽心大气，震撼效果。很满意，
5***0,star5,很成功的一次网购，即实用又美观，是一次愉快的网购，家里着急用，最快的速度发货的，物流很贴心，配送上门，京东真便宜，店已经收藏了很久，第一次买，安装的师傅很专业，态度也很亲切，很有档次，质量不错，非常好用很满意，，主要还是品牌，产品非常静音，师傅尽责，服务贴心，不要犹豫了很好的卖家，很棒，颜色很简约 做工精细，老牌子值得信赖非常大，
股***机,star5,性价比非常高的一款电视机，外观设计时尚，总体来说很满意！
4***1,star5,买了很多东西.都非常满意。很好的卖家！我会常来的！和实物基本上没有什么差异。
5***8,star5,外形外观：一体成型，看起来很漂亮，没有分割感，像个电影院一样运行速度：挺快的屏幕音效：音质很好，没有爆音的现象出现尺寸大小：65寸，挺大的了功能效果：效果很好，色彩很出众
3***5,star5,电视外观大气漂亮，质量不错，屏幕清晰度高，音效好，试机运行正常，最赞京东物流，送货超快。
2***8,star5,不错，我一惯支持，强烈推荐的，京东送货快很不错，非常好，超乎你想象，和商家介绍的一样，性价比很高的一款机子，安装用心，安装师傅专业，会推荐家人朋友在京东购物，足不出户就能买到心怡的物品，安装师傅服务超赞，使用方便不错，使用简单效果不错，如果活动更多一些就好了，节能省电，一直开着的，外观非常好看，效果非常好，
n***3,star5,外形外观：大气，运行速度：速度快，屏幕音效：太棒了
3***6,star5,东西很好很喜欢，质量很好，配送很快，服务态度很好，还会继续支持京东
3***8,star5,非常满意?，材质做工非常好，而且百搭，手感也很棒，非常nice，实用性非常强，赞?
6***9,star5,877777，师傅很专业，妈妈很满意，性价比很高的一款，好评，功能齐全，外观简约大气，省电、好用、节省空间，实物很漂亮，感觉非常的实用呢，适合咱们家用，一直想买这个，性价比高，活动价格实惠，很不错很不错，产品包装很好，开箱完好无损，简洁漂亮，很搭配家里风格，外观没有什么变化，效率很高，哈哈哈哈挺好的，操作简单，
j***w,star5,电视很好，配着空调买的，安装人员也很好
3***4,star5,很大程度上提高了使用方法和技巧，很喜欢的东西
1***8,star5,高端大气上档次   运行够快屏幕清晰音质好
2***8,star5,其他就是感谢店家打折送券活动，性价比：很高哦，女朋友也很喜欢，配送安装服务也很快，收到后也没有让我失望，服务非常好的，外地比别的品牌重，又大气，整体很棒 用起来舒服，2086，服务态度很好  很喜欢，节能省电满意，非常好！质量好，送货小哥哥很负责，给小哥哥点赞，比较百搭。用着放心，特别好，做工精美漂亮大方 ，是可以信赖的好店家，100个辣椒，
2***5,star5,东西很好，物美价廉，经济实惠，物流速度快，售后服务到位，服务好
3***8,star5,在这个价位很不错了，机身惊艳我了，很美观，很多细节注意事项交代很清楚777，全家都很满意，性价比高，颜值也不错，一如既往的好果然没有失望，操作简单方便上手快，安装师傅非常热情、服务态度很好，服务也不错，给好评一个，我先试试看，质量真不错 中国制造 世界第一，人很热情，机器颜值也很高，是我喜欢的！配送很快哦，评到所有人都看到为止，物流很快 服务很赞，
2***8,star5,省事，愿京东越办越红，亲戚朋友都说好，试了一下 很好用上档次，性价比很高操作便捷，非常好呀，物美价廉，使用方便便捷，上门安装的师傅服务也很好，京东上搞活动购买的超级划算，外观时尚颜色好看节省空间，一如既往的好果然没有失望，器很好，服务服务非常满意，品质优越，细节完美，值得购买，质量也不错，很喜欢，包装太严密太好了，产品质量很棒 赞，京东速度就是快，
j***a,star5,满意的一次购物，装好宽带马上试看体验了一下，效果清晰，音响也很棒，京东值得信赖。
4***8,star5,商品质量很好，很满意，配送速度快啊，而且配送员态度也非常好。
3***5,star5,实物超乎预料很满意，大牌子非常好，服务一流，东西的确很不错，颜色很好看内部空间挺大的，与卖家描述的完全一致，颜色没有色差，京东送货非常快，服务态度好满意，值得等待  值得信赖不愧为国产第一品牌，家里人很喜欢非常满意，大家都很喜欢赞，外形外观：很洋气 高大尚，可以安心的住下了，挺有档次的，外形外观美观大方，服务态度好，大品牌值得信赖，外观比较好看，总的来说完美，
小***道,star5,质量好，很喜欢，非常不错。
3***6,star5,服务很好，会介绍给朋友的，不止这个价啊，产品非常不错，34346，安装顺利，一会儿就安好了，试试看，效果很好，谢谢，五星好评，非常精致典雅高端大气上档次，赞，大品牌值得，信赖，整体太赏心悦目了，非常好，有质感，科技感、时尚感十足，预约安装服务很到位，看着就舒服外观漂亮，提前联系我送货时间，太贴心了，安装满意，送货满意，
3***4,star5,评到所有人都看到为止，结构合理 非常实用，很方便很简单，安装师傅很耐心，操作很容易 物流很快就到家了，客服服务态度极好，很有耐心、给人一种亲切感，好喜欢，用料厚实，颜色很正，物美价好，马上还再购买2台，产品很完美 家人很喜欢，性价比高已推荐给朋友，购物比实体店便宜多了，就是用来嘚瑟的，欢迎大家购买，值得每一个中国家庭拥有 很棒，这次没踩坑买对了还超值，快递迅速。安装师傅安装专业，
