https://item.jd.com/100033868798.html,"['海尔EYBW142286GGU1', '100033868798', '45.0kg', '中国大陆', '触控式', '前开式', '喷淋式', '嵌入式', '高温', '一级水效', '高温除菌，LED屏显，洗果蔬海鲜']"
用户名,评分,评论
不***粽,star5,到货了，还未有时间约安装。待安装好后再测试一下效果，再追加评论。外观看起来很不错，期待不错的使用体验。
长***岁,star5,外形外观：配色很大气，和橱柜颜色很搭清洁能力：三层喷淋臂洗的干净售后服务：售后靠谱，收到货就预约了安装时间物流速度：物流迅速，下单第二天就收到了，完好无损，靠谱！！！
碎***7,star5,洗碗机很好 安装也方便 物流也很快 下次还会再来。洗碗机很好 安装也很方便                           。
麻***9,star5,外形外观：很好看很时尚清洁能力：很强售后服务：预约安装很快，服务很好物流速度：飞快噪音程度：还可以洗涤容量：15套超大容量
傲***蛋,star5,海尔这款洗碗机，高端大气上档次，操作简单便捷，轻易上手，使用起来安全放心，总体来说，值得大家购买！999999999999
j***4,star5,放在厨房刚刚好，独衔两用很方便，终于要摆脱洗碗。海尔的电器家里买了很多，好用不贵，放心。外形经典耐看，里面空间很大，可以分层洗。
可***r,star5,宝贝心仪很久了，趁活动时候买真的太划算了，喜欢的不要犹豫啊。装修的时候就中意海尔这款洗碗机，跟热水器一起买的，科技感十足，外观也很好看，推荐！
柠***7,star5,值得购买的产品，做工非常精细，比想象中的好，推荐大家尝试，现在国产也崛起了，也不用买什么西门子了，样子也很好看，功能也多，安装也很快，这款顶盖可以拆卸的，尺寸更自由
u***a,star5,刚安装好，安装师傅工作超快，十几分钟就搞定了！按款式定做的橱柜，师傅说位置、电源、上下水都留得刚刚好，没有额外收费。
j***i,star5,精装交付的橱柜，改动太麻烦，还好有这款超窄洗碗机，严丝合缝，非常完美，洗的也很干净，师傅售后超给力，有问必答，反应迅速，给师傅点赞！
侠***5,star5,家里装修正好赶上京东618大促，心心念很久了的海尔洗碗机w30，网红产品，14套大容量超级能装，今天预约了上门安装，没什么特别的，就是拆开包装放上就好了，角阀下水管都是之前安好的。
恬***哥,star5,洗碗机颜值很高，黑色的面板显得大气，液晶显示屏非常高端，功能一目了然。三个喷淋臂，开门烘干，15套大容量非常符合我们家的使用需求。配送服务非常到位，好评！!!
S***0,star5,外形外观：和我的橱柜完美结合，拉丝显得高端清洁能力：还没使用，但是相信海尔的综合实力！！物流速度：说哪天发货就哪天发货，送货师傅态度也非常好洗涤容量：14套大容量，一家三口刚刚的够用
羊***c,star5,安装师傅非常专业，管线布置的干净整齐，这款洗碗机是朋友极力推荐的，颜值高，和厨房颜色非常搭，爱了爱了。
j***c,star5,早早就下单了洗碗机，因为要预留定制柜尺寸，实物非常好，严丝合缝嵌入橱柜。洗碗机也测试了，面板材质看起来很高档，非常满意！
低***理,star5,洗碗机独立安装还是很大块头的，但是洗碗机可以减轻洗碗压力，而且有宝宝的家庭可以消毒真的很有必要，附带的储物功能真的很不错。
j***t,star5,有这个真的可以解放双手。不买真的会后悔的。而且买了洗碗机后，老公也愿意动手帮忙了。真的会增进夫妻感情，哈哈。有了洗碗机以后，手手也可以受到保护了。洗碗消毒都一起了。真不错。外形外观：高端大气，上档次售后服务：态度很好清洁能力：洗得很干净
h***n,star3,收到货很久了，因为家里装修一直没搞好，还没有拆箱呢，期待安装好的效果！希望没有使用的问题，后面安装好会继续来追评的！！
i***哥,star5,外形外观：外观大气，看起来不错。清洁能力：第一次用的时候碗的位置没放太好，其它洗的挺干净。物流速度：物流速度配送挺快，提前联系收货时间，京东物流很给力。总体好评。
肖***戈,star5,以前一直都是在实体店买，这次选择了网上买，不光是正品，趁着活动价格还实惠！实物与描述的一样，质量相当好，卖家态度也好，有问必答，发货速度杠杠的，也第一时间安排了安装，大品牌值得购买哦，售后可以保证，产品质量，客服服务态度特别好，很喜欢，好评，图片刚安装上，还没有正式开始使用，试了机，等使用后再来追评使用体验
l***q,star5,颜值超级高！还有自动晾干功能，不错不错！安装师傅也很好，和橱柜完美契合、非常棒！这次装修大家电都在京东买的，可以延期发货，还能约时间送货！特别方便!
梦***落,star5,看了好多攻略最终选了这款，海尔大品牌有保障，趁618活动价格特别实惠。解放双手太方便了，洗得也很方便，还可以分层洗，开门烘干也比较节能
镇***城,star5,这款洗碗机小巧且实用，刚好符合我家柜台尺寸。宝贝收到后很满意，外形颜色也很喜欢，挑选好多家，果然没看错，希望把好物分享给大家??
不***儿,star5,非常喜欢这个45cm的宽度，很省空间，嵌入后也非常好看，在底部加了轮子，推进推出出方便。上下分区很人性化。发货送货快，总体好评！
m***8,star5,洗碗机终于安装了，尺寸完美，非常漂亮！！虽然安装过程有点插曲，不过都顺利解决了，海尔售后回复及时态度很好，最后测试也成功了，很满意！
开***q,star5,这款型号太火了，变频而且能耗低，下单后很快就送货了，店铺客服和平台客服有求必应，安装师傅响应迅速。帮忙解决了很多问题，家里厨卫一大半都是海尔的，希望海尔越做越好，
常***c,star5,物美价廉，很OK，比实体店优惠太多了。货真价实，高颜值，高品质，一分钱一分货，材质外观和质量一看就很上档次，非常喜欢???????????
小***妖,star5,洗碗机很好用，放在橱柜下边也不是很占地方，内里的容积很大，可以装很多东西，清洁能力也很强，可以洗碗，洗筷子，洗锅，很方便。
