https://item.jd.com/100016824457.html,"['海尔 CXW-219-E900C10SU1', '100016824457', '34.0kg', '中国大陆', '油烟机', '20-22m³/min', '51-55dB', '900±50mm', '≤340Pa', '一级能效', '侧吸式', '挥手感应，自清洁']"
用户名,评分,评论
W***驴,star5,外形外观：外观整洁大方排烟效果：效果好静音效果：声音不太小物流速度：物流是真快安装师傅人不错，各种合理安排，关键是不收费，买了不少电器了，没有一个是安装不收费的。
j***p,star5,大品牌，靠谱，很不错，漂亮，安装人员负责，专业，替业主考虑。。特别特别特别好，没有任何破损的地方，外观也好看，好评！发货速度很快，卖家服务也好，目前很满意很好的购买平台，质量不错，特别是有品牌的，值得信赖
m***9,star5,外形外观：外观很美。排烟效果：排烟效果挺好的静音效果：静音设计挺好的，没有什么噪音的清洗难度：目前新买的，不用清洗。这个外观好看，一体的也很好用，平时喜欢做饭，用这个合适
j***e,star5,颜值非常高哦，因为灶台还没有装起来，所以就没有去搞卫生，挥手感性用的比较少，手上油多应该用得到，我们还没开火，煮螺蛳粉的时候，吸烟很快，物美价廉的一款产品，冰箱也是买的海尔，热水器也是海尔！
菲***4,star5,家里电器买的都是海尔的，相信海尔大品牌，送货师傅很及时，安装师傅很细心，很专业，没有多收费用，很满意
云***2,star5,安上了，还没用，看着挺好的，京东大平台，发货快，送货到家，质量有保证，活动的时候入手，价格也合适，希望东西质量越来越好，服务越来越好，价格越来越便宜！
大***妹,star5,外形外观：漂亮大气，很好看，很先进可以手控调节，很方便物流速度：收货很快，安装人员很专业排烟效果：抽风可大可小
J***2,star5,挥手智控是个鸡肋功能，没有一点用处，反而增加麻烦，排烟效果很好，挥手智控是个鸡肋功能，没有一点用处，反而增加麻烦，排烟效果很好，挥手智控是个鸡肋功能，没有一点用处，反而增加麻烦，排烟效果很好，
j***8,star5,外形外观：黑晶玻璃面板， 高端大气上档次排烟效果：20立方大吸力，自动开合拢烟清洗难度：不沾油叶轮纳米涂层，好清洗
s***g,star5,老家之前用的双电机油烟机，用了没几年就不吸烟，而且噪音也很大，看中了海尔大品牌，到手安装后，吸烟效果杠杠滴
j***7,star5,外形外观：美观大方排烟效果：抽油烟效果杠杠的清洗难度：钢化玻璃，易清洗且有自动清洗物流速度：物流很棒，4天送到农村
m***j,star5,小巧，不占地，稍微有点噪音，声音有点大，不过吸力还成，可以满足家庭使用。外观还可以，比较大气，用料再高些更好，但是价格在这摆着，也只能这样了，可以接受吧
s***-,star5,油烟机吸力很大，很漂亮，安装师傅安装也很负责任，安装的很漂亮
j***H,star5,装好尝试了一下，感觉吸力也是可以的，总体也比较美观，显得高大上。物流速度也很快。
s***s,star5,油烟机很好，安装师傅非常专业热情，响应速度很快！
j***2,star5,安装师傅安装的特别好，干活特别仔细，送货师傅特别好，刚安好燃气灶油烟机还没用，外观好看
米***1,star5,吸力还是阔以的！大品牌值得信赖！！！！！！！！！！！！！性价比高
T***刚,star5,油烟机排烟效果很好，吸力很强，操作很方便，值得购买！
u***h,star5,油烟机和煤气灶都挺好的，物美价廉，非常适用。
g***7,star1,买了海尔一个冰箱，一个抽油烟机。其中不记得买什么有一个赠品，结果赠品没有送到。就没有任何解决信息了。京东和海尔都是这么搞得吗？
j***2,star5,很好用，挥手之间，就能开关，海尔大牌子，
J***2,star5,海尔这种款式的油烟机设计很好，用的时候会自动弹出来，关机的时候再收回去，很好清理，炒菜的时候闻不到一点味道，声音也不大，挥手功能再炒菜的时候很方便。
2***0,star5,使用起来很方便，外观高端大气上档次，火比较均匀，受热强，抽烟机效果很明显，
u***q,star5,喜欢，值得信赖的品牌，油烟机吸力大，煤气炉火力大，使用起来方便，外表好看，安装师傅很好，售后也很好，很方便。
j***q,star5,外观是我喜欢的大气时尚，有感应自动开启自动清洗功能！燃气灶火力也很猛
蓓***l,star5,多年老品牌，对海尔信任度很高。上半年活动买了冰箱，下半年活动买了油烟套装。使用便捷简单，到货速度快，安装也很及时，师傅主动联系，安装也很赞，操作流程标准。外形美观度很赞，看上去很有质感，非常棒。
c***_,star5,安装师傅非常专业，燃气灶抽油烟机很好看，就是燃气还没开通没办法测试，海尔品牌还是信得过的，家里大件这次换的都是海尔的，非常满意
A***_,star5,送货和安装都挺好的，也挺好看，质量也不错，安装很快，很专业，智能的也很方便。就是挥手功能有点鸡肋。头晃一下就启动了…..
玉***龙,star5,外形外观：很好看排烟效果：还没试 听安装师傅说挺好的静音效果：声音能接受噪音程度：没有杂音物流速度：物流很快  安装师傅特别好 还帮忙把挂画安装了一下
j***b,star5,颜值超高，这款油烟机我太喜欢了，侧吸一点不担心磕头，吸力也很大，挥手功能，wife联网超级智能，送货快安装师傅干活干净利落很专业，各种舒心，开心推荐购买，好评！
气***球,star5,真的太棒了，物超所值。这个价格买到这个材质的，真的很棒下次海尔大品牌值得信赖。其他的也都是海尔家电。真的不错。抽风给力。
j***v,star5,很智能很时尚的一款吸油烟机，活动买了，家人都觉得满意又划算，安装服务也周到细致，设计很好，吸力也大，应该可以减少油烟吸入人体吧。
u***n,star5,海尔这个品牌真的超级划算 价格实惠 质量不错 服务态度也非常好 安装师傅上门也是非常的认真 客服人员也非常热情的对待每个顾客
u***9,star5,样子美观，款式新颖，风力比较大，家人很喜欢，清洗自动很省劲性价比高
j***B,star5,趁着双十一买新家的家电，真是太划算了。这款抽油烟机和灶台套装颜值超高，火力大，适合家庭使用。下单后可以延迟发货这点太赞了，而且通知发货后第二天就配送到了，简直神速，安装师傅上门也特别快，整体来说是一次非常满意的购物。
v***g,star5,送货速度很快，跟师傅确定周六安装，安装的非常顺利，安装师傅态度很好，不到一个小时都安装好了，试用了一下也很满意，先烧一壶水试试
j***w,star1,抽油烟机装歪了，螺丝也没有上齐。
j***b,star5,海尔大品牌，质量很好有保障，京东自营是正品值得信赖，一次愉快的购物，下次还会来京东购买。
T***O,star5,选家电，还是得京东，快递，质量都是杠杠的，安装后测试，吸力大，使用方便
神***兔,star5,物美价廉，非常满意，安装师傅态度特别好，感觉吸力也不错，后期使用看看情况
流***手,star5,很不错的一油烟机和气灶套装，性价比超高，双十一活动前就下的订单，十一月一日付款，四天货送到家，货到家第二天师傅就上门安装，基本上没耽误什么时间，旧的烟灶上午还在用，下午就用新的了。海尔的服务很不错！
j***g,star5,家用电器都是用的海尔，这次又买的油烟机套装，质量很好，大品牌售后有保障
惠***店,star5,物超所值，全五星好评，质量很好，细节都做的很好，遇到问题立马就给解决了，希望还和以前一样，京东小哥哥很负责，送货也很快，前天下的单，昨天下午收到的，很可爱的样子，合适非常人性化，用了大概快一个礼拜了，感觉挺不错，质量不是吹的，家里的好多电器都是这个牌子的，物超所值，如果再来一次我还会选这家，趁着有活动就下单了，牛的一匹我真喜欢，值得推荐购买的，以后有需要继续买，使用之后才来评价的，很满意
s***0,star5,非常喜欢?这个科技感十足。
j***8,star5,质量俱佳，科技创新，一呼即用。特别是安装师傅态度很好，技术娴熟，服务热情，工作仔细。所谓服务人员中的标杆，典型。
u***v,star5,性价比高 质量好 安装迅速 服务态度好 非常满意
j***f,star5,质量非常好.款式新颖.安装列位.继续回购
G***y,star5,外形美观，吸力超强，遥控方便，非常实用！
j***m,star5,抽烟机质量很好，按的也很快，服务很到位，海尔的售后很好，以后就在家买了，现在家里的电器都是海尔品牌的
j***c,star5,京东送货很快，年前安装师傅很辛苦，厨房太窄不好挂上去。油烟机开机还不错，吸力足够应付炒菜了，长时间检测不到油烟还会自动降频，非常省电，挥手开关机，挥手调节风速很方便，油盒是整体很大，拆卸很方便！很满意看看后续情况再追评。
j***1,star5,货品已经收到，外观没有问题，快递小哥服务周到，很有礼貌
m***l,star5,安装上了还没用，外观挺不错的。物流很快还送货上门
j***u,star5,太智能了，吸力很强，这两天不停的炒菜，吸力很快，而且挥手自吸，很喜欢
无***1,star5,质量不错，送货及时，安装工人也很正规，各种收费标准很清楚。
j***Z,star5,外观漂亮，操作非常方便！吸力也很大，海尔电器真好！安装师傅非常专业！
j***B,star5,师傅安装得很快，风力很强劲，很好
z***g,star5,外形外观：美观大方，尺寸合适排烟效果：希望好用物流速度：物流很快
j***m,star5,安装师傅很负责，装完之后很满意，很满意的一次购物。安装师傅很专业，安装很快
孙***悦,star1,这种需要安装的东西，不建议网上采购，安装有门道
j***U,star5,抽油烟机很好，开关按键非常灵敏，挥手即开，非常好操作外形外观：大气漂亮物流速度：特别快
j***f,star5,质量很好.一下买了两台.安装师傅也非常到位
y***a,star5,噪音程度：声音还可以，感觉机器十分高大上，很喜欢！
幸***7,star5,海尔大牌产品，声音小，排烟迅速，必须给五星好评
北***i,star5,很好用吸力很大，就是柜子没设计好
s***7,star5,装的时候虽然加了些费用，明细很清楚，谢谢师傅，很快装好了
j***h,star5,活动期间价格实惠，物流快，安装师傅也很给力，很漂亮的一款油烟机
村***头,star5,海尔油烟机非常好 智控挥手开机 送货快
f***1,star5,跟我在实体店买的一模一样！还是一样的好用，开心?非常漂亮，做工精细，颜值担当，非常方便，?喜欢的朋友可以下手！一直在这里买这个，活动的时候价格很美丽，发货速度贼快，质量不错，应该是正品宝贝收到，物流很快，描述相符，比较满意，好评，推荐
W***k,star5,吸力很强，使用很方便
j***7,star5,安装小哥人很好.安装的很细心装的也很美观！
L***b,star5,很不错的机器，新房装修中，目前未使用，很大气，很漂亮，性价比很高，谢谢海尔的服务，买东西，我还是信赖海尔大品牌，主要，海尔还是售后好！
j***☆,star5,颜值高，海尔的品质有保障，父母非常满意！
j***q,star5,物流很快啊，安装师傅也非常到位。很满意
A***室,star5,快递配送员服务很好，安装师傅服务也很好！
j***c,star5,买了第二天京东物流送到家，点个赞，油烟机非常漂亮大气，售后服务也非常好，没有其他收费，大品牌值得信赖
j***r,star5,油烟机吸力很不错 物美价廉
风***6,star5,618提前抢购的，还没有装，物流速度挺快的，期待产品质量杠杠的！
宝***3,star5,非常好，一如既往的支持京东，安装师傅也很好
j***l,star5,产品很好，颜值很高，天气炎热，安装师傅一打电话就到，动作也很迅速。
M***刘,star5,反应灵敏，安装师傅服务态度非常好，还没用，但是感觉还是不错
自***奖,star5,安装师傅很有耐心，油烟机很好用。
j***g,star5,很满意的，，很好大气，效果不错
j***w,star5,非常好，师傅很用专业，耐心细致！
苏***z,star5,师傅安装的非常好，东西也不错。
有***跑,star5,很好的产品，安装师傅很尽心，配送也很快，风速也比较大
w***3,star5,海尔品牌吸油烟机和灶具，美观，好用，服务好，价格适中，性价比很高
j***n,star5,安装师傅很专业，态度热情，很认真负责，海尔安装师傅真的很好呢
娟***e,star5,非常好，智能清洗，方便，噪音小。
轻***影,star5,第一次在京东上买电器客服人员服务态度好物流服务好，很周到，安装人员也很准时给我装上油烟机了，服务周到，全五星好评。
爱***年,star5,物流迅速 头天到第二天送达 主动要求帮助师傅班送被拒绝 师傅自己一个人搬了两次 服务特别好
M***子,star5,海尔大品牌，质量有保障，安装师傅很专业。
j***c,star5,外形漂亮，排烟也不错，安装人员服务一流，点?！
n***望,star5,不错，风力很大，物流很快，安装师傅很好，专业～
胖***阳,star5,非常好的东西 而且下单很优惠 安装快 特别棒
j***d,star5,很好，包装完好，还未拆封，后续跟进
大***6,star5,非常好，包装不错，服务一流，物流很快，推荐大家来购买
周***1,star5,非常漂亮，价格也亲民，现在家里基本上都是海尔的电器了
j***i,star5,好评，安装师傅特别有耐心，工作也很细致，超级好评
我***平,star5,物美价廉，性价比非常高，国产大品牌还是值得信赖的。
茶***漫,star5,颜值很喜欢，安装师傅很负责，客服也给力，一次满意的购物体验
g***儿,star5,一直支持海尔家产品   安装师傅的服务也很到位
永***烧,star5,?大品牌！值得信赖！效果超级好！贵有贵的道理！很棒的商品！
_***_,star5,家里都是这个牌子很不错，质量特别好
Z***3,star5,海尔大品牌值得信赖，安装工人很负责任，点赞
弓***8,star5,好，质量很好的哦，比心，值得购买
u***p,star5,安装师傅非常仔细，安装非常好，感谢
j***h,star5,安装师傅很细心，给了很多小贴士
j***x,star5,大品牌值得信赖。 安装速度很快，物流保质保量。
j***8,star5,物流小哥很给力，服务好，速度快！
冷***光,star5,问题都解决了，很不错的相信海尔
j***q,star5,东西很好，物流很快，安装很不错
谁***5,star5,东西不错，自营送货快，安装师傅人很好
j***8,star5,超级完美～外观、性能都很好～
j***2,star5,送货及安装速度很多，效率很高，值得入手
