https://item.jd.com/100045077788.html,"['海尔BC/BD-200GHDT', '100045077788', '35.0kg', '中国大陆', '单温区', '一级能效', '定频', '冷柜', '机械控温', '直冷', '白色系', '顶开门', '卧式', '151-200L']"
用户名,评分,评论
范***危,star5,快递速度很快，商品质量很好，大品牌值得信赖，包装完好无破损。可以冷藏，微冻，冷冻和速冻，功能全面，使用方便。大小合适，不占地方，美观大方，能耗很低，非常省电。噪音很低，容量很大。家庭必备产品。
k***程,star5,外形外观：值得购买的产品，做工非常精细，比想象中的好，推荐大家尝试容量大小：跟描述的是一样的，很显高档，物美价廉，要买的朋友可以下单噢！挺好的，价格适中，质量看着不错
爱***园,star5,冰柜已经用上了，噪音几乎没有，小巧不占地方。冰柜盖子可以悬停，这样就可以两手拿东西了。外观也很漂亮。冰柜的容量也很大，够三口之家用的。性价比很高。
我***2,star5,外形外观：很好，比较方正，颜色也很好，送货特别及时，原来的冰箱空间太小，冷冻都是塞的满满**容量大小：可以的，家庭用也不嫌大，放点粽子包子，放点肉类鱼类很方便，雪糕也可以
j***j,star5,送货非常及时，服务非常好，海尔品牌值得信赖，外观美观大方，容量非常大，看了好几个牌子冰柜，最终选择了海尔，值得信赖的品牌， 非常满意的购物！
j***W,star5,家里的冰箱，冷冻太小，很不方便，所以考虑了很久，买了这款冰柜，冰柜容量超级大，使用很方便，物流很快，服务周到！
紫***3,star5,产品不错，外观设计漂亮，开启的那个把手隐身又实用，细节部位做的非常到位，容量大小刚刚合适，冷冻效果非常棒，我们家里基本上都是海尔的产品，今天又添海尔新成员，老爸老妈也非常满意这款产品，希望海尔的产品越来越棒，好产品大家一起分享，继续关注海尔。
j***h,star5,真不错的冰柜，空间大，容量大，外观简约，制冷速度快，重点是特别能装东西，好用又省电，还有多档温度可调，可冷冻可冷藏，非常方便。
拨***6,star5,送货很快，第二天到货。冰柜外观小巧不占地，容量很大，制冷很快，静置了8个小时插得点，没注意有声响。短短几天，冰柜被我装满了。好评。
无***熊,star5,海尔大品牌值得信赖，销量高机身外观时尚，美观精致噪音几乎没有，大小也很满意能耗低，非常省电静置8小时通电解决存储食物问题
深***5,star5,外形外观：外观简约大方，设计精美，白色烤漆处理，看着很上档次。容量大小：适合一家三口日常使用，分区合理，适合储存瓜果蔬菜和饮料之类的，冻肉类不适合混合存放。占地很小，容量不错。
s***8,star5,家里的冰箱，发现冷冻不够用，果断地购买海尔的这款冰柜，下面有轮子，转移地方方便。这个设计非常给力。京东物流也非常的快。快递小哥还搬到了2楼。点个赞吧外形外观：外观设计非常好看，时尚。白色的非常漂亮。容量大小：容量正好，不大不小！
老***5,star5,冰柜小巧，不占地方，噪音很小，几乎听不到，耗电低。物流快，包装完好，送货前电话联系，确认后很快送到，送货员服务细致。
