https://item.jd.com/100039463158.html,"['海尔EC6003-BOOKU1', '100039463158', '10.4kg', '中国大陆', 'WIFI连接，镁棒免更换，双胆超薄', '一级能效', '60-79L', '储水式电热水器', 'APP操控', '超薄型']"
用户名,评分,评论
陈***酒,star5,外形外观：双胆热水器，外观很漂亮，也很省空间，放在洗手间再合适不过了。加热速度：3KW的功率用起来加热很快，再配合上10倍扩容，家里4人洗澡都还可以。耗能情况：用的这款是2级能耗，还是挺好用的，保温时间长，不错的。
j***e,star5,今年3月份下单海尔此款热水器，感觉挺好用，所以在618活动中又下了一单，买了第2台热水器，依然挺好，使用方便，功能强大，值得点赞！按装师傅也很给力！
往***6,star5,相信品牌的质量，6.18活动一下子买了两台，价格优惠了好多，两台都是扁桶的！外观高雅大气！安装师傅很专业，又有耐心！家里还没通电通水，期待使用中～～～
H***O,star5,外形外观：好看大气，很喜欢加热速度：很快几分钟就可以上升几度，加热速度很快耗能情况：没有算过一级能耗，总比五级好洗浴时间：几个人没问题其他特色：卖家服务态度很好，必须跟一个大大的赞
t***a,star5,热水器很不错，外观很漂亮，新款的越来越好了，功能也很好，非常实用，加热速度也很快，也可以智能操控，简直性价比太高了
小***6,star5,双胆大容量，速热，家里卫生间小的，可以考虑这款扁桶热水器，大气，不占地方，特别漂亮，颜色也喜欢，海尔大品牌，值得信赖
l***7,star5,外形外观：很漂亮大气，颜值很高加热速度：速度很快，不到半小时就能洗澡耗能情况：功耗更低其他特色：功能很棒，尤其是恒温
j***s,star5,外环很小巧，颜色也是自己喜欢的看蓝灰色。加热速度很快，一级能效，能省电。安装的师傅很负责，天气很炎热，安装前和后讲了很多使用方法。给师傅点赞?
c***9,star5,双胆超薄，加热快，是我想要的电热水器。还有恒温防烫功能，特意为孩子买的。热水器的尺寸正好合适家里的卫生间，颜色和卫生间的装修也很配。
守***贝,star5,外形时尚，外观好看，颜值高。加热速度太快了，比之前的好用多了。耗电不高，节约能耗。大容量，足够好多人洗浴很长时间。安装服务好，省心省力。
j***m,star5,电热水器真是超值！60升容量大，速热效果快，节能省电，还带双免换镁棒，简直太方便了！而且这款扁桶的热水器颜值非常的高，不占空间，可以连接APP进行操作，感觉特别高大上。送货速度快。强烈推荐！
j***v,star5,在北方习惯了用这种电热水器，在南方更多的是燃气热水器，不过我还是坚持买这个电热水器，样子小巧，不占地方，存储容量也大，用起来非常方便，水热得特别快。
熙***D,star5,活动期间价格很便宜，发货也很快，收到货后售后就打来电话预约安装，非常棒。外形外观：非常好看加热速度：非常快耗能情况：很省电洗浴时间：出热水时间很长其他特色：相信海尔的品质
罗***7,star5,这款热水器颜值真的太高啦，时尚简约，科技感十足，扁桶设计，轻盈不占地，双管双胆，特别满意，颜色和我家卫生间也好搭，好评
胖***哥,star5,乘着有活动，赶紧以旧换新。将家里的旧空气能换成这款电热水器。第一天拆旧机器，第二天新的水热器发货到家，第三天有人上门安排。用了一段时间，加热速度挺好的，手机app设置，很方便。京东物流速度就是快，值得推荐。
j***m,star5,热水器和描述的一样，特别薄，适合小空间的卫生间安装，不占地方。加热速度也很快，还是一级耗能，省电好用
新***0,star5,热水器收到了！很满意！很实用的一款！外观设计非常好看！赶上617活动下单的！价格也很实惠！物流也给力！安装师傅也很不错！很满意
购***儿,star5,外形外观：不占空间 外观时尚因为还未使用，其他功能等用过再评论。其他特色：安装师傅很热情，因为618优惠力度大，买的的比较早，装修进度迟迟不能安装热水器，刚贴完瓷砖一个电话安装师傅就来了，基本不用操心，还没下班回家，安装好的照片就发过来了，很赞的一站式服务。
周***点,star5,安装好了  618活动购买  扁桶好看  价格优惠  质量好趁着优惠，赶紧入手，是正品，包装也非常的好，没有破损，质量也是没得说，棒?
A***3,star3,送到老家给父母用，安装费又收了280
j***x,star5,安装师傅到家里就说这个是台好机器，比原来的好很多，恒温，又省电，颜值也很高，不占空间，非常喜欢。价格也实惠，物美价廉
雪***情,star5,特别想推荐这款热水器，外观设计简单大方漂亮，加热速度快，耗能低，保温时间长。618期间买的，价格优惠，送货速度快服务很给力。
j***7,star5,外购的时候看了好多，看中了这款，外观很漂亮，卫生间一点不占地方，耗能不高，适合很多人洗漱。很不错的产品，618活动很给力，还保价，大品牌信得过产品。而且安装费全免。安装师傅也很专业认真。最理想的一次购物。
g***r,star5,618下单，价格超级实惠，预定今天送货安装，京东物流迅速，海尔的工人师傅认真负责，安装费用全包，非常满意。
j***0,star5,热水器特别棒，全家接力洗热水完全够用，还不占空间，安装师傅也比较棒，很专业，当天买回去当天就能装，结果家里有事预约到第二天才装，辛苦师傅了。
在***食,star5,一起买了两台，非常不错。外观漂亮，颜色也是我喜欢的，超出预期！配送快，安装师傅非常专业，海尔值得信赖！在京东买家电放心。
关***张,star5,外形外观：完美，美观大气上档次，银色的很好看，非常满意耗能情况：一级能耗，省电加热速度：60L带增容加热速度很快，温度可以恒温，我和家人都喜欢，还可以手机控制，连接无线控制开关温度，安装师傅给打的支架，安全稳定可靠，值得购买，热水器就选海尔，扁桶不占空间
j***7,star5,热水器加热很快，水温也很均衡不会忽冷忽热。负责安装的工人师傅态度很好。给安装师傅点赞，态度也很好 安装过程中，会把每一样零件的规定价格展示给顾客，感觉还不错，挺满意的，很愉快的一次购物，五星好评！
j***天,star5,用了一段时间才来评价，非常实用的一款电热水器，扁桶不占用更多的空间，家里三口人洗澡足够用了，安装师傅非常用心，服务好极了。从00年开始，一直用海尔的电热水器，质量服务有保障。
j***7,star5,热水器外观好看，材质也很结实，不管是物流还是配送都很给力，而且安装师傅非常负责任，海尔大品牌，还是很放心的。
R***e,star5,下单之后就很快送过来了，并且帮忙送上楼，上楼没多久后安装师傅就联系安装了！一会就安装好了。热水器看起来很好看，买之前做了很多攻略！赞
Y***6,star5,赶在618活动的时候下单了这款热水器，这两天使用感觉非常不错，而且扁桶的造型非常好看，放在卫生间大小刚好合适，看着很高级。使用也很方便，加热速度快。
j***1,star5,海尔大品牌，质量有保证，值得信赖，直接下了三台，送货及时，第一时间联系沟通，第二天就过来安装了，产品外观设计大气，产品恒温设计，不用担心水温的问题了，这款热水器而且还全免安装费、材料费，简直太划算了！！！
骑***龙,star5,选择了80升的热水酷上墙非常满意，热得快，智能，最主要的颜值高。操作简便易上手。安装师傅服务特别到位，非常热情
风***寒,star5,外形外观：颜值超高，很大气 小清新的感觉加热速度：恒温功能很不错 安装师傅很专业 所有的材料也免费 棒
f***8,star5,原来的热水器漏水坏了，退货后还是相信海尔大品牌，在京东上重新买的，款式很喜欢，薄的不占地方，颜色也好看。按键使用很方便。
h***8,star5,洗衣机很薄，很漂亮，颜色很时尚，装上去和我家卫生间风格一致，很搭，家人都非常喜欢，洗澡也非常快，妈妈再也不用担心洗澡没热水了
宇***极,star5,热水器很不错，颜色是淡淡的紫色，而且很轻薄～加热速度很快，还有节能模式，烧完水会自动关机不必担心费电，很满意！物流超级快，隔天送达，安装也超快，当天下午就给排单了，安装师傅态度很好，礼貌热情，真的很满意！
皮***3,star5,买了一段时间了，最近家里装修完才安装上去，试用了一下，很不错，出水稳定，一家人用完全没问题，家里其他电器也是海尔的，值得信赖。
j***e,star3,挺好的，不错，就是热水有一股味道，不知道是什么原因，用了很多次，还是有这个味道
鹄***娴,star5,到货后，联系的安装，安装小哥速度很快，然后安装上感觉非常好看，这款机器也是种草了很久，618买的，真的太好看又好用了。
羽***悔,star5,热水器3300w加热很快，热水器颜值很高，一级能效，非常省电，app操控很智能，随时能看到温度和内胆清洁度
晟***龘,star5,安装师傅专业，也没要其他费用，免费安装，颜值也高，性能无敌，也不用每年都清洗，省事儿，物超所值，喜欢，推荐。
m***2,star5,热水器很好用，设计合理，使用方便，很满意。外观漂亮，质量很好，烧水速度快，很满意的一次购物，值得购买。
