https://item.jd.com/100035058361.html,"['卡萨帝CEC6005-CJ5(U1)', '100035058361', '33.0kg', '中国大陆', '炫彩机身，速热增容', '一级能效', '60-79L', '储水式电热水器', 'APP操控', '超薄型']"
用户名,评分,评论
c***6,star5,是轻薄容量又大的一款，颜色很清爽，和家里的装修也很搭配，很有时尚感。精挑细选出来的，安装以后很满意。
l***h,star5,热水器特别高档，颜色好看，而且很漂亮，特别喜欢，师傅安装也到位，态度非常好，认真，绝对值得购买，客服也很耐心，详细回答各种问题，特别值得的一次购物体验，通电后特别好看，大品牌确实好
O***1,star5,外形外观：外观很好  海尔卡萨帝电热水器，更澎拜、更安心、更美观的高端沐浴，一种极致的享受。这款热水器的品质还是非常高的，卡萨帝电热水器独创真双胆，上下内胆独立分区加热，侧出水结构设计，热水量比普通热水器增大40%以上，顶喷淋浴、浴缸泡澡都能轻松满足；绝对是温泉泡澡必备。
j***y,star5,外形外观：卡萨帝电热水器外形漂亮安装的尺寸正合适加热速度：加热很快热水随时都能用上耗能情况：有两种加热模式，很省电洗浴时间：卡萨帝的还能设定洗浴时间和使用习惯模式其他特色：总的来说没有买错想信海尔系列，安装师傅给安的很到位，上午货到下午就安装好了
s***8,star5,外形外观：外观很上档次加热速度：加热速度也很快，试了十几分钟，就烧到了50多度其他特色：安装师傅也很专业负责，态度很好。
塑***d,star5,东西不错，师傅安装的也可以，海尔卡萨帝的服务大概是国货天花板了。外形外观：外形中规中矩，颜色很不错，外壳材质质感好加热速度：加热很快，很满意
b***e,star5,这次家里换电热水器，从开始就毫不犹豫的决定选卡萨帝。贵有贵的道理，热效率很高，升温快很多；操作简便，有多重安全保障；节能保温效果很好，外观也挺好看。
随***6,star5,全屋卡萨帝，海尔家电。这款热水器非常赞，颜值高，功能齐全，纤薄小巧，正好能放进去，但凡大一点都进不去，刚刚好。
麦***5,star5,外形外观：美观简洁大气加热速度：快速加热耗能情况：恒温洗浴时间：60度水温30-40分其他特色：节能变频，水质柔软细腻，有美肤功能，超大水量
4***3,star5,做工精细，颜值高，很方便，插上电没有噪音，简约大气，与我的装修很搭，颜色十分耐看，很精致，很美很喜欢，安装迅速，认真有耐心，颜值很高，声音小，用起来很方便，耗能情况挺省电的
5***8,star5,"速度快耗能低，家电是非常智能了，到了就安装起来了，很省电，大牌就是不一样，下次给家里人也买个，比较大气，真香。给5星好评，售后安装很好,安装的位置也满意，大热天按时送达准时安装，这个价格闭眼入就可以了，想清楚了，就买了这个产品，推荐大家购买，质量一流，用料扎实，材质做工非常好，颜值相当高，很不错，外观简约，性价比高，功能齐全，非常爽"
H***0,star5,热水器非常棒，外观好看，智能软件非常方便，送货师傅上门及时，安装师傅专业负责，客服小哥细心热情，五星好评！！！
j***r,star5,外观精美，京东送货速度没的说相当快。功能齐全。卡萨帝品牌的品质真的是好，实物比照片好看。安装服务也很好。超大的显示屏高端大气。客服态度也很好。
j***m,star5,外形外观：好看 时尚 简洁大方加热速度：很快 插电热的快耗能情况：一级洗浴时间：不知道还没用其他特色：安装师傅很用心 安装效率高 人也很好 服务很好 还会在回购的 五星。
凡***耐,star5,商品收到了，纤薄双胆，养肤升级，颜值高，热水器做工好，小巧节省空间，一级能效节约省电，功能强大，还有抑菌功能，反复选了好多款，最后选定这款卡萨帝扁桶真双胆，外观大气使用不占空间
3***8,star5,"大小合适，外形美观，款式颜色很喜欢，和家里橱柜颜色很搭，服务很好，价格优美，好评，性价比高，太惊喜了，质量非常好，之前的功能少，趁着活动换个新的，好喜欢，非常大气，时尚，没有额外的收费，很合理，送装一体点赞，功能也方便操作，按键灵敏，遥控方便，外观漂亮，服务很好，物流发货很快,五星好评没得说，开机迅速，关机后散热良好，家里人也都满意，尤其是这个牌子这款专门的产品"
2***8,star5,非常划算的，一级能效，非常棒，真的很喜欢全超出期望值，听同事说她买的其他的用着好大声，实物效果真不错，果断下单搞起来，防电墙也是升级款的，说明书文字清晰，内容描述详细，非常漂亮，简单素雅，运行安静，偶也好有成就感，终于弄懂了一直不太明白的问题，很大气，很漂亮，外观灰色系看上去很高端，设计特别具有美感，安装干净效率高，价格很优惠，操作简便，总体感觉这次购物很喜欢
1***1,star5,经济又实惠，内心柔软真挚，期待已久终于到了，外观满分，很大气，很有质感，外观颜值高！表面手感不错，质量特别好，用着顺心，店主很好东东很好，打开包装完好无损，容量大，还可以手机调控，省电节能环保，耗电小，值得好评很不错的卖家，一点都没有廉价感，客服服务很好，没有一点不耐心，很方便，已经买啦，客服态度特好，我会再次光顾的
j***h,star5,选购热水器时看的是海尔的，无意中看中了卡萨帝的。咨询客服了解卡萨帝热水器的用料，都是特别好的钛金钢内胆加免洗就果断下单了，收到货果然没有失望！完美！
落***风,star2,这是一次不太愉快的购物体验，本来冲着海尔的高端品牌，价格不便宜那机器就应该对得起这份价格，可是机器送到家后，让我大感意外，虽然算不上金玉其中败絮其外，但是机器的一侧居然都发霉了。不过还好京东平台还算给力，仅仅三天就完成从换货审核到二次发新机器的全部过程，希望以后不会再碰到类似的事情了。
j***x,star5,配送非常快，外形小巧美观，安装师傅服务非常棒，用了几天很不错，下次还会在选卡萨帝品牌的东西，很喜欢！
3***8,star5,安装速度很快，颜色挺漂亮的，功能也很实用，下次还会在回购的！很正，很正，很正，很方便 推荐购买，外观漂亮，质量也挺好，不错，和我家风格非常匹配，非常不错，颜值时尚，看着就很舒服，东西不错，功能强大，不错，很好看，这个牌子的值得信赖，期待研发出更多的好产品，还送了很多配件，包邮的运输速度还快，特别好，价格合理统一，赞一个，优雅的设计造型
5***7,star5,售后也是做的很用心，DD很漂亮，发货及时，1级能效节能，早就相中了这款机子，很不错的体验，有机会再找你购物，老给力了，功能齐全，对这款一见钟情，非常实用 一款很不错的选择，送货到家的，省心省力，遥控精准快捷，效果很好，所以果断下单入手了，操控灵敏，特别方便，安装师傅很专业服务一流，功能无比的强大，很棒，还没用，先点个赞，整体外观华丽，很细致贴心，大品牌就是不一样
j***7,star5,卡萨帝60升速热储水式电热水器，家用超薄扁桶型钛金无缝双胆一级能效，母婴净肤洗大水量瀑布浴，真的很不错，外形美观大气，又是京东自营产品服务好，发货快。
4***8,star5,收货是非常愉快的，满意，五分。望大家多光顾此店，很满意，朋友推荐给自己的，安装方便，师傅技术一流，快递也非常快，服务很好，京东的态度很好以获得赞扬，刚好用了两周，各方面都不错，大小正好合适，搬运方便，很喜欢这个质量不错，精致，颜色亮丽，好看的，不买肯定后悔，质量不错，送货超快，第二天上午就安装好了方便快捷 服务质量好 非常满意，优雅的设计造型很好看
5***1,star5,安装用心，熟练，性价比极高，用起来非常舒适，久久才来评价，我也享受，最主要的是容量很大，为店家服务点赞，感谢京东物流，正品，该有的服务都有，发货神速，物流也很给力给力给力，刚接上，试用一下，性能很好，打理起来很省事。好评，外观很漂亮，性价比很高，能效高，颜值也在线，发货真快，很快就收货了，点一万个赞
无***哥,star5,价格是真贵，但东西是真好，虽然还没用，但是分量十足，做工非常精致，像一件艺术品，给人以非常好的印象和信心？只想到一句话：一分钱一分货
j***6,star5,热水器非常的漂亮，安装师傅人特别的好，服务态度一流，非常愉快的一次购买体验，以后就选择卡萨帝，这款热水器值得拥有！
6***9,star5,商家服务好真不错，送货师傅服务太到位了，值得拥有，给5星好评，体验很好，推荐，耗电少，几口人用不了多少电，很满意很满意非常满意，这次的购买非常满意，卖家描述的图片和实物基本上没有差异，外观漂亮，很喜欢这个，速度还可以，功率不算大，质量超级好满意满意很满意，我爱啦天哪好喜欢~，大品牌值得信赖，师傅送货上门辛苦了，很惊喜，质量非常不擦，855324
今***1,star5,这款卡萨帝热水器我很满意，性价比很高，外形漂亮，整体设计简约大气，占用空间还不大，触摸屏按键使用也非常简单，客服小姐姐和安装师傅也很认真负责。
3***7,star5,安装和物流一样迅速，真心不错，颜色特别好看，真是不错的品牌，配送速度很快，很不错，总之买了之后还觉得很值，外观很漂亮，我很喜欢，买来入手后，真的更方便，外观材质非常好，外观很好看，也很喜欢，店铺活动比较频繁，正在使用中，目前效果良好，绝对大气，色泽光亮，这个牌子的产品和售后真心很赞，五星好评五星好评，期待长时间的稳定
2***2,star5,性价比很高，妈妈很满意，在家里高大上的感受，出乎意料地好，安装也非常即时，给朋友买的，特别好用，送货上门 快，总体来说是非常令人满意的，复购了，家里人都说很好真的很赞耶，很百搭，绝对值得购买，一次很不错的选择，送货速度快，家人朋友非常喜欢这一款，比实体店要合适一点，相信这个牌子质量和服务，整个外观看上去挺好的，简单易懂容易操作，东西很好我很爱
1***1,star5,产品设计人性化，功能很多，使用效果良好，功能强大，外观漂亮，性价比特别高，果然不负我所望，不亏是大品牌，颜色太正了，好评好评 大家不要犹豫，京东快递好，速度很快特别人性化，我爱京东 京东奥利给，外形尺寸刚刚好，我向掌柜表示由衷的敬意，这个价格买到这样的很实惠，点赞一万个，客服晚上都还在回复信息，外观很是漂亮
1***1,star5,送货速度快非常快，节能，静音，店家多做这样的活动呀，直接买了两个，今天下午刚到的，主要是现在的设计越来越好看了，很用心，尺寸也很标准。打开以后颜值很高，客服回复速度快，速度很快，一级耗能，网上购物是如此快，必须好评支持支持，牛刀小试一哈，整体流程都很满意，杠杠的，很不错的购物体验对这家果然很安心，一步到位，这个牌子品质有保障，货比三家这个真的很不错
5***8,star5,价格真的是很划算，外观高大上，买到心仪的东西一天都开心，整体还是不错的，心仪很久终于下手了，安装师傅也非常的好，买来了送给家里的亲戚，亲戚特别开心，这款产品的外观设计非常好看，大大小小的家电都可以找到，看着非常上档次，最低档位噪音不大，非常好，老人很喜欢，新家的第一件电器非常的满意，家里现在都还这个牌子的，外观时尚，非常满意，好评，速度超级快，下单后不到10个小时就送到家
5***1,star5,价格很实惠，功能也比较强大，关键卖家态度好，外观造型简单，宝贝收到了！物流很给力，包装很精致，空间非常大，谢谢喽！我的家人，价格划算，买到就是赚到，品牌很值得拥有 太棒了，物流很快，已经到货啦！！！颜值非常高，先在实体店看了看才下单，安装的师傅很专业，态度也很亲切，够我们一家人使用，性价比很高，安装师傅服务挺好的，可以说非常优秀了，速度快，服务很好，比较喜欢这个品牌，一直都很喜欢的品牌，点赞
