https://item.jd.com/100033033456.html,"['卡萨帝C1 H10S3CU1', '100033033456', '86.0kg', '中国大陆', '一级能效', '变频', '滚筒洗烘', '80.1-85cm', '上排水', '55.1-60cm', '紫外线除菌', '冷凝烘干', '10-20kg', '深色系', '直驱，除菌除螨，延保服务', '60cm以上']"
用户名,评分,评论
一***8,star5,洗的很干净，声音很小，最重要是甩干声音也很小，静音。烘干效果很好，夏天的衣服内衣烘完就可以穿，物流发货很快。点赞客服诗语，很有耐心
给***梦,star5,太喜欢啦！外观设计非常时尚非常漂亮，我和媳妇非常满意，洗了几件短袖清洁效果很好很干净，然后再烘干了一下，比起以前的洗烘一体机快太多了，10几分就干透了，衣服拿出来也很柔软非常舒服，还有除菌功能非常好，小孩衣服可以一起洗，容量很大很大，一次可以洗好多件衣服，快递小哥非常快，搬运也很细心，安装师傅也非常专业。
j***U,star5,卡萨帝这款双子颜值爱了爱了，帅气十足，操作又简单，功能非常强大。大桶小桶独立洗护，家里有小孩后特别注意卫生，这款满足了我的需求，爱死了
d***y,star5,安装的师傅很给力，很快就安好了，洗起来声音也不大，很安静，操作简单，很满意！已经洗了几次衣服了，使用感很好！
青***肉,star5,外观太漂亮了，超薄的机身节省空间，放家里一点都不占地方。静音效果好，没什么声音。家里之前的洗衣机是海尔的，这次买的这款也超级满意！
u***t,star5,这台机器关注很久了，终于下手了，没过几天就送达了。包装很好，机器很漂亮，很喜欢，性能稳定，性价比高，也很静音，网上买很方便，小伙伴们，喜欢的也可以入手一台哦。
j***y,star5,果然超高颜值，这款颜色也是特别喜欢，工作时噪音很小，卡萨帝的售后也是很好的，非常满意，新房还未入住，洗净和除菌效果待使用后再来追评。
j***I,star5,洗衣机收到了，外观简单大气，屏幕操作简单，衣服洗的很干净，烘干效果也好，很实用，容量也大，值得推荐购买！
话***i,star5,搬新家买的卡萨帝洗烘套装，很智能，可以连wifi手机操作，能自动感知衣物重量，从而调节洗衣液和柔顺剂的用量，这算不错。洗衣机和烘干机都有多种模式可以选择，羽绒服羊毛类都没问题，售后诗语很棒，有问必答响应快速。
j***y,star5,卡萨帝全自动滚筒洗衣机卡萨帝洗衣机很让我惊喜，外形美观，洗衣干净，甩干很好有力，声音小，有消毒洗，10公斤大容量，满足家里所有物品洗衣需要，被子也能洗啦，京东物流超快，一直信赖京东自营，家里电器几乎都是京东的，从没让我失望，售后服务一流，昨天送来的洗衣机，今天就能上门安装。后期用后再回来追评小哥服务态度也很好，推荐购买，支持国货!
j***2,star5,这款洗烘洗衣机外观颜色优雅，显得很高端，衣服洗的很干，除菌效果也好，容量也大，操作也简单，很满意的一次购物！
冠***健,star5,洗衣机收到了，外观简单大气，衣服洗的很干净，除菌效果也好，操作简单，一级能效也省电，很满意的一次购物！
j***0,star5,这款洗衣机外观简单大气，衣服洗的很干净，烘干效果也好屏幕操作简单，运行的时候也没有噪音，很满意的一次购物！
j***a,star5,发货很快，送货师傅也细心，外观简单大气，洗净效果和除菌效果都特别好，容量也特别大，触摸板操控简单，总之很满意！
_***欢,star5,家里装修房子赶在618期间把洗衣机定了，真的很实惠。颜值也很高，送货和安装很快，服务很好。在这要表扬一下售后思月很专业想，有问题都很及时的帮我处理了。很满意
王***8,star5,物流快，送货师傅也细心，外观高端大气上档次，已经除菌效果都很好，容量也大，操作简单，没有噪音，很满意的一次购物！
j***3,star5,掌柜态度很专业热情，有问必答，回复也很快，我问了不少问题，他都不觉得烦，都会认真回答我，这点我向掌柜表示由衷的敬意，这样的好掌柜可不多。再说宝贝，正是我需要的，收到的时候包装完整，打开后让我惊喜的是，宝贝比我想象中的还要好！不得不得竖起大拇指这个是真的好，材料和做工都特别精致，做工真的非常棒，我觉着我可以推荐给我朋友买~
李***8,star5,物流快，安装师傅也专业，外观简单大气。衣服洗的很干净，烘干效果很好，除菌效果也好，很满意的一次购物！
