https://item.jd.com/100048690760.html,"['卡萨帝BCD-550WGCFDM4WKU1', '100048690760', '148.0kg', '中国大陆', '一级能效', '变频', '190cm以上', '钢化玻璃', '风冷', '80.1-85cm', '550-599L', '白色系', '多门', '嵌入式', '电脑控温', '65.1-70cm']"
用户名,评分,评论
j***c,star5,这款冰箱的颜值让我不能再想其他，终于等到618活动为卡萨帝550升冰箱的纯白色高颜值心甘情愿买单，因为她太好看了，和我家的全屋家具装修风格很好的融合，完美嵌入到冰箱柜，侧面和顶面贴膜保护的很好，安静高端大气，整体感受空间大小合适，618送货很快。
小***星,star5,心心念念的大白到家啦，见到实物真是有被惊艳到了，太好看了！最初选这款卡萨帝550就因为看上了这款冰箱的颜值，白色加法式是我最爱的，而且它是零嵌入冰箱，可以说是完全不浪费空间，而且显得非常美观，再就是看中这款冰箱搭载的MRA低氧保鲜，能够让食材得到最佳的保鲜效果，买卡萨帝品牌就是为了它的这个保鲜技术，真是又有颜值又能打，最后就是家里马上准备要小宝宝了，正好这款冰箱带有婴爱专属空间，是我比较看中的地方，简直是太贴心了，从出生就要给孩子提供最好的环境，果断入手！大爱~
j***行,star5,外观完美，包装很细致，侧面和顶面贴膜保护很好，整体感受，空间大小合适，外观干净，和家具风格很好融合，关键是零距离嵌入，避免了空间浪费，婴爱空间很贴心。618活动送货也很快，希望后面使用后能有更多惊喜。
小****,star5,真的真的真的朋友们，不能错过今年的618，赶紧买它！确实太好用了，不论是外观，还是功能，天花板绝对不夸张，超级喜欢，今年终于能实现樱桃自由了，相信我，没错的。
S***8,star5,外形外观：外观大气简约，，零嵌，可以和家装风格完美融入，特别有品味！制冷效果：-30℃深冷智冻，温度稳定，可以放心存储啦保鲜效果：搭载MRA低氧窖藏养鲜，到家第二天一早就迫不及待的通电体验一下，放入了时令水果，哈哈，期待效果容量大小：550L超大容量，完美解决我们一家四口一周食材所需空间，超级赞??
j***t,star5,此用户未填写评价内容
松***雪,star5,外形外观：白色大气漂亮，巧的是原赖装修的预留位与这款550完美结合，就像针对设计一样。制冷效果：很好，冷冻冷藏豆很好。容量大小：550足够了 就是常规冷藏空间的划分 以后可以考虑让用户有自己选择点高度。保鲜效果：刚刚用，应该没问题
l***i,star5,这款冰箱的颜值让我不能再想其他，终于等到618活动为卡萨帝550升冰箱的纯白色高颜值心甘情愿买单，因为她太好看了，和我家的全屋家具装修风格很好的融合，完美嵌入到冰箱柜，侧面和顶面贴膜保护的很好，安静高端大气，整体感受空间大小合适，618送货很快。
j***l,star5,618新买的冰箱如约而至，放好之后感觉很漂亮送货的小哥服务很好，大雨天辛苦了线上问客服问题回答也很方便刚开机有噪音电话问了客服也得到了解答（要通电后七八小时会恢复正常）最后一张图是以前的老冰箱，这些东西放进卡萨帝之后海还有很多空间～
绿***姐,star5,外形外观：外观白色的很好好看也没有很明显的指纹，法式双开门冷冻室储存东西也可以很大，拿取也方便制冷效果：目前使用良好没有问题，后期追评容量大小：容量很大550升，可以妥妥囤东西一直想要买的冰箱终于到货了很满意，比较看中的是这个冰箱的保鲜和净味除菌功能，物流和海尔客服服务也非常的好。京东家电客服还有思思也很好回答我的各种问题很耐心。帮助我买到合适的冰箱。
j***e,star5,期盼已久的卡萨帝冰箱终于到了。外观很漂亮，白色法式，高档大气。零嵌入，空间利用率很高，搭载MRA低氧保鲜，能够很长时间保持食物原本的鲜度。容量也很大550升，一家足够用了。另外，做工精细，用料很足，冰箱很重，国货之光?
核***奶,star5,卡萨帝550升纯白色，颜值这块可以称之为天花板了；带有婴爱专属空间对宝妈很友好；声音方面很安静，噪声低。
j***不,star5,选了好久还是决定卡萨帝550，纯白色外观，简洁美观高端大气，更是看中独有的MRA低氧窖藏养鲜，使蔬果保鲜效果更好，不影响口感。零嵌设计，非常节省空间。-30℃+深冷智冻，快速制冷，保留鲜肉，海鲜的新鲜度。
嘿***猫,star5,现在想买白色的冰箱很不容易，冰箱只想买海尔，等了很久，想要法式，然后又想要双系统，这样不窜味，又想要有0℃保鲜的，终于等到这款新款卡萨帝法式冰箱，还是玻璃门，颜值杠杠的超出预算，但收到货很满意，物有所值
一***觉,star5,卡萨帝550升零嵌白色冰鲜高端大气上，颜值高，功能全，对比了好多品牌和款式，最后还是心意白色的冰箱，对比了几个白色款式，最后选择了这款，买回来后全家都很满意，值得选择。
么***0,star5,外观大气简约、零嵌，和整体橱柜风格完美融入，-30°C深冷智冻，温度稳定，可以放心存储，搭载MRA低氧窖藏养鲜，到家后静置了几个小时，就迫不及待的通电体验了一下，放入了时令水果，期待保鲜效果，550L超大容量，完美解决我们一家四口一周食材所需空间，超级赞?
烤***肠,star5,外形外观：颜值很高白色亮堂保鲜效果：冷藏保鲜分格挺多，蔬菜水果放半个月还新鲜如初。还有母婴空间，法式三门最实用冷冻区空间非常大。
p***1,star5,终于买到了卡萨帝纯白冰箱，在法式和十字中纠结后还是选择了法式。制冷和保鲜效果很棒，净味功能也有，-30℃深冷冻功能也是吸引我的点。基本完全听不到压缩机运行声音，550L容量4-5口人也是够用的。客服很有耐心，售后也做得非常棒，反馈效率很快。
范***-,star5,当时买的时候还在犹豫价格，买来之后一点都不后悔，而且物流还快，可以入手宝贝收到，一如既往的好，包装很到位，质量还不错，很喜欢，大品牌值得信赖大品牌，用起来很放心，质量非常好，赶上活动购买非常的划算
b***3,star5,留意卡萨帝很久，综合比较后选了这款，送货服务人员态度很好，冰箱很能装
j***i,star5,完美嵌入，完美搭配厨房，期待以后表现，设计合理家人很满意，购物愉快
s***z,star5,外观简洁大方，冷藏和冷冻分区很方便，食物分类整齐。性能出色，制冷快速保鲜效果好，而且容量大，能装下很多食物。智能功能让温度和湿度可调，节能环保。总之，非常推荐这款白色法式冰箱！
哈***-,star5,趁618活动赶紧购入 很划算  有独立母婴空间 容量大  零嵌正好塞进厨房  白色真的太太太太好看啦  送货的师傅也很专业  表扬售后诗语 解答问题很及时专业 赞?
女***n,star5,0嵌入款的，与非0嵌入的相比，一个要看两边的距离，如果左右侧一面靠墙，那就需要0嵌的，开门对边留距离的要求能小点，因为冰箱门的最大开门角度是120度。总之这款很不错
j***t,star5,很喜欢的一款冰箱，拔草了，实体店根本没有这个颜色，没有让我失望，安装售后相当给力，静制8小时后通电的，就是送货来的冰箱是平躺送过来的不知道有没有影响。
晚***晓,star5,这款卡萨帝550L零嵌 非常好看  纯白的像个可爱的大白 颜值没得说 内部空间够大 而且低温窖氧养鲜功能强大 -30℃深冷智冻锁住营养更加健康
大***y,star5,此用户未填写评价内容
越***山,star5,一直看白色冰箱，最终选择了卡萨帝550，白色很高级，冰箱尺寸很适合我家，底部散热双循环系统，超级喜欢的颜值，售后服务也不错。
萧***强,star5,卡萨帝冰箱确实是很好，颜值超高，质量很好，而且我选择的这款带有婴爱空间，618活动入手，价格比较优惠，大品牌，值得信赖！
肖***朋,star5,外形外观：颜值担当，非常好看制冷效果：制冷效果不错，速度很快保鲜效果：不错容量大小：容量大，家里的水果蔬菜全都能放下去
哈***好,star5,大白颜值非常的高，放在家里也显得十分大气，关键是还有零距离自由嵌入式十分节省空间，配备了母婴专属空间也十分贴心，超级赞。
o***8,star5,冰箱收到第一时间立马拆箱，拆箱之后就是喜欢的颜色 外形外观都不错 制冷效果很不错 很喜欢这台550 618的物流也很快
人***梦,star5,这个冰箱白色的好看，新款，高大上，外观很好，漂亮，包装也好，还有一层膜保护，颜值担当，容量也大，这个容量足够了，足够一家五口人存放东西，空间里的抽屉也根方便，整体都很好，618提前购买，快递给力，晚上下单，第二天就到了
j***a,star5,冰箱已收到，暂时还没使用，外观大气好看，容量大小合适，大品牌果然值得信赖，非常满意。
j***2,star5,白色冰箱很好看，很大气！内部空间很宽敞，冷藏两个小抽屉也很规矩！整体感觉非常好！
z***e,star5,不错，不错，大品牌值得信赖，用一段时间看看效果，检验售后服务质量。
陈***6,star5,卡萨帝550升纯白冰箱，高端大气，使用起来感觉很好，储存空间大，很棒的产品
f***g,star5,外包装保护得很好，颜色也很漂亮，内部结构也很精致，制冷效果不错，抽屉门很方便！
1***a,star5,外观白色大气，跟家里装修很搭，550升容量刚好满足5口之家，空间利用率非常合理
j***1,star5,产品颜值特别高，里面储蓄空间也足够大，功能分区合理，看起来非常高大上，喜欢～
小***跑,star5,贵是真的贵啊，奈何颜值是真的高，纠结好久还是入手了！简直太棒了！
仓***琳,star5,冰箱很好看，保鲜效果不错，售后服务也很到位，总体来说性价比很高的一款冰箱
A***晚,star5,冰箱很好看内部空间也大，客服思语态度很好讲解的很详细。
I***o,star5,618想入手一款冰箱，因为家里厨房预留位置宽度有限，如果还想保证容积，只能选择零嵌。纠结了好久，看了各种攻略，最终选了卡萨帝这款广受好评的爆款产品，法式四开门的550。首先这个白色看起来就很干净，很高级，另外功能非常齐全，你想要的它都有，容积相对一般家庭也足够用了。静置一段时间再插电使用，非常期待！
l***7,star5,冰箱正好和柜子贴合，颜值看着很高，用的时候看看制冷效果怎么样
h***月,star5,冰箱颜值很高，容量足够大，内部布局设计合理，快递非常给力。
浮***寰,star5,外形外观：白色的冰箱。冲着外观买的。零嵌冰箱真的可以贴着墙放。制冷效果：还没住进去，放了几瓶水效果还不错。水结冰了。内部没有冰客服诗语很耐心，有问必答。
j***1,star5,此用户未填写评价内容
韩***聪,star5,6.18越来越早了 虽然1号就买了 但直到7.2 家里定制柜做好了才过来点评。非常非常完美 严丝合缝 真正的零嵌入冰箱。
康***静,star5,一直心心念念卡萨帝冰箱终于搬回家啦～先逛了实体结果都是深色的，家里奶油风装修风格当然想要个浅色系冰箱啦，好在让我发现了这款550L专供白色冰箱！看图片就很喜欢了，收到实物真的是太好看啦！白色冰箱yyds！
L***7,star5,非常好，冰箱很高大上，质量很好，看上去就给人一种高级感，价格也合适，制冷效果一级棒，太喜欢了，大赞?
小***丶,star5,冰箱颜值很高，高端大气上档次，容量很大，功能满足日常需求，非常值得购买，快递员也辛苦了，满头大汗。满意
j***8,star5,冰箱颜色很好看，内部空间也大，噪音小，彩色显示器高大上，唯一遗憾的是当时没有考虑嵌入式
j***r,star5,一直都在看卡萨帝555，和家人商量好了，是要买他的。付款那天晚上，突然发现550更好。就毫不犹豫的拍了。搬回家里，放在原来的位置非常的合适。大气漂亮，特别是内箱分格很人性化，不但归类有致，还一目了然。超喜欢。
l***3,star5,6.18购买的冰箱，满怀期待半个月，中午于昨天到货，冰箱和想象中一样，大气，上档次，是理想中的冰箱，空间够大，今天第一次开机，声音也很好，非常满意，期待之后的使用一如既往的优秀，相信海尔。
s***q,star5,外观漂亮，内部空间大，冷藏室的层高也合适，从目前使用情况看制冷效果不错，且温度显示一目了然。选的母婴款，低氧窖藏和母婴空间比较合心意。配送速度快，晚上下单半小时就联系通知送货，第2天就送到了。另外，因厨房门较窄，需拆装冰箱门，售后服务的张师傅认真拆装了近1个小时，安装到位，还讲解使用注意点，值得表扬。
j***s,star5,零钱纯白，搭配极简装修风格，真的很满意。钢化玻璃面板，看着也很大气。放在家里显得很有高级，给整个家里增色不少。所以说家电大件要买好的，不止是功能，主要是看着显品味。很满意。
深***皖,star5,卡萨帝550零嵌冰箱，外观纯白很好看，550里颜值最高的
j***I,star5,挑选了大半年的冰箱，最终选择了卡萨帝550，这款冰箱外观颜值是很高，制冷效果不错，也比较静音。容量大，能放不少。玻璃面板比较好擦好打理。侧面也是白色的，适合家具风格。
冯***保,star5,外形外观：大气，白色百搭，比想向中的要好制冷效果：制冷效果很好保鲜效果：不错容量大小：最最喜欢的就是这个大容量。家里东西多，现在想怎么放就怎么放。
d***4,star5,冰箱质量过硬，送货小伙说你这冰箱肯定是高端的，是我送货冰箱里面最沉的，哈哈?颜值在线，静音效果真的很好，550跟551纠结种买了550，因为想放大海鲜
z***6,star5,外形外观：白色百搭，颜值非常高保鲜效果：MRA低氧窖藏氧鲜，主要就是看中这个保鲜效果容量大小：550L容量轻松囤够一周食物，完全满足要求。
j***7,star5,卡萨帝550和555纠结了很久，最终选了卡萨帝550，到货没让我失望哦，外形美观，还有专用的母婴区，简直就是宝妈福利，特别棒，期待保鲜功能。
灰***宗,star5,此用户未填写评价内容
幽***儿,star5,高端大气上档次，卡萨帝的品质毋庸置疑，每一个精美细节都很到位，每个拐角都有保护贴条和泡沫，颜色很大气，很适合在客厅里面放
u***c,star5,冰箱门白色的，有点玻璃镜面的感觉，很有质感，容量特别大，分区很合理，运行基本上听不到声音。送货师傅很专业，里面各种保护泡沫和膜。
头***明,star5,心心念的卡萨帝冰箱到货啦，下单到送货到家速度很快，冰箱与我家的一个预留空间也是非常的完美，整体物流及客服服务也是比较赞的
j***i,star5,很好看的一款冰箱，颜值很高，空间也够大，足够一家三四口人的使用，分区也很合理，冷藏室的隔板要是再能调节就更完美了，推荐购买
