https://item.jd.com/100056782083.html,"['海尔LU75X5(RPO)', '100056782083', '34.4kg', '中国大陆', '70-77英寸', '二级能效', '3840*2160', '3.5-4m', '120Hz', '游戏电视', '人工智能语音', '无摄像头', '护眼电视']"
用户名,评分,评论
j***e,star5,外形外观：海尔大品牌电视超薄无边框，做工质量放心?运行速度：内存3+32g运行特别流畅不卡顿，可以安装很多软件，还支持云游戏。屏幕音效：电视自带音响前后都有喇叭，支持杜比音效。电视显示色彩很好，看高清电影特别清晰。
刘***山,star5,看好了这款电视，马上下单体验，第二天送货安装，师傅特别认真专业，迫不及待打开体验一下，果然不错，超大屏，画质清晰，声音也不错，正好世界杯进去淘汰赛阶段，看球太爽了，强烈推荐，青岛人的骄傲，世界的海尔
j***l,star5,不错，性价比很高，颜色很正，屏幕也很大，适合我家呀，75还挺大，外形外观：喜欢全屏，高端大气，运行速度：挺快屏幕音效：声音不错尺寸大小：75
j***s,star5,这个海尔75电视还满意的哈，做工很仔细的，款式时尚大气十分上档次，有些朋友有疑问这海尔75电视怎么样，真的好用吗，说实话这海尔(Haier) 超级玩家 75，刷新速率 蓝光护眼无屏闪 超薄 视觉效果好，声音效果也很爆满！运行流畅 3G内存就是好！安装工人耐心细致
君***0,star5,外形外观：海尔大品牌电视超薄无边框，做工质量放心?运行速度：内存3+32运行特别流畅不卡顿，可以安装很多软件，还支持云游戏。屏幕音效：电视自带音响前后都有喇叭，支持杜比音效。电视显示色彩很好，看高清电影特别清晰。
j***2,star5,很流畅，很清晰。还有儿童模式。再不用担心孩子们看****。可以设置年龄，匹配相应视频
胖***肉,star5,外观美观大气运行速度速度很快，暂时没有卡顿屏幕音效画质非常好，色彩逼真尺寸大小合适刚好安装同步安装不复杂，我选的挂架，安装师傅专业功能效果功能还可以，够用了，这款电视！性价比非常高。色彩清晰。带有语音控制功能。反应快。内存大。非常大气。75寸大液晶屏，放在客厅。正合适。还有各种功能。非常非常的实用方面。
一***風,star5,海尔电视120Hz玩家系列，海尔老牌子，质量过硬，加上他的客服服务热情，售后很给力，我经常性在海尔买家里的所有电器都是海尔的，包括热水器，洗衣机，电视，采暖炉，空调都是海尔的，非常好，老牌子值得信赖！
j***m,star5,外形外观：整体看起来很大气运行速度：很快，不卡顿尺寸大小：75寸即送即装：安装师傅很贴心，给调试好了才走的功能效果：很清晰，屏幕也很大，对于近视的我来说很友好
