https://item.jd.com/100064060629.html,"['京鲜生新疆克瑞森', '100064060629', '2.36kg', '新疆', '红提', '云南', '冷藏', '国产']"
用户名,评分,评论
j***a,star5,自营红提，分量很足！个头大小不一！坏果不多！但掉珠挺多的，集中在箱底，不过长途运输可以理解！总体还行吧！就是等待时间有些长
j***w,star5,葡萄品种确实不错，并且无子。让我吃起来很我感觉。香甜可口物美价廉非常的不错，下次一定还会复购。非常的感觉，这个葡萄一定很好吃。
浅***水,star5,京东物流速度很快，昨天下单，今天就收到了双十一活动，和上次买的价格其实也差不多，只不过这次的葡萄，提子要比上一次的要大很多，上次发过来的全是非常非常小的，不知道是不是品种不一样啊。
邂***外,star5,很满意的一次购物消费品尝体验！谢谢老板！京东自营的就是给力，经常在贵店支持贵店铺购买下单品尝水果，水果种类很多，水果很新鲜，希望多来一些活动，福利价格，这次是79元左右下单的，收到后很满意，还有保温箱送达上门，配送员服务态度很好！
q***g,star5,口味不错?就是脱落太多，大半。
I***期,star2,买了两筐 一筐像是被拔了一样。另一个筐完好。强烈建议商家发货请贴封条。看着一筐像是被人拔着吃过一样。
追***有,star5,京东自营水果买的，物流时效相当有保证。这次整筐买的，非常合算。提子没有坏果，无籽，皮薄。带着清香味，甜度相当高，吃了基本就停不下来。
婇***芩,star5,这款科瑞森我买过很多次了，一直很喜欢吃，天分高水分也好，而且没有籽，孩子也很喜欢，这样一筐能吃一段时间了，这次的个头比以前的大一点，颜色比以前的淡，前几次都是深紫色，不过这次口感还不错，等吃完再来
2***m,star5,这种葡萄表面看起来是很新鲜的，日期确实也是很近的，物流也是做到了验码签收，保证了到达的及时性，份量充足，价格贵了，比进口红提差一点，但价格确实差不多，皮薄不是很脆
j***Q,star5,收到一大箱，味道吃起来还是可以的，脆脆甜甜的，每个颗粒都很饱满，小部分有些许瑕疵，洗的时候用时稍长些，总体来说还是可以的，期待京东生鲜产品可以越来越好，多搞活动，给大家带来更好的体验
