https://item.jd.com/4459693.html,"['京鲜生海南小青柠', '4459693', '0.54kg', '海南', '小果（60g起）', '青柠檬', '海南', '冷藏', '国产']"
用户名,评分,评论
j***e,star5,愉快的收货，忠实粉丝，经常购买。喜欢柠檬的清香味道，尤其是这款香水柠檬。也会时常买给家人。是餐桌上美味佳肴的必备配料，不论是是蒸鱼还是牛扒，滴上一些口感更清香可口，止油腻。平时多喝些柠檬水，很好的补充维c，更是自制水果茶必不可少的好帮手，口感效果非常的好???会再次选购本品。每次都会买几斤，用不完的用保鲜膜包好锁鲜放冰箱保存效果会更好，保存时间会更长哦。信赖东京，服务一流，品质有一定的保证，用着放心。每次货到快递小哥都会暖心告知，安心购物就在京东，选择京东就是对的。
穿****,star5,这个真的很不错，没有籽，不会有苦涩的味道，整体也很清香，另外在某平台学别人直接洗干净后冷冻2小时后切开分开冷冻保存，真的很不错，要吃的时候取一瓣出啦
尘***0,star5,多年在京东上购物，最想说的就是不论是电器，还是日化，以及生鲜，品质和服务都有保证，京东自营的物流，服务态度超好，这也是多年信赖并且一直回购的重要原因，无论是售前还是售后，有问题联系京东平台的客服，解决问题的态度与速度也是比较让大众放心的，所以对于我这种没有时间去实体的人来说，特别喜欢在京东自营购物，放心省心，继续回购。
j***g,star5,这是一个好评模板。因为本大佬很懒不想每个产品都写好评所以特地写下这个模板，以前不知道～评论可以涨积分，现在才道好评的重要性，妥妥的每条都来评论下，赚积分，下次还能抵现金用。评论80个字以上，可以得到50个积分，我无论买什么东西都会把这个段话复制粘贴下凑够字数。这是第 N 次在网上买东西了，棒棒棒，东西便宜而且质量好，物美价廉，买的放心，用的开心，感觉都买。上瘾了，买买买，根本停不下来，东西品种多而且又特别全，划算方便，而且实惠，包装很好，而且没有任何损坏，会一一直支持下去的，服务还可以一超级好用，好评，下次再来！
n***5,star5,"质量非常好,与卖家描述的完全一致, 真的很喜欢,完全超出期望值,发货速 度非常快,包装非常仔细、严实,物流公司服务态度很好,运送速度很快,很满意的一次购物质量很好, 希望更多的朋友信赖. 店主态度特好, 我会再次光顾的好卖家 赞，发货迅速，态度很好，很满意！很好很好！网上购物这么激烈，没想到店家的服务这么好，商品质量好而价低廉， 很热情的卖家，下次还来希望下次还有机会合作祝你生意兴隆质量非常好，出乎我的意料包装非常仔细。下次有机会再找你，店家人蛮好的，东东很不错,淘到心意的宝贝是一件让人很开心的事，比心，质量非常好,与卖家描述的完全一致, 真的很喜欢,完全超出期望值,发货速 度非常快,包装非常仔细、严实,物"
j***f,star5,夏天和酸酸甜甜的青柠百香果柠檬蜜茶分不开呀，趁着这几天阴雨天宅家给自己做了一大的青柠百香果柠檬蜜茶，放置冰箱里，感觉真的超级快乐哇?第一次在京东上购买生鲜，下单后送货上门并且现场验货，不满意当场可退…服务真好，购物无忧了…打开后，青柠颗颗都很新鲜，大小匀称，味道也是超级酸爽?
o***7,star5,宝贝真不错，做的真细心，值得拥有，快递很快这个产品和它价位相比来说，还是很合适的宝贝收到啦，实物真的好看，价格非常实惠，强烈推荐这款，超级喜欢质量非常好，客服态度非常非常赞，有问题及时给解决了以前一直都是在实体店买，这次选择了网上买，不光是正品，价格还实惠！
k***n,star5,柠檬很新鲜，很满意，夏天到了，用来做柠檬茶喝，有时候直接用来泡水喝也挺好的，物流也很快，包装很好，到货时比较惊喜，柠檬没有一点损坏，还特别新鲜
懒***狗,star5,凑单的时候买的，超喜欢这个青柠檬，一盒有五个，照片里是已经用了几个了，切片用温水泡一下，再加点蜂蜜什么的，夏天喝一口，简直超棒！
j***s,star5,小青柠是买奇异果换购的，不错，不错，切开满屋都是青柠的香气，泡水喝，自制青柠果汁，泡苏打水喝都相当好喝，夏季喝青柠很醒脑的。
李***鹏,star5,这种柠檬泡水刚刚好，酸味儿适中，很鲜很脆，喝进嘴里很清爽，尤其是吃完那种比较腻的食物，比如说火锅，羊肉，大盘鸡，麻辣香锅之类的，喝点儿真的很清口，除此之外泡茶的话放几片柠檬，真的是别有一番风味，??
j***啡,star5,吃过了来评价，味道和黄色的柠檬有所不同泡水挺好的，夏天一到雨季真的不想喝白开水丢几片柠檬就不一样了。买了好多种这个还是有点满意汁水很多。满意  快递神速 服务好！五星好评！谢谢！
j***f,star5,青柠和黄柠一直在京东上买 皮很薄 汁水很多 到货很快 快递员会给送货上门 很方便 赶上活动价格还是比较优惠划算的 性价比高
戚***猫,star5,柠檬非常的新鲜，也是偶然一次喝到了同时代的那个香水，柠檬就感觉到非常的不错，然后就自己盐城市购买了很棒，不错不错，很喜欢
m***e,star5,切一下泡水或者泡苏打水特别好喝，还可以调酒，味道很清新，夏天必备，京东物流很快，第二天就到货了，推荐哦，很新鲜，没有坏的。
一***熙,star5,这个青柠很新鲜，包装都是一个一个包装到货，速度非常快，包装也比较完整，青柠比较新鲜，下次还会购买京东到货，速度快质量比较好
z***7,star5,物流超级快，不到一天就到货啦。这次购买的香水柠檬个头比较大，都是单独包装的，以前买过别家的香水柠檬，没有这个大、也不是独立包装的。独立包装易存放。
n***9,star3,活动期间购买。
j***y,star5,海南香水柠檬还真是不错。它个头大还新鲜，它独有的香水味道让人回味无穷。夏季用它沏水再放入一些蜂蜜，稍稍冰镇一下，既解渴还解暑。
F***D,star5,买来泡水喝的，一个两个人泡水喝了一天，补充维生素c，又清新又健康，对女生很好，用盐清洗一下外皮就可以了，美白又好喝，每个大小都很均匀，不过被我放坏了一个，有点可惜
c***9,star5,京东的柠檬很新鲜，每次发过来的都很好，所以经常购买。家里平时都爱喝柠檬水，提前切片冷冻，每次拿一片很方便，而且冻干片更新鲜更方便。
购***人,star5,包装好，物流快，价格实惠，比超市便宜多了质量非常好，客服态度非常非常赞，有问题及时给解决了本来还很担心东西不好，拿到手发现完全多虑了，五星好评
b***i,star5,香水无籽柠檬已收到，昨天下的单今天就收到，就喜欢京东配速这个速度，方便快捷！买了两斤香水无籽柠檬，一盒五个，个头好大，果子新鲜，独立包装。还未开始喝，待喝了之后再来续评，五颗星好评！
b***r,star5,这个柠檬每一个都很新鲜，没有坏果子，买回来做咸柠檬的只需要用盐搓洗干净表皮，再用清水冲洗干净在放太阳底下晒几个小时晒到表面水分干。就可以腌制了。
c***g,star5,收到货，第一时间拆包装，质量非常好，与卖家描述一致，完全超出我的期望值，包装很仔细、严实，总的来说这次是很满意的一次购物，经济、便宜、质量非常好，与卖方描述的完全一样。非常满意，完全出乎意料，超划算，划算，购物比实体店便宜多了
j***m,star5,水分很足果子也很新鲜整体上不错个头均匀比超市的便宜了很多，划算。这家的不论口感还是品质都有保障，味道也比较喜欢，做出来的饮品效果不错，还会继续来回购，一直在贵店买青桔，每次都是那么新鲜。
