https://item.jd.com/3509912.html,"['京鲜生百香果', '3509912', '0.98kg', '广西', '中果（70g起）', '紫色百香果', '国产']"
用户名,评分,评论
一***n,star5,自营的大果没有让我失望，收货后发现个个都很好，很新鲜，立马做了蜂蜜柠檬百香果茶，比外面买的奶茶健康好喝多了，主打省钱美味。
Q***钱,star5,买来做柠檬百香果蜂蜜水的，一箱一共有12个，28块钱，百香果质量非常好，蛮新鲜的，吃完还会再回购的，先给好评，推荐给大家
A***格,star5,百香果很香，JD的物流还是很快，次日就到了，买的水果服务也有保障，活动力度很大，适合日常购买，品质不错，物流好评，还会回购。。。
j***r,star5,"夏天孩子不爱喝水，经常给儿子做的百香果蜜，补充VC,果特别新鲜，没有腐烂和长毛的，果很大，果肉也多。经常在自营上买，特别值得信赖。"
穿****,star5,物流配送很快，客服服务态度也很好，very good and very very nice，客服值得点赞?真的很好??
8***静,star5,黄金百香果已经收到货了，京东物流飞速同时京东快递员也十分给力！这款百香果个头超大品质非常好，而且是礼盒装非常养眼也非常有质感！黄金百香果甜度很高，维C含量最赞！含氨基酸巨高对健康非常好！刚好今天起就到中伏了更加潮湿非常需要多多补充维生素C，超级值得推荐购买的一款黄金百香果！
L***u,star5,果品新鲜，个均匀，果肉饱满，很好吃，吃完还会回购的。就是打开吃完才想起拍个照，果肉不见(吃完)，只有果壳了?
w***5,star5,一直很喜欢用百香果泡水喝，尤其用柠檬一起，口感更好。故下单购买，产品质量还不错，果实大小匀称，很新鲜，物流也很快，包装也不错，会选择复购。
u***q,star5,看起来不错，质量非常好，非常满意的一次购物。客服有问必答，非常专业。京东的这个平台很好，比实体店还要方便，给售后点个赞。
j***f,star5,第一次在京东上购买生鲜，想着买来做些百香果柠檬蜜来喝，下单后很快送货上门，然后直接开箱验货，不新鲜可直接退，当时觉得呀，服务真好，购物无忧了…打开包裹后，百香果颗颗都很新鲜，大小也很均匀，开果后，果汁肉都很满，直接吃或者泡水喝，感觉都非常的Nice…
心***迷,star5,上次买的吃完了  自己做柠檬百香果 每天下班回来喝两杯 京东自营的百香果  一个坏果没有  配送速度快    物流真的快
8***静,star5,红百香果已经收到货了！京东物流巨巨快，同时商品包装的也非常好，已经是第四次下单了！红色放2粒黄色放3粒，就可以冲满满一大瓶子维C饮品！超级适合夏天，非常棒！都是天然水果没有科技含量非常非常棒！
j***d,star5,很大很脆，甜甜的，有淡淡的桃味儿，家里老人孩子都很喜欢吃，正准备复购，最近的水果都是在网上买的，基本没踩现里面排列着很多黑籽，形成美丽的图案。咬上一口果肉细嫩多
不***情,star5,很不错的一次购物体验，价格实惠质量不错，用来泡水喝的，配点蜂蜜 一份健康清甜的下午茶就做好了，果香味浓郁汁水丰富，两个果就能冲泡1500ml
x***g,star5,放到冰箱都可以很久。非常新鲜，闻着就有一股清香 味， 很好闻， 用来泡果汁， 外皮特别红是熟透的 果子， 香香甜甜，太美味了，物流速度很快 。没有 坏果， 又大又新鲜。包装完好， 看着就想吃没有坏 果。
c***9,star5,一直在京东买水果，特别好特别新鲜，这次买了好多除了百香果和柠檬还有小青桔，用来做柠檬百香果茶。而且京东服务很好，快递送货上门。
W***W,star5,一款非常不错的产品哟 京东自营的东西基本上没话说本来是没有抱有特别高的期待的 但是到货以后发现品质挺好的 没有坏果 味道也是很不错
s***1,star5,每天一杯百香果蜂蜜水，已经坚持了很多年了，喝完才能舒服，每天早上一大杯，通便又补充维生素，特别好，现在价格便宜，冬天就该贵了。
j***1,star3,百香果还没成熟，都是绿色的
喂***的,star5,一直在京东京鲜生购买水果，这款广西特产百香果个儿大，很新鲜，切开来，里面汁水饱满，果肉清香，全部挖出来冷藏着，随时泡水很方便。
c***9,star5,经常购买每天吃，家人也经常吃，吃法也很简单，直接切开使用勺子挖着吃就行，我更喜欢?酸一点的，酸酸的甜甜的，更加好?吃。
春***子,star5,果子新鲜，包装也很好，一点都没有损伤！果子也很大，香味浓郁，泡水喝味道很香浓，是夏天的味道呢。百香果和柠檬真的是太配了，泡水喝可以增加每天喝水量又可以补充维生素，真是一举两得
g***t,star5,百香果特别的大，每个的汁水都很饱满，比冬天买的要好很多，推荐大家购买，买来用来做柠檬百香果茶的哈，夏天家人孩子们都爱吃。
东***u,star5,家里百香果吃完了，二话不说直接下单买了四箱。京东的京鲜生的水果没得说，一个字棒。到货之后直接切了两个泡水喝，十分美味。十分推荐大家购买?
j***x,star5,很好的。已经回购多次了，每次质量都不错。黄色的会甜度更高，我会跟红色的搭配一起吃，就会酸酸甜甜的了。家里平时不爱吃水果的人竟然也开始喜欢吃了。
C***6,star5,第二次购买了，味道非常不错，价格实惠，包装很好，值得购买！一天四、五个，很快就快吃完了，补充维生素最好了，还不长胖，值得购买！！
锦***a,star5,第一次在这买百香果，果子都挺好的，每个个头都挺大，可口的酸爽，跟蜂蜜一起用来泡水喝，再冰到冰箱里面，很适合夏天解暑，好喝
0***0,star5,前几年吃了很多的百香果，直接吃、泡果茶，真的很不错，今天又在京东自营店里买了一箱广西百香果，太爽了，个头真的很大，味道非常好！直接上图！感谢京东快递小哥，这么热的天还送货上门的！
w***5,star5,一直在京东的京鲜生这里买水果的，这款广西百香果超好吃的，孩子很喜欢，放几天等皮干些了再吃，就更美味了，精选大果12个装，比外面买的好，且便宜。
u***9,star5,京东自营店购买的，百香果个头很大，非常新鲜。京东自营头天下单，第二天就到了。根本不用担心水果的品质问题！百香果香味扑鼻，每天冲一杯满满的VC！
