https://item.jd.com/5254604.html,"['佳沛佳沛阳光金果 12个装', '5254604', '1.85kg', '新西兰', '阳光金果', '冷藏', '进口']"
用户名,评分,评论
1***m,star5,金奇异果经常购买的，家里老人孩子都喜欢吃，京东送货上门，方便快捷。放上几天，变软对切，非常好。这款22个／箱大果送亲戚朋友也很好的。
J***型,star5,最喜欢佳沛的金果，个头大，水分足，一个就满足。家门口水果店一箱248，京东199，这次碰上做活动，买金果送进口火龙果，真的超划算。这种好事只有在京东能碰上，加之水果生鲜都有售后保障，家里的水果都是京东平台承包了。
j***q,star5,每週都在京東購買佳沛金奇異果，質量相當好，奇異果新鮮，個頭也很大，每天一個好吃又營養。在京東購買這款水果好多年了，一直都很好?包裝仔細，物流快捷，快遞員服務態度也很好。今天上海大雨，感謝快遞員冒雨送貨到家。
小***d,star5,一起买了三四个个种类水果 发货很快 猕猴桃算是很意外的 个头小小的 颜值不高 但是黄心 味道很正 绝对是甜甜的一点点酸 宝宝喜欢吃 一次一个大小还刚刚好 哈哈 很不错哈！
l***w,star5,很大一个。饱满的大果。一整箱，实在太棒也。建议大家也买来吃。真的不错吗。好东西值得推荐。鲜，甜，大 。已经是很诱人了。送人都不钱
虫***且,star5,隹沛奇异果真很好。每一次都满意，送货又快个头均匀，每个都很好吃比较甜，今年我已经买了不知，多少次，每天一个一直在吃。相信京东不会错的。
广***蓓,star5,爸妈很喜欢吃佳沛奇异果，今年已经买了几箱，物有所值，奇异果个头饱满，味道酸甜有滋味，偏甜，表面没有毛毛，维C含量也很高，会继续支持！
大***9,star5,水果新鲜，淡淡的清香，口感清冽，老人特别喜欢喝，物超所值，性价比高，大品牌值得推荐信赖！水果新鲜，淡淡的清香，口感清冽，老人特别喜欢喝，物超所值，性价比高，大品牌值得推荐信赖！
j***6,star5,家人们就好这口，虽然夏季新鲜水果价格便宜，但还是不惜重金，下单了这些。吃了再买，一如既往。因为口味甘甜，回味久远，不可缺失！吃光了没来得及拍照，借图一用，谢编委
w***1,star5,早上下单，下午收到的佳沛原箱金果，打开一看，惊喜发现是难得的16个，个个超过200克。防压包装，快递规范，个个完好，金果新鲜，质地佳，味道甜，果汁多，口感好，享受补贴价，感恩，感谢！
c***8,star5,多次在京东买金果，物流一如既往很快。原箱装的金果个头很大，品相很好。不过这一次内包装的白色塑料格被压碎了，导致其中一个金果被压裂了一个大口子。申请了售后，也很快得到了反馈和服务，很不错。
j***a,star5,我们全家最大的口福就是品尝新西兰金奇异果！常年购买！也只有京东大平台才能享受到的高端品质优质水果！为京东点赞?
w***1,star5,无限回购的金果品牌，这次趁着京东补贴回购了一盒大果，吃了一个不软而且还挺甜，还是大果吃着过瘾，赶上活动性价比也是很高的。
s***城,star5,真的巧巧巧好吃呀，很好吃呀，口感细腻润泽，回味甜甜的，挺不错的味道酸甜可口，大小均匀皮薄汁多，营养美味好吃不贵，促销价格79.9一箱10个巨大果，平均在156-159克。果味浓郁 很喜欢吃，带着他的香气，透着淡淡的果香口感真的很赞。
佳***0,star5,终于收到货了，第一次买超大果，平均大概150g左右一个，超大满足的奇异果，对半切开慢慢挖着吃，皮很薄，汁也很多，很甜，有几个已经熟了，其他的放冰箱还能放一两周，想吃就拿出来放一两天就可以吃，，挺新鲜的。
雨***n,star5,金果个头不小 22个果子大小均匀 昨天晚上拍的今天上午就到了快递很给力 我家小好闺女很喜欢吃连说跟店铺里买的一样好吃 比在实体店买的稍优惠一点 总的来说这会的水果比较满意
j***q,star5,一大早收到了京東快遞，非常感謝快遞員高溫天氣送貨上門，服務態度相當好！這款每週必買的佳沛新西蘭金奇異果，質量一直很好?奇異果新鮮、個大、量足，味道佳，京東的包裝仔細，冷鏈運輸周到，一直在京東購物，從來沒有失望過。
悦***3,star5,新西兰佳沛黄金巨无霸个头大，水分很多很甜，一家老小都喜欢，买上几盒送几家老人是最佳之选，吃出健康，遇到京东搞活动，价格很实惠，赞
H***e,star5,这个家配筋奇异果已经是家里，每年定时定时整箱整箱购买的必备品，小朋友喜欢吃大人，老人家都喜欢吃哦，酸甜酸甜的个人感觉吃起来没有像以前吃的这么甜的味道轻甜鲜甜，现在品质感觉没有以前的好吧，但是精通家的这个家佩奇，我每次收到都很放心，没有一个坏的没有坏的，这个是很放心的物流也快
n***8,star5,物品收到，包装精美，做工质感细腻，戴上以后一点也不过敏，没有不适感，镀层工艺突出，性价比非常高，大品牌，值得信赖，值得购买。多次回购
幸***0,star5,很好吃很好吃很好吃很好吃很好吃，很喜欢孩子最爱，现在都喜欢在京东买吃了，有保证大品牌大平台，感谢京东商城，很甜很甜很甜很甜很甜很甜很甜，然后呢
阿***沙,star5,收到货很新鲜，前后买了三次自用加送人它到货不是那种一下子全熟的放冰箱慢慢变软软透了甜度非常高，口感相当好质量不比某果园差但价格划算
j***秉,star3,一直都在京东买水果，这个金果也是买了很多次了，楼下邻居阿姨很诧异我买水果在网上买会不会不太行，果断开箱给她看了看，看后说回家要她儿子也在京东买了给孙女吃，每次买的果子的成色都很好，这次等采购到货了才发货，刚采购的，要等个几天才能吃，包装也是没话说，很新鲜，放了几天吃，很甜，非常好吃，维c含量应该也不错，女儿非常非常爱吃，之前一直买的特大，这次做活动，买的是经典个头的，大小跟土鸡蛋大小差不多，也只有4块多一个，口感和特大巨大是一样的，做活动单个价格也只是超市的一半多超市都是10块，12一个，吃不起！
j***i,star5,物流超级给力，当天下单隔天就到货了，太棒啦！收到货打开盒子没有一个是坏的，太满意了。收到时挺硬的，放几天变软了吃持别甜，吃完还会再来！给产品和京东物流五星好评。
j***e,star5,这次购买的22个一箱的金果个头非常大，果实饱满，水份充足，口感酸甜可口，发货送货快速，包装完好并增加了防碰撞措施，无坏果烂果，总的感到非常满意。
死***粹,star5,果子超级大，最大的一次。很好吃，酸甜，不过更甜一些。不软不硬，刚刚好。还会继续购买奇异果，特别适合女人小孩吃。买过好多次了。
j***m,star5,这次的猕猴桃个头还是比较匀称的、有几个比较熟，大多数很好，一天吃一个，满满维生素C，甜甜的，好吃又有营养。还会继续回购。
j***N,star5,佳沛品牌的猕核桃金果是我一直购买的商品。因为它品牌好，又是在京东自营店购买，质量有保证，我已经买了N次，包装完好无损，金果又非常好吃，甜度很高。每天一个，补充维生素C非常好。
