https://item.jd.com/100002445994.html,"['京鲜生玫珑网纹蜜瓜', '100002445994', '5.0kg', '山东', '哈密瓜', '蜜瓜', '冷藏', '国产']"
用户名,评分,评论
大***n,star5,经常在京东上面买水果啊，这一次买了五六种物流很快，第二天就到了水果的也是比较新鲜，比超市里买的要好价格也比较公道。下次做活动的时候再买一点。
邓***2,star5,好爱吃的水果真心推荐，吃起来一点糖分没有呢，必须给这么好吃的东东给个好评味道很轻松，很香甜，吃起来呢也没有一点福分，相信就是这个味道
w***n,star5,我喜欢的哈密瓜，我喜欢黄皮的哈密瓜，前两年就买过很多次这款的哈密瓜，很好吃，不过有几次也不够熟，没那么甜。总之看到哈密瓜还是很喜欢吃的。
你***4,star5,蜜瓜价格挺合适，一下子买了六个，比哈密瓜好吃多了，下次，还是买这个比较好，颜色也比较好看，非常正宗，好吃又有颜值，下次还会买的
用***5,star5,价格实惠，性价比很高，很满意，很实惠，很好，不错，真的很满意，京东快递不错，快递不错，京东商城不错，很满意，下次还会再来
天***累,star5,哈密瓜个头很小，吃起来确实很甜，但也就仅限于靠近中间瓜瓤的地方，吃到靠近瓜皮的地方就没什么味道了，口感是比较脆的。还行，有机会再买。
9***马,star5,这个网纹瓜我最喜欢吃了，口感绵密而且很甜，有时候的瓜不太熟需要放一放再吃，冷冻后的口感会更好，就是有的时候品质不太好的。
消***9,star5,这款哈蜜瓜还是很好吃的，不太甜，很脆。记得小时候就特别爱吃哈密瓜，那时北京市场上很难买到，小叔出差去新疆，回来带回两个，那简直太好吃了，现在很少能吃到小时候的味道了！
b***e,star5,超赞，超甜的， 西州蜜瓜表皮深绿、淡绿或者是微黄，网纹深浅不一，果肉厚质，中心橘红，越往中心甜度越高，爽嫩细滑，果香浓郁，该瓜中心糖度在18%以上，外层糖度也达到了13%，脆甜多汁，非常适合鲜食。[2]
深***欣,star5,年年都在京东给我爸妈买这种瓜吃，收到后，放冰箱里冰一下，又脆又甜，妈妈拍视频说漂亮的很，长时间的温差大，种出来的就是好吃些，有活动还是超值的。
