https://item.jd.com/100002860826.html,"['京鲜生85#烟台富士苹果 5kg装', '100002860826', '5.74kg', '山东烟台', '富士', '85mm及以上', '国产', '冷藏', '山东']"
用户名,评分,评论
c***a,star5,一直在京东买这个“京鲜生 烟台红富士 一级大果”品牌的苹果，所以买了2箱，物流很快、给力！第二天就送货上门，打开纸箱：包装很精细，严实，每箱上下各10个，苹果特新鲜、果大、均匀、分量足、没有瑕疵及磕碰伤，这个品牌家人都很喜爱吃：一口咬下去很清脆、甜中带点酸，果肉细腻、果汁充足、满口纯正浓郁的苹果清香味，真的是百吃不厌，值得回购！?
l***7,star5,京鲜生 烟台红富士苹果2.5kg起 果径80mm 新鲜水果礼盒已经收到了！多层包装，苹果又大，颜色鲜艳夺目，二无破损！咋二天下单，今天上午快递员即神速送货****好！五星好评！
尧***8,star5,味道不错，现在水分依然很大，刚回来有点酸，冰箱放2天酸甜可口，上下2层每层10个，值得购买。味道不错，现在水分依然很大，刚回来有点酸，冰箱放2天酸甜可口，值得购买。
她***-,star5,这苹果买了好多次了，个头很大，很新鲜，每次和家人分一个。苹果吃起来很脆，口感甜甜的，家里一直没断过苹果?京东的品质还是值得信赖的！！！
-***-,star5,收到货，第一时间拆包装，质量非常好，京东自营商品，完全超出我的期望值，包装严实，上午下单，下午就送过来，快递很棒，总的来说这次是很满意的一次购物
故***_,star5,好吃好吃，这是第2次回购。很喜欢这种味道。吃着不会很油腻。，而且费用日常吃也是可以的。吃饭的话吃我觉得最好。反正很喜欢这个味道，可以尝试一下，比那种算的要好吃，我觉得
新***祝,star5,物美价廉 老人喜欢 可以试试 外包装大气上档次 方便携带 适合囤货 苹果香脆可口 甜酸适口 京东物流一如既往那么强大 建议多买一点
j***3,star5,苹果是非常非常的新鲜啊，水分甜度很足，酸酸甜甜的，入口极好，家里老人小孩子都抢着吃，这次一次买啦三大盒，价格也实惠，性价比高。京东物流也是超级快，一般隔天早上就收到啦。
g***0,star5,品质优良，水汁丰富，新鲜有保证??胸松松的特别可口，一家人都爱吃、常吃，健康水果，日常必备??极少有坏的；保护到位，碰伤也没有????
廉***云,star5,苹果很好，个个都是大果，买了寄回老家的，孩子拿到就吃了一个，说很好吃，很甜，水分很足，会继续回购的！
s***1,star5,很好吃，很脆很甜，很合适，买过好多次了，物美价廉，特别合适。很喜欢吃。老人小孩都喜欢吃。很棒。吃完会继续回购的。量也多。特别棒。
y***0,star5,物流很快，没有坏果。苹果又红又大，脆甜，对于家里一天要吃几个苹果的小朋友来说，真的很优惠。第一次网上购买，很满意，好吃又方便。
袁***小,star5,京东的水果真的太新鲜太合适了，水分充足，味道好，个头也大。包装精美，没有磕磕碰碰，没有坏果。多吃苹果，让身体更健康，补充维生素。
n***0,star5,以前觉得在网上买水果都是很不靠谱的，经常是到手的时候多多少少都会伤到还有的直接烂掉的，所以后面自营的给我很大的信心指数，因为快递小哥一直都细心呵护很少伤到而且脆甜爽口的东西
j***a,star5,12个果子，个头儿不大，很甜，性价比不错。京东快递次日达，买来减肥用的，早上两个苹果，中午酸奶和西红柿，晚上就不吃了，希望达到减肥的效果。吃过很多种苹果，还是富士苹果最好吃。
F***S,star5,京东自营的各种生鲜质量都不错，经常换着购买。这款红富士苹果非常新鲜，脆甜汁多，个头均匀份量足，非常好吃，家人朋友都喜欢，还会购买。京东自营包装很好物流快，活动价格优惠，强烈推荐。支持正品支持京东。
j***4,star5,味道甘甜爽口，嘎嘣嘎嘣脆，非常好吃。包装也很完美，个挺大打仔细看了一下，没有发现什么损坏的地方旦价格实惠。
l***1,star3,"基本没有认真评价过不知道浪费了多少积分这个福利真的不错妥妥每次都写一百多字,这是是第N次买东西了,棒棒棒,好厉害好东西便宜而且质量好物美价廉,买的放厉害心,用的开心感觉都买上瘾了,买买买,根本停不下来,西品种多而且又特别全,划算,方便,而且实惠,包装很好,而且没有任何损坏,会直支持下去的,服务还可以。这是一个好评模板,因为我很懒,不想每个产品都写好评,所以特地模仿位网友写下这个模板,但但是这个产品无论是质量还是外形肯定都是我喜欢的,如果不喜欢的话,收到东西会很生气,然后这个模板就会变成本人喋喋不体的抱怨书,自然不可能撒下这个好评,这里写下,也给各位~一个参考这个物品很棒。"
