https://item.jd.com/100002967883.html,"['京鲜生金枕头榴莲', '100002967883', '2.25kg', '泰国、越南', '金枕头', '鲜榴莲', '1501-2000g', '控温', '进口']"
用户名,评分,评论
j***q,star5,这个榴莲肉是经常回购的，，口感软糯香甜，，真的很好吃，，榴香榴香的，，有优惠活动时都会多买一些，，吃够吃满足，天热吃很爽。
一***理,star5,高品质的榴莲，到货3个非常好。收到货当晚开了一个还不够熟盖回去和苹果香蕉捂袋子里，第二天稍软就吃掉了。非常香甜非常好吃，另外两个没熟品相也非常好，老公都赞不绝口说还要再买
H***暖,star5,物流非常快，包装非常好，越南金枕头榴莲超级大个，非常好，这次京东做活动买了一件，非常的好，非常的好吃。下回还会选择的。超级大个
J***x,star5,此次购买的商品，从以下几方面评价：1.与产品描述一致；2.商品价格合适，性价比较高；3.物流配送很好、很快，服务体验很满意；这次榴莲有点一般，3个小的，但都有虫孔，客户帮忙退货换货了。服务很好。综合是一次开心的购物体验。
j***v,star5,收到3个果，看果型都还可以。开了一个（左下角那个），成熟度正好，软软糯糯超好吃！3大2小五房肉，2.55公斤的榴莲，出肉1.1公斤。我满足了。
猪***彩,star5,第二次买京东的榴莲了，这次果型比第一次好很多，肉很饱满，虽然其中有点小问题，京东的售后都很快的给解决了，大赞，以后有活动还会买
j***e,star5,特别甜 就是天气太热了 有一个熟过了 而且售后特别快 好评 价钱也特别合适 挺好的一次购物 以后有优惠的时候还会再买 好评
j***m,star5,3个果型都不错。。味道很香。很甜。。当天下单。当天晚上就在广州仓发顺德了…第二天中午就顺达…外箱是泰国榴莲…应该不是越南的…
尼***丶,star5,很可以 非常好吃 非常甜，出肉率也很高，核也不大中规中矩  总体很满意，主要今年榴莲现在价格便宜，家里也都喜欢吃，美滋滋。下图是一个的量 ，一共发了3个。
k***n,star5,包装严实，质量很好，没有破损，物流也很快。早上下单，下午就收到了，京东物流好评！开了一个，感觉有点生，剩下两个再放放吧。
j***9,star5,赶着有活动时买的，物美价廉，榴莲的味道不错，软糯香甜，夏天天热的时候来一盒，又凉爽又香甜，美极了，像冰淇淋的口感，哈哈哈!
Y***G,star5,京东自营的产品质量都很好，想吃榴莲了，这次买的榴莲也很好，包装严实，成色不错，到手成熟度还不够，等2天再吃，称了一下有5斤多，还可以。
j***Y,star5,很不错呢，这是这个月第二次京东自营买榴莲了，每次开盲盒都很不错！这次收到的是三个榴莲，大小合适，开了一个有五房。三房大的，两房小点，干包！！
y***8,star5,还可以，皮挺薄的，出肉率也挺好的，味道挺不错的，主要是比6月份买价格低了50元，挺划算的，物流速度也很给力，很不错的一次购买。
飞***8,star5,我是不爱吃的，但是老婆孩子都吃，整天跟我念叨吃榴莲，对于买水果我是真不擅长，凡是带皮的我就买不到好吃的，所以我很少买水果，突然就想到了京东，然后就获得了老婆孩子的一致好评。一定会再来的，希望商家保证好目前的质量。
g***0,star5,今年第5次买榴莲，2个果，个头均匀、饱满，今天开了一个，总的出肉率43，我已经很满意了，核特别的小，肉糯糯的好吃，相信京东自营的品质
m***4,star5,好评！榴莲的重量是符合的，包装也很好，送到手没有破损，京东物流很给力！榴莲虽然不大，但是果肉很好吃！入口非常好，不是粉粉的的那种也没有坏了拉丝发酸，很甜，就是刚刚好吃的样子！家里人吃了都说好吃，买的很值！
j***儿,star5,j榴莲非常满意，非常不错，足斤足两在范围之内，拿回来就闻到一股香味，非常好，信赖京东自营店，京东自营物流超级神速，好评好评好评好评好评好评好评好评好评好评
月***家,star3,自从2015年舍弃**，用了京东，其他购物网站基本就放弃了，看中的是京东卖正品，服务到位，我作为京东PLUS会员，一定要良心好评，可以说京东秒杀一切电商平台，价格也比实体店便宜，基本上我的评价就是，服务满分，售后满分，物流满分，特别说一下京东物流速度真的很快，今天买明天到，京东快递员服务更是没得说，用我们老家的话，东西基本就给你送（床上）炕上了，一有问题你打一个电话，专属客服很快就给你处理完毕，让你很满意，满意到无可挑剔。如果买生鲜，你就是买跟冰棍，收到以后还是硬邦邦的。反正在京东购物五年以来，没有一次失望过，每次评价都是全五分。除了一碗热气腾腾的拉面，你在京东买不到，其余就是没有你想不到，没有你买不到的。我这个人做事一丝不苟，因为在京东买的东西太多太多了，很少有买到比较坑的东西，如果我用这段话来评价，那基本就是这款产品没有问题，至少在90分以上，总而言之，言而总之，京东购物就是非常满意
s***u,star5,榴莲收到了，还没有吃，个头很大，很新鲜，看着还不错，吃起来很甜，味道不错，京东物流给力，隔天就到了 价格实惠，下次会回购
