https://item.yiyaojd.com/2943428.html,999三九胃泰颗粒,2943428,145.00g,中国大陆,DZK015002G,颗粒剂,通用,非处方药,口服,国产
用户名,评分,评论
咔***装,star5,价格实惠，比实体店便宜8块钱，物流很快，包装很好，日期新鲜，正品药物。有需要可以买买买买！ 药物的东西还是先咨询一下医生再买，不同体质的人可能不一样！本人感觉还不错，偶尔喝一下，保护胃，不要吃辛辣凉的东西！
遇***你,star5,物流非常好，速度很快，包装完好无损。只要不是很紧急，一直在京东买药，各类药都在京东买。保真还会在线上开处方。价格比线下药店性价比高很多。三九胃泰买过很多次了，一次买半个月的，非常便捷。
P***1,star5,宝贝收到了，太惊喜了，质量非常好，性价比很高，真是出乎我的意料！?看起来还不错，包装的很仔细，价格也非常公道，还会继续买买买！?商品符合描述，主要是活动便宜，能省很多钱包装非常结实，东西保护得很好，值得好评
j***6,star5,朋友推荐的三九胃泰，对胃胀气胃疼效果甚好，饭前喝一袋，保护胃粘膜。物流速度飞快，一天就到了，一点也不耽误使用。
j***N,star5,家中常备暖胃药，京东一直可以信赖，价格公道，药品真实，每次胃不舒服时候冲一袋，可以很快改善胃病，无论旅行还是居家必备良药，阔以阔以！
骄***仙,star5,很好，物流很快，东西很给力，性价比很高！性价比非常高?，可以放心购买?，做工非常精致?，值得购买?！性价比非常高?，可以放心购买?，做工非常精致?，值得购买?！
j***1,star5,在京东大药房买的华润牌三九胃泰颗粒收到了，物流挺快的，家里常备的药，之前买过，值得信任，胃口不舒服，喝一袋，特别好用！值得推荐购买！已经多次购买，在医院开的药跟这个是一样的，
j***j,star5,京东自营方式的销售模式，物流有保证，方便，快捷，促销活动期间购买比较划算。这款是999药业三九胃泰颗粒，治疗和缓解胃部不适有好处，大厂家，值得信赖。
x***晴,star5,三九胃泰颗粒冲击，效果不错，中成药副作用小，京东的药品价格，产品质量都有保证，物流也是超快，以后还会继续光顾京东。
不***华,star5,对于京东自营，或者说是在京东购物已经成为习惯!我一如既往的信赖和支持!我实话说跟朋友聊天的时候如果说起了在哪里买东西，我都会主动告诉他，始终京东自营因为我始终觉得京东的售后是很多很多地方比不了的!首先速度快捷，售后更加有保障!不管是买吃的!肉类，肉质松软!大米，口感特别好，而且价格实惠，松软筋道!家用的质量更靠谱!电子产品售后真心让人安心!服装售后也是相当便捷!我的第一选择都是京东自营!网上买家庭常备药，我每次都是京东上买，正品又放心!我只认京东大药房!!话费充值只选京东
纯***辰,star5,长期京东购买，东西非常好，京东售后也特别好，孩子喜欢吃，吃的用的，都上京东，价格划算，更有保障，希望多多做活动，希望价格更亲民，长期京东购买，东西非常好，京东售后也特别好，孩子喜欢吃，吃的用的，都上京东，价格划算，更有保障，希望多多做活动，希望价格更亲民，
j***1,star5,在京东大药房买的华润牌三九胃泰颗粒收到了，老牌子就是好，胃口不舒服，冲一袋喝，非常管用，家里要备上些，方便，今天下单明天送到，快递员服务好，在京东买东西值得推荐购买！
忆***7,star5,价格很实惠，性价比很高，算是平价好物，会回购的很好的购买平台，质量不错，特别是有品牌的，值得信赖物流和产品都不错，性价比高，赞赞赞???真的好喜欢，客服态度也挺好的，值！以后有需要还会来买真心喜欢，颜色、款式都非常棒！东西不错，还有优惠，可以放心省钱购买，不要犹豫了
j***9,star5,买过三次了，胃不太舒服的情况，效果还是不错的，我的浅表性胃炎偶尔发作，只要不严重，喝三九胃泰几天就好转了，时不时备一点还是很好的
浊***颜,star4,京东自营大药房的药非常好。包装很好物流快速度发货。药是正品，三⑨胃泰老品牌胃炎药，对急慢性胃病有效果好。价格合适值得推荐购买了。
袁***了,star5,WPLUS 2023-04-08|胃疼胃这几天胃总不舒服，立马想起胃泰来，翻箱倒柜，怎么也找不到了，白天也懒得去药店，果断京东下单寄到公司，第二天在办公室就喝到了暖暖的胃泰，太贴心了呀，舒服
j***J,star5,终于收到货了，非常非常喜欢，做工精致漂亮，已经被很多人夸了，真的太开心了，已经是他家的忠实粉丝了，以后还会继续买买买的整体来说还是很不错的，店家服务态度很好，而且质量也很好，没有异味宝贝收到后很满意，外形颜色也很喜欢，挑选好多家，果然没看错，希望把好物分享给大家??
天***寿,star3,我服用后感到胃一直疼，可能不适应我吧！
1***H,star5,买回来都赶紧去快递点拿了。赶紧喝上，毕竟胃不舒服。看看效果咋样。中成药，应该可以。喝着也没有说很难喝。
s***v,star5,三九胃泰收到了，还不错吧，六包装的，以前买的都是十包装的，十块钱，六包装的不算便宜，还好吧，正好运费券用不完，价格差不多，三九胃泰老药了，胃疼的时候喝一包就管用，买一些备着，效果很不错。京东药房，价格比实体店便宜。物美价廉吧，推荐购买。
j***6,star5,京东大药房，购的是三九胃泰，以治慢性胃病，2其是为了增强免疫能力，对身体很有益，其包装完好，快递迅速，服务到位，五星好评了。
