https://item.yiyaojd.com/3119481.html,京都念慈菴蜜炼川贝枇杷膏,3119481,0.706kg,香港,通用,纯进口,中成药,煎膏剂,口服,其他
用户名,评分,评论
慧***7,star5,这个是老牌子的药品，妈妈喝了效果很好。已经买了很多年了。在京东买比药店便宜很多！送货上门，速度很快！家里的东西都在京东买。又快又好又方便！
j***l,star5,上非常喜欢的一款产品，一直在使用这个牌子，效果上非常好，大人小孩都可以使用，见效快，口味也非常的好，很值得大家来购买。。
c***0,star5,在京东买的京都念慈安是正品很好用，效果不错，可以长期喝！价格便宜了很多，性价比超高，真的特别划算，包装也很高端大气上档次，值得购买。关键是买的三瓶很划算，可以长期喝！
b***b,star5,这款止咳药用了很多次了，口感不算，化痰很有效，比实体店买来划算很多，小孩子也可以用，比起来没太大负担，毕竟是中药制剂，不错。
樱***Y,star5,量大，很大一瓶，希望有效果，质量非常好，与卖家描述的完全一致，非常满意，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。
h***9,star5,物流很快，外包裝保護的也非常好，非常感謝快遞小哥大熱天的提供服務。老品牌治療咳嗽療效一直都不錯，口味也非常好，清涼潤滑的，適合咳嗽之後咽喉不適時的狀態，大大降低了吃藥給內心帶來的痛苦。
u***a,star5,这个产品是一个非常不错的产品，嗓子痛、哑、有痰必备。????????????????????????
j***p,star5,这个京都念慈庵川贝枇杷膏，家里是不可缺少的一款，止咳化痰的药，而且在京东大药房下单，也非常的方便，今天定第二天就能送到家，自认为相对价钱也比较便宜，所以说肯定是五星好评，以后还会继续光顾，相信京东平台我信自营
j***g,star5,京都念慈菴蜜炼川贝枇杷膏300ml 润肺化痰 止咳平喘 护喉利咽 生津补气 调心降火，一直吃这个枇杷膏！质量还相当不错！老年手机拍的不清楚，望见谅！
大***伯,star5,京都念慈奄是香港出口的中药，这是在京东上第二次买了。 效果还是不错的！ 京东购物速度也太快了，昨天下午订的货，今天中午就到货咯。 京东快递小哥送货上门，服务态度非常满意。
J***d,star5,效果不错，很不错的一款产品，发货超级快，到货超级快，包装很精致，真的是开启了新世界的大门……物流和产品都不错，性价比高，赞赞赞????商品收到了，包装得很好，物流非常快，客服态度很积极，有问题及时解答！总体来说非常满意！用了觉得很不错，商品质量好，发货也挺快的，总之就是很赞了
u***9,star5,念慈庵收到了，一直在京东大药房购物，这个产品也是常备的，物流很快，服务态度很好。京东物流一直又快又好。比较满意的一次购物体验。
j***8,star5,京都念慈庵密炼川贝枇杷膏治疗咳嗽一级棒，在我很小的时候，就知道这个药了，俺娘到了冬天就咳嗽，经人介绍用了这个药，效果非常好。所以知道现在，嗓子一旦不舒服，想到的就是这个药，很好用！
流***光,star5,熬过了最痛苦的三天高烧期，我愿称之为?圈最强神药，含服之后嗓子的疼痛和咳嗽的频率比起原来已经是微不足道了，真的怕咳出肺炎，一定要正确饮用，每一口不要多喝，含在嗓子眼贴着舌根的位置。
