https://item.yiyaojd.com/100018478182.html,海露玻璃酸钠滴眼液,100018478182,40.00g,德国,西药,通用,眼用制剂,外用,纯进口
用户名,评分,评论
y***y,star5,滴眼液的包装，物流送达速度都很不错，很满意。产品的质量，价格都很满意，原来一直在配镜医院购买，价格比较贵。这次购买的质量一样。
古***5,star5,真的很方便，熬夜星人一早一晚都能滴，眼睛不舒服就可以滴一滴，它后面那个地方可以按压，用起来可以手动滴进眼睛里很方便，使用效果也很好，戴美瞳也能滴这点更加好了。缓解干眼症真的有用！强推！我爱！
j***9,star5,这款海露玻璃酸钠滴眼液很好用，质量非常好，家里一直在用它，眼睛干涩滴两滴就可以迅速恢复过来，大人小孩都能用，这回套装做活动，性价比超高，果断入手，大品牌值得信赖，值得购买！
柚***天,star5,第一次使用这个滴眼液 还是朋友推荐的 因为工作原因 需要长期盯电脑 眼睛会很累 她使用过后 觉得非常好 推荐给我 果断下单 每次滴一滴 每天滴三次吧 这个没有什么要求 看自己需要 非常方便 稍微凉凉的感觉完全可以接受 缓解了眼睛的不适 还会回购
j***5,star5,真的很喜欢，稜全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。用完后感觉还不错！
y***9,star5,每一次按压正好是一滴的量，真的是一点都不浪费，滴到眼睛里面，闭上眼睛也不会溢出。滴眼液非常的温和，感觉不到任何刺激性，滴在眼睛上感觉很舒服，暖暖的很水润。这款滴眼液的一大特点是可以戴着隐形眼镜使用，让你的隐形眼镜在佩戴过程当中更舒适。
古***轩,star5,"海露滴眼液的用户评价说可以缓解眼睛疲劳,还可以湿润眼镜,养护眼睛很舒服海露滴眼液的用户评价说可以缓解眼睛疲劳,还可以湿润眼镜,养护眼睛很舒服"
已***9,star5,海露是我常年必备的滴眼液，滴上很舒服，可以缓解疲劳，缓解干眼症，做完近视眼手术之后就一直断断续续的用着，搞活动赶紧买了一瓶
f***4,star5,眼睛因为老看电子产品，经常干涩。这一款对眼睛是友好。特殊的设计，很是完美。就是在网上买的，日期大概已经过了一年了，不太完美。
j***m,star5,这款海露***钠滴眼药用于干眼症，经常看电脑手机的人很适合，618有优惠赶紧买上存着。每次滴一滴不浪费，闭上眼睛也不会溢出来，真心推荐。
浪***Y,star5,好眼药水，京东卖，大品牌值得信赖。海露滴眼液，大品牌值得拥有。京东自营，品质保证，售后服务，让人放心。京东物流，速度超快，运送安全。
S***r,star5,物超所值，商品设计完美，外观也很高大上，让人爱不释手。客服更是热情的没话说，这次购物很满意，不错，喜欢，性价比高，以后会经常光顾。
人***物,star5,海露玻珺酸钠眼药水是一款非常出色的眼部护理产品。它的主要成分玻璃酸钠类似于人工泪液，所能够有效缓解眼部干涩，不适感，为眼睛提供所需的营养和湿润。使用海露玻璃酸钠眼药水后，我感觉眼睛明显舒适了许多，干涩感得到了缓解滴入眼眼晴也不再疲芳。它的使用方法简单，滴入眼睛后很快就能感受到效果，海露玻墒酸钠眼药水不含防腐剂，可以长期使用，非常安全可靠。总之，我对海露玻璃酸钠眼药水的效果非常满意。
w***a,star5,一直在使用这一款滴眼液在中山大学眼科中心看了之后医生给开的，使用起来很舒服，平时对电脑手机眼睛会比较疲惫，用了这一款很舒服比较缓解。会继续使用
c***j,star5,自从配了角膜塑形镜，护理液就是每天的必备物品，京东有活动时价格很香，物流，几乎当天就到，省去了去医院预约检查的时间，很快
