https://item.yiyaojd.com/2943738.html,白云山10g*10袋/盒,2943738,127.00g,中国大陆,205020001,通用,国产,中成药,颗粒剂,口服,其他
用户名,评分,评论
完***8,star5,此款药品疗效非常好，孩子伤风感冒，用了不到一盒已经痊愈，纯正中药配方无副作用，老人小孩都能用，京东的药品都是正品保证，支持查询，京东物流配送迅速，隔日送达，很满意，推荐购买。
抹***草,star5,味道还是特别喜欢，甜甜的带着一点草药的感觉，对于那些轻微到感冒不适喝上几包就会缓解很多.一直没有遗忘的品牌，温暖自己每一次的不适?
u***g,star5,很好，买来备家里用的，一直很信赖的品牌，平时有点不舒服感冒就可以用上，包装物流都跟好，味道也很好接受，淡淡的甜味，很信赖
D***e,star5,非常满意的一次购物，感冒流鼻涕喝小柴胡颗粒还是相当有疗效的，京东买药非常靠谱，药是正品，快递小哥送货上门非常快，态度很好
l***h,star5,在京东买点便药真是太方便了，足不出户就可以把商品送上门，至于功效方面就不用多介绍了，老品牌老物件了，大家都懂。一于既往的支持
老***8,star5,京东快递就是快，上午下单下午就收到货了，这个必须给好评，京东自营的白云山小柴胡颗粒，大品牌值得信赖，小柴胡用治疗感冒非常有效。
j***v,star5,白云山是老牌子了，我们家一直用的这个药，效果不错。已经是多次购买了。另外，买药的整个过程都很顺利，快递公司的表现也可以。
T***耶,star5,效果很好，对于低烧是好用的，在京东大药房买的比药店便宜，物流也很快，第二天就到了！跟药店买的一样，是正品，药可不是随便敢卖假的，包装严实隐蔽
M***慕,star5,包装很好，到货了第一时间拆包装，质量正品，日期新鲜，物流快，价格比实体店实惠，正品，小柴胡认准白云山牌子，这个季节家里必备感冒药
j***c,star5,孕期上火不用乱吃药，家里人身边朋友都是用这个牌子的，吃了几包效果真的不错，药不敢多吃，但是这个效果确实很有效，配料表也都能查到的，很放心。
P***事,star5,疫情期间一直服用小柴胡颗粒效果也得到了很明显的缓解，这款药物还是比较适合疫情的症状，推荐大家购买与使用，自己也多次购买了的。
山***風,star5,最近二阳的比较多，除了自我防范意识提高，还得备上一些常用药，白云山牌小柴胡颗粒就是我必备良药，它可以治疗:解表散热，疏肝和胃，食欲不振，口苦咽干。我认为这是万能药，治疗效果也非常不错。而且是中成药，副作用小！
x***9,star5,孕期需要买了好多囤起来，要吃挺久的了。还不错。保质期啥的都很给力，一直有在大药房买各种药品，感觉都很不错哦，好评！值得购买！
s***d,star5,京东物流很给力，家里常备用药，每次都是3盒3盒的买，预防效果更好，关键成份很安全，京东大药房买的也安心，常加入购物车有活动就购买
