https://item.yiyaojd.com/8676590.html,江中乳酸菌素片 0.4g*8片*8板,8676590,85.00g,中国大陆,片剂,通用,非处方药,嚼服,国产
用户名,评分,评论
l***6,star5,第一次购买，希望有效果吧，包装设计非常好看非常不错，在小红说上面看见的，希望不是广告不是智商税，希望有效果吧，还会继续支持
1***子,star5,本来抱着试一试的心态买的，用来调节肠胃菌落的，咀嚼口服，口味非常好，每天吃几粒，两盒不到一个月就吃完了，用后明显感觉胃口变大了。
大***皮,star5,这个乳酸菌片特别好吃，走哪都想带在身上，然后吃两个酸酸甜甜的很好消化给男朋友也带了几包主要是现在走了正畸，不能随时随地吃零食了，有点遗憾强烈推荐大家别入手
j***3,star5,送货速度很快，头一天下单，第二天上午就可以到了，个人特别喜欢这个乳酸菌素片，味道很好，很有(￣～￣)嚼！头，同时效果也特别好，平时肚子不舒服或是胀痛这类吃一次就能缓解
C***帅,star5,嗯，第二次购买了，上次购买是32片的，这次购买64片的，等吃了之后调理肠胃的确有帮助，然后上厕所也挺通畅的。
喜***8,star5,买了好几回了，这次搞活动就多囤了几盒，这个味道非常得好，酸酸甜甜的。吃了饭一个小时以后就吃上四，五颗消化会好很多，肠胃很舒服，也能帮助通便。家里小孩也特别喜欢这个味道。便秘的人也可以吃的有用。而且主要成分是乳酸菌的，没有什么不良反应副作用小，觉得挺安全的，值得入手。
j***5,star5,乳酸菌素片是双向调节的，治疗腹泻和便秘，消化不良，肠炎，口味奶香味浓郁，物流发货速度很快，次日达，快递发货速度很快，好评好评好评！
J***n,star5,收到货，第一时间拆包装，效果非常好，与卖家描述一致，完全超出我的期望值，消化不良的问题得到了改善，包装很仔细、严实，总的来说这次是很满意的一次购物，感谢商家。
张***1,star5,朋友推荐的这个乳酸菌消食片，说是对小孩子脾胃虚弱有很大的帮助，而且还是江中旗下的产品，值得信赖，果断下单了没想到物流很快，孩子也很喜欢
d***9,star5,这款乳酸菌买了很多次，东西便宜而且质量好物美价康，买的省心，用的开心，感觉都买上瘾了，买买买根本停不下来。东西品种多而且又特别 全，划算方便，而且实惠，包装很好，而且没有任何损坏，会一直支持下去，好评，下次再来。一直喜欢京东购物
j***j,star5,江中牌乳酸菌素片已收到，非常喜欢满意，肠胃不好，消化不良，已多次购买了，家里备用，质量保证，京东药房比实体店也价格实惠，值得推荐
j***海,star5,第一次吃，效果很好，肠道不舒服或者胀的话吃了就可以改善，性价比还是很高的，口感也不错，包装也好，京东送货速度很快，很满意。
一***伙,star5,乳酸菌素片，吃了不胀肚了，比药店便宜。加油京东，京东购物服务超级好，送货上门，足不出户，买的放心，保真售后服务有保障，买东西我只上京东，太方便了。
w***4,star5,家中必备品，消化不好时候嚼几天，大人孩子都可以，尤其是孩子必备的常备品，酸甜口味，口感很好，助消化效果确实很好，往上购买比药店实惠，经常备着点
L***M,star5,家里人最近肠胃有点不适，总感觉有点消化不良的感觉，了解到肠胃不适有时候可以通过补充乳酸菌进行调理，因此购买江中牌乳酸菌片试一下。价格很实惠，到货速度也很快，很满意，有用的话会继续回购。
岁***盅,star5,发货和到货速度飞快，第二天就早早收到了了，包装很好很严实也没变形，收到就拆开吃吃了，希望可以改善一下肠胃，味道蛮好的样子。
可***5,star5,当时因为要出差，特别急的备一点小药，所以就会很认真的去网上买了，这个是拉肚子急用都可以的，所以我就直接选了这一款，反正每一次选他都特别放心
铁***扬,star5,包装很好无损。這款健胃消食片是江中品牌。之前一直用，对脾胃消食有好处。咀嚼吃，挺好的。京东物流很快，服务好，快递员送货上门，服务好！?！
