https://item.yiyaojd.com/100020910090.html,同仁堂10盒装 六味地黄丸300粒,100020910090,0.8kg,中国大陆,丸剂,成人,中成药,口服,国产
用户名,评分,评论
z***7,star5,质量很好哦，发货也很快，一家非常喜欢的店铺，我要疯狂推荐给朋友们 物流超级超级快！质量也非常不错，的确物有所值！ 质量很过关，品质有保障，相当不错的选择，好多朋友看我用都想买，我都推荐了 发货快，包装严实，商品质量非常好，比专柜便宜很多，客服服务态度也特别好，好评！ 宝贝已收到 ，超级喜欢，颜值高又实用，超级喜欢！???
碧***踪,star5,同仁堂浓缩的六味地黄丸，一并买了三盒，一个月的量，信任京东，也信赖同仁堂。京东物流也很快，头一天下单，第二天就到货了，赞。
j***1,star5,很好，价格实惠，简约大气上档次，低调奢华有内涵的，一直信赖京东。油品质量很好，时常买这款油。纯正花生油，花生?香味。日期也较新
j***z,star5,北京同仁堂的六味地黄丸是我经常服用的药，因为各种原因有事无法到医院去开药。偶然看到京东有且价格也不错就试着买了。和医院开的一样，包装物流都很好。
吉***r,star5,东西收到了，是正品，相信品牌。希望用后效果显著。活动的时候购买的，比较划算。生产日期新鲜，发货速度快，隔天就送达，非常满意！值得购买！
Q***x,star5,质量很好哦，发货也很快，一家非常喜欢的店铺，我要疯狂推荐给朋友们物流超级超级快！质量也非常不错，的确物有所值！质量很过关，品质有保障，相当不错的选择，好多朋友看我用都想买，我都推荐了发货快，包装严实，商品质量非常好，比专柜便宜很多，客服服务态度也特别好，好评！宝贝已收到 ，超级喜欢，颜值高又实用，超级喜欢！???
y***y,star5,京东的药品保健品信誉一直很好，而且性价比非常高，要比实体品便宜很多，绝对是正品，我经常从京东上买，再加上京东的物流服务，体验很棒
1***6,star5,物流很快的，晚上买的，第二天早上就送到了，超级的快，东西也很好的，和超市买的一样的，比超市方便很多，省了很多时间去逛超市了，节约很多了时间，比较好的。
心***落,star5,同仁堂的六味地黄丸，效果非常好，吃了几天，腰也不疼了，虚汗明显少了很多，耳朵也不突然，耳鸣了，非常不错的一个产品，价格不贵，疗效明显，建议购买，相信同仁堂，百年老店，好评
8***静,star5,同仁堂六味地黄丸已经收到货了！京东物流非快常快捷同时商品包装也非常好特别严实！这款浓缩六昧地黄丸对更年期综合征起到非常好的作用，晚上睡眠质量有所改善还不出汗啦非常棒！特别值得推荐购买！
施***艺,star5,老妈叫我看看京东有没有六味地黄丸（浓缩丸）卖，她在药店没有买到，所以想着让我在京东买，想不到还真找到了。京东真是什么都能买的到啊。跟实体药店买的一样。老妈很满意。
I***觉,star5,一直在这里买这个，有活动的时候价格很美丽，比药店合适多了。发货速度贼快，关键是送货****太棒了，一点不用自己来回跑腿。相信京东药房，应该是正品！
J***8,star5,熬夜加班党必备，性价比比较高的六味地黄丸，味道可以接受，快递也很快，一般人都可以使用，每天三遍，长期服用效果还不错，好评！！！
瑶***1,star5,一次给老公买了3盒，能吃一个月了，发货很快的，下午下单第二天就到了，一点也没耽误吃呢，大厂家生产的药吃了很放心，比药店要便宜多了
孤***k,star5,京东自营的商品质量品质有保证，物流速度也很快！这次在京东自营买了六味地黄丸浓缩型，价格也实惠，药剂师讲解推荐也非常详细，这个需要几周的时间才能看到效果！
j***i,star5,物流快，给家里人买的，说很好。功效好。大品牌，值得信赖。给了老人一个好的精神状态和身体，老人福音。会关注这个品牌和产品，不错。
j***r,star5,我从京东买完很方便快捷，而且正品保证，买的放心，吃的也放心，而且价格实惠，保质期也在正常范围，物流速度快，商家服务态度也好。
u***s,star3,吃一阵子看看的，这么高的评价，应该不能是假的
是***2,star5,物流很快，昨天下单，今天就收到了，包装很完美，没有破损。同仁堂，大品牌，买的放心，用的省心。这个价位，性价比，很高，很满意。
k***3,star5,到货真快，包装也很好，六味地黄丸补肝肾，感觉是很好的药品，同仁堂质量值得信赖，感觉是品质保证，值得信赖，补肝肾效果好，可以长期用。
f***u,star5,质量很好，北京同仁堂，大品牌值得信赖。质量过关，效果很好，坚持吃。值得复购。日期很新，虚汗少了很多。京东配送很快，很满意的购物体验。
