https://item.yiyaojd.com/3142374.html,999感冒灵颗粒,3142374,116.00g,中国大陆,205020005,中成药,国产,成人,颗粒剂,口服,流涕
用户名,评分,评论
j***t,star5,很好，因为喜欢京东，买了京东 PLUS 会员，常在京东买东西，订单太多，不想每个产品都写好评，所以特地亏下这个模板，以前不知道～评论可以涨积分，现在才知道好评的重要性，妥妥的每条都来评论下，赚积分，下次还能托现用。评论80个字以上可以得到20个京豆，我无论买什么东西都会把这个段话复制粘贴下凑够字数，这是第 N 次在京东买东西了，东西使宣而且质量好，物美价廉，买的放心，用的开心，感觉都买止瘾了买买买根本停不下来，东西品种多而且叉特别全，划算方便，而且实惠，包装很好；而且没看任何损坏，会一直支持下去的，服务还可以﹣超级好好用，好评，下次再来收起加入购物年立即购买回复关闭有用
l***2,star5,网上购买非常方便，不用到医院或药店购买比较麻烦，京东大药房购药不用担心买到假药，质量有保障，三九感冒灵颗粒这个对缓解感冒症状比较有效，应该都要备一点，非常不错，京东自营下单，一般第二天就到。
M***M,star5,相信京东大药房的药品?品质！一直从京东大药房购买药品，让人买的放心，买的安心！这次又买了好多种药品?还是一如既往的送货上门，很好?
A***x,star5,999感冒灵颗粒家中常备。气温冷热交替，难免感冒发烧。感冒灵颗粒一次一包一天三次，很快就能药到病除。网上京东大药房购买比实体店还便宜方便。
m***t,star5,现今买药有京东真是方便太多了，不用出门就能买到常用药，太贴心了，感谢！普通感冒治疗还是得是999出品啊啊，效果就是最好的，治疗范围广！
C***u,star5,这款999三九感冒灵颗粒真是太好用了！我最近感冒了，头痛、发热、鼻塞、流涕、咽痛一应俱全。好在我及时购买了这款感冒药。每次只需一袋，简单方便。服用后不久，就感觉头痛有所缓解，发热也退了下去。而且我不需要再忍受鼻塞、流涕和咽痛的困扰，呼吸变得通畅，喉咙也不再疼痛。感冒期间，这款999三九感冒灵颗粒真的是我的救星！强烈推荐给大家！
喜***z,star5,经常在京东上面买药，品种挺齐全的，而且价格比外面大药房便宜，还特别方便，而且送货上门速度也快，经常会买一些常用的放家里备用
j***苡,star5,孩子要去拉萨游玩，在京东大药房购买了一些必备药物清单。以备不需之需。京东到货很快，下单第二天就到货了，真心不错。
寻***想,star5,京东物流很快，隔天就到了，效果的话，还没使用，经典产品，想来应该不差。有备无患吧，希望都能**安安，健健康康。
南***宝,star5,感冒药真的也是家里必备的，平时感冒了冲一包下去效果真的好多了，而且生产日期很近。外包装也完好。618价格优惠些便宜一两元，拼单一起买。
莙***葎,star5,感冒灵，暖暖的很贴心，物流速度很快的，隔天就能够收到，质量也很好的，很有保障，吃完感觉自己身体恢复的不错，客服态度也很好，之前去药店有时候还没有这个药，来回折腾人很麻烦，这不网上下单很快就收到了。我希望卖家的生意会越来越红火，物流会越来越快，包装会越来越结实。物流运送过程中有些挤压，但是完全不影响。的是经常买，每次感冒就吃几包就好了，这个是家里必备的药。对感情发热起到非常好的作用！我下次会再来。
g***p,star5,疫情期间多备了几盒，后面也一直在备。家中常备感冒用药，冲调方便，口感易接受。发来的效期也很新。京东送货很快，当天下单就到了。
