https://item.yiyaojd.com/100012792970.html,洛芙联苯苄唑溶液,100012792970,100.00g,中国大陆,成人，通用,溶液剂,非处方药，西药,外用,国产
用户名,评分,评论
z***呵,star5,质量贴别棒，找了好久终于找到了，快递也非常给力。信赖京东自营，一直支持从未离开，京东自营，值得购买。点赞表扬，一起加油。
y***0,star5,使用效果很好，属于偏油性的喷雾，能有效抑制，搭配盐酸特比奈酚使用效果更好，已经坚持使用了一段时间，已经比以前好很多了，多用一段时间希望可以根治
梦***队,star5,京东自营的东西一直比较信赖，也一直在使用状态，非常的不错，速度快质量有保证，快递小哥态度很好给力，只要是这个效率太高了，非常让人放心。希望有用吧
恩***汤,star5,快递很快，隔天就到了。效果挺好的，就是有点油，不容易干。设计是喷雾，携带很方便，使用也很方便，很满意，效果也很不错。。。。
兜***盘,star5,大牌子的联苯卞唑喷雾，使用起来挺好的，这种大夏天?里闷汗的不行，稍微一个不注意就容易脚痒，所以买这个重在预防也挺方便的
爱***儿,star5,收到用了一段时间了，效果不错，效果很好，就连身上长的藓擦了也很有效果。60毫升感觉还是可以用好久。先坚持用段时间，确实不错在来加购
d***d,star5,朋友介绍的说好用，有活动比朋友买的还便宜，原本一套的钱买了4盒还免邮太划算了。快递也很快，比预期时间快一天。超赞！
冲***3,star5,非常好用的一种喷剂，以前脚上总配皮，有轻微脚气，用了这个喷剂以后，脚上的皮肤越来越光滑了，也不蜕皮了。大家可以放心的购买，无刺激无异味，非常好用。脚上蜕皮，以前花了不少心思，但是一直治不好，用了这个以后脚上蜕皮就好了。
l***4,star5,药品很好，用了几天，效果很好，老板服务态度也很好，价格实惠发货快，店家回复超级快，特服特别好，非常满意的一次购物，会回购！！！
u***5,star5,用了效果确定好，白白忧心了很多年、如果早点买就好了，不过现在也不迟、整个人都舒心了，有同样问题的朋友强烈建议快买，真的很好用
默***数,star5,好用，治疗真菌脚气，配合尿素乳膏真的挺好用！之前脚后跟干裂，裂了一个口子，涂抹了三五天，就长住了，很好用！坚持下去，有所改善。
z***u,star5,已经收到货物了，给老爸买的，还没有用，今天晚上来试一下，听朋友推荐的，应该还是非常不错的吧，包装都蛮好的，物流也非常快，
小***I,star5,买了好几瓶 试用了很长一段时间才来评价的特别的推荐治疗效果好基本上喷个几次就好了已经买了很多次了如果有脚不舒服的 可以买来试一下特意用了很长一段时间才来评价的
j***6,star5,上次买到这么好用的东西还是上次！质量挺好，物流也很快，赞！上次买到这么好用的东西还是上次！质量挺好，物流也很快，赞！质量挺好，物流也很快，赞！
j***5,star5,店家发货很快，包装完好。这个联苯苄唑溶液是脚气的克星，有脚气的人在夏季的福星，是喷雾剂使用方便，一次买了好几瓶，据说得连续使用四周才能根治，希望疗效显著。
爱***家,star5,是深圳福田中医王医生介绍的，不犹豫，买了，还没用。希望有效，再介绍人过来，卖家服务很好，很快就发货，而且发信息怎么使用？京东的东西就是给力
朴***辛,star5,好，好啊，这个商品真的是超出我的想象力了，我还会回来买的给你个大大的好评么么哒。收到啦，收到啦，非常非常非常满意，商家服务好
b***d,star3,我用过几天后效果一般
唐***清,star5,质量很过关，品质有保障，相当不错的选择，好多朋友看我用都想买，我都推荐了很好，包装很棒，外观不错，下次再来，到货很迅速实物与描述的一样，质量相当好，卖家态度也好，有问必答，发货速度杠杠的，值得购买哦~
我***酒,star5,店家发货非常快，服务态度很好，应该是正品，一次很愉快的购物，先用用看看效果，能不能把我的好几年脚气严重治疗好啊，，好几年的脚气，又痒痒的，又臭哎，但愿如此能给他治疗痊愈。不要在复发了，脚气痒痒的受不了???
白***川,star5,洛芙联苯节唑溶液喷雾剂60ml*3脚气药止痒脱皮烂脚丫真菌感染止痒治脚气喷剂脚臭喷雾联苯卡．坚持4周去脚气】联苯60ml*3我最近购买了洛芙联苯芊唑溶液喷雾剂60ml*3，用于治疗脚气的止痒、脱皮和烂脚丫等问题。对于这款产品，我有一些购物评价。首先，喷雾剂的使用非常方便，只需将其喷洒在受影响的部位，不需要直接接触皮肤，很方便避免交叉感染。其次，它具有明显的止痒效果，能够缓解脚气引起的瘙痒不适，让我感到舒适和放松。另外，喷雾剂还有抑菌和抗真菌的作用，能够有效减少真菌感染，加速康复过程。总的来说，洛芙联苯苄唑溶液喷雾剂是一款有效的脚气治疗产品，使用方便且具有明显的止痒和抗菌效果，我对它的购买感到满意。但需要注意的是，治疗脚气还需要结合个人卫生和其他治疗方法，以达到更好的效果
月***城,star5,我最近购买了洛芙联苯苄唑溶液喷雾剂，用于治疗脚气的止痒、脱皮和烂脚丫等问题。对于这款产品，我有一些购物评价。首先，喷雾剂的使用非常方便，只需将其喷洒在受影响的部位，不需要直接接触皮肤，很方便避免交叉感染。其次，它具有明显的止痒效果，能够缓解脚气引起的瘙痒不适，让我感到舒适和放松。另外，喷雾剂还有抑菌和抗真菌的作用，能够有效减少真菌感染，加速康复过程。总的来说，洛芙联苯苄唑溶液喷雾剂是一款有效的脚气治疗产品，使用方便且具有明显的止痒和抗菌效果，我对它的购买感到满意。但需要注意的是，治疗脚气还需要结合个人卫生和其他治疗方法，以达到更好的效果
祁***垚,star5,第二次购买，回购的，用着挺好，冬天看看会是什么效果，趁着价格便宜多囤了几瓶，对我的脚丫子效果很好，还有医师发短信告诉怎么使用，贴心
具***字,star5,携带使用非常方便，喷涂起来也很方便，总的来说就是方便，效果先使用一个疗程看看，目前还不知道怎么样，但是效果应该可以，一次性买了一个疗程
烈***晴,star5,效果非常好，脚气容易复发，买了这个喷剂之后效果非常明显，而且用起来也方便，京东活动时候买的，价格也非常实惠，脚气患者值得入手。。
寶***婷,star5,速度很快、第二天就收到了.效果：不错.用了好几天脚气没了.客服和快递小哥都很给力.要坚持用一段时间看看.夏天脚气很难受.
小***O,star5,这个治疗脚气真么话说，很有效果，之前也用过其他的，但是感觉效果不是很好，这个就喷了几天就不痒了，一瓶也够用好久了，值得信赖的品牌跟产品！
j***d,star5,确实有效果        孩子得了脚气       特别痒       用了这个药后       现在好多了      再巩固一下就可以痊愈了     必须好评
j***D,star5,朋友介绍的，喷完味道小了很多，发货速度也很快，鞋子，袜子和脚上都有喷效果很明显，早上，晚上都有喷量还挺足的，喷了一周左右，还有很多。
法***绝,star5,特别喜欢，大品牌靠得住。用起来很方便，很容易操作，爱不释手。买回来就开始研究怎么用，很合心意。京东快递就是快，想买东西就在京东买，质量靠得住。
鱼***k,star5,朋友推荐购买的，试用了两天效果非常不错，喷雾新鲜，喷出来的药水也没有什么味道，期待治疗效果，京东的商品不仅配送迅速价格也优惠
我***丶,star5,另外，喷雾剂还有抑菌和抗真菌的作用，能够有效减少真菌感染，加速康复过程。质量贴别棒，找了好久终于找到了，快递也非常给力。商品从外包装来看非常高档，真是一分钱一分货，贵有贵的道理总体来说，确实很不错，客服的服务态度也很棒，说话几乎马上就会回消息，物超所值，真心推荐外观干净漂亮，做工很不错，没发现什么瑕疵，个人感觉大小也挺合适，找了很久选的这款，大爱！大家可以放心的购买，无刺激无异味，非常好用。搞活动也很实惠的哈。不知道能不能去根。
n***亮,star5,老公的脚气已经很多年了，老是反复，试过很多方法，效果不明显，这次买了这款喷雾，即可以喷脚，又可以喷鞋子袜子，感觉效果很明显，坚持用下去。
w***5,star5,真的很好用，用了两瓶了，结果回家以后，又传染回来了，索性又买了两瓶自己用，脚气坚持喷喷就好了，等好了以后就给袜子和鞋也消消毒
豆***2,star5,产品非常不错，已经多次购买，价格也合适，物流都是送货上门，服务也很热情，京东购物就是有保证，每次有什么问题也能及时处理。 
大***1,star5,包装结实，不会松散，确实给力。快递速度杠杠滴，大赞京东，必须推荐京东。去脚气效果不错，要坚持下去，起码四个月不复发。。推荐推荐
j***f,star5,脚气困扰很久了，试过很多喷剂都是反反复复，看到网上这款产品评价比较好，买来试试，用了有一周了，之前溃烂的地方已经好了很多
j***夏,star5,第二次购买。效果很不错，夏天潮湿炎热容易不舒服，全家人鞋子里喷点去异味防脚气，非常好！京东物流也很快送货上门，好评！会继续购买！
具***下,star5,嗯嗯一次买了三瓶，有脚气，喷喷这个真的好用，趁着活动一次多买点，留着之后慢慢用，希望坚持喷下去，把它一次性治好的。用起来很方便的
u***y,star5,挺好用的，喷雾使用也比较方便，买了60毫升的比较实用，日期也很新，这个要连续用药，还会再继续回购的。京东买药很方便送货很快
j***R,star3,没有用不知道
满***s,star5,很好的购买平台，质量不错，特别是有品牌的，值得信赖！！！！大品牌！值得信赖的！效果超级好！贵有贵的道理！很棒的商品！五星好评！
S***5,star5,好评，用起来很方便，发货物流也快，对皮肤急需用的患者真的是雪中送炭，效果也不错，喷上就不痒了，很好用的很温和没有刺激感好评
H***Y,star5,一直用了好几年了，这次特价又买几瓶，质量很过关，品质有保障，相当不错的选择，好多朋友看我用都想买，我都推荐了很好，包装很棒，外观不错，下次再来，到货很迅速实物与描述的一样，质量相当好，卖家态度也好，有问必答，发货速度杠杠的，值得购买哦～
死***2,star5,不错，老客户了一直在用，，，价格。。实惠，，效果不错 用完很快脚气就下去了，再接着用一下，巩固一下效果。。。。。。。希望不会反弹
草***气,star5,脚气应该是很多都有的毛病，而且容易反复，京东医生推荐的，试试效果?赶上做活动的时候买的，这个价格一分钱一分货??，从外观看很美?，材质做工都不错?，感觉买值了，还有物流超级快，点赞！
一***水,star5,网上都推荐这个去脚气，趁着优惠，赶紧入手，是正品，包装也非常的好，没有破损，质量也是没得说，棒?整体来说还是很不错的，店家服务态度很好。
u***g,star5,脚气真的很麻烦，每天晚上洗完脚都要抹药膏好麻烦，这个比较方便，直接喷涂，方便多了，不需要挤牙膏一样的浪费很多棉签，还担心没涂到位。
心***-,star5,很好用，回购很多次了，效果非常不错  京东物流送货也快 不是第一次在京东上买药了 每次都会给人惊喜  质量是真的没的说 还很方便
扑***C,star5,天气热起来了，脚气也复发了，在京东商城购买了这款产品，评价不错，买回来试用了一下，效果真的比较明显，京东的物流服务非常快，上午下单下午收货！
z***g,star5,药到的非常的快。包装也很好。买了一个疗程。一共四瓶。希望会有用。每天喷喷老公的脚底，在喷喷鞋子，坚持了一周感觉是有些好转的。
体***度,star5,本来想想在药房买的  结果俺没有药房没有这个 从京东买了隔日送达 真的很方便  药用起来确实有效果 脚跟好多了坚持用些日子 巩固一下药效
喂***懂,star5,认真评论。优点为好用。这个治脚气特别好用，一小瓶可以用一个多月，现在这瓶快用完了，所以立马又回购了一瓶，用了之后脚立马就不痒了，特别舒服，价格也挺低的，所以有脚气的小伙伴都可以试一下。自从在京东购物之后，客服的态度超级nice，而且处理速度也很快。
喂***懂,star5,认真评论。优点为划算。我两只脚的大拇指都有点灰指甲，喷了这个药之后，效果还是挺明显的，脚立刻就不痒了，然后每天坚持涂，然后灰指甲也好了很多，价格呢也比较划算，这一瓶的话，我每天晚上使用嗯，已经用了一个多月了，还没有用，应该可以用一个半月。自从在京东购物之后，客服的态度超级nice，而且处理速度也很快。
鱼***童,star5,无限回购的喷剂 比在某远元推荐的喷剂便宜好多好多并且效果真的超级好 喷脚 喷鞋都OK成分有甘油 还能润肤。京东大药房真的太方便啦
j***a,star5,真的还不错，用了一周了，很有效果！?商品收到了，包装得很好，物流非常快，客服态度很积极，有问题及时解答！总体来说非常满意！
j***e,star5,已经是N次买这个产品了，效果非常好，自从用了它，成功控制住了我的一小块体癣斑，要不是因为懒没连续给药，可能我的病灶都好彻底了，继续买来用用，争取给它医断根！
a***k,star5,脚气复发起水泡，比较痒痒，这个品牌感觉非常不错，购买了2瓶，希望有效果，京东自营，送货上门速度快，非常满意的一次购物经历期待效果哦
u***l,star5,从东西的质量角度来讲，应该说非常的不错，没有发现什么问题及瑕疵。从参加这次活动，购买的价格角度来讲，也属于物有所值，买的不亏，甚至物超所值！从使用效果来看，更是值得点赞。个人保守推荐大家，可以结合自身实际情况借鉴我的经验选择购买。
j***D,star5,东西非常的好，是正品，希望对娃爸的脚气有改善，比药店里买的便宜好多好多，一如既往的相信京东，东西好而且速度快，必须点赞??
u***h,star5,京东买东西就是快，还省心，治疗脚气很好，用了几天后效果很明显，继续使用，用完之后再回购 ，也推荐给朋友了。???????
w***o,star5,这款洛芙联苯苄唑溶液喷雾配合达克宁盐酸特比萘芬喷雾使用，用于治疗顽固性脚气效果挺明显的，因为脚气粗糙的脚后跟使用后有很大的改善。
木***胖,star5,看网友推荐的，抱着尝试的心态下单。京东飞快的就送了过来，使用后效果很好，肉眼可见的好转，挺好用的。也会推荐朋友使用的，好评。
王***5,star5,给老公买的，第二次回购了，治疗脚气还有真菌感染非常有用，而且物流也很快，快递小哥非常给力，所以给老公买都是一次性买一个疗程的，?
j***x,star5,这是一款可以喷的药，用着很方便，给老公买的，朋友推荐说治疗真菌挺好用，所以果断入手买了一个，这自营大药房的物流速度很快，点赞?
r***5,star5,听说这药水对于治疗脚痒，有脚气蛮好的，买来试试看，要按疗程用药，希望能起到作用吧，快递小哥很给力点赞，用过以后再来追评吧。
取***周,star3,还行吧，但是好像效果不是很好
幸***上,star5,脚一到夏天就很热，容易出汗，鞋厚了就有味，用这个足光散确实很好用，很便宜，泡了两次脚就不出汗了，真心推荐，而且脚气的死皮可以去掉，再喷喷，好的很快，而且没有汗，推荐推荐
H***_,star5,收到货第一时间来评价，看推荐过来的，好多人都说效果很不错，通过两次，止痒效果不错，不会有刺激的感觉，期待它的效果，会坚持使用，京东正品有保障
胡***升,star5,这药治脚气效果十分的好，抹上不刺激皮肤，一会就不痒了，几天基本就看到效果，治脚气比较专业，价格也不贵，而且一瓶可以用很久。
d***1,star5,买了两三瓶，脚部问题用这个真不错 很对症，用几天就好了，药店还买不到这个，京东网上买了上午买下午到，网上都是推荐用这个。
K***N,star5,"效果很好，用起来太方便了,3天脚就不再痒了，开始结死皮，也没有新的水泡起来，喷剂搭配乳膏，好用得很，能用很长一段时间，再也不怕脚气传染给别人了"
马***7,star5,京东自营店，速度杠杠的，隔日直达！希望一直保持下去！治疗脚气、脚痒效果很好！一喷即可止痒，效果显著，贵在坚持用药！已回购过多次！
卢***巧,star5,看见好多博主推荐 就下单了 京东次日达很快 当天晚上就用了 洗完脚喷上不会有不舒服的感觉 冰冰凉凉的 淡淡的酒精味儿 会坚持使用的
疯***肆,star5,京东送货很快，三连盒套装包装的很好，已经用完一盒了，效果很好，现在脚基本没什么味道了，止痒效果还不错，还有两盒在继续使用中，好评
m***0,star5,发货快，包装好，送货上门，商品质量有保证，价格比药店低多了，京东购药非常方便。孩子初中生运动量大，脚汗多，使用后有改善。
j***c,star5,昨天下单今天收到，不得不佩服京东的快递能力。京东购物质量有保障，快递速度快，售后无忧，确实让人感觉购物是一种享受，特别是京东自营，更好！
j***g,star5,京东自营店的，一直很信赖，产品很好，用了两瓶才来评价，确实有效果，快递很快，第二天就到了，小罐装的携带也很方便，值得购买
康***2,star5,京东自营的药物，是治疗脚气真菌感染的，是正品很好用，价格便宜了很多，性价比超高，真的特别划算，包装也很高端大气上档次，值得购买
w***3,star5,东西很好，使用起来也方便，三瓶独立包装，携带也很方便，喷上去凉凉的，已经使用了两三天，期待有好的效果，告别脚痒，脱皮的烦恼。
嘎***啦,star5,京东物流是真快，有什么急需的东西，转天就到，产品也值得信赖，一天一次，见效快，感觉喷上了之后凉飕飕的，喷了有个两三天了，效明显
j***s,star5,东西收到了，第一次买，也不知道效果如何，京东物流倒是挺快的，次日就送达了，非常期待效果，希望用一段时间之后，脚气会消失哈。
念***怀,star5,正品，质量好，价格低，性比价高，物美价廉，物有所值，朋友看了都说可以，自己感觉也非常不错！真心不错，而且无异味使用方便～
简***9,star5,真的是有效果唉，喷了一下脚居然不痒了，而且好像脚气都变好了，还会持续用，这样就不会有脚气啦，东西真的很好，推荐给有需要的朋友
j***o,star5,听皮肤科医生说的效果很好，就买了几盒，找了几个药店没找到，突然想起来京东也有，很方便，送到家，我和老公一起用，看看有没有效果，多年的娇气了
想***行,star5,我是京东的钻石客户，在京东上买东西很多年了，已经养成了一个习惯，买什么东西心里没底儿的时候第一个想到的总是京东，这些年越来越不假思索的买什么东西第一个想到的总是先在京东上挑选，最终也选择在京东上支付购物的另一个重要原因就是京东的售后确实令人满意。解决问题，诚实，诚恳，高效，会让顾客感觉到满意和诚意。特别是每逢节日京东做活动的力度都非常大，给了我们这些客户很大的实惠，就是得经常关注着，才能不错过这么好的优惠福利。希望京东越来越好！
c***h,star5,总的来说，洛芙联苯苄唑溶液喷雾剂是一款有效的脚气治疗产品，使用方便且具有明显的止痒和抗菌效果，我对它的购买感到满意。以后有这方面宝贝的需求还得找你哦！有了问题能很好的处理，可以信赖的好店家，以后有机会我们再合作。首先，喷雾剂的使用非常方便，只需将其喷洒在受影响的部位，不需要直接接触皮肤，很方便避免交叉感染。相信京东，京东快递就是快就是快。一次买三瓶，够用一段时间了。
m***y,star5,看外部评价很不错，销量也非常大，而且是京东自营的。因为价格敏感度高，分开来买了一疗程。昨天按着说明书喷了一遍，黏黏的，还别说，不知道是心理效应还是立马起效，感觉很不错哦，期待坚持一疗程的最终效果！
m***y,star5,看外部评价很不错，销量也非常大，而且是京东自营的。就买了一疗程试试。昨天按着说明书喷了一遍，黏黏的，还别说，不知道是心理效应还是立马起效，感觉很不错哦，期待坚持一疗程的最终效果！
T***T,star5,很好很不错，每只药膏都有溯源码，很好。希望京东越来越亲民，活动力度越来越大，物流速度确实是很快递，隔天到，隔天达。感谢！
j***2,star5,效果特别好，药到病除！包装的很稳妥，就用这种传统的联苯卡唑溶液，针对脚气真菌感染特别有效，被脚气困扰好多年了，经过京东医生的推荐，运用这款联苯卡唑，效果真的非常好！
j***m,star5,因为一只脚有角化性脚癣。脚皮很厚，夏天穿凉鞋也很难看。介绍说用这款效果很好，就先买两只活动价比其他地方买都要便宜很多，性价比高，值得推推荐
静***心,star5,好用，上班一天要穿好久的鞋，脚捂的掉皮还很痒，用了这个之后两天就不痒了。效果真的非常的好，物流也速度飞快。好产品经得起推敲。棒棒的
西***丶,star5,宝贝质量不错，很喜欢了的呀。谢谢掌柜。特意用了2天才来评价，这是对自己和大家的负责！期盼之中，终于等到了心爱的东东，衷心地感谢你，让我买到了梦寐以求的宝贝，太感谢了！经过我的亲身体验，这家店信誉是相当得不错。宝贝的质量更像钻石一般。太感谢了！有了问题能很好的处理，可以信赖的好店家，以后有机会我们再合作。赞一个发货迅速，宝贝和图片差不多。。真是一个好卖家。以后有这方面宝贝的需求还得找你哦！不错不错可以可以。
j***a,star5,一直在京东家购买药物，京东家的药物价格很合理，物美价廉。京东自营的服务、物流都很不错的，购物体验也很好，相信京东会越做越好。
落***萧,star5,脚气多年，深知根治很难，所以一次买了两个套装，收到货后当晚就试了下，确实有效果，准备持续个把月，看看效果到底能达到什么样。
百***_,star5,非常给力的一款治脚气，治真菌的一款产品，一天两次，往鞋子里喷一下，脚上喷一下，立马干干的，没有一点脚气，非常的舒心，两天就有效果了，一般用两三周就可以，非常的好，推荐给大家 ！
百***_,star5,京东还是一如既往的快啊，今天刚下单，明天上午就到了，太赞了，再来说这款产品吧，是一款非常棒的一款产品，之前脚气用了好多东西，都没用，还是该怎么臭怎么臭……但是这款是真的好用，就大概喷了两次，就不臭了，每天鞋子都是干干的 ！
我***快,star5,以前没有脚气，现在有脚气了，用劲的非常好，用了几天脚就不痒了，感觉用四周就可以小，完全消灭矫情了，非常得好非常的完美很喜欢用这个字鸟气
春***光,star5,超级棒，超级划算，非常划算，非常值得入手，一直在购买的一个品牌，用着非常舒心，很放心，品质方面值得信赖，大品牌，一直都很喜欢。
M***汉,star5,不错不错不错！看了好久了！线下实体店根本买不到你说气人不！不过还好大京东可以解决问题！昨天拍今天就到！无敌了还非常贴心发来注意事项！爆赞！使用后再追评疗效！期待！
j***x,star5,发货很快 听别人推荐买的 真的有效果 坚持喷回购 这个好像用一个疗程能好 使用了几天确实不错 还配着其他的一起 不痒了
x***0,star5,在视频平台上看到了介绍的说明，然后在京东上下单，还比较便宜，快递方面前一天买第二天就收到了，速度非常快，还发了一条短信提示使用注意事项，不错
雅***钩,star5,生产时间很新鲜，第二天收到货就开始喷了。两天就明显感觉好了很多，没那么痒了。我是指头缝里有水泡，痒。今天感觉好多了。一定要坚持使用一段时间，彻底让脚气断根。好评！！
8***2,star5,老公有脚气，经常脚痒的难以忍受，平时买的一些治脚气的药也没啥用呀，无意间看到巍子医生说到这个产品，我就买来试一下，要坚持用4周，期待效果，喷雾剂很方便使用，快递也超级快，服务特别好
j***n,star5,给老公买过一支，用起来，效果特别好。已经是很多年的大烂脚丫子了，以前没重视，用了一支效果很明显，再买两支放家里屯上，慢慢用。
j***1,star5,一次买了三瓶，全家都可用，因为老公有脚气，所以娃和我也感染了，连续用了一个星期，已经不臭了，效果很好，已经给家人下单两次，脚臭的真的可以试试。
