https://item.yiyaojd.com/100041454424.html,难老泉布洛芬片,100041454424,6.00g,中国大陆,非处方药，西药,片剂,口服,国产
用户名,评分,评论
低***兽,star5,客服更是热情的没话说，这次购物很满意宝贝心仪很久了，趁活动时候买真的太划算了，喜欢的不要犹豫啊到货就迫不及待打开了，果真没有让我失望，质量特别好，颜值也相当高，满意的一次购物是正品，信赖商家，宝贝质感很好，价格也适中，无限回购！以前基本没有认真评价过，不知浪费了多少京豆。特别特别特别好，没有任何破损的地方，外观也好看，好评！次买东西了棒棒棒，好厉害好东西而且质量好，物美价廉，买的放心，用的开心，感觉都买上瘾了，买买买，根本停不下来，东西品种多，而且特别全，划算，方便，而且实惠，包装很好，而且没有任何损坏，会一间坚持下去，服务还可以。还在观望的朋友们可以毫不犹豫的下手啦！！！
絢***都,star5,买了，质量非常好，与卖家描述一致，孩子们都特别喜欢吃，版型很好，面料舒适，尺码标准，不沾杯持妆久，橘色系更加显白，洗完也很柔顺头发也不油了，屏幕清晰运行流畅，敏感肌用起来毫无压力，握感舒适不伤牙龈，每次炒菜都会放几本，很满意的一次购物。与卖家描述的完全一致，非常满意，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。一打开，看到包装，太可爱了，超级喜欢！东西也喜欢东西很喜欢，质量也很好的，这个价格能买到是真的很划算
认***6,star5,首先，我想夸赞这款布洛芬片的有效性。作为一种非处方药，它在缓解疼痛和减轻炎症方面表现出色。每次我感到头痛、关节疼痛或肌肉酸痛时，服用一片布洛芬片，很快就能感受到明显的舒缓效果，让我能够继续日常活动而不受疼痛困扰。其次，布洛芬片的药物质量令人放心。我对药物安全性非常重视，因此我选择在你的店铺购买。这款布洛芬片经过严格的质量控制，给予我了信心和安心的使用体验。此外，药片包装完好，易于打开和储存，非常方便。最后，我想表达对你店铺的感谢和赞赏。你的店铺提供了便捷的购物体验，订单处理迅速且包装良好。我在购买过程中得到了良好的客户服务，使我感到非常满意。总而言之，布洛芬片是一款出色的药物，对于缓解疼痛和减轻炎症非常有效。我对购买的整个过程感到满意，也对药物的品质和你店铺的服务表示赞赏。衷心感谢你的努力和出色的产品，我将毫不犹豫地推荐给需要的人，并期待未来再次光顾你的店铺。
肯***梦,star5,谢谢京东发放的福利，现疫情虽然已得到控制，但零星还有病例出现，家里备上一点布洛芬片正是有必要的，关键时刻能起到很好的效果。
刘***利,star5,头痛的时候吃上一片这个药，见效很快，十分有用，虽然便宜，但好用，京东大药房出品，必是精品，换购的活动里见到它一次，就买上一次屯着。
j***S,star5,这药用起来很放心，储备用，快递师傅态度好，物流挺快的，包装也很完整，商品正规，是正品，用着放心，物美价廉，京东质量，外观很有美感，用着放心，没有安全隐患，是我一直信赖的品质。
科***号,star5,??买药品就要从大平台上购买，商品的质量有保障，特别是药品?马虎不得，京东大平台，买着放心，京东大药房用着放心?京东发货还是很快的，包装的也很严实?体验还是很不错的！
s***v,star5,布洛芬，疫情期间买不到的药，现在一块钱一瓶，太划算了，其实感冒时吃也管用，主要还是缓解症状，买了十瓶，备着点儿，万一二阳三阳的可以服用，也推荐大家购买一下，有备无患。快递发货很迅速，送货也很快，三天左右就到了。很满意。
x***e,star5,在京东健康上买的这个。不老泉牌。布洛芬。这个药。效果不错，是正品。活动的时候买的，性价比非常好。信任京东平台正品保障。包装没有写里面的内容，保护客户隐私比较好。京东健康有专门的医生可以咨询用用药的方法，而且医生也非常负责，还会追加信息来提醒用药的注意事项。
1***7,star5,有高级感，安装速度很快，安装的很快，功能强大 的确是静音的，使用完全无压力，非常舒服，喜欢！物流很快，老板挺有耐心，比旧的功能要多一些，质量和售后非常可靠，还可以远程控制比较方便，大大小小的家电都可以找到，装上刚刚好主要容量够大，满意，五分。望大家多光顾此店，超喜欢的一款的商品，赚到了，安装师傅也非常的好，速度很快，节能省电耗电量低
1***7,star5,外观和描述一致，安装速度快， 服务好，确实很值这个价格，非常的奈斯棒，东西很满意，默认好评接着把星星填满，太好用了，精致美观，节能省电，安装方便，颜色和家里的装修风格很搭配，店家卖的都是良心好货，颜值高，好闺蜜荐让我推荐给他，有好多其他的功能，很强大，研发人员有心了，终于收到宝贝了东西很好价美物廉，放在家里还挺好看，质量都是值得信赖的
粉****,star5,京东买东西就是快，第二天就收到了。家中备着应急还是很有用的，日期也很新整体满意。京东的忠实粉丝，不是托哦(?￣ ? ￣?)家里的生活用品，保健品药品啥的，基本都在京东下单。
扔***瓜,star5,到货快，药品齐全，实体药店越来越贵，而且都是一些小厂家没听过的牌子，还是京东自营靠谱，价格也实惠，现在不是必要的处方药，或者非常着急的，一般都是在京东上订，省钱还方便。
清***哥,star5,牙周炎，买的这个布洛芬效果还是不错的，止疼药！之前口罩期间，很难买，所以家里买一点，平时能用得上的，品质不错的，京东物流很快
