https://item.yiyaojd.com/100017559686.html,芬必得布洛芬缓释胶囊,100017559686,26.00g,中国大陆,成人，男士，女士,国产,胶囊剂,西药,口服,痛经
用户名,评分,评论
哈***死,star5,我购买了这款布洛芬，它的使用非常方便，效果也十分显著。它的包装非常严密，药品本身的设计也很贴心，让人使用起来感觉非常舒适。我使用后，很快缓解了我原来的疼痛，而且没有出现任何副作用。此外，这款布洛芬的价格也非常合理，让我觉得非常物超所值。总的来说，这款布洛芬是我购买过的最好的产品之一，我非常推荐它。
G***7,star5,发货神速，物流也很快，包装完好。日期新鲜，快递小哥提前打电话，非常感谢！每月必吃的药，还是在京东买的放心。非常满意的一次购物，谢谢！
j***q,star5,价格便宜，易感冒季节，买来备用的，药品基本上都在京东上购买，便宜又实惠，当天买，第二天就能送到，速度杠杠的，主要看中的还是价格便宜。
j***y,star5,物流快捷，包装完好无损，芬必得布洛芬，中美史克大品牌，退烧效果确实好。前一段时间甲流盛行，家人陆续被感染，感染后都发烧了，喝两三次药就能快速退烧，好的很快
落***遥,star5,家中常备感冒药。买了布洛芬缓释胶囊，治疗发烧和头痛等症状。还有咳特灵，治疗咳嗽的。京东服务周到，物流快速，配送也很周到，直接送到家门口，态度很好，果断好评！
P***9,star5,10.3g*24粒（持续作用12小时）我购买了这款布洛芬，它的使用非常方便，效果也十分显著。它的包装非常严密，药品本身的设计也很贴心，让人使用起来感觉非常舒适。我使用后，很快缓解了我原来的疼痛，而且没有出现任何副作用。此外，这款布洛芬的价格也非常合理，让我觉得非常物超所值。总的来说，这款布洛芬是我购买过的最好的产品之一，我非常推荐它。李必得市洛芬缓释胶囊立成1月于便制轻室中度疼镇的人痛、关节痛绳、牙痛、机肉鸡神经值纪，也用于告通成行性感管引起的支热M1该店铺购买≥10次．湖北 G ***7
大***_,star5,【完美购物体验，物超所值】 我非常喜欢这次的购物体验！这个产品的质量超出了我的期望。它不仅外观精美，而且做工精细。使用起来也非常方便给我带来了很大的便利。 此外，我还要赞扬一下卖家的服务态度。他们非常耐心地解答了我的问题，并及时发货。包装也非常仔细，确保了产品的安全运输。 最重的是，这个产品的价格非常实惠。我觉得它物超所值，是一次非常划算的购物。我会毫不犹豫地向我的朋友们推荐这个产品和这家店铺。 总之，我这次购物非常满意。我会继续关注这家店铺的新品，期待下一次的购物体验。谢谢卖家提供如此好的产品和服务！
j***a,star5,"因为本大佬很懒不想每个产品都写好评所以特地写下这个模板，以前不知道评论可以涨积分,现在才知道好评的重要性，妥妥的每条都来评论下，赚积分，下次还能抵现金用。评论80个字以上，可以提到50个积分，我无论买什么东西都会把这段话复制粘贴下凑够字数。这是第好多次在网上买东西了，棒棒棒，东西便宜而且质量好，物美价廉，买的放心，用的开心，感觉都想买，上瘾了，买买买根本停不下来，东西品种多而且又特别全。划算方便，而且实惠包装很好，而且没有任何损坏，会一直支持才去的，服务还可以一超级好用，好评，下次再来"
一***恒,star5,自从用了京东，其他的购物网站基本不去了，看中的就是京东卖正品。而且自从用了京东，超市也再也不用去了，京东秒杀一切电商平台，价格也比实体店便宜很多，所有的产品满分，服务满分，售后也满分，物流满分。特别说一下，物流速度真的很快，上午买下午送到，有问题也及时解决，问我为什么喜欢在京东买东西，因为送货速度快，售后好，然后是包装令人满意，京东自己 logo 的包装袋和纸盒，完了纸盒纸箱还可以再利用，重点是产品真的非常好，京东购物这么久，没有一次失望过，每次评价都是全五分。一整个购物过程非常满意，体验很好！无论是服务还是产品本身都满意，所以我会推荐朋友们来京东购物的。希望能推出更多优惠。而且京东第三方平台也非常给力，即使是第三方商家的东西我都很信任因为京东的平台非常可靠，京东后台管理严格，是所有电商平台的榜样。总之很满意的一次购物，会继续买买买！期待更多～
S***雨,star5,经过了两年的疫情，现在这药已经成家中必备药，京东的价格很实惠，比药店便宜很多，为了不时之需，京东送货快，服务好，相信京东！
j***h,star5,这个退烧药很好用，吃上后症状感觉缓解了不少，烧很快就退了，在京东大药房买药放心加省心，比在实体药店买药！便宜好多，高含量，效果好！
江***_,star5,京东大药房值得信赖。完美正品，这款布洛芬家里一直常备，认准芬必得品牌的没错，止疼非常好，疗效看得见，家里备个几盒没问题
1***1,star5,家庭必备药。  发货速度快，快递员及时送达。价格实惠。 在京东下单比在药店方买方便多了，开发票的话线上填好就行，非常不错！
栀***艳,star5,布洛芬止疼退烧效果非常好，疫情期间得到了充分验证，家里囤点货，以备不时之需，布洛芬缓释胶囊吸收快不伤胃，疫情期间可是一粒难求的药呀。
1***萄,star5,送的很及时，值得信赖，很满意，而且价格合适。。。送的很及时，值得信赖，很满意，而且价格合适。。。送的很及时，值得信赖，很满意，而且价格合适。。。送的很及时，值得信赖，很满意，而且价格合适。。。
x***8,star5,布洛芬缓释胶囊，家中常备必备良药，可以退烧，可以止疼。。。。京东购买，囤货先行。价格便宜，物美价廉。。。物流速度快，送货上门一级棒。。
不***了,star5,一直感冒都是吃这个，这次看到家里没有了，马上就在京东自营购买，速度快，很满意，价格也合适，不比线下贵，不错不错，买来家里备用。
Q***8,star5,非常满意的一次购物。发货速度一如既往的快，物流速度一如既往的快，配送一如既往的快，本次购物是非常满意的一次购物，五星好评了。
罗***芬,star5,收到的?生产时期在二月，保质期长，效果明显。一次很好的购物体验，服务周到，物流快速，配送也很周到，态度也很好，物有所值啊，果断好评！
六***芽,star3,生产日期是11.16，到手时间是12.21。如果京东快递没问题，那就是采购和库房有问题；也有可能是京东和药厂联合囤货，待价而沽。
谁***_,star5,东西挺好的，价格也实惠，物流也很快，客服服务态度很好，好评！效果很好，一直在用，物流速度真的是没话说，就是一个字：快。商品从外包装来看非常高档，真是一分钱一分货，贵有贵的道理
秀***C,star5,不得不说，京东买药真的很方便，快捷。而且价格实惠，比药店还要便宜，药效不用说也是很好的，一阳二阳都靠它，平时感冒发烧也是不担心。
R***y,star5,京东的物流很快很靠谱，次日达了，考虑到以后可能新冠，放家里备着了，救命神药还是不错的，专治各种发烧感冒，值得信赖了属于是
汤***5,star5,是正规药品，吃了几天之后才来评价，腿痛缓解了 许多，药品很新鲜，有效期到2025年底。店家发 货很快，药价也正常，很满意。
l***6,star5,现在非常习惯在京东大药房买药了，个人觉得非常放心，属京东自营品质和来源有保障，尤其常用药的性价比真的超级高，不会随意溢价，很满意。
来***吧,star5,这个药非常的管用，买完之后第二天就到了，下次我还会继续在京东购物的，而且京东购买很方便，我很信任京东，希望可以继续保持这个药很好吃
j***u,star5,给单位买的备用药，家里也备了一些。京东药房的药，日期比较新，价格比实体店要实惠很多，虽然可以刷医保，但是这样脱离药品实际价值太多的虚高，仍然让人感觉不爽。阳的时候，吃过2粒，效果持久且明显，很值得囤。
a***7,star5,布洛芬属于家中常备药品了，治疗一般疼痛效果不错。京东大药房上购买，生产日期还可以，配送很快，性价比也可以，以后也会在平台购买。
j***x,star5,这个商品拥有出色的性能和耐用性，非常适合日常使用。它的设计简约时尚，给人一种高端大气的感觉。同时它还具有良好的功能和操作性，能满足用户的多种需求。总的来说，这是一个性价比高、品质可靠的商品。
山***_,star5,效果太棒了 腰疼的不行 吃着这药一点都不疼了 真的解忧愁  家里常备这药准没错  这药不伤胃 家里这盒吃完还会回购 好好好
编***7,star5,治疗牙疼真管用，还有家人脚脖子扭伤止疼效果好，生产日期是新的，保值期三年，总能用的上备着，价格比药店便宜京东大药房永远值得信赖
j***D,star5,因为效果很好，所以说准备了一些备用，发货非常的神速，当天购买，第二天就送达了，收到的货物非常的完整，第一时间就给送到了，
八***路,star5,一直在京东买东西，在自营店买东西质量还是比较有保障，开了会员之后有了更多的优惠，售后服务什么的也都比较好，送货****也很好。
A***丶,star5,挺不错的，挺好的，一直在购买，家中常备，价格不贵，性价比非常高，效果显著，大品牌值得信赖，挺不错的，京东快递非常好，快递非常好。
w***n,star5,居家必备，有了它仿佛打开了世界的大门。治疗痛经非常有效。游完泳的时候肌肉酸痛也很管事。偶尔头疼吃一片也很好。很不错。
小***乖,star5,家里药箱必备药，还是一如既往的好用，yyds，产品质量合格以及正品还是很重要的！还是到网上买东西实惠很满意！很满意的一次购物！
聪***-,star5,为了牙痛买的，效果确实好，吃下去差不多半小时就有感觉，牙齿不那么痛了。京东配送速度一流，非常快，早上买，下午就到了。好评！
1****,star3,病好了，药到了，一点没发挥作用
5***m,star5,这款药非常不错滴，官方推荐的，身边好多朋友也都在用，相信京东自营，相信这款大品牌的药，退烧效果好，很实用的一款药?，棒
阳***6,star5,止痛效果非常好，已经买过很多次了，优惠时30多块钱，比同规格药店要便宜好几块钱。0.2克和0.3克的都用过，止痛效果明显差很远，病感重的还是要药量重的。
广***烛,star5,一直在京东商城上购物，发货速度快，产品质量好，包装完好，送货速度快，送货上门，快递员服务态度好，非常满意的一次购物体验。
j***3,star5,旅游外出准备用的，芬必得布洛芬很有名气，相信效果也不会太差，京东买东西非常的方便，当天下单隔天到，而且价格实惠，很不错！
j***成,star5,还不错的呀哈哈⁄(⁄ ⁄ ⁄ω⁄ ⁄ ⁄)⁄，物流速度特别的快的呀(*^_^*)，这药的功效特别的好的呀(*^_^*)！！
燕***亮,star5,妹妹发烧一直反复，就在京东购买了这款退烧药，京东商城购物方便快捷，价格优惠，，京东真的值得信赖，药品日期也很新，购物买的放心，好评!
