https://item.yiyaojd.com/2943820.html,星鲨24粒,2943820,26.00g,中国大陆,206020045,滴剂,通用,西药,口服,国产
用户名,评分,评论
u***k,star5,一直在线上购买的，物流很快！再有价格是在有活动的时候买的，很划算！一直按照医生要求给宝宝喂这个，促进钙的吸收！很不错的！
f***0,star5,该宝贝不错我们非常喜欢该宝贝。我们从几家店铺看了看，最后选择了这款宝贝，收到包裹后打开看了，和客户描述的一样，我们非常喜欢。
j***2,star5,店家发货非常快，服务态度很好，是正品，一次很愉快的购物  ?是正品，跟商店里买的是一样的，在这网购方便快捷，品质放心，还会光顾！.^?^.
是***呀,star5,用起来很方便，价格实惠，宝宝一直吃的这款，效果非常不错，小朋友很合适，补充身体所需的营养，下次做活动，还要再多买几盒。
张***瑞,star5,快递已经收到几天了，东西从包装和验证码看确实是真的，儿子已经吃了几粒，看着挺爱吃的，和医院开的一样，京东商城东西质量很好。
d***1,star5,星鲨品牌、京东平台两大都值得信赖。给孩子补充维D，持续回购，京东快递送货上门很方便，第二天就到货。整盒购买更划算，也方便。
j***3,star5,孩子最近手上起了好多皮，特别严重，嫂子家孩子一直吃这个，推荐我给孩子买这个，吃完了感觉效果挺好的，皮少了，也不干了，然后就看搞活动屯了好多，每天一颗，一盒正好能吃一个月，孩子特别喜欢吃，没什么味道，每天自己主动拿着吃以后就吃这个牌子了
j***q,star5,京东商城购买商品优惠价格便宜，一次性买多优惠活动大，正品保证，送货****态度好，小孩子日常生活吃，效果真的很好，大家都知道，值得拥有。
j***2,star5,家里小孩从小就吃这个药，医生推荐吃的，外形有点像鱼肝油，也奇怪，小孩挺喜欢吃的，每天乖乖的吃两粒。京东购买也很方便，比药房便宜不少。
W***空,star5,医院医生让孩子吃这个，感觉效果还可以，孩子个子长得还是很正常的，孩子也爱吃，京东价格还是非常划算的，送货也非常快，第二天就到货了，吃完了再来。
J***3,star5,保健院推荐的星鲨维生素D滴剂，吃起来也是特别的方便，大点孩子直接咀嚼就可以啦，活动时直接买了两盒特别划算，快递也送货很及时
j***﹌,star5,一直都在吃这个牌子的维生素D吃完之后，感觉身体状态会更加的良好，这次搞活动买起来特别的划算也很便宜，相信京东是正品，大品牌值得信赖。
借***2,star5,3个月体检，医生给开了这款维生素。发现网上要比医院便宜，之后一直在这家店铺买。孩子很喜欢吃，每天下午都给宝宝吃一粒。孩子茁壮生长，吸收的非常好。大家可以放心购买。
j***I,star5,这个小孩因为身高不达标 ，去医院查的需要补充维生素d和钙片，一起买了一大盒，比药店划算很多，很便宜，小孩一直在吃，希望以后能尽量做活动能更好的吃起来
大***儿,star5,到货很快，日期是1月份的第一次在京东买d3价格真的很实惠，以后就在这买了，比实体店便宜太多了，宝贝一直都的补d3还会再来回购的。
这***吧,star5,以前女儿去医院体验的时候，医生推荐星鲨维生素D3，现在老婆怀老二医院也是推荐星鲨维生素D3，这款维生素在医院的口碑很好，有效日期也在有效期之内
j***g,star3,服务态度好
j***E,star5,宝宝快2岁啦，之前也是吃的星鲨，娃一直都喜欢吃，说是甜甜的，有时候说自己要拿，现在是一天吃一颗，这一次买的2盒，包装很好，铁盒子还能给宝宝装小玩具卡片啥的，
j***5,star5,收到货啦，真心不错，孩子出生15天就开始要补充D3，一次购买了这么多，要补充到三岁，每天一粒，吃完还会回购的，注意是划算?
谭***蛋,star5,维生素D滴剂，第一次买，给宝宝补补，补后晒太阳，希望有效果，自营正品，品质值得信赖，如果好还会继续购买，强烈推荐，宝宝喜欢吃
j***0,star5,发货很快，收到时包装完好无破损，看到做优惠活动果断下单囤货了，孩子一直都有吃这个牌子的维生素，第一次在京东买，今天开始吃了，和之前买过的看起来一样
w***爱,star5,娃喜欢吃的，补补钙长高高，希望能长得高一点，高一点好看呢，趁活动多买点可以优惠很多呢，很不错的，希望活动多一点优惠多一点。
l***2,star5,医生说宝宝需要补钙，给开的这款维生素D3，吃完了，京东大药房看看，跟医院?开的一样一样的，关键是价格还便宜，就下手购买了，期待效果杠杠的
c***8,star5,孩子吃的维生素ad和维生素d3，都是在京东大药房买的，比药店便宜很多，而且有保障，物流也很快，第二天就到了，会一直回购的。
粤***鵰,star5,维生素D是宝宝健康成长必不可少的营养物质，具有促进钙吸收、骨骼发育等重要作用。星鲨维生素D特别针对婴幼儿进行了研发，并且采用了天然来源的维生素D3，采用了口服液的形式，不会引起宝宝的抗拒反应。星鲨维生素D是一款性价比很高的产品，价格相对其他同类产品来说比较亲民。
小***9,star5,买给宝宝吃的，宝宝一开始也不肯吃，但是也没办法，这也是为了促进宝宝的骨骼发育生长，只能硬着给他滴着喝，这个滴剂非常方便，滴几下就完成了一天的量，非常好的产品
j***l,star5,?宝贝收到了，很惊喜?，设计合理，时尚大方，继续关注，以后会回购的???这个颜色很喜欢，摸起来质感不错，百搭～包装也很大气，用来送人的话也是不错的选择已经用过一段时间了，效果不错?，客服服务有耐心，解答详细，赞一个?宝贝质量很好，收到货第一时间打开看了，很不错?，很满意?，客服也有问必答，感谢?
盛***1,star5,到货很快，收到太满意啦。买来给小孩补补。防止佝偻病，骨质疏松症。店家包装很不错。没有破损。日期新鲜。有过家追诉码可查。。
z***K,star5,这个商品质量太好了，得到了家里人好评，以前我从来不评论，但是这个商品太棒，而且京东物流非常快，从来不需要担心时效问题，京东总是最快的送到家里！以后会一如既往的在京东购物，因为京东非常为客户考虑，希望评论对你们有帮助！
S***t,star5,星鲨的维生素D是妇幼保健院都在用的一款补D产品，京东活动价性价比很高果断入手，这都是第二次回购这个套装了，娃娃吃了一个疗程都补了几个点起来了。后续会继续回购，争取三个疗程补到正常值。
a***正,star5,儿子从出生就一直喝的这个维生素d，没有异味，很不错，现在买来给女儿一起喝。京东购物方便实惠，家里东西都在京东购买。还会回购。
l***0,star5,星鲨这个牌子回购很多次了，宝宝从出生开始就吃这个牌子，老牌子很不错，现在一岁十一个月了，每天一粒，很好吸收，很方便，口味宝宝也爱吃，值得购买和推荐！
谁***定,star5,复购第三次这个D3了，小孩要一直吃到3岁。小家伙很喜欢吃这个油。而且碰到618活动价格非常划算，比平时便宜几十块钱！有24粒36粒不同包装！
泞***乐,star5,包装很好，质量非常棒，宝贝完全符合卖家的描述，可以放心购买?感谢?第一次在网上购买，也是看评价才买的，质量还不错，有需要的朋友可放心购买
不***啊,star5,用了觉得很不错，商品质量好，发货也挺快的，总之就是很赞了，真的很好用，对商品非常满意，属于无限回购款，推荐！宝宝吃了没问题
j***p,star5,?商品收到了，包装得很好，物流非常快，客服态度很积极，有问题及时解答！总体来说非常满意！给宝宝补充，出生15天后就可以安排上了。
泞***乐,star5,刚好做活动，价格便宜了很多，性价比超高，真的特别划算 物流很快，?产品很快就收到了，比想象中还好，不错不错！希望宝宝吃了有用
A***y,star5,"这是一个好评货。因为本大佬很懒不想每个产品都写好评所以特地写下这个模板，以前不知道~评论可以帮助别人，现在才知道好评的重要性，妥妥的每条都来评论下，帮助别人，下次还能帮助别人。，可以得到支持，我无论买什么东西都会把这个段话复制粘贴下凑够字数。这是第几次在网上买东西了，棒捧棒,东西便宜而且质量好物美价廉，买的放心,用的开心感觉都买上瘾了，买买买，根本停不下来，东西品种多而且又特别全，划算方便，而且实惠，包装很好，而且没有任何损坏，会一直支持下去的，服务还可以一超级好用好评下次再来。"
u***c,star5,宝贝收到了，和描述一样，很喜欢宝贝做工真的非常精细，细节真的棒，爱了爱了总体来说，确实很不错，客服的服务态度也很棒，说话几乎马上就会回消息，物超所值，真心推荐特别特别特别好，没有任何破损的地方，外观也好看，好评！宝贝收到了，很惊喜，质量非常好，很满意的一次购物。我会继续回购的，店家值得信赖这个是真的好，材料和做工都特别精致，做工真的非常棒，我觉着我可以推荐给我朋友买宝贝收到了，颜色很好看，质感也很好，样子简单！是我想要的！！下次还会再来！大品牌！值得信赖的！效果超级好！贵有贵的道理！很棒的商品！趁着优惠，赶紧入手，是正品，包装也非常的好，没有破损，质量也是没得说，棒商品质量不错，细节、品质、做工都非常好，发货贼快，快递也给力，棒棒哒～
五***三,star5,"这是一个好评模板,因为本人很懒不想每个产品都写好评所以特地写下这个模板,以前不知道评论可以涨积分,现在才知道好评的重要性,妥妥的每条都来评论下,赚积分，下次还能抵现金用。评论80个字以上，可以得到50个积分，我无论买什么东西都会把这个段话复制粘贴下凑够字数。这是第N次在网上买东西了,棒棒棒,东西便宜而且质量好,物美价康廉,买的放心,用的开心,感觉都买上瘾了,买买买根本停不下来,东西品种多,特别全,很方便,而且实惠,包装很，而且没有任何损坏,会一直支持下去的,服务还可以一超级好用好评,下次再会!"
j***j,star3,日期2022年的 虽然没过期
天***7,star5,这个维生素品牌是我一直以来回购无数次的老品牌了，我非常信任这个品牌，宝宝一直吃的都是这个品牌，从出生到现在一直都是，推荐购买
J***V,star5,丨［双月疗程装］60粒维生素D滴剂包装完好无损，生产日期是去年 的，保质期还有一年多。小鱼造型很可爱，油 质透亮，没有杂质，小孩子比较爱吃。活动价 格买的比较实惠，比药店便宜。成分表比较健 康安全，星鲨大品牌值得信赖。物流货运也较 快，客服服务态度也很好，物美价廉！
u***7,star5,一直给宝贝吃的维生素，以前在药店买的。没想到京东这么便宜。发货速度很快，东西包装的很好，价格优惠，我很满意?，还会回购。
一***坨,star5,维生素d大人小孩每天都要补充，尤其是没晒太阳的时候。星鲨是很多医生和药店推荐的品牌，放心。京东大药房比实体店买便宜很多，回购多次了。
