https://item.jd.com/100046076040.html,耐克FB7179,100046076040,1.0kg,以实物为准,FB7179-100,稳定跑鞋,透气,系带,跑道，公路，小道,2023年秋季
用户名,评分,评论
j****,star5,外观颜值：颜值刚刚的，非要喜欢舒适度：鞋码标准，穿上很舒适，跑步起来更有劲做工细节：细节没得说，还的是大牌的做工的好尺码大小：刚刚好抓地效果：跑步抓地感很强，走在湿地也不划透气性：不错
c***9,star5,外观颜值：非常好看的一款跑鞋，颜色纯白色，带有logo标志。舒适度：走路还是跑步都很舒适，跑步回弹力良好，适合公路，跑道等场合。尺码大小：标准尺码，正好。
u***x,star5,好好好很好用的，好好好很好看的，好好好很好跑的跑步鞋，大牌子的霸道让你值得体验和拥有，如果你没穿一次是体会不到他的坑的，同一款还有一双白色差几十块，结果是同样的配色
s***y,star5,耐克飞马系列产品的40系列男士跑步鞋运动鞋，非常喜欢，耐克京东自营旗舰店京东618购买的，比39系列产品有很大的提升，穿着舒服透气，值得推荐大家购买。。。
C***2,star5,以前一直都是在实体店买，这次选择了网上买，不光是正品，价格还实惠！！试穿了一下，很舒服，鞋码也很标准，质量也没的说，很愉快的一次购物
毛***9,star5,外观颜值：非常漂亮的外观，舒适度：穿脚上好舒服，好轻盈，非常好感觉。做工细节：做工还可以。尺码大小：尺寸合适，这点我比较满意。抓地效果：这个效果不错，透气性：透气性很好，不会感觉裹着脚发热感觉。
j***0,star5,东西不错，还有优惠，可以放心省钱购买，不要犹豫了实物与描述的一样，质量相当好，卖家态度也好，有问必答，发货速度杠杠的，值得购买哦商品质量不错，细节、品质、做工都非常好，发货贼快，快递也给力，棒棒哒~???
j***t,star5,这款耐克旅游鞋比之前的36、38系列好看，脚底有气垫穿着舒服，店家发货速度很快，快递速度也很给力，给个5星好评了！还会来回购的。
R***e,star5,一直在京东自营购物，产品质量有保障，物流很快，售后服务很贴心，快递小哥很热情，产品总体评价非常棒，会一直支持京东，赞一个???
W***哥,star5,物流速度真牛?，上午下单下午就到了，42.5穿上很合脚，尺码挺准！上脚效果也很不错！之前买飞马37的，这款49的比37的效果还太多！满意?，正品无疑
