https://item.jd.com/100041101832.html,耐克DM0822,100041101832,0.86kg,以实物为准,DM0822-001,男,入门跑鞋，稳定跑鞋,橡胶,2023年春季,系带,跑道，公路，小道,减震
用户名,评分,评论
j***6,star5,外观颜值：满意舒适度：包裹性很好做工细节：严密尺码大小：正常尺码抓地效果：还没体验透气性：舒适，还需要验证
j***4,star5,跑鞋非常柔软，重量非常轻，穿着很舒适，款式样式很漂亮，颜色也很正，穿脱方便，性价比高。黑色的比较百搭，家里人非常喜欢。属于四季款，鞋子收到了，卖家服务态度很好很有耐心，仔细询问了鞋子的尺码确定是标准码才下单的，质量不错拍了几张照片大家参考哦。
诺***雪,star5,就相中这个颜色了，颜值很高，非常喜欢，家里的鞋大部分都是黑色的，视觉上感觉太单调了点。穿着也很舒服。京东自营的产品值得去信赖。
j***a,star5,鞋型适合脚型 颜色也基本无色差 质量看着不错 东西很好 包装完整 物流小哥送货给力  好喜欢 京东物流赞
Y***N,star5,无论材质还是做工都超出了预期，超值，穿起来也很好看哦。卖家发货也比预计提早了很多，还会再来。买吧，不会后悔的哦！全五分。无论材质还是做工都超出了预期，超值，穿起来也很好看哦。卖家发货也比预计提早了很多，还会再来。买吧，不会后悔的哦！全五分。
l***9,star5,老公试了试说很舒服，只是现在北方这边也热了，穿上有点厚了，属于四季款，秋天的时候再穿吧，买了两三双都不是很合适，只有这款穿着舒服！
x***d,star5,我觉得品质挺不错的，京东的东西就是好，以后还会买我觉得品质挺不错的，京东的东西就是好，以后还会买我觉得品质挺不错的，京东的东西就是好，以后还会买
呵***圈,star5,颜色非常好看，大小合适，有半码的选择挺好的。穿上轻便舒服，运动起来非常合适，表面面料很好，鞋底也是科技材料，非常值得购买。
惟***子,star5,一直都相信京东自营的商品没有假是正品，质量又好售后服务又好，基本很少让我失望过，这款耐克鞋穿着很软很舒服，颜色很靓哦，而且售后服务有保障，赞一下京东官方客服，售后服务给力！京东继续努力加油哦
阿***8,star5,真耐克，质量非常好，给儿子买的，也比较适合儿子穿。京东商城网购正品保证，买的放心，穿的安心！京东商城618力度真的非常大，相当给力！
k***i,star5,这双越野跑鞋不像飞马版的越野跑鞋长得那么嚣张 脚感非常舒适，正面看有一点像板鞋，所以上班穿也不会很突兀。我是非常喜欢绿色的，所以很满意。同时还买了一双红色。
u***e,star5,已经穿了一周了，太棒了，颜值也非常好看，穿上爬上一点问题没有，鞋底比较防滑，very nice ，京东物流太给力了，完美的体验
j***8,star5,物超所值，商品设计完美，外观也很高大上，让人爱不释手。客服更是热情的没话说，这次购物很满意绝对是最开心的一次购物，店家服务态度很好，售后也是整体来说还是很不错的，店家服务态度很好，而且质量也很好，没有异味
g***x,star5,质量还不错，鞋码也比较标准，京东自营正品保证，可以放心购买，618活动价格也比较实惠。物流速度很快，头天下单，第二天就到了，物流服务也很好。客服很负责任，处理问题及时到位，确实是非常好。
