https://item.jd.com/100047448804.html,耐克DV9329,100047448804,200.00g,以实物为准,DV9329-084,系带,短裤,四季通用,男,2023年夏季
用户名,评分,评论
馥***0,star5,上午下单当天下午就到，京东物流就是快。面料柔软舒适，长短合适，而且时尚简单大气。家人很喜欢！京东购物品质有保障，家里吃的穿的用的都在京东下单，会一直支持信赖京东！
j***o,star5,大品牌值得信赖，货真价实，款式大气，质地做工都不错，手感舒服，发货速度非常快，试穿后效果很好，尺码大小正好合适，作为一款休闲短裤长短适宜，好评。
明***旋,star5,物流很快，第二天就到了！料子很不错，穿身上很舒服，水洗不掉色，尺寸刚刚好，蛮合适！一直京东购买耐克，牌子就是好些，后续追加评价
u***j,star5,标准号码大小合适，面料透气性很好，柔软舒适，炎热的夏天也穿在身上很清爽。一直信赖京东自营店，质量和售后有保障，京东小哥送货****也是一如既往的快！
J***浩,star5,京东官方旗舰店，耐克这个牌子还是很好的，这家店卖的也是正品，第二次来这里买了，这条裤子穿着舒服，款式也好看，值得购买，下次还来买。
變***蟲,star5,第一次买耐克的短裤，做工精细，款式好。码有点大，给孩子穿正好！穿上很有点舒服，透气！很凉快！出汗也容易干。网面的兜，不错！
丿***丶,star5,质量可以的，给老爸买的，直接按照尺码表买的尺码也合适，老爸很喜欢，夏天了比较凉快，老爸早上晨跑完也能速干
j***t,star5,我的身高体重：身高1、81米，体重是170斤。尺码是否合适：真好合适！面料类型：柔软舒适透气！柔软程度：柔软舒适透气！上身效果：真好合适，适合跑步运动实穿感受：我主要是卫跑步买的，比平时的短裤稍紧身一点！
学***事,star5,短裤买来好长时间了，是给弟弟买的，他说穿上很舒服，大小也正合适，不错???。我的身高体重：184/63kg尺码是否合适：合适面料类型：穿上是蛮舒适的上身效果：??
P***8,star5,我155斤，1.75米。买的XL码大了，平台退货京东小哥马上就上门取件，取件后不到l 分钟退款秒到账。这就是我喜欢在京东自营店买东西的原因。马上又下单买L码，第二天早上就到了，穿着刚刚好，赞！
y***5,star5,本来就缺一个耐克配套的运动短裤，正好看到京东自营有想要的款式，对京东自营的信誉感就毫不犹豫下手收到货后一点都没让我失望，美炸了
孙***8,star5,做工很精细，面料很不错，外观漂亮大方时尚，穿起来很舒服，本地没货，调货的都是次日到货，认准京东没毛病。是正品，值得购买。
g***I,star5,这裤子质量不错哦，透气很丝滑哈哈哈。我的身高体重：178cm 82kg 尺码是否合适：Xl很合适直接下单没错面料类型：丝滑面料柔软程度：很柔软上身效果：不错宽松款式实穿感受：很舒服 透气。
随***2,star5,不得不说京东价格比实体店便宜不少呢，去实体店试了一下样式和尺码回来在京东下单正好赶上618活动价格非常合适。外观做工跟实体店一模一样。京东物流也很快。
j***o,star5,本来就缺一个耐克配套的运动短裤，正好看到京东自营有想要的款式，对京东自营的信誉感就毫不犹豫下手 收到货后一点都没让我失望，美炸了。
s***o,star5,客服服务态度好，回复快，有问必答，店家发货神速，包装精细完好，宝贝没有损坏，且做工精致，很显档次，不亏是大品牌，期待质量过关，一定回购。
j***4,star5,越南制造的，更喜欢中国制造的，做工会更好，这款质地摸起来很舒服，不是棉的，感觉跟其他品牌的用料不一样～相比黑色，很喜欢灰色，黑色太多太普遍了，京东自营的，品质有保障，继续支持，加油！
c***q,star5,这款耐克短裤的材质非常柔软，手感相当舒服，短裤的长短也适中，跑步、打球和健身都比较适合。没有很夸张的图案，有种简约之美。京东物流速度很快。
呵***笑,star3,一般般，普普通通。柔软程度：还行
w***y,star5,这个耐克男短裤质量非常好，面料手感特别好，穿着也很舒服，价格实惠，物美价廉，值得购买。京东快递一直都是这样的给力，快递小姐姐服务态度非常好。
小***A,star5,宝贝已经收到了，给弟弟买的，短裤面料材质不错，轻薄透气，穿身上很舒服，这几天天气太热了，刚好买一套短袖短裤穿穿，618特惠很划算。
余***j,star5,我的身高体重：身高168，体重110尺码是否合适：尺码M码，穿着刚刚好合适面料类型：材质面料非常舒适，摸起来还算很舒服的柔软程度：面料非常柔软细腻上身效果：很舒服 刚刚好实穿感受：宽松很舒服
W***W,star5,身高173cm，体重72kg。穿了几天，挺合适的，很透气。长度也还可以，刚好在膝盖中间位置。穿着打羽毛球感觉可以，宽松程度都没问题。但是别说性价比了，产品本身没问题的，溢价也明显。
t***6,star5,经常买耐克运动品牌，喜欢这个对号哈哈。这条运动短裤质量不错，已经穿了一段时间了，透气，舒适感也强。颜值担当，喜欢这个颜色。打篮球穿着挺不错的。
洋***生,star5,特别舒服，特别透气，上身也很好看，口袋也不滑，相当不错，准备再入手这么几条
格***6,star5,东西不错，挺好的，也很好看，也很好用，价格合理，希望能用很长时间。值得推荐！！！
z***h,star5,不错不错是夏天的薄款，针织的很凉爽，自营的东西就是好，物流也很快
j***B,star5,大小正合适，质量很好，是正品，很透气，穿上很舒服，做工很好。京东自营店购买放心。
j***a,star5,我的身高体重：172、63尺码是否合适：非常适合面料类型：凉爽柔软程度：好上身效果：好
L***s,star5,很不错的短裤，穿上去很舒服。材料也很舒服。我一般都是健身穿。
吹***0,star5,趁着优惠，赶紧入手，是正品，包装也非常的好，没有破损，质量也是没得说，棒?
A***o,star5,质量不错的，料子很容易干
l***1,star5,?收到立马打开看了一下，非常不错，质量超好，颜值又高?，推荐推荐??收到立马打开看了一下，非常不错，质量超好，颜值又高?，推荐推荐??收到立马打开看了一下，非常不错，质量超好，颜值又高?，推荐推荐?
h***4,star5,质量很好，价格比较实惠，物有所值，每次网购，都要看好多家，最后选定这个。到货后质量果然很不错。在服务方面，一直信赖京东，更喜欢直营商品，买的放心，用的放心！
j***8,star5,这个是真的好，材料和做工都特别精致，做工真的非常棒，我觉着我可以推荐给我朋友买
笔***霖,star5,精挑细选很久?，最后决定买这一款?，到货后果然没有让我失望，实物很漂亮?，做工很精细?，特别满意?
z***i,star5,料子非常舒服，穿着也合身，物流也快
w***i,star5,这种速干的运动裤，穿着跑步特别舒服，就是不运动的时候穿着逛街也很不错的
j***H,star1,不值这个价格，谁买谁后悔！
慢***咯,star5,整体来说还是很不错的，店家服务态度很好，而且质量也很好，没有异味
y***6,star5,裤子超级好看，面料也很舒服。
P***i,star5,跑步速干，很舒服，不紧身
