https://item.jd.com/100016926635.html,耐克DQ3433,100016926635,200.00g,以实物为准,DQ3433-010,拉链,涤纶(聚酯纤维)
用户名,评分,评论
小***觉,star5,小包包很精致，背起来很舒服时尚。挺能装的，还可以放一把小伞，总之物美价廉，做活动买的，很合适嗯价格，还买了一个送朋友了。爱了爱了
y***5,star5,"物流很快，次日达!之前有个wyb同款大胸包，但适合办公或者上学用毕竟很大，就想着入手-一个小点的，在腰包和单肩包之间考虑很久，最后选择了这款，携带方便,钱包充电宝钥匙手机纸巾口罩 口香糖装起来正好!图案也好看!价保退款速度贼快!"
老***丶,star5,包点大小符合心里预期。不算太大但是也不小。基本上日常出门所需的的东西都能放。能放下一个钱包，一把雨伞，充电宝，钥匙，耳机等。很不错。也挺实用。可以调节背带
慕***服,star5,不错不错容量挺大的，看着小小的，其实特别能装，而且背起来也十分舒服，一年四季百搭，冲，赶快买，买不了吃亏买不了上当，真的很不错！
r***9,star5,搞活动买的，是正品，质量很好，果然是大牌有保证，正好老公最近买了摩托车，大小合适，背起来也很帅气，关键容量很大，装手机钥匙没有问题
太***员,star5,物流很快，次日达！之前有个wyb同款大胸包，但适合办公或者上学用毕竟很大，就想着入手一个小点的，在腰包和单肩包之间考虑很久，最后选择了这款，携带方便，钱包充电宝钥匙手机纸巾口罩口香糖装起来正好！图案也好看！价保退款速度贼快！
M***n,star5,虽然是小号，但是也不小，依然可以装很多东西，有了它，手机钥匙耳机卡片等等，你可以一股脑儿地往里面塞，这款包样式很好，背着很舒服，之前买过耐克的一款标志不一样的，旧了，标志上的漆掉了，不得不换，上次种草至今未改，依然喜欢。
倪***伟,star5,很棒，拿过来非常喜欢，看着高端大气，下次还会再来买，这个天气带这个包正好，主要手机太大了，很好，很好，很好，推荐你们买。
A***蛋,star5,这个包真是太好看了放东西很多老公背上也特别的好看，物流也非常的快，而且质量也很好，非常的喜欢价格也还可以的好看，小巧非常的喜欢，如果下次有需要还会回购的，非常的棒，很喜欢太棒了出门用也特别的方便很开心
大***i,star5,耐克挎肩包是一款时尚耐用、功能实用的选择。它不仅满足了我的日常需求，而且给我带来了时尚感和舒适体验。我对这次购买非常满意，强烈推荐耐克挎肩包给寻找高品质和实用性的消费者。
昱***尊,star5,换货很快，整体来说非常好，性价比高，值得推荐购买的小包，外出都很方便。。。。。。。。。。。。。。。。。。。。。。。。。。
W***K,star5,快递物流实在是太快啦！！！京东物流包装良好，次日达，必须好评！！！这个包包的背法很多，可以到腰包也可以斜挎，容量也够大，实用！！
二***情,star5,物流很快，做工不错，尺寸合适，放得下手机和车钥匙，包包很酷很好看，质量也很好，布料厚实，非常百搭，小小的但是很能装，价格实惠
y***u,star5,挺好的很方便，可以卡在腰间，也可以斜挎胸前，靠身体一侧装证件，外层装手机耳机什么的小物件，方便取用，外出旅行必备之品，不错
波***傅,star5,包不错，价格也合适，唯一一点不好的是这个标容易折痕，我估计这地方很快就会脱皮，京东的价格还是非常给力的，基本上是全网最低。
大***i,star5,我购买了耐克的单肩包，对它的表现感到非常满意。首先，它的设计时尚简洁，非常适合日常使用和搭配各种服装。无论是上班、上学还是休闲活动，这个单肩包都能很好地背负。  其次，耐克单肩包的质量令人印象深刻。它采用了耐用的材料和坚固的制作工艺，使其能够经受住日常使用的考验。我特别喜欢它的细节设计，例如多个口袋和隔层，让我能够有条理地组织和存放我的物品。  此外，这个单肩包还具有出色的舒适性。它的肩带宽度适中，能够有效分散负重，减轻肩膀的压力。它还采用了透气的材料，让我的背部感觉更加舒适，即使在长时间使用时也不会感到不适。  最后，耐克单肩包的实用性也很出色。它提供了足够的空间来容纳我的必需品，例如笔记本电脑、水瓶和其他日常用品。同时，它还有一些小口袋和隐秘的拉链口袋，方便我存放一些私人物品。  总的来说，耐克单肩包是一款功能强大、质量可靠、设计时尚的背包。它成为了**常生活中的好帮手，无论是工作还是娱乐活动，它都能满足我的需求。我非常满意这个购买，并且愿意向其他人推荐耐克单肩包。
j***f,star5,平时喜欢骑车 出去手机和钥匙没地方放置 买个挎包太方便了 最近出门就拿它 放个雨伞 手机 耳机 钥匙没问题
C***咚,star3,感觉一般般，就是有点儿贵
秋***7,star5,给对象买的包包，他没有这种斜挎腰包，拿给他的时候，背上正好，很合适，他也很喜欢，我对象185背上很好看，性价比蛮高的，材质做工啥的都可以
j***a,star5,容量大尺寸比想象的大不少，完全满足日常使用需求，可以放下一把折叠伞，和充电宝，耐脏实用，就是材质比较普通点，总得来说还是比较满意的。
j***i,star5,物流很快，做工不错，尺寸合适，放得下手机和车钥匙，包包很酷很好看，质量也很好，布料厚实，非常百搭，小小的但是很能装，价格实惠
A***伦,star5,包包收到了，挺喜欢的，黑色挺经典的，耐脏，背出去玩还是可以装挺多东西的，容量还是够了，这个大小很合适，当天还有同学问要了链接，还是值得推荐的
大***洁,star5,这个运动包很小巧轻巧，但容量很大，可以装很多东西。拉链也很顺滑，值得购买。推荐
j***p,star5,小包很好，看着小，实际很能装，小瓶水，手机，纸巾，钥匙都可以
七***6,star5,这款小包包质量很好，我非常喜欢，我和老公都能背，超赞??
k***u,star5,大小很合适，容量很大，钥匙和各种小东西通通都能装进去，质量也好，和实体店一样，斜挎着非常好看，高端大气上档次，非常喜欢！
下***伞,star5,很满意的一次购物，商家服务好，发货神速，物流也很给力，宝贝收到后非常喜欢。耐克的质量就不必说了，相当的不错，就我自己的看法，觉得包要是再能大一些就更好了。
j***d,star5,很喜欢，放的东西也很多，手机，车钥匙，纸巾也方便
j***c,star5,很好看，也很能装就是不知道真假，用着不错
j***5,star5,很满意，上午买下午就收到了，质量和做工很不错
u***w,star5,?商品收到了，包包质量很好，包装得也很好，物流非常快，总体来说非常满意！
j***0,star5,物流很快，包包质量很好?做活动购买很划算，夏天背上很舒服，能装很多东西，很多种背法，赞一个?
j***0,star5,这个牌子包质量非常好，价格比商场便宜的多，值得信赖
超***子,star5,非常快，昨天买今天就到了，是正品，非常好
u***p,star5,东西质量不错，兜也多，容量也大，物流速度也非常快，自营的服务态度就是好
y***6,star5,产品真的超级棒，下次还会买的，愿越做越好，非常好的购物体验
j***z,star5,好用，背起来很舒服容量也大，运动休闲用跟舒服
a***8,star2,包包感觉不像正品，有点像假货，走线歪的有点明显，就算不是假的话也就是瑕疵品，而且印花有点点掉漆，不过外观还是挺好看将就下吧
j***W,star5,非常满意的一次购物，东西质量好，款式好
偷***8,star5,背包很好用的，背起来和卖菜的小商贩一样的有精神
J***l,star5,东西很满意哦，美观时尚大气，客服超级有耐心，服务细致贴心，大品牌就是不一样
我***天,star5,特别特别满意，超级好看，客服很有礼貌，很客气，良心商家，支持！
j***6,star5,快递很快，东西也收到了。很满意。
一***思,star5,感觉挺不错的，容量很大！
李***啊,star5,还可以。挺好的。看着很大气和自己睡觉呢
j***k,star5,质量非常好，真出乎我的意料，包装非常仔细，非常感谢，祝生意兴隆。
黄***芒,star5,包包质量很好，容量大，背上很帅气
c***o,star5,收到啦，很不错，非常喜欢，值得购买，(*^__^*) 嘻嘻……
h***7,star5,商品质量不错?。京东物流超快，第二天就收到了。
u***9,star5,孩子很喜欢，包包质量不错的一直信赖京东品质保证正品
最***拜,star5,这款包非常不错，用起来非常合适
j***x,star5,很不错！实用！质量也很好！
j***c,star5,背起来很舒服，能装不少东西
