https://item.jd.com/100010540367.html,耐克DC0496,100010540367,340.00g,以实物为准,DC0496-001,女,镂空,凉拖,沙滩,2023年夏季
用户名,评分,评论
一***0,star5,还是可以的，运动拖鞋，穿起来特别舒服..17年买了一双，穿了四年，质量也是可以的，物流也很快，第一次小了，穿了一次也是很方便
j***Y,star5,耐克新款女拖鞋我是第一次购买，收到货后看到鞋的质量非常好，穿在脚上很舒服，柔软且结实。号码也比较合适，我很喜欢下次还买耐克拖鞋。
m***8,star5,东西收到，很满意！！京东平台真的是超级好的卖家，解答疑问不厌其烦，细致认真，关键是东西好，而且货物发得超快，包装仔细，值得信赖！
大***买,star5,很好看很喜欢 就是尺码必须买大两个码比较舒服，鞋底很柔软，踩着非常舒服刚好适合轻度骨折的我，还是nike拖鞋做得好嘻嘻嘻
细***菀,star5,物流超级快，尺码偏小，买大一码很舒服。非常好穿，软软的，承托力也很好，不会有塌陷的感觉。脚背魔术贴可以调节大小，不怕脚胀或者出汗了。做工细节很棒，品牌值得信赖
瑞***举,star5,很不错的呢，很喜欢，品牌值得信赖，很漂亮尺码大小：大小正合适，码很正，不错的呢实穿感受：很舒服，没有不舒服的感觉就是有点味道。穿起来很舒服，推荐。
5***9,star5,尺码大小：尺码很合适，穿着很休闲，质量也是非常好，很轻穿着很舒适，物流也很快，第二天就收到了，京东速度是真速度，价格也是很合适，618很划算，值得入手实穿感受：很舒适，轻便
j***o,star5,包装盒完好无损。是正码，脚感舒适，脚背可调节松紧。可以穿着下沙滩，但是脚背是海绵的所以不可以下水，如果遇水了要及时晾干，就也不会发臭
c***e,star5,虽然我个人不知道这个鞋怎么审美，甚至觉得有点丑，但是穿的人还蛮多的，所以只要设计出来，生产出来就有人买，不过这个物流很快第2天就到了，推荐购买。
有***-,star5,轻便舒服且美丽 怎么这么好看呢 这双鞋真不错呐 一脚穿不磨不卡 尺码合适快递速度 超赞的一双拖鞋 冲
有***-,star5,轻便美丽的一双拖鞋 尺码合适快递迅速 穿起来一点不磨不可 走起路来轻飘飘的感觉 真的很喜欢很棒啊 冲
安***_,star5,质量很好哦，发货也很快，一家非常喜欢的店铺，我要疯狂推荐给朋友们一如既往的好品质，非常喜欢的一款产品，非常棒！o(*￣︶￣*)o
有***-,star5,轻便舒服的一双拖鞋 走起路来及其耐走 居家旅行必备神器 尺码合适快递迅速 一点不磨不卡 简直真棒了 冲
j***b,star5,款式很大方，质量非常好，价钱也很合理超出预期，质量很好，做工精细，满意包装很完美，颜值很高，感觉物超所值！客服也非常耐心细致，发货快物流给力，以后还会再来??
j***b,star5,是正品很好用，价格便宜了很多，性价比超高，真的特别划算，包装也很高端大气上档次，值得购买是正品很好用，价格便宜了很多，性价比超高，真的特别划算，包装也很高端大气上档次，值得购买宝贝和介绍的一样，质感很好，功能强大，用了感觉不错
j***5,star5,真的很喜欢，非常支持，非常赞。与卖家描述一致，发货速度也很快，很满意的一次购物体验。。。。。。。。。
A***4,star3,外包装和里包装都烂了……鞋码偏小
j***J,star5,鞋子很好，是正品，尺码拍大两码，我脚肥，穿着很舒服。
x***a,star5,很舒服的鞋子，底软软的，鞋子很轻 ，准备去海边玩玩，这个鞋子超棒
j***3,star5,发货速度很快，质量不错，是正品，618活动购买很划算的，
j***k,star5,实穿感受：很舒服尺码大小：刚刚好
紫***q,star5,尺码大小：尺码很合适，穿着很休闲，质量也是非常好，很轻穿着很舒适，物流也很快，第二天就收到了，京东速度是真速度，价格也是很合适，618很划算，值得入手实穿感受：很舒适，轻便
陈***8,star5,稍微买大一号哦 穿起来很舒服 软软的 也不硌脚 物流很快 隔天就送到了 刚好赶上旅行 沙滩上也可以走 颜值也很高 搭配衣服也很容易
小***笑,star5,穿了几天了，很舒服，穿这个拖鞋不磨脚不累，相信京东是正品
i***福,star5,号码合适，特别好，穿的又合适又舒服，颜值也高， 特别推荐。
j***j,star5,真的太舒服了！这款鞋子设计比较合理，适合脚掌弧度，真的很舒服，值得拥有！买它
老***Q,star5,发货及时，送货超快，价格优惠到位，必须大大的赞?！！！
L***贝,star5,穿上很舒服，非常满意，会回购的
j***2,star5,穿上很舒服，整体感觉还不错
j***z,star5,整体来说还是很不错的，店家服务态度很好，而且质量也很好，没有异味
e***8,star5,尺码大小：和平时刚刚好实穿感受：很舒服穿起来
j***U,star5,超级漂亮 好可爱推荐
世***孩,star5,物流很快 鞋子很好看 好评
D***o,star5,这个颜色很喜欢，摸起来质感不错，百搭～包装也很大气，用来送人的话也是不错的选择
o***g,star5,很好，舒服，孩子很喜欢
j***4,star5,(?•??•?)??价格超优惠，性能也非常棒，完美的一次购物
小***6,star5,穿着特别舒服，估计一个夏天都是它了
p***c,star5,很舒服，不过我平时穿37.5的还有点大的，这次买了39才勉强可以。舒服确实舒服的。快递超级快，昨天晚上下单的，今天早上穿上脚了
比***乐,star5,尺码大小：很不错质量还可以吧实穿感受：我觉得挺好
j***q,star1,不值200多，买回来标掉了。
j***q,star5,很漂亮，装着很舒服，耐克的东西就是不错
u***5,star5,老婆穿着感觉特别特别舒服很好的鞋子
j***8,star5,鞋子特别好穿，底子软软的
9***_,star5,很好很好很好非常好很好非常好。
成***校,star5,简单好看。穿起来超级舒适。
h***8,star5,上脚效果很好，舒适度不错
蛤***0,star5,朋友说穿着很舒服，很轻便?
j***2,star5,很舒适很好穿，好评~
j***p,star5,轻便舒服，包裹性也很好
j***d,star5,穿的很舒服，值得购买
t***8,star5,产品很好呀，舒服极了。
j***L,star5,非常满意，到货也快，赞一个
j***5,star5,穿着特别舒服，值得购买
j***7,star5,送朋友的，她非常喜欢～
j***o,star5,感觉非常好，很是喜欢。
木***怀,star5,物美价廉，老婆也喜欢，不错哦
秒***吧,star5,发货及时，送货超快，价格优惠到位，必须大大的赞?！！！
j***6,star5,非常柔软，穿着很舒服！
d***n,star5,买大了一码，稍微偏大了一点，可能按正常码也就可以了，确实是蛮好穿的，防滑效果不错。颜色也好看
v***o,star5,至少要比平时拖鞋码子大一码以上，穿起来还是舒服的
小***婕,star1,就真的非常不好穿。非常累足弓！以前买的就很好穿，一样的产品 一样的码数，不知道为什么差异这么大。喜欢款式的可以买。追究舒适的不建议买
p***a,star5,产品性价比高，运货速度快，好用
j***m,star5,发货挺给力的，大小合适还不错
j***8,star5,粉嫩的颜色真好看，搭配衣服鞋子都好看，是正品
u***z,star5,底子很软，穿着舒服就是有点不耐脏，为了好看嘛，值得尺码大小：正常码
茉***7,star5,终于买到了正品的耐克拖，618没买到，贵了几十元。喜欢就不嫌贵。
j***m,star5,发货挺给力的，大小合适还不错
j***5,star5,还不错是我喜欢的款 就是黑色看着有点热
哪***啊,star5,穿着舒适，颜值高，值得推荐
j***l,star5,看着还是不错，有点味道，
j***j,star5,挺好看的，买大一号合适
鲍***芬,star5,软软的，穿上超舒适，好评。
口***6,star5,尺码合适，鞋子硬度合适
百***到,star5,拍的白色和粉色，媳妇喜欢粉的
莫***岩,star5,挺好的，是正品！！！！！！
j***t,star5,高品质看得见，穿的我舒服
Y***2,star5,本来想买浅色的，但只有男款有那个配色，怕码数太大穿着不跟脚。买了黑色也还行，**无奇不丑也没好看。码数买大一点比较舒服，魔术贴可以调节脚背那边
土***是,star5,软软的跟前两年买的底有点不一样一样软可以穿出去，可以的
j***B,star5,和这个之前买的不同款，也还行。
j***c,star5,鞋码偏小，比平时买的要大一码，鞋子很舒服
j***0,star5,鞋子偏小，平时穿36的，这双38的才勉强能穿，脚背高的可选大一码，鞋盒也压变形了
b***n,star5,平常穿37的运动鞋，这个拖鞋需要穿38才可以！偏小一码
c***_,star5,穿起来软软乎乎的可能我刚生完孩子一点点尽
高***兰,star5,鞋子偏小，款式还行，鞋底比较软！
几***Y,star5,鞋子很舒服，就是买小了一码
j***X,star5,底子很软，就是有点偏小。
Y***人,star5,尺码大小：建议买大一码  松紧可以调节  小了就不好办了实穿感受：软绵绵的  脚背处有海绵  走时间长了也不会脚疼  夏天必备  之前觉得不值  穿上才知道是真香！
马***米,star5,在网上看了很久的拖鞋，一直没有看到合适的，直到看到这双粉色nike，简直是长在了我的审美上，一眼就被它吸引了，然后果断下单。实穿感受：粉色布带比较热，其次这个鞋子吧超级不耐脏，穿一次洗一次，鞋底还不容易洗干净。
j***u,star5,平时穿37的，这个鞋子38需要脚瘦才穿的了尺码大小：偏小很多实穿感受：鞋底非常柔软，就是有点出汗
j***啷,star5,挺好的 自己本来就有个同款 这次又买了个白色换着穿 很百搭 就是尺码我认为好像是有些偏小 这个鞋的35.5对应的竟然是220 ，正常的话35对应的应该是225才对
j***a,star5,二百多的鞋子.感觉买的一点都不值，码数偏小，质量不咋样，买鞋子还是得上得物，京东太让人失望了
B***1,star5,穿着很软很舒服，鞋底不耐用，穿出去一次就被磨掉了一小块
给***子,star5,小拖鞋虽然丑丑的  但是巨好穿  踩着特别舒服 码子有点偏小  我36买的36  稍微有一点点挤 但是好穿就完事了！！
j***v,star5,尺码偏小，最少多拍大两码
维***1,star5,鞋子建议号太大了，平时穿39码，客服告诉我号偏小，让我选41码，太大啦
