https://item.jd.com/100022571551.html,耐克DM6818-029,100022571551,330.00g,以实际产地为准,DM6818-029,男,2022年夏季
用户名,评分,评论
花***峰,star5,搞活动买的，外观和描述一致，美观实用，材质手感都不错，好评！东西很喜欢，质量也很好的，这个价格能买到是真的很划算细节非常完美，整体来说真的很不错。性价比很高，下次还会继续光顾！
j***v,star5,裤子收到了非常的好面料很舒服穿着大小合适京东买东西送货****很好收到货给孩子试了试孩子很喜欢说下次再给买一个这次很喜欢满意
r***6,star5,很好，去年给老公买的深蓝色褪色有点凶，今年又给娃娃和老公一人买了一条灰色，质量很好也很好看，价格也实惠，以后还会再光顾的。
T***u,star5,宽松透气，面料亲肤，穿着舒适，长度合适，走路轻便。三个口袋可以放得下手机证件等小件物品，非常适合夏日出街穿着，搭配一件宽松T做上衣，没了身材焦虑，很赞！
嗨***活,star5,自己穿的麽，舒服第一位的，特别透气，舒服，百搭！当然了，不可避免的是很容易洗衣服后慢慢出现掉**况，不过那也是一两个月以后了，总体来说很爽，特别值得推荐！
蕉***0,star5,大小很合适，面料也很透气，经典的样式设计也很漂亮，搭配衣服很容易，夏天穿刚刚好合适。卖家服务态度很好，开始买小了一号，直接给换了大一号。
郭***阳,star5,收到货了，打开看看，真是太棒了！哈哈，京东自营的耐克旗舰店，真是好，质量也是和专卖店一样，太棒了！非常赞，本人身高176，体重140斤，L码最合适了
萨***娃,star5,物流非常快，发货及时，运输也很迅速，快递非常给力，基本没有耽搁。品牌服装品质有保障，做工各方面都没有问题，很值得购买推荐
理***了,star5,耐克男款及膝短裤，浙江宁波代工，手感很好，下沿类似于毛边，穿着很舒服，说明材料和剪裁都是合理的。价格也合适，送货上门。很好。
一***海,star5,不错，跟店里试穿的一模一样，质量没有问题，官方店还是有保证哦，推荐大家购买，刚买完就涨价了，还准备买一件灰色的穿呢，等下次做活动买吧！
蕉***0,star5,大小刚好合适，面料上身很舒服，夏天穿合适，比较透气。灰色的裤子搭配也很好搭，夏天就该穿得清凉些。京东物流也很给力，当天就到了，非常快！
P***n,star5,裤子十分舒适，穿着起来很轻便，整体感觉很棒！一直长买的经典款式，非常百搭，买了不下三条了，特别容易搭配，整体十分舒适，透气排汗，夏天穿也很舒服！
j***c,star5,外观设计漂亮，尺寸大小合适，包装仔细完整，宝贝手感不错，感觉很好，发货速度快，服务态度一流，给力！5星好评！
宝***8,star5,京东忠实粉丝。不论日常用品，吃的，还是小朋友的玩具，均在京东一站式搞定。希望京东不负大家的信赖，一如既往提供优质服务！
会***猫,star5,穿着舒服，已经是第二次购买了
l***q,star5,裤子很棒，刚开始买大了一号，换货很快，服务也很好，面料摸着很舒服，孩子喜欢。
M***s,star5,质量非常好 一直都是购买他们家的裤子，会不断回购的
茜***格,star5,给儿子买的，穿上好看，比实体店便宜很多
你***啊,star3,总体来说，一般般啦，价格也不贵，性价比还是很高的总体来说，一般般啦，价格也不贵，性价比还是很高的总体来说，一般般啦，价格也不贵，性价比还是很高的
-***_,star5,真的很好用，对商品非常满意，属于无限回购款，推荐！
Y***i,star5,大小合适， 面料很舒服，柔软程度很好看，上身效果简直贼好看，穿着感受的话也是很舒服。
z***0,star5,耐克男款及膝短裤，浙江宁波代工，手感很好，下沿类似于毛边，穿着很舒服，说明材料和剪裁都是合理的。价格也合适，送货上门。很好。
东***西,star5,Nike大品牌，质量杠杠的，灰色很高级感，56%棉质，38%聚酯纤维，五分裤，宽松版型，大logo，非常满意，上身效果好，喜欢。
T***u,star5,宽松透气，面料亲肤，穿着舒适，长度合适，走路轻便。三个口袋可以放得下手机证件等小件物品，非常适合夏日出街穿着，搭配一件宽松T做上衣，没了身材焦虑，很赞！Nice！
r***6,star5,很好，去年给老公买的深蓝色褪色有点凶，今年又给娃娃和老公一人买了一条灰色，质量很好也很好看，价格也实惠，以后还会再光顾的。
h***c,star5,裤子尺码符合预期，面料类型舒适柔软，手感也非常柔软舒适。上身效果非常不错，百搭休闲款，怎么搭都可以接受。总体来说还是比较喜欢。
k***t,star5,这款耐克短裤颜色挺好的，面料很棉柔，穿起来舒服，洗后不褪色，比黑色耐穿，吊牌摘起来也很方便，包装挺好的，对得起这个价格，京东自营发货很方便，当天就收到了。
j***m,star5,质量不错尺码是否合适：刚好合适面料类型：很舒服
h***3,star5,布料非常凉快透气，做工好，布料真的舒服，
开***9,star5,裤子穿起来很舒服，大小客服推荐的也正好！蛮好的！
j***y,star5,尺码是否合适：大小刚刚好，穿起来也很舒服
j***I,star5,穿起来很舒服，版型不错，一直是Nike的忠粉
j***x,star5,穿的很舒服，尺码刚好，会考虑再买一条差不多的
2***m,star5,穿着舒服，质量很好的哦，和店家描述的一样好
O***n,star5,面料很舒适 尺寸正好 穿着非常舒服
没***玲,star5,尺码适合老公，他说面料很舒服，待后续穿了之后再看看。
u***n,star5,大小合适，穿上身很舒服，值得购买！
j***飘,star5,裤子很软，穿起来很舒服，很适合运动
h***3,star5,布料非常透气，做工好，服务也好
j***g,star1,和去实体店买的薄了很多，穿起来远不如实体店来的舒服
j***2,star5,每一次都很满意，这次选的宝贝更加满意，以后还会一如既往地买下去
l***3,star5,衣服很好，给家人买的，穿着很舒服
j***y,star5,物流和服务都很满意，穿起来也很舒服
小***c,star5,裤子质感很好，穿起来很舒服
M***-,star5,很奈斯，一直盼着这条裤子降价，终于买上了
小***走,star5,买小了，退换货非常快，服务非常好！
j***m,star5,穿着很舒服，厚度刚刚好
陈***7,star5,非常好、京东自营商品售后服务非常满意
j***l,star5,京东物流就是快，质量非常好
u***5,star5,很不错的短裤！透气速干！
z***y,star5,上身效果很不错！价格合适！
屋***狼,star5,裤子很好穿 舒服又透气
j***B,star5,尺码很合适 布料很舒服
j***p,star5,质量很好 物流很快?
u***g,star5,上身效果挺好，很喜欢
j***o,star5,这款短裤绵柔的很舒服
秋***尽,star5,不错，很喜欢，速度也快
c***o,star5,裤子穿着很舒服，款式也不错，就是太不耐磨损了，稍微磨一下就起毛了，只能手洗，头疼
我***个,star5,第一次穿男款感觉挺不错 面料穿上真的好舒服！
赵***6,star1,质量太差做工不像页面
j***9,star5,京东的铁粉，京东平台的物品质量有保证，正品，快递申诉，和专柜一样没差别
l***0,star5,质量不错，宽松版，穿回来舒服！
u***w,star5,可以，摸起来挺不错的布料，好穿舒服
j***D,star5,面料厚实，质地柔软，LOGO醒目
a***5,star5,相当时髦的一款运动短裤。穿着舒适。
j***t,star5,纯棉的质量好，物流配送块，服务态度好。
净***月,star5,短裤还不错的，纯棉面料尺码足
j***O,star5,挺好的短裤，合身、易干。
j***5,star5,舒服，还挺好看的，不错
j***b,star5,买的灰色，好看的，可以入手
帅***明,star5,不错啊。绵的夏天穿不错。
h***4,star5,质量和外型都不错，孩子喜欢
j***j,star4,不错，是正品，物超所值
j***m,star5,已经买的第二条了，质量好
j***l,star5,穿着舒服，老公爱穿，
j***f,star5,老公满意，穿着舒服。
d***x,star5,京东快递飞一样的速度
j***d,star5,快递送货快 东西质量好
I***米,star5,还可以哦 这款。就是有点厚纯棉的
y***4,star5,这裤子料很舒服，但是因为这个裤边没有封边，洗衣机洗完会有很多的的小棉碎，建议手洗，然后甩干，然后呢黑灰各买了一条，换着穿，比专柜便宜最起码五分二的价格
j***3,star5,纯棉的，码数标准。孩子平时打球，活动的时候，穿着舒服。没有掉色，就是毛边，洗的时候，掉一点点小毛毛。
