https://item.jd.com/100041102056.html,耐克DJ6106,100041102056,0.95kg,以实物为准,DJ6106-001,男,橡胶,2022年冬季,透气，减震,系带,低帮
用户名,评分,评论
x***6,star5,耐克国际大牌，质量好有保障。有气垫穿上去像踩在海棉上，很软又舒服。网状布料，透气不闷脚。尺码合适不勒脚。强力推荐，以后再回购！
无***去,star5,这款鞋子穿着非常非常非常舒服，后跟的空气垫走起路来支撑地非常舒服，而且是6.18大促买的，价格也是非常的划算，很开心的一次购物。
啦***紫,star5,在商场试过了，鞋子很舒服，但是商场居然还捆绑消费，我们不太喜欢，确实也是没看到需要搭配的东西，就来京东看一看，比商场便宜，应该是正品吧，老公说穿着差不多……
淘***_,star5,宝贝不错，很轻，透气，非常适合走路，当然雨天就不能穿了，有利有弊吧，脚感好不错，比较柔软，貌似有鞋底有微微前倾的角度设计，可能是为了走路跑步更省力？但是站着不动时候就有一点不得劲儿。
J***T,star5,外观做工精细，款式新颖，网眼鞋面通风透气性好，气垫鞋中底穿着舒适有弹性，打底耐磨防滑。性价比同档次相对较高，前尖比较瘦。
a***e,star5,包装是真的好，里层一次性封装纸盒保证全新产品，每只鞋还有一次性拉环保证京东正品，避免调包等问题扯皮，，这点非常不错。舒适度和透气性可以，但是鞋子本身后跟很高，前脚掌减震比较一般，简单跑跑步凑合，不如全脚掌EVA的跑步鞋轻便灵活
g***8,star5,挺好的，京东商城自营店搞活动买的，质量很好，穿着舒服，很凉快，大赞?，下次还是京东商城自营店买鞋子，省事省心，太好了，尺码大小：合适，透气性能：很高。舒适程度：舒服的很。柔软程度：合适。其他特色：好看。
l***8,star5,第一眼就看上的鞋子  感觉非常不错  价格比实体店还少许便宜尺码大小：尺码是标准尺码  穿起来比较舒服透气性能：就是看上了透气性能才买的
9***2,star5,孩子脚爱出汗，看了商场对比了很多家，这双鞋是相对透气的，而且比商场便宜不少，这款鞋款型宽，穿着舒服。
光***路,star5,说实话看的照片，跟真的拿到手的鞋子，感觉确实不一样，跟心里差距挺大。
江***波,star5,不错鞋子很满意 很透气
m***o,star5,挺好的 非常不错 下次还会再来
j***k,star5,相当有颜值，夏天穿的，特别透气
北***4,star5,物流很给力一天就到了鞋子很漂亮很满足
l***g,star5,鞋子收到了，非常不错，非常喜欢，穿着非常舒服
j***p,star5,穿着舒服透气颜值很好
u***d,star5,图物相符，舒适Q弹，形体秀气，第一次给物品评价点赞?
张***未,star5,颜值相当不错，上脚也好看，质感还可以，透气，舒适度也不错。推荐
W***我,star3,没有广告说的那么好！脚垫有点硬、总感觉还可以吧，只是包装太过于简陋！希望是正品吧…
z***3,star5,大小合适，舒适，物流快，质量不错
j***s,star5,正品，相信京东，还会再次购买，物流到位，快！
