https://item.jd.com/100006367405.html,耐克SX7677,100006367405,300.00g,以实物为准,SX7677-010,男士,袜子
用户名,评分,评论
油***1,star5,看上这款宝贝已经很久了，终于到手了，挑来挑去挑了这家，事实证明我的眼光还是很好的哟，没有让我失望，做工和质量都很好，发货快，物流快
u***0,star5,非常好的袜子，一直在京东购买Nike的袜子，体验非常的棒，京东物流非常的给力，隔一天就到了，体验非常棒，好评，给京东好评。
-***笔,star5,不错的袜子材料用的不错穿起来也挺舒服尺寸和推荐标的很接近价格也适合包装略显简陋总的来说这一款袜子还是很不错的。
小***8,star5,耐克袜子质量很好，京东自营买着放心，这款袜子不算厚 舒适透气，春夏秋三季皆宜，本来还想再买6双同款黑色，下手迟了，到现在都无货，盼早日到货。
j***f,star5,宝贝质量非常好！推荐给大家！特意用了两天才来评价，这是对自己和大家的负责！经过我的亲身体验，这家店信誉是相当得不错。宝贝的质量更像钻石一般。太感谢了！
j***y,star5,收到货品好长时间了，一直没时间评论，现在终于有时间评论了!宝贝看着不错，活动时候买的特别划算，真的是物美价廉，宝贝挺好挺好的物流好快。可以放心使用。非常棒，值得购买，下次用完再来。店家态度也好，及时解决问题!
迅***鹰,star5,质量不错，价格略贵，合脚耐穿，越南产分薄厚，一次可以多买几双，不用为配对烦恼，是我多双多次购买的产品，黑色比较经典耐看。
迈***e,star5,这个属于耐克基础款的袜子了，不错很薄，46的脚穿L或者XL就行，比较适合夏天穿，不捂脚，打球上班穿都能驾驭，袜子一直穿耐克的，质量没得说。
j***h,star5,首先不得不说的是京东的物流速度那叫一个快！不到二十四小时收到快递。这些年一直穿耐克的袜子，好评！不过最近实体店缺货，因此到京东购买。整体还算满意，但总感觉质量差了一点点也许是款式选择的问题
海***鱼,star5,1、相信京东自营2、手感很不错，全棉材质透气吸汗防臭效果好3、唯一的缺点是经常缺货4、京东价格优惠5、包装稍微简陋了点有点想摆摊上10元10双的包装。
j***S,star5,买给孩子参加高考的，一共三双，正好是三天，希望能图个吉利！物流很快，孩子穿着也比较舒适，总而言之，就是赞赞赞！用料也不错，应该是全棉的！
昊***空,star5,京东自营，正品不用怀疑，这款袜子是经典的一款，包裹性好，还特别吸汗，穿着很舒适。到时候六一八再来蹲一波，有备无患。一年四季都可以穿。
j***O,star5,这款袜子收到了很多好评，用户们对它的舒适度、质量和弹力性都非常满意1。有人说穿上就像把双袜子穿在脚上2，还有人称赞它的柔软舒适透气，大小尺寸也正合适3。此外，这款袜子的保暖效果也不错，即使夏天穿着也不会热，而且不容易起球粘毛。总之，这款袜子的质量很好，价格也亲民，是值得推荐的。
陈***3,star5,一直穿耐克的袜子，这次在京东上买的，质感很好，很轻盈，越南产的。耐克袜子穿一个星期脚，鞋子都不会有异味，透气舒适。强烈推荐这款袜子。
工***你,star5,弹性好，穿着舒服，不打滑，运动生活都非常合适，耐克的产品不错，推荐给身边的朋友。京东价格合理，物流给力，服务没得说，还会继续支持！
j***8,star5,耐克袜子挺舒服的，京东购买发货速度快！码数合适，买给家人的他很喜欢，摸起来也很舒服，纯棉的质量还是靠谱的，夏天穿是再好不过了！
P***h,star5,运动袜真的挺好的的，大小刚合适，透气性强穿着舒服，袜子质感非常厚实，和运动裤搭配很好看，跟实体店的一样，配鲨鱼裤运动鞋，值得购买哦，物流很快、运动袜真的挺好的的，是正品，还会在买的。
A***介,star3,经常购买，正品啊，价格还是略高，比实体店低一些
l***7,star5,袜子很好，穿起来很舒服，毕竟是正品，质量可靠，越南产的，厚薄适中，价格合适，要求必须买两件，所以买了6双，不过一年四季都适合穿
j***i,star5,耐克运动袜子收到啦，纯棉透气性好，之前一直是穿他们家的这款运动袜，很舒服，但是，这次买的型号不对，想买中筒袜，结果是短筒的，不退换了，马上天热，正好穿！
T***t,star5,袜子真心不错，这个价格能买到这么良心的产品，真的值了，下次有需要还会来回购的，真的不错。一直喜欢这款袜子，运动休闲都可以，百搭。
转***I,star5,产品非常不错 大牌子买着放心 发货特别快 质量也很好  配送的也非常快 京东的东西买着不用担心 下次一定还来买 袜子穿起很舒适 好评
塔***蛋,star5,一直穿耐克家的袜子，袜子质量很好，很结实耐穿，弹性也非常好，纯棉的袜子也不臭脚，穿了好几年了。希望耐克继续做好袜子还会一直光顾本店的。
颇***头,star5,这款中筒的袜子官网已经没有在售了，包装和之前在实体店买的不太一样，不过这款袜子的样式一直都很喜欢。适合各种运动场合，而且还美观时尚。
s***n,star5,一直穿这个品牌的袜子，虽然购买渠道不一样但是袜子的针法和质量都不错。这次买了销量最大的一家的货，手感和外观不错。京东快递这次调货速度很快。
x***z,star5,大品牌，有保障，看价格入手。无论日常穿还是训练都很合脚，高度大小都很合适，黑色也很正，机洗也不会掉颜色。脚掌处有松紧，很跟脚也。
j***y,star5,耐克的袜子柔软舒适，面料不错，夏天穿也可以，透气又吸汗，大品牌值得信赖，质量杠杠的，京东物流也很快，第二天就能收到，推荐大家购买！
d***c,star5,一直穿耐克的袜子，上次买了的穿了两年，终于要换新了。在京东购买很放心。物流很快，而且品质有保证。收到货和上次买的没差别。
s***p,star5,不错，我特别喜欢耐克的产品，穿着非常不错，舒服，透气，耐穿，很好的，而且活动期间越来越便宜。刚刚好，白的黑的都有了。
王***伟,star5,质量非常好，客服态度非常非常赞，有问题及时给解决了质量非常好，客服态度非常非常赞，有问题及时给解决了质量非常好，客服态度非常非常赞，有问题及时给解决了质量非常好，客服态度非常非常赞，有问题及时给解决了
j***2,star5,一直有在购买耐克这款男士运动袜，三双装的，性价比也非常高的，已经回购很多次了，最喜欢购买黑色和白色，这次购买的黑色，还会继续回购的！
f***2,star5,薄款的运动棉袜，底部对应足弓的位置有横向布置的加强，内部毛巾底，比较适合夏天日常穿着，如果有厚款的，运动或冬天穿着会更合适
w***e,star5,一直穿这款袜子，纯棉的，穿着挺舒服，但也因为的质地很好的纯棉，没有化纤的牢固，所以消耗还是比较快的，但习惯是很难改变的。
持***0,star5,耐克白袜质量还是不错的，穿起来也是比较舒服。就是尺码有点偏小，想松快一点的顾客还可以买稍微大一个尺码的袜子更好一些。。。
j***v,star5,去年买的几双长筒耐克运动袜，穿着感觉很好！这次趁着活动再买几双中筒的袜子，换着穿，虽然活动价格比平时便宜，但感觉比别的品牌还是略微有点小贵
x***1,star5,一直用这个品牌的产品，多次购买耐克的袜子了，产品质量不错，透气舒适度不错，快递小哥非常给力，物流速度快，包装完好，值得购买。
乐***业,star5,送货很快，包装完好，身边朋友推荐的，说不错的，很快买来手感和质量都不错，吸汗，已经穿上了，大品牌值得信赖，会再次回购的。
自***1,star3,穿一天就起毛球，非常非预期
