https://item.jd.com/100010540355.html,耐克DD0234,100010540355,330.00g,以实物为准,DD0234-100,男,镂空,凉拖,2022年夏季,沙滩
用户名,评分,评论
h***3,star5,第一次买耐克的拖鞋，之前听朋友说耐克的拖鞋好穿不臭脚，想着我对象脚老臭了，给他买一双试试，左右脚颜色还是反的，比较有个性，穿着也比较舒服，就是白色那一只不耐脏，一出门就脏兮兮的！
休***子,star5,发货速度非常快，物流第二天就到了，鞋子颜值很高，设计感很强。夏天穿着非常舒适，不过尺码有点小，需要买比平常大一点的穿着才刚好
u***e,star5,京东快递真的快，第二天就收到货了，真的不错。怎么说呢，这个鞋子穿起来还是可以的，颜值也还行，感觉还可以，尺码也挺合适的不错。
j***Y,star5,做工精致，穿着舒适，这个款式是经典款，我以为特殊商品是库存货，没想到是当年生产的新货，京东物流一如既往的给力。
军***师,star5,物流很快，东西不错，非常满意。尺码大小：44码 这款鞋尺码偏小，我穿43的，买大一码，穿着正合适。实穿感受：穿着非常跟脚，比较合适。而且轻便。
风***里,star5,质量非常好，与卖家描述的完全一致，非常满意，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物店家很讲信誉，而且很不错哦，我很满意，下次有机会再找你，在家人蛮好的，东东很不错，淘到心意的宝贝
调***人,star5,实穿感受：东西质量非常好，与卖家描述的完全一致，非常满意，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。
哈***该,star5,第一次购买，感觉物品还是很惊艳的，价格还是公道的，物品外形还是蛮好看的！会继续推荐分享给周围加入和朋友！希望物品继续做多完美
j***j,star5,款式新颖，穿着舒服，质量很好，做工精细，绝对正品
j***1,star5,买的第二双了，质量很好，黑白最佳搭配，值得拥有。京东物流没得说，不是一般的快
h***u,star5,东西收到了，很不错，我感觉是正码的，我的按大神们说的大1.5买的
j***e,star5,自营的东西应该是正品，穿上也非常舒服，夏天快到了，搞一双
于***l,star5,整体质量不错，穿着挺舒服的，很好看
h***n,star5,绝对是最开心的一次购物，店家服务态度很好，售后也是
j***i,star5,这个拖鞋穿着很舒服，物流也快，希望下次再回购。
T***0,star5,鞋子要拍大两码穿着刚刚很舒服！
j***G,star5,买了520过节送对象的，他很喜欢，平时穿42码，买的44码也刚好穿下，码数偏小
j***6,star5,宝贝真不错，做的真细心，值得拥有，快递很快
似***情,star3,出汗快，卡脚，不舒服
阳***明,star5,穿着很舒服 很喜欢 买了两双
九***n,star5,很好看的拖鞋，出门穿也可以，百搭舒服～
j***v,star5,鞋子很好很喜欢，穿着很软，很舒服，又时尚，又舒服，尺码也是准的
j***s,star5,终于等到你了，收到鞋子马上试穿，完美！什么叫大品牌值得信赖，非常舒服，非常轻，踩地上有大大的弹力，鞋底弹力老强了，买了两双，儿子非常开心，我也开心！完美的一次购物
z***8,star5,给老公买的拖鞋，鞋底还挺软的。夏天就需要这样一双穿着舒服，看着时尚的拖鞋。不管外面穿还是家里穿，都是很ok的。他很喜欢
j***1,star5,尺码合适，穿着比较舒服，踩起来软硬适中平时穿41码的，选这个正好，希望对大家有参考意义大品牌质量没的说，粘合很好，没有开胶点
A***m,star5,鞋子很时尚，左右黑白配，看着很新奇孩子喜欢，不错呀买过来第一天孩子就穿上了，说是很舒服很跟脚舒服就行，颜值足够，喜欢就行
挑***姐,star5,男朋友穿着超级好看 鞋底很软 穿着很舒服的实穿感受：很舒服 很好穿的拖鞋哈 夏天外穿很不错的哦尺码大小：尺码很合适 建议拍大一点 拖鞋大了穿更舒服
D***e,star5,尺码大小：尺码刚刚好 很舒适！实穿感受：热天到了 刚好需要双拖鞋 刚好618活动 价格很美丽！鞋子左右黑白搭配 看着很时尚 很新奇 穿起来也很软很舒适！
j***x,star5,这双鞋子是鸳鸯设计，颜色不同，透着不对称的美感。鞋子做工精良，韧性很好，穿着舒适。我儿子喜欢打篮球，对耐克品牌很是喜欢，他说鞋子很好哈哈
临***6,star5,非常的满意?宝贝收到了，颜色很好看，质感也很好，样子简单！?是我想要的！！下次还会再来！
j***O,star5,夏天比较热，就买了双拖鞋，穿上很舒服，果然是大厂，一点异味儿也没有，哈哈哈穿出去特别拉风，简直了。回头率很高，正好赶上了活动也便宜
x***1,star5,穿了一个月，感觉很好，气垫的踩屎感，黑白混色在街上走也吸引目光，平常44.5合适，拖鞋要买45的了。
买***腻,star5,真的很不错，送给弟弟的生日礼物，他很喜欢。尺码大小也非常合适。
文***生,star5,物流速度很快，外包装完好，没有破损。快递小哥服务态度很好，送货上门。样子好看，平时穿26的，尺码买了大一码的刚刚好，个人觉得似乎再大一码会更好点。穿着脚感不错。
球***面,star5,买给外甥的，外甥特别喜欢，说这个拖鞋太有个性了，穿的很舒服，很轻便！质地比较柔软，穿起来也轻，果然一分价钱一分货！光说这个外形颜色，就特别有个性，初中男生的最爱，时髦！总的来说很满意的一次购物！京东666
j***Q,star5,真的很不错的鞋子尺码大小：很合适，42.5夏很舒服实穿感受：这是最舒服的拖鞋了，可以去海边，去外面逛街哈哈哈哈，朋友都说这个很不错的，他们也打算买了
w***t,star5,宝贝已经收到了，京东自营的我还是很相信品质的，穿起来上脚很好看，做工也很精细，希望一如既往的好
老***肉,star5,拖鞋很帅，老婆说还要给情人买一双，这样和他在一起能找到和我在一起的感觉，我非常高兴，感谢她和情人在一起的时候还能想着我。
j***b,star1,货都没有收到如何评价？
会***4,star5,夏天比较热，就买了双拖鞋，穿上很舒服，果然是大厂，一点异味儿也没有，哈哈哈穿出去特别拉风，简直了。回头率很高，正好赶上了活动也便宜
y***u,star5,耐克质量非常好，下水后也不会有变化，比实体店便宜一点，总之非常棒，强烈推荐！！！！！！！！！！！！！！！！！！！！！！！！
