https://item.jd.com/100046075874.html,耐克DV4022,100046075874,1.0kg,以实物为准,DV4022-101,入门跑鞋,透气,系带,跑道，公路，小道,2023年夏季
用户名,评分,评论
B***-,star5,给我爸买的，头天晚上下单，第二天中午就收到了，上脚效果没得说，很不错，我爸也特别喜欢，穿着大小刚刚好，而且透气性特别好，夏天穿的话也不会特别热，穿着长时间走路也不会捂出汗，也不会脚累，而且性价比特别高，又百搭，自己都准备来一双了。
j***b,star5,一直关注这款鞋，货到穿了几天才评价，平时41码，这个特意买的大了一码，再也不用担心走路挤脚难受。经典的耐克黑白配，穿着轻巧，舒服，有弹性。怕不是正品，特别选择了京东自营旗舰店，包装很好，物流很快，总之，花这个钱，值！
p***8,star5,鞋很快就收到了，跑步10来年了，每年都要在网上买两双运动鞋，穿来穿去还是耐克的鞋好。京东快递速度快，服务态度好，非常的满意，好评。
张***g,star5,京东快递很快，第二天鞋子就收到了，外观非常好看，鞋底软软的，穿着挺舒服的，运动上班都穿运动鞋，上班需要一直站着，这鞋很适合。
三***s,star5,京东的送货速度真的是非常迅速，晚上购买，第二天早上就到了，一下子买了4双，2男2女黑色白色各买一个，穿着舒服，大小合适，踩着不硬，很是推荐，搞活动就买了。
u***c,star5,本着负责任的态度，穿过一段时间才上来评价。在京东上挑选了很长时间，最后才选定了这款耐克鞋。穿着体验，感觉跑步，走步锻炼，休闲都很适宜!
j***0,star5,京东发货就是快！昨天下单今天就到了，鞋子试穿了一下非常舒适合脚，没让我失望图片跟现货并无二致不错，还会从这家店购买！
弦***3,star5,因为喜欢京东，买了京东 PLUS 会员，常在京东买东西，订单太多，不想每个产品都写好评，所以特地写下这个模板，以前不知道～评论可以涨积分，现在才知道好评的重要性，妥妥的每条都来评论下，赚积分，下次还能抵现金用。评论80个字以到20个京豆，我无论买什么东西都会把这个段话复制粘贴下凑够字数。这是第 N 次在京东买东西了，东西便宜而且质量好，物美价廉，买的放心，用的开心，感觉都买上瘾了买买买根本停不下来，东西品种多而且又特别全，划算方便，而且实惠，包装很好，而且没有任何损坏，会一直支持下去的，服务还可以一超级好用，好评，下次再来收起加入购物车
晴***萌,star5,京东百亿补贴买的，480多点。价位很划算，所以直接就入手了。店里卖的会贵点儿。之前在店里买了一双w8，感觉还不错，w10应该是两种感觉。踩着比之前软了，跑快了鞋垫有点滑脚。前脚掌做了加宽，对脚宽的人比较友好。总体还不错，适合日常出勤，5公里10公里慢跑。
6***泊,star5,这是第二次在京东上购买了，外观颜值不错，舒适度挺好的，做工不错，夏天穿稍微有点热了。穿上挺舒服的，是一款不错的鞋子，还会再支持的。
青***行,star5,今天穿了一下，挺软，比较满意。耐克家买鞋子真是寻宝，同样是跑步鞋，上次一双更贵，但穿起来却是没有这双舒服。目前可以推荐一下。
j***n,star5,外观颜值：很普通，不是很好看舒适度：鞋底很软，尺寸很合适做工细节：很好，粘度严密尺码大小：合适抓地效果：待穿后追评透气性：一般，适合春秋，总体来说看不出来那里值几百块太洋的鞋子。
吓***i,star5,非常nice的一款谢谢，一直在看耐克的鞋子，最终选的这款新款10的牌子。首先质感做工非常棒，正品无疑，京东自营的值得信赖，其次穿上脚感非常好，鞋底很软，舒适度满分。
静***海,star5,夏天到了，需要一双过夏的鞋，听导播介绍，锁定这双鞋，上脚超级舒服，软软的有弹性，单看样子一般，上脚超级好看，配色清爽，又比较醒目。
j***a,star5,外观颜值特别棒，舒适度非常好，鞋底非常软，非常喜欢，做工细节很好，走线很精致，尺码大小也非常准确，抓地效果很好，跑步非常合适，透气很好
j***w,star5,一直都是买耐克的鞋子，鞋子有气垫很舒服，减震效果很好，鞋底很柔软，给人的反馈很好。极简的设计也不会显的老气，很好搭配衣服。
好***6,star5,江浙沪一天就到，比去商场还方便，送货上门，表扬京东一下！鞋子大小合适，样子好看，穿上很舒服，活动价也不贵，希望耐穿。
j***n,star5,京东快递发货速度一如既往的迅速，包装非常的用心，非常满意，当天下单下午就到了，鞋子脚感非常好，很适合跑步运动，大小非常合适，非常的喜欢。
泰***7,star3,鞋子不错，价格能在便宜点就好了
j***o,star5,包装完整没有破损，是正品，有保证，质量好，快递很快，价格比实体店便宜，卖家服务态度很好，值得购买。下次还会再来购买，确实不错的噢！
吴***6,star5,大品牌值得信赖，实物与描述相符，快递很快，今天下单第二天就收到了，包装也很贴心，外观造型也很好看，售后也很不错，很积极为顾客服务。
小***r,star5,质量非常好，完全超出期望值，发货速度非常快，包装非常仔细、严实，很满意的一次购物一次很好的购物体验，服务周到，物流快速，配送也很周到，态度也很好，好评！宝贝收到了，质量很不错，包装精致，材质优秀，比想象中好，送礼自用非常合适，下次继续购买
f***奔,star5,试了一下大小合适，穿着舒服。鞋底很轻，回弹明显！618价格美丽。京东自营的品质有保障，昨天晚上下的单，今天就到了！非常不错的一款鞋，跑步休闲都没问题！
x***l,star5,物流速度很快哦哦哦，产品质量还是非常非常的棒  ，京东自营的产品质量还是非常非常非常的满意，搞活动时候购买的性价比还是非常给力
j***v,star5,外观颜值：炫酷，但不张扬。舒适度：弹性好，包裹性好！做工细节：做工精细。尺码大小：尺寸合适！透气性：透气！抓地效果：抓地效果明显，给脚部的反馈好！
j***8,star5,京东送货第二天就到了，穿上去还是耐克的感觉，舒服，弹力好，轻盈轻松，选了好多家，也对比了好多家才选择京东下单放心。
y***9,star5,9的黑色没有我穿的号，后来入手这个10，白色的，鞋子不错，踩上去能感觉到气垫，前后脚掌软软的，价钱也合适。感觉还是9系女款那个渐变蓝色的logo耐看。
j***L,star5,一直给家里的男子汉买这个nick的鞋，穿起来舒适合脚，价格也亲民，赶上618买更划算，就是穿吧，耐穿而且透气，夏天买正好，不臭脚h
小***6,star5,鞋子收到货了，上脚试穿之后满意，是自己想买的鞋子，颜色，感觉，做工对比之后是正品，鞋子还香香的味道，下次还会来回购！
j***d,star5,鞋子穿着很舒服，因为夏天脚涨，先买的42.5鞋码有点瘦，就换大一码，京东换货速度超快。购物体验很不错。京东的服务越来越好啦
j***D,star5,物流特别快，喜欢的品牌，收到货后打开来穿，特别合适，脚底非常软，走起路来也非常轻便，感谢商家，祝商家生意兴隆财源广进。下次还会购买
华***华,star5,宝贝收到了，质量很不错，包装精致，材质优秀，比想象中好，送礼自用非常合适，下次继续购买发货很快，已经收到货了，商品和描述的差不多，质量没问题，关键价格也合适，在这里买还是很放心的，好评！
W***G,star5,鞋号比较标准，外观挺漂亮，穿着很舒服，也透气，很适合夏天穿。鞋子的材料没有异味，赶上活动价格也十分优惠。
鱼***n,star5,鞋子质量挺好的，穿了好久了，感觉很不错的，一分钱一分货，挺好的，物流很快，下次再来买，还保价，还是很满意的。很推荐的，需要的来吧。
y***8,star5,在医院住院，早就想好了618下单买一双鞋也没啥其他的就买的气垫跑步鞋，我刚试过了，穿着感觉还好，谢谢京东京东给我们老人带来方便
