https://item.jd.com/100016961417.html,耐克DM3976,100016961417,0.6kg,以实物为准,DM3976-010,拉链,涤纶(聚酯纤维)
用户名,评分,评论
福***7,star5,产品功能：容量大，能装，鞋子衣服水瓶都能放还富裕 外观材质：面料还挺薄的，主要是颜色很好看 商品品质：质量可以的，夏天用很合适
这***巴,star5,宝贝收到后很满意，外形颜色也很喜欢，挑选好多家，果然没看错，希望把好物分享给大家??好大好大的宝宝啊，包包，打篮球把衣服护具手机水啊啥的都可以一包带走！
蛋***甲,star5,质量非常好，耐克品牌还是不错的，京东物流很快，买来第二天都可以到了，产品比较好看，适合用来旅行、出差的一些收纳，也适合装运动的东西。
l***8,star5,购买过程非常顺利，客服也很热情服务也非常到位，对产品阐述也非常清楚，产品到手后和形容的也很一直，使用起来也非常顺手，很满意的购买。
读***蜂,star5,耐克这个健身包挺大的。我觉得适用性也不错，可以装很多的东西，还有分区，可以把湿的和干的分开。我觉得对于这个价格来说已经非常不错的产品了。主要用来健身，背衣服和水的。不错。
我***漫,star5,收到啦，很不错，非常喜欢，值得购买，(*^__^*) 嘻嘻……真的超级喜欢，质量非常好，与卖家描述的一致！整体来说，还是很好的，非常值得再次回购
k***2,star5,正品店铺，放心购买，客服态度也很OK，整个购物过程非常顺利！下次还会再来的！赞！细节非常完美，整体来说真的很不错。性价比很高，下次还会继续光顾！价格实惠，质量杠杠的，非常好的一次购物，下次还来
W***Y,star5,真不错，价格合适，颜值高，还特别能装，非常喜欢??????适用场合非常多，出远门都可以不用带箱子了，用这个包老方便了
C***U,star5,Nike的运动包容量大，可以收纳的东西多，对于出门锻炼带装备来说很方便，一个包可以全搞定了。耐克是个大品牌，质量值得信赖。京东的快递送货速度也很给力，下单第二天就送到了，值得好评～
三***岛,star4,这个包挺大的，有隔层，有分区，但是分区不明确。整体比较软，包体大，但撑不起来，包的韧性不够。容量是不错，装一双球鞋一个篮球，若干衣物，水瓶什么的问题不大，做工还行，中规中矩，如果东西装的不多，没把包填满，包就有点拖沓。
