https://item.jd.com/100014352529.html,AppleiPad mini（第六代）,100014352529,0.6kg,中国大陆,8.3英寸,2266*1488,其他,iPadOS,A15,其他,64GB,7.0mm以下,不支持IPv6,指纹识别,粉色
用户名,评分,评论
8***f,star5,很不错的一款平板，京东物流超快，是正品，小巧轻薄，颜值高，充电速度快，内存够大，运行速度很快不卡顿，质量杠杠的，大品牌值得信赖！
j***I,star5,这颜值简直没谁了，太好看了，显示很清晰，续航也特别的好，拿在手里也不会很重，用起来很流畅，用来追剧真的太合适了吧，大大大的好评哦
百***R,star5,屏幕效果：感觉不能那么明显的什么果冻屏啊啥的，运行速度：流畅轻薄程度：合适很薄，方便携带外观材质：质感其他特色：买来用做游戏学习记笔记看视频。完全够用。吃鸡也非常可以。
j***.,star5,京东购物值得信赖，东西非常好，价格也很实惠，一直京东买电子产品，售后很好，也有保价，不怕买贵了，物流送货很快，苹果东西用起来很流畅，大小合适，值得推荐
j***o,star5,京东物流很快！也很稳！在京东买东西很放心！保正保质！ipad毫发无损的到手了！以后如果有电子产品的需要会再次在该平台店铺购买的！
s***2,star5,作为我第二次的苹果平板，不大不小刚刚好，我可以自信地说，这款设备的使用体验非常棒。它有着轻巧便携的设计、高清晰的显示屏、快速流畅的性能以及众多实用的功能，让我在日常使用中感到非常愉快。先考虑买手机但6寸屏有点小了，pro也有点贵，这价也只能买几年前的二手的了，最后还是决定买了这个，真的没选错。看什么都非常爽！
j***g,star5,这款ipad还是太好看了，非常喜欢这个颜色，终于买到了，学生还有优惠，喜欢了很久的东西，外观方面摸着很舒服，太喜欢了太喜欢了
j***u,star5,平板，够大，打游戏好操作，因为确实够大，厚度薄，重量还算可以，屏幕挺清晰的，，和手机屏幕一样细腻，看电影很不错，音质是没的说，四个喇叭像音响一样震撼，外壳是塑料材质塑料感有点强，感觉结实，防水不敢测试，，跑qq飞车很爽，网速下载快，连网稳定，快充充满两个小时，电池耐用，玩游戏不发热，物流速度快，另外这家店很实惠，比官网便宜，满意
F***8,star5,ipad mini大小刚刚好单手握持，屏幕素质也非常优秀。像一本书一样，可以随身携带，书写体验也非常好。横屏双手游戏体验也非常好。ipadOS加持，使用体验非常流畅，而且性价比非常好。
j***u,star5,"内存大，是真实的配置，平板和卖家的介绍是一样的，先试用几天，感觉很不错，电池待机时间很满意。2.平板的屏幕大显示效果清晰，机身轻薄手感好，内存也足够大，东西货真价实，还送了很多的礼品。3.屏幕刚刚好，运行速度也很快，拿着也挺轻快的，便携性好，非常满意，m1芯片性能上应该够了，操作很流畅性能很强。屏幕色彩艳丽,显示效果非常好，电池也比较充足。4.包装用心，平板手感非常细腻手感很好，显示清晰，反应速度快"
j***9,star5,Apple产品京东自营官方旗舰店品质保证值得信赖，买的放心、用的舒心，保证完好、颜色非常喜欢、携带方便、有三个了现在产品越做越好，感谢商家诚信经营，感谢京东快递小哥物流很快态度好！辛苦了！
橙***时,star5,非常喜欢iPad mini 6的外观。它比之前的版本更加轻薄，操作也更加便捷。另外，它的显示屏最高支持600尼特亮度，色彩饱和度也很高，看视频和游戏效果非常出色。同时，A15 Bionic芯片的性能也非常强劲，使得运行任何应用和游戏都非常流畅，没有任何卡顿的问题。iPad mini 6还配备了 Touch ID 传感器，让我的使用变得更加安全便捷。满意?
j***E,star5,外观材质：和大部分ipad一样，但是mini的屏确实小很多，用起来手感比较独特，更像是大屏手机。屏幕效果：全面屏，用了就知道，mini的尺寸，全面屏有多不一样。有一种尽在掌握的感觉，对于女生来说，还是mini更符合手小的人吧。运行速度：日常使用挺流畅的，其实就算作为生产力，mini也能有很不错的表现，对于大多数人而言，mini都算产能过剩了。轻薄程度：真的轻真的轻真的轻，重要的事情说3遍，追求轻薄程度的，别犹豫直接选mini，绝对不会错的。
z***7,star5,外观材质：摸起来很有质感，还得是ipad运行速度：用过安卓的还是喜欢用苹果，运行速度没得比轻薄程度：算是蛮轻的mini，用来打游戏刚刚好喜欢其他特色：外观也是好看的ddd
c***1,star5,京东自营旗舰店买的，就是快，发货快。质量有保证，还有活动，买了后到货看了，外观设计美观，反应快，空间大。给小孩子学习看视频课用，不错的选择，音质清晰，画面太美。京东自营旗舰店买的，就是快，发货快。质量有保证，还有活动，买了后到货看了，外观设计美观，反应快，空间大。给小孩子学习看视频课用，不错的选择，音质清晰，画面太美。京东自营旗舰店买的，就是快，发货快。质量有保证，还有活动，买了后到货看了，外观设计美观，反应快，空间大。给小孩子学习看视频课用，不错的选择，音质清晰，画面太美。
