https://item.jd.com/100025114529.html,AppleMNEH3CH/A,100025114529,2.45kg,中国大陆,8GB,Apple-MacBook Pro,100%sRGB,深空灰色,支持IPv6,256GB,MacOS,13.0-13.9英寸,15.1-18.0mm,60Hz,Apple M2,轻薄笔记本,Apple M2集成显卡,16:10,Apple,无机械硬盘
用户名,评分,评论
j***Y,star5,很用心的做了开箱视频，可惜太长了，无法上传。丝滑的感觉，屏幕分辨率也很好，一点也不费眼睛，操作起来很顺畅，适合上班族使用。
l***5,star5,家里的苹果电脑运行不给力了，好几年前买的，无奈又急着用，赶紧从京东自营买了一台，次日达的速度非常满意，苹果的品质也很棒，希望京东多一些活动
M***0,star5,新工作没有配备电脑！给了我买它的机会，感谢老公支持，确实yyds，苹果的续航就是很香，出门在外开会一天都很放心，给充电器也配备了保护套，希望我继续努力??哈哈
-***华,star5,下单后收货速度非常快，第二天上午收到。外包装干净卫生，产品质量非常满意，和实体店一样。京东购买方便快捷很多，而且价格也蛮合适，性价比高。推荐入手。
眭***越,star5,以前买过2020款的Mac pro，使用很满意。今年2月买了M2芯片的Mac Air，很轻薄，但是不太满意，觉得还是pro版本更好，续航能力更强，就是重量略大。
r***o,star5,下單后，配送超級快，當天就收到，运行速度：開机秒開，使用絲滑外形外观：手感一流其他特色：touch bar自寄義各種功能，顯示网頁，歌詞散热能力：常用軟件，基本不熱
j***p,star5,运行速度：M2的芯片名副其实，运行速度非常快，生产力高屏幕效果：屏幕显示效果非常好，散热性能：散热性能不错，外形外观：外形简约大气，设计符合人体工学，办公利器轻薄程度：轻薄易携带
人***号,star5,送货快好用，不错的体验，配置性能非常高，整体流畅不卡顿，分辨率很高屏幕非常清楚，值得购买，整体表示很赞，非常的适合白领办公使用
j***q,star5,老公给买的周年惊喜，很喜欢，苹果的待机真的是超赞，，，，，，，，，一次充满电，正常办公，一天没问题。之前的电脑，两个小时就不行了
小***一,star5,京东买的东西，还是真心不错的，轻薄程度：很轻薄款，而且不重运行速度：运行速度很快，一点都不卡顿，还是很不错的，无缝切换，屏幕效果：清晰，看起来就很舒服散热性能：还可以，我用底座，散热还行外形外观：银色好看
就***D,star5,京东快递非常规给力，第二天就送来了。这款M2芯片的13.3英寸mac book pro系统响应速度非常快，16g内存加上512g存储的硬盘日常办公使用基本可以满足了。
j***1,star5,买给自己用的的，东西质量不错，包装也完整，个人觉得很满意，大家都觉得好，京东直接送货上门，省的去外面费劲吧啦的买，还得自己带回来。价格适中，非常好的一次购物，快递员态度很好，京东送货快，辛苦快递小哥，京东加油。
b***4,star5,包装完好，发货超级快，头天下发第二天就收到了。运行速度快，待机时间长， 屏幕显示很清晰，看起来舒服，散热很好，几乎没有热感。
f***g,star5,物流很快，外表不错，买了A+会员，拿了12期免息，电脑收到后要设置，因为之前未用过这个系统，仍在学习中，希望好用，不辜负这个价格。
j***鱼,star5,物美价廉，质量过硬，做工精细，运行流畅。大品牌，值得信赖。单位买了几部苹果电脑了，家里孩子用的也是苹果。物流速度还是一如既往高效，支持京东！
你***亍,star5,苹果Macbook pro，简直啦！这款电脑真的超级好用，完全满足了我的日常需求。外观时尚，运行速度超级快，键盘手感超棒，而且触控板也好用到飞起。总之，绝对是一款让你会爱不释手的电脑！这款笔记本电脑的性能和外观都令人惊叹。它的配置非常出色，运行速度超级快，让我轻松应对各种挑战。而且它的设计超级时尚，轻薄的机身和简洁的外观，让我无论走到哪里都感到自信和舒适。总之，这款电脑是我用过的最好的产品之一，我强烈推荐给所有需要高性能和时尚外观的用户！
8***7,star5,电脑轻薄，质感很好，屏幕显示效果很棒，体积小，方便携带，macos系统也非常干净，没有广告，m2性能强悍，是一次非常满意的购物。
j***n,star3,不错，京东物流很快，
s***i,star5,运行速度：速度杠杠的，我平时用mac搞机，然后使用虚拟机中的win11处理工作中的excel跟word。屏幕效果：屏幕效果拉满，苹果的产品不会有问题。散热性能：散热性能爆棚，基本不会发热。外形外观：外形很常规的苹果产品设计。其他特色：m配苹果太炸裂了，续航简直了，可以从上班用到下班不充电。不足：唯一的不足就是我腰包没钱，早知道上16g512了
j***q,star5,第一次买苹果的笔记本，感觉这个价格是没有什么性价比的，给朋友买的，她做设计用苹果比较方便，就是苹果死忠粉，我不是很理解。
M***o,star5,一直想换台电脑，学习一下剪视频哈哈哈哈，感觉还是Macbook 比较适合搞这种东西吧！然后终于拥有了touch bar 很开心啦！
J***8,star5,给表弟买的毕业季礼物，a?会员加上京东东券超优惠，运行速度快，散热性能好不会发烫，深空灰颜色很有质感，就是这次送货速度慢3 4天才到
七***辰,star5,心心念念mac终于到手，在m1pro和m2这款纠结最后还是选着了续航更长更轻便的13.3pro。轻便性能也不差足够用了，能省一千多也是钱啊。和我拯救者比起来就小太多了，重量也轻了2斤。
A***g,star4,说实话对比了很久，价格不是说特别便宜，512g买完我也不想比价格了，散热和流畅程度不在我预期内，但是确实机子没问题，很舒服
j***2,star5,运行速度飞快，10个核心，比AIR多两个核心。屏幕效果简洁大方，鲜艳耐看。有风扇，散热效果比AIR好，待机时间更长更稳定，很轻薄，携带方便。
秋***9,star5,苹果的笔记本就不用说了，无论从外款还是使用上都是很不错的，系统也用习惯了非常好，从不弹广告，特别舒适，外款高端大气，手感也很不错
d***g,star5,京东自营的东西质量不错的 售后有保证 价格也算实惠 苹果的东西闭眼买就对了 发的京东快递 早上买下午到 快递员的服务也很好 赞一个
糖***-,star5,物流满分?，包装快递满分?，配送员态度满分?，购物让人开心，吃土使我快乐~?????????店家发货非常快，服务态度很好，应该是正品，一次很愉快的购物总体来说，确实很不错，客服的服务态度也很棒，说话几乎马上就会回消息，物超所值，真心推荐
u***q,star5,苹果电脑做工是挺精致。就是不会用ios系统，还需要适应。没有买官方秒鼠标，用罗技的无线鼠标，结果不流畅。
j***f,star5,物流相当的快， 第二天一早就送到， 下单到拿到货没超过24小时。 包装也很精细， 打开外层保装后就能看见原包装依然保持很好的效果。 让购买者有很满足的开包装体验， 键盘真的设计的很好， 安静， 舒服， 太满意这款了
j***u,star5,外形外观：外形好看，轻巧便携运行速度：运行速度快，不卡顿屏幕效果：屏幕分辨率高，很清晰散热性能：散热性能很好，机器不会发烫轻薄程度：机身轻薄，很喜欢其他特色：物流很快，颜值超高，非常喜欢
f***9,star5,运行速度：运行速度流畅，比air顺畅很好屏幕效果：温和不刺眼，也不错散热性能：靠机身自散热和排风散散热，感觉不到噪音和烫手外形外观：小巧、精致，心目中的电子产品应该就是这样轻薄程度：轻便，简洁
高***信,star5,看了好久了，终于在京东下单了，是很贵，但是太好用了。刚开始上手不太习惯，用多了太爽了，各种手势快捷键非常方便，写代码也舒服了
j***a,star5,这个苹果电脑我还是期待很大的，现在终于到手了，非常喜欢，快递小哥的态度也是特别好，物流超快！客服服务态度极好，很有耐心、给人一种亲切感。收到的时候包装完整，东西更是没有问题，看得出来卖家很用心。东西和图片上的没有差别。同事看了也觉得很喜欢。质量很靠谱，比我想象中的还好。这是一次完美的购物体验。没什么可挑剔的，下次还会再来。
j***r,star5,这个苹果电脑我还是期待很大，到了完全符合我的语气给人一种亲切感。收到的时候包装完整，东西更是没有问题，看得出来卖家很用心。东西和图片上的没有差别。下面是我皮拍的很好用在学校很好用
t***8,star5,运行速度：快?，很给力！散热性能：超静音?，风扇几乎不工作，除了剪辑和玩游戏时候会工作，几乎听不到风扇声音散热能力：很棒，常规办公不怎么发热轻薄程度：非常棒，收纳方便！买了立式支架，摆放不占桌面位置其他特色：超省电！轻薄方便携带！
韦***平,star3,外形外观：外环精致高端轻薄程度：轻便好携带
j***2,star5,五星好评，非常好！想不到那么快就到了！京东自营的物流非常给力。苹果电脑的质量和运行速度也是杠杠的。使用起来体验非常好，点赞??
l***0,star5,家人都很喜欢购买京东自营的商品，品质有保障，物流也稳定没有大的偏差，售后服务也特别完善，一般问题都能很快处理赔付，非常安心在京东购物！
W***9,star5,感谢京东大大，经常出好价活动，自营店的东西非常靠谱，我多次购买了，办公室的笔记本带不动了，自己买一个自用吧。快递速度非常快，很满意！
j***y,star5,外形外观：超炫酷，关注很久终于成为囊中之物运行速度：超快屏幕效果：超清晰，分辨率超好散热性能：超赞轻薄程度：重量超轻性能超好
宁***猪,star5,到货就迫不及待打开了，果真没有让我失望，质量特别好，颜值也相当高，满意的一次购物一如既往的好品质，非常喜欢的一款产品，非常棒！o(*￣︶￣*)o
不***生,star5,这也太棒了吧，物流速度超级快，然后买到了第二天就到了，再就是这个电脑细节很丰富，没有问题，屏幕显示很好，我用来设计剪视频完全没有问题，速度超级快，而且总体上手很快，用起来很好，冲冲冲
j***y,star5,性能杠杠的，买的13寸版本，还不太熟悉Mac系统，不过送的价值1200多的PD软件激活码也非常棒，安装的win11虚拟机也非常好用。主要是系统安全性高，用起来放心，没win那么多广告
木***3,star5,货真价实，高颜值，高品质，一分钱一分货，材质外观和质量一看就很上档次，非常喜欢???????????
兰***若,star5,完美！看了好久终于买了！比专卖店便宜500元。也不是第一次在苹果京东购买产品了，很放心！物流一如既往地快，拿到赶紧试了试，装上开用，喜欢。
富***钱,star5,一直在京东上买东西，京东自营店的品质很好，物流速度也很快，基本上当天买，第二天都到了，收到东西之后很满意，非常值得推荐！！！
迷***鱼,star5,非常不错，以前都用微软，ios非常流畅，这个又轻薄又好看，还有触摸按键，个人感觉用来工作非常的方便，当然游戏就不能打了，可以的
南***北,star5,屏幕效果：屏幕小了点，用惯了14、更换为13.3需要适应一段时间运行速度：苹果系统运行速度确实很快散热性能：散热效果目前使用还不错外形外观：外观依然是喜欢的色彩轻薄程度：超清，值得拥有散热能力：散热好运行速度：运行速度快M2系统，相较于以前的air速度确实快，不过air我已经使用了10年
l***9,star5,早就看好的一款，一直在等合适的机会入手。周围懂行的朋友都推荐这牌子，说不仅好用，颜值高还保值。之前因为预算原打算买老款，后来发现若买了会员，算来差不多的价格可以买Pro。于是赶紧上车。不得不说，做工真好，除了有点重，其他没毛病。快递员冒雨送过来，辛苦啦
婷***i,star5,照片看起来厚，但是实物真的很轻薄的，有一说一，虽然没用过苹果电脑，但由于用了好几年的苹果平板和手机，上手的速度还挺快的，还是和平板有许多共同点的，小白也没太大压力，买之前想入手后换装系统，但是现在看来暂时不需要了，长期使用后再决定装不装windows系统吧。丰富的触控板手势和触摸条功能，真的是太香了
s***g,star5,替换掉15款pro，够用了。最主要是用的方便跟其他同系设备。几乎不需要设置什么，自动把原来的同步过来了。又可以用不少年头了
陌***华,star5,真的好喜欢，客服态度也挺好的，值！以后有需要还会来买已经用过一段时间了，效果不错?，客服服务有耐心，解答详细，赞一个
小***9,star5,运行速度：没的说，一如既往地快，流畅，绝对的生产力工具屏幕效果：视觉效果棒极了，看时间长了，眼睛没啥问题散热性能：散热没啥问题，主要是办公软件外形外观：还是13寸的看着舒服，厚度适中，菱角圆滑轻薄程度：拿手机，手感不错，值得点赞，
w***0,star5,发货速度实在是迅猛，购买的第二天就收到。原封的机器，外观完好，慢慢使用中，等用段时间再来追评。京东自营品质有保障，大件都在京东自营购买。
小***2,star5,总结先放前面说   总体感觉还是值得购买的   好多朋友买过苹果本的都说用个10年8年没问题   所以下定决心买一个   也没让我失望   然后有两个小问题   也有可能不是问题哈   就是我在用的体会   PS或者lr打开运行一会风扇就会起动笔记本就会发热    流畅度和续航能力在提高就更好了    值得购买
星***n,star5,Mac Book Pro M2 2022款拥有出色的性能和高效的散热系统，使得它成为一款能够满足专业需求的强大电脑。其出色的图形性能和长时间的续航能力，使得它成为一款适合移动办公和创作的理想设备。
型***5,star3,东西暂时不评价，但是朋友们要注意618的活动不是最便宜的，我在618活动开始买的时候便宜700左右，但是6.19互动结束反而便宜了1000，且不在保价范围内。京东活动不可信！
c***n,star5,上一个苹果电脑已经用了5年了，这次买了16G内存的，M2芯片比上一代感觉更加的稳定和流畅。苹果的做工没得说，续航能力也超强，对于经常出差的我来说再合适不过了
j***h,star5,小巧实用，给孩子学编程买的，美中不足就是裸机，要是再配点相关配件就更好了，不过开发票倒是很配合，总体还是满意的
j***l,star5,真不错，a+会员买的，用下来，修图、剪辑视频都很方便，打游戏也完全没问题，而且Mac很多独有的软件功能都很强大～
u***7,star5,运行速度：非常流畅也会自动退出屏幕效果：颜色真实饱满散热性能：正常办公用一天也不会发热外形外观：简洁高大尚轻薄程度：可以接受其他特色：生产力强大
她***了,star5,运行速度：M2的芯片速度特别快，日常办公啊，工作学习呀都特别的屏幕效果：苹果的屏幕一定得相信效果真的特别好特别的还原散热性能：基本上不怎么热，正常的工作都还好
混***儿,star5,安全下车了，虽说价格比不上pdd，但是买了会很安心，不担心出现任何糟心的事儿，在京东上买，更有保障，618在京东买了手机和电脑，Mac本整体使用感受，就是这画质和音质，和强大不触控板使用感受，经验到我了，真棒???运行速度：很快屏幕效果：很清晰，比win强百倍外形外观：好精致绝对值得购买一个mac
例***c,star5,当天下单第二天就到了。经常有剪辑视频的需求，观望了很久，一直在air和pro之间纠结，最终下定决心入手这款。之前一直用Windows系统，突然一下子还不习惯，熟悉了一周就上手了。手机，iPad，电脑都是苹果系统，一体化真的流畅，办公也太方便了。
j***8,star5,运行速度：丝滑流畅，用习惯了win系统还需要时间来适应一下，屏幕效果：色彩鲜艳，饱满，久看也没有会累眼，散热性能：用来办公的没有发热现象外形外观：轻巧，流畅的线性，移动办公很方便。
小***W,star5,运行速度：一如既往快屏幕效果：屏幕效果很好散热性能：用了好几天散热一直不错外形外观：外形设计风格很时尚 颜值高轻薄程度：大小厚薄程度合适 携带方便包裹收到用了一段时间后才来评论的 不愧是apple
橙***学,star5,运行速度：运行速度没得说，毕竟是苹果，还是信得过的，而且M2芯片相较于M1运行效能更高屏幕效果：显示效果属于很好的水平，看电影平时使用都挺满意的外形外观：苹果一贯的设计风格
j***9,star5,毕竟算个大件，也在实体店做了好多比较，最后还是选择了Mac Book Pro Ｍ2，非常习惯苹果的操作系统，和扎实的金属感，接下来好好学习和工作了，做大家都好运连绵！
贰***七,star5,京东自营旗舰店正品保证，用着安心运行速度：快，还超静音屏幕效果：不费眼散热性能：还不错外形外观：高端大气上档次，低调奢华有内涵哈哈轻薄程度：比较便携，不太重其他特色：其他特色就是京东快递送货超快，快递小哥服务态度很好，活动买很划算，多快好省哈哈
x***t,star5,外形外观：非常漂亮、简洁大方散热性能：好屏幕效果：靓丽运行速度：很快轻薄程度：薄其他特色：忙活了一下午，把办公软件、娱乐软件等需要的都装上了。
多***界,star5,电脑非常好，很漂亮，散热也很好，运行很快，一点也不卡，外观很漂亮，电脑很轻薄，很轻便，适应非常好，就显示效果也不错，音效也很不错
觅***1,star5,物流速度真的是没话说，就是一个字：快。商品从外包装来看非常高档，真是一分钱一分货，贵有贵的道理?收到立马打开看了一下，非常不错，质量超好，颜值又高?，推荐推荐?
阳***枫,star5,阳的时候来了，这估计是我最英明的决定。补缺了苹果全家桶的最后一块，因为用的都是苹果机，所以还没什么不适应，挺好用的，而且待机时间超长，比微软的surface好用多了，微软的电脑绝对是个坑。
龙***0,star5,首先给京东个赞，前一天买的第二天一早就到了。试问还有哪个快递能做到这样。电脑外观设计非常出众，无论是质感还是各个部件衔接处，苹果都设计得惟妙惟肖，走进星巴克就有一种成功人士的感觉，当然只是为了装而已?。
种***因,star5,14寸和13寸纠结了很久，最后宁愿不要高配多接口也要13寸的外形和轻便，日常办公完全够用，颜值性能都在线，想多用几年的妥妥的上16+512
j***k,star5,配送很快  需要本人签收 很安全  电脑没问题  收到之后就开机了  运行很流畅  个人觉得银色非常好看  喜欢touch bar的设计  很满意
p***2,star5,一直种草MacBook终于入手银色，外观很大气，虽然安装各种软件花了一些时间，但用起来很顺畅，长时间使用散热超好，京东物流必须点赞
1***华,star5,非常好，之前买的是20版本，可惜丢了再也找不回来了，这个外光一样，很好看，套上自己买的保护套，更漂亮了，希望它能长长久久的陪伴我下去
l***z,star5,一如既往的好，该配置已购买的二台。日常开发完全没有任何压力，多开N个应用完全不卡顿，M2芯片真不是盖的，好评好评好评。
