https://item.jd.com/100009464799.html,"['AppleMacBook Air', '100009464799', '2.47kg', '中国大陆', 'DCI-P3', '高端轻薄笔记本', 'MacOS', '15.1-18.0mm', '金属', 'Apple', '8GB', 'Apple-MacBook Air', '支持IPv6', '灰色', 'Apple M1', '60Hz', '13.0-13.9英寸', '16:10', 'APPLE M1 集成显卡', '指纹识别，长续航，Wi-Fi 6', '256GB', '无机械硬盘']"
用户名,评分,评论
J***_,star5,运行速度：反应灵敏，运行流畅，指哪打哪，操作便捷，无可厚非屏幕效果：素质良好，亮度可调，帧率够用，不玩游戏散热性能：目前尚可，没有问题，长期待查外形外观：简洁大方，优雅端庄轻薄程度：平板便携，携带方便
S***生,star5,MacBook质感真好，深空灰很正，摸起来很舒服。13.3寸刚刚好，出行方便，工作效率也提高了，反应真快，M1性能真的强！！！用起来很舒服?
望***9,star5,非常的轻便轻便轻便，，，就是喜欢冲着看着这一点来的。。。。使用也很流畅流畅的，，，经常出差的很适合适合几百页标书。。
小***哟,star5,京东自营店铺购买后物流发货速度很快，第一天买的，第二天就到了，有的当天晚上就到了，还是跟以前一样，有保障很好，推荐大家购买，苹果电脑很舒服
P***0,star5,运行速度：m1芯片日常办公绝对够了，个人也没有重度负载的软件需求，但对电脑的续航时间比较在意。屏幕效果：2k屏很不错，文字显示清晰锐利。散热性能：没有散热风扇，但是秒杀大部分Windows轻薄本。外形外观：深空灰很有质感。
Z***e,star5,运行速度：开机很快，运行非常快屏幕效果：屏幕清晰，动态壁纸散热性能：散热也比老款好很多了外形外观：设计简约流畅，非常好看轻薄程度：很轻薄，带出去很方便。
随***买,star5,好用，开箱大吉，好看，拿着很轻，打字好，系统不熟，上手要点时间，跟其他笔记本用法很不一样，外壳很容易刮花，太软了，价格不便宜。
G***4,star5,"我购买的Mac book air电脑真的超乎我的期望!它轻巧便携，特别适合我的需要。它的性能非常快速，启动和运行应用程序都非常流畅。我喜欢它独特的外部设计,它看起来非常高端。键盘手感非常好，打字非常舒适。虽然是轻薄本，但它的电池寿命超乎想象，我能持续使用几个小时。总之，我非常满意我的购买，并强烈推荐这款电脑给需要便携性能的电脑用户。"
j***钊,star5,很流畅，目前没有出现过卡顿，电池很耐用，颜值高，物流速度也很快。。触控板真的一绝，完全用不到鼠标，操作非常简便且流畅，对于日常学习工作绰绰有余，简单的剪辑也够用。
j***3,star5,很不错，运行效果很快，Mac系统还是很强大的，笔记本很薄，很轻，便于携带，外观很好看，边角圆润，用着很舒服，开机速度一流，支持指纹解锁，很强大。
梧***镇,star5,外形外观：外观设计的非常轻薄，外出办公携带非常方便散热能力：散热能力还不错，平常不玩游戏，感觉够用了运行速度：运行速度还是非常快的，系统非常干净，不会随随便便掏出广告
梧***镇,star5,运行速度：8G内存运行一些常用办公软件是毫无压力的，运行速度非常流畅，相比windows太好用了，没有烦人的广告，系统很简洁屏幕效果：屏幕显示效果很哇塞，果然一分钱一分货，显示的非常细腻，虽然不是专业的设计，但是满足日常工作够用了
李***稼,star5,造型经典，堪称完美，流线型机身丰润大方不失纤细挺巧，金属质感一流，手感令人迷醉，一经接触，永生难忘，这就是苹果的魅力吧。质量一流，性能强劲，完全满足办公娱乐所需，物超所值！
熙***8,star5,孩子非常的喜欢，高考一结束就入手了。使用了一段时间，运行流畅速度稳定，非常的轻薄携带方便。京东618价格优惠力度大，送货****好。
i***4,star5,京东快递还是很快的，第二天就到了！回来就开始开机测评了，按照小红书上说的一步步来，很好没有什么问题，外观充电次数，序列号都一切正常，很满意
j***r,star5,出行携带特别方便，很轻很轻，运行速度没有问题，屏幕效果特别清晰，散热性能好，颜色也好看，发货速度特别快，第二天就送达，满意
w***5,star5,正在使用中，可以说是我买过最贵的笔记本，但确实值这个钱，性能非常强，电池太给力了，用了两天十个小时码字，还省50的电！给力的mac！
s***0,star3,机器出了故障，最后自己去苹果售后解决的
A***6,star5,刚买时很兴奋，买到手还在适应的过程中，总体外观很喜欢，比较偏爱深灰色，有种大气的高级感，这纯属个人偏好，系统用起来也很顺滑，总体不错呦
菜***包,star5,精致漂亮，用来办公这个配置足够用了，五星好评，值得购买，除了鼠标箭头失灵闪过一次，目前一切正常，在观察中
沅***儿,star5,物流速度快，包装密封性很好，打开之后，还是让我小小心动了一下，质感还是那么好，对于一个脑盲来说，我只能浅浅评价下外观了，喜欢。至于配置，我啥也不敢说。
j***f,star5,安全下车，电池循环1，三码合一宝贝收到，一如既往的好，包装很到位，质量还不错，很喜欢，大品牌值得信赖性价比很高，很实惠，使用起来感觉很好，非常完美.^?^.
j***2,star5,物流还是非常快的 包装也很结实 里三层外三层的。电脑外观也比较满意，银色的很好看。开机速度快，对经常出门重度办公的用户来说很友好。
D***子,star5,客服态度很好，刚收到就用起来了，目前感觉还不错，除了Mac的系统用着有点不大顺手，屏幕音效反应速度都很赞，很喜欢了，希望后面越用越顺～
不***E,star5,京东物流非常非常给力 上午下单 下午就到了 效率非常高 苹果这款笔记本手感非常好 运行速度也非常给力 性价比很高的一款笔记本
j***J,star5,果然是性价比最高的mac。个人对这一代外观有一定情怀的，usb-c充电也更兼容更多其他设备。教育优惠很给力，闭眼入。
j***诺,star5,一直想买这台电脑好久了，学生价便宜很多，超级合适，就赶紧下单，隔天到，物流很快，包装严实完好无损，打开电脑检查激活没有瑕疵，很满意的一次购物
L***青,star5,一直用的是苹果电脑，已经习惯了苹果系统，快速准确便利，和我的需求完全适配，不需要买最新的，这样一台买了可以用上非常久，性价比超高。
j***c,star5,看了很久的M1，教育优惠下手了，价格还算比较合适。安全下车。对于轻度办公人群来说应该够了。深空灰非常漂亮，希望它能撑上三五年吧。
一***致,star5,和windows确实有很大不一样，但两三天也就习惯了，后面还觉得非常丝滑好用，这个触控板让我感觉都用回不去windows了（苦笑），再就是电脑颜值极高，看着赏心悦目，界面也很顺畅，切屏切app之类的都很流畅，差了电池，也没任何问题
很***赋,star5,给新入学的妹妹买的入门版的笔记本电脑，样子非常的满意，电脑轻薄拿着用着都出来方便，相信苹果的技术，更多功能开发使用中，希望能愉快的陪伴他的整个学业！
s***e,star5,苹果?电脑，做工好，全铝合金机身一体成型，的确比其他品牌的塑料盒机身好！电脑速度快，内存看上去满了其实是满了，但是不影响速度，很神奇！！这台用坏了，我继续会买苹果的！！
w***-,star5,发货物流速度都很快外形外观：外形很流畅舒适，比想象的会重不少，可以自己在外面多加一个保护壳散热性能：没有同时运行多个程序，散热性能方面暂无体验
j***8,star5,物流快，包装好，非常满意！京东自营还是很放心的，一如既往的爽。运行速度：没有令人失望，非常流畅丝滑。散热性能：用了个把小时，没有发烫，效果不错。
我***菜,star5,从朋友那听说后用教育优惠买的，价格上还是很优惠的～一直用的都是苹果电脑～质量还是很不错的～轻巧便携，出差办公都很不错，系统也可以～
沙***涸,star5,苹果的电脑品质和画质没得说，而且用完优惠比华为的电脑性价比高很多，系统操作流程，没有广告，清新脱俗，价格也很划算，功能慢慢探索，苹果生态无缝衔接，用户体验真的不错
k***2,star5,挺好的，本来想买给孩子学习用，现在孩子用不上，我拿来听课太方便了，开始觉得不习惯，现在用着感觉非常好用呀，拿来线上考试也很香呀。
j***t,star5,M1芯片618活动下来差不多6500不到，价格很香！还没正常使用过，苹果电脑适合办公，平时带出门也比较轻便，包装还是一如既往的好看哈
T***b,star5,?是正品，跟商店里买的是一样的，在这网购方便快捷，品质放心，还会光顾！.^?^.东西很喜欢，质量也很好的，这个价格能买到是真的很划算终于买到满意的商品了，超出期望，非常喜欢，身边的人都问我要链接
j***j,star3,收到了，孩子说还得买手机
孔***a,star5,赶上618活动买的 价格特别便宜 物流也快 卖家服务很好 售后也不错 满意的商品包装很严实 电脑很符合我的预期 性价比很高
t***d,star5,不错?????虽然是外地调货等了几天，但总比预计到货快了两三天?????真的很棒?真的不错?????
u***t,star5,京东的物流还是一如既往的快，昨天下的单，今天就能够收到了。包装也是完好无损的，配送员的服务态度很好。电脑用着还行，挺不错的。
g***0,star5,越来越喜欢在京东商城里购物，生活用品、办公用品、家电电子产品、食品水果等等应有尽有，非常方便，自从用了京东商城就很少到超市购物了，京东商城里的商品价格很多比实体店和超市的都要便宜很多，而且物流很快，京东物流强大，有些上午下单下午就送到，如有问题也及时解决，京东商城在销售管理上也非常好，以解客户忧患排除万难，给予我们非常好的购物体验和售后安全感。现在新增加的手机充值话费更是安全、快速、便捷，即冲即到，还优惠多多，体验不错！
b***g,star5,东西收到，很满意！！京东平台真的是超级好的卖家，解答疑问不厌其烦，细致认真，关键是东西好，而且货物发得超快，包装仔细，值得信赖！
u***l,star5,运行速度：运行速度无敌，虽然是M1但仍旧吊打一众处理器！屏幕效果：屏幕效果也很不错，赞散热性能：虽然没风扇，但是散热也是非常棒的！外形外观：外形外观行业标杆轻薄程度：轻薄不错！其他特色：赞散热能力：不错运行速度：一流
墨***祭,star5,运行速度：很快 不会卡顿 就看中这点了散热性能：非常棒 听说冬天还会冻手外形外观：很漂亮 很有质感屏幕效果：这个不太懂 看着清晰就很好其他特色：这个苹果声音很是很有惊喜的
我***布,star5,送给准大学生的礼物，用了北京消费券+教育优惠，到手5999还送耳机，超级实惠了，最爱**送的耳机要能是AirPods就更好了哈哈哈哈哈哈
H***d,star5,大品牌值得推荐给大家分享一下，京东商城购物优惠活动优惠多多，京东快递的速度也是越来越快了，当天下午下单第二天早上就收到了，非常喜欢
j***l,star5,看了很久的款，终于在心动的优惠价格拿下它。Mac book air绝对够轻，带出去办公真心方便，电量相比windows 吊打一条街，背出去一天都不用带电源，解决我多年的电量焦虑。当然也有不足，打游戏的话绝对不要选它，当然它本身就不是为了打游戏。办公软件顺畅丝滑，8 G+256G轻办公绝对够用。
E***e,star5,"颜值远超过我的预期；就是一点遗憾，屏幕亮度没我iPad Pro 600nit高
运行速度：可以的
屏幕效果：不错
散热性能：好
外形外观：nice
轻薄程度：很精巧
其他特色：音质不错"
_***_,star5,发货很快，已经收到货了，商品和描述的差不多，质量没问题，关键价格也合适，在这里买还是很放心的，好评！东西比我想象中的还要完美，十分给力，值得入手
云***w,star5,质量非常好，与卖家描述的完全一致，非常满意，真 的很喜欢，完全超出期望值，发货速度非常快，包 装非常仔细、严实，物流公司服务态度很好，运送 速度很快，很满意的一次购质量很好，希望更多的 朋友信赖．店主态度特好，我会再次光顾的，可不 可以再便宜点，我带朋友来你家
j***湍,star5,给媳妇儿买的，也是为了更好的工作，之前用的戴尔或者华为的笔记本，感觉卡顿比较厉害，最后选择了这款苹果笔记本，第一次用苹果产品，期待效果，先给个好评，一如既往地支持京东自营！！！！！
b***l,star5,目前为止还不错，比较轻薄，耳机孔还是圆形的，充电口改了，没有usb接口，需要自己买一个转换器，总体来说对于轻型笔记本来说，还是性价比比较值的。
5***7,star5,系统还在适应中，外观、运行速度都挺满意，自配了个扩展坞、保护壳和键盘膜，除无线鼠标和电脑内胆包这种配件都需自购外其他暂时挺满意哒
L***6,star5,2020年的Air虽然有点老旧，但是目前依然是同价产品中性价比最高的，毕竟一枚芯片就值回票价。无论是重量，外观还是性能，都是扛打的。虽然深空灰的颜色更商务，但是很多渠道都没有金色了，果断入手了金色。
菜***爱,star5,很稳地下车啦，618好价入真的很划算，没忍住决定不等暑期优惠了哈哈；苹果用户终于实现生态闭环，用得很爽～金色实物看就是玫瑰金的颜色，照片拍不太出来，超级好看，越看越满意，不知道为什么选这个色的人好像不多唯一有点遗憾的是只有丐版有教育优惠，本来想入大内存的，但愿可以用的久一点吧
