https://item.jd.com/100038004389.html,"['AppleiPhone 14 Pro', '100038004389', '377.00g', '中国大陆', 'A16', '未公布', '暗紫色', 'IP68', 'FHD+', '以官网信息为准', '256GB', '紫色系', 'OLED直屏', '4800万像素', '苹果风，商务，科技']"
用户名,评分,评论
_***_,star5,买来送妹妹的生日礼物，线下实体店体验以后，果断选择这款，可惜没有买到白色的，有点小遗憾外形外观：手感舒适，好看屏幕音效：很棒，立体环绕音效拍照效果：清晰自然，色彩真实苹果一如既往的好用，点赞?
辣***6,star5,老粉丝了，十几年老粉。系统流畅不卡，其他牌子真的比不了。外形外观：很漂亮，方方正正的，中规中矩。屏幕音效：立体音很好，很棒??拍照效果：很漂亮，清晰度很好！运行速度：很快。待机时间：不经常用，一天够了。其他特色：灵动岛，很鸡肋，没什么大用。
j***t,star5,大小合适，手感好，反应灵敏，不错！照相清晰度很好，适合拍点照片，屏幕显示细腻，清晰，总体是个好手机。
y***2,star5,外形外观：这个紫色确实不错，大小合适，可以单手操作。屏幕音效：显示细腻，音质清晰拍照效果：很惊艳，像素提高了之后拍摄的照片更细腻运行速度：快，丝滑待机时间：一天没问题。
壮***儿,star5,推荐推荐一整个爱住了，太好看了这个颜色，拿在手上不想放下！而且拍照很细腻真实，录像的效果也很好，还流畅，广告也少。平时对手机圈不了解，就直接选择了苹果，而且我不玩大型游戏，平时就喜欢拍照录视频 很好 很喜欢
U***儿,star5,同城送很快，当天就送过来了外形外观：白色，很好看屏幕音效：很好拍照效果：15倍放大很清晰运行速度：好待机时间：100%的电池容量待机很不错
小***9,star5,外形外观：收到就赶紧迫不及待了，拿出来果然一分价一分货的感觉，拿在手上还挺重的，份量很足屏幕音效：特别好拍照效果：特别清晰运行速度：只能用很丝滑这个词待机时间：一天，但是会发热，充电不能玩
尊***安,star5,想了很久才入手的，真的满意，使用起来非常方便，性能配置高，网速流畅，价格便宜而且售后服务好，性价比很高，买的很值，下次有需要会再次购买
z***0,star5,很不错，苹果系列产品很适合我，一直都是用苹果，拍照好看，不卡，不会用不久就卡，很耐用，不会一两年就要换手机，方便，一步到位
j***2,star5,货已经收了，2018年的iPhone x就是在这个店买的，用了五年多还是很流畅，适逢店里搞活动，果断下单买了这部手机？
u***i,star5,东西很好，性价比超级高，犹豫的可以赶紧冲，东西的质量也超级高，品质也一级棒，大家可以放心购买，好东西，值得使用，心想事成。
南***意,star5,1不错，没有任何问题，非常好用，喜欢的可以赶紧冲冲，品牌值得信赖，上手无论是操作体验还己持感都是优秀的，符合人体工学，拍照效果嘎嗄好
劳***冬,star5,外形外观：暗夜紫显示在不同亮度的光照下，呈现不同的光彩非常耐看。前置摄像头和灵动岛融为一体，正常适应上和以前的刘海屏看不出多大的区别，不过买14p了应该也都默认这样的设计了吧。屏幕音效：双扬声器的音量和音质都还差强人意，毕竟是手机拍照效果：4800万像素的主摄像头还是很给力的，不过需要在设置中开启不然和13差不多了，苹果夜晚拍摄除了祖传的?影，照片质量还是不错，瑕不掩瑜吧，运动模式确实稳。运行速度：一句话：A16永远的神！待机时间：一般轻度使用的话用一天都还能省一半的电，连续看视频可以坚持4个小时以上其他特色：还是那句话，苹果手机拥有优秀的生态系统和流畅的运行速度，但是习惯安卓系统的用户还是需要慎重选择，要多了解再入手，适合自己的才是最好的。
P***6,star5,第一次使用苹果手机，之前都用的华为，必须要比较的评价一番外形外观：有点重，比华为来说不够轻巧屏幕音效：音效不错，比华为强拍照效果：拍照不失真，清晰度比华为稍差点运行速度：运行速度跟华为一样待机时间：新机目前待机时间，充一次用两天信号：电信卡跟移动卡比华为同一地点差多了，而且往往收到微信都到两三分钟后了，很容易错过很多信息，下次换手机果断选择华为，若不是华为5g少，我是坚决不会选择苹果的
j***j,star5,苹果14 Pro具有出色的续航能力，视频播放最长可达23小时，用户可以不用频繁充电，享受更加持久的使用体验。综合一下，iPhone14pro核心性能更加出色，能够满足用户的各种需求，值得购买！
虾***妈,star3,信号不好，其他的还不错
j***b,star5,手机漂亮可价格也真是高啊，为了不再总是出现内存已满的尴尬提示，直接选择了个大内存的，工薪阶层肉痛啊，不过用着是真舒坦，感觉丝滑，拍照也有了很大的提升
j***e,star5,前年给高考的儿子买的苹果12，今年给高考的外甥女买的苹果14。在京东自营买的放心。我自己用的手机也是在京东自营买的，也买过两个了。
Q***F,star5,超级喜欢一直都喜欢苹果的产品  超级给力特别实用 一点都不卡顿 好好用 比国产手机强太多了 大品牌就是值得信赖
j***z,star5,外形外观：外观大气漂亮，颜色很喜欢屏幕音效：屏幕显示完美，非常清晰拍照效果：拍照效果很好运行速度：非常快，反应迅速待机时间：可以，基本一天够用
l***e,star5,外形外观：暗紫色很特别屏幕音效：显示清晰细腻拍照效果：很好，还可以变焦，长焦端质量还可以运行速度：流畅，5g很快待机时间：很长，一天一充就可以
殇***i,star5,外形外观：外观这一块苹果没的说，绝对是长在我的审美上，这么多年第一次买全新的苹果，也算是满足一级小愿望，后壳磨砂很有质感，但是侧框比较容易沾指纹和灰尘，用手机壳也会让按键有一定的磨损掉漆，这一点个人觉得以后可以改进一下，屏幕音效：屏幕很好用显色很舒服，音效杠杠滴，最起码在我用过那么多的手机里边绝对是最好的之一。拍照效果：拍照效果很好，虽说跟国产机动辄几个亿的像素没法比，放大后的细节还是有点拖后腿，但是算法很不错，所以照片拍下来也是甩国产几条街。运行速度：速度也非常好，新买的手机虽说用了两个月了，但是苹果是出了名的流畅顺滑和抗用。卡顿头两年应该不会出现。待机时间：待机时间是苹果的短板啦，不过用一天基本没问题，我基本上上下班听歌看视频，白天有时候玩半天金铲铲，基本上一天也够用。其他特色：没有拍外包装，苹果的外包装盒子没啥可以说的，这两年老是拿环保说事，懂得都懂。总得来说这款手机个人非常喜欢，也是我斟酌许久才定下来买的。直面屏，保留非大屏这两条是我买这款手机最大的原因。国产机涨价厉害，而且都是曲面屏，且大屏，不实用，全是花里胡哨，性价比和个人使用习惯都不满足，最后选择这款。希望苹果再接再厉。以后还会再买。
c***6,star5,618京东的优惠力度还是蛮大的，这款上市有这么久了，优惠确实到位了，对比了plus、 pro 、pro max三种，大小、处理器、摄像头、重量、待机时间等综合下来，还是选pro最合适，毕竟送老婆的，太大、太重不好，而且pro和plus对比摄像头、处理器有大提升。老婆很喜欢它的摄像头拍照的真实，屏幕大黑边说实话我不是很喜欢。
a***i,star5,用电量太快了、早知上max 、不差这点钱的朋友们建议上大杯、pro基本上每天两充拍照效果：很清晰运行速度：快待机时间：短
M***7,star5,外形外观：一如既往的精致，紫色太好看了，显气质！屏幕音效：屏幕很好看，灵动岛可以说是完美到极致。拍照效果：相素高，拍照很清晰。运行速度：很流畅，总之很赞??
被***鸡,star5,外形外观：依旧是手机领头羊质感无敌拍照效果：拍照录像完全无压力运行速度：在这里选购安全方便快捷?，快递小哥态度非常好，这个价格非常给力?，十分推荐，会继续回购
j***3,star5,手机很快就收到，质感很好！用了几天手机质量非常好，外观很高大，手持，握感非常好，电池续航能力很强，一天都不用充电，拍照效果很好，画质很清晰，帧数很高，显示效果很好，分辦率很清晰，运行速度非常流畅，物流配送速度非常快！很愉快的一次购物体验！
t***j,star5,手机拍照功能真的很好，人像和电影效果的视频都可以调整光圈。外形外观：超级好。屏幕音效：很棒拍照效果：亮点非常多
陌***Y,star5,外形外观：非常美观，完全没话说，买到就是赚到屏幕音效：屏幕分辨率很高，很清晰，音效也很不错拍照效果：4800w像素嘎嘎厉害运行速度：很快！待机时间：一天一充，或者两天一充完全没压力其他特色：整体体验很不错，值得入手！
w***王,star5,外形外观：看着真不错。屏幕音效：声音挺大的，看着也很好。拍照效果：挺清晰的。我的脸有个痘痘都能看见?运行速度：挺快的。待机时间：我试试。其他特色：颜色看着不错，挺黑的，挺好看的。
怪***了,star5,外形外观：选择黑色百看不厌，外观经典6.1英寸屏幕音效：1080p高清，清晰度高，音效杠杠的拍照效果：4800万后置像素?1200万前置运行速度：ios系统运行速度，流畅度无需多言待机时间：待机一般
j***Y,star5,外形外观：外形很漂亮，握持很舒服屏幕音效：屏幕显示很清晰，眼睛没有出现不适情况拍照效果：拍照清晰，人像效果很好运行速度：运行速度快没有卡顿情况待机时间：低频率使用一天一充其他特色：整体使用感受很好，手机没有出现网传使用过程中的问题
方***爷,star5,"拿在手里沉甸甸的，但是触感很好，运行很快,，用着不发烫，另外续航也很可以，平时待机的话比之前用的长了很久。信号也挺稳定的，毕竟是4g变5g感觉还是顺畅了很多的，而且关键是拍照也很棒，对 比以前也是有了很大的提升，还是很满意的，以后岁没有问题再追评。"
爱***呀,star5,外形外观：外观非常漂亮，我非常喜欢。屏幕音效：屏幕非常大，看电影体验感非常好。拍照效果：拍照的效果非常清晰。运行速度：运行速度非常快。待机时间：待机时间非常长，一般能用一天左右。
j***e,star5,宝贝收到了，外观非常漂亮，去小刘海造型更好看。屏幕不错，操作简单，音效很好，高清晰度音效。拍照效果杆杆的，逼真还原无色差，拍出效果高清，视频高清。运行速度流畅无比！
一***鱼,star5,外形外观：白色磨砂，很有质感屏幕音效：苹果虽然续航不行，音效还是挺不错的拍照效果：可以调成4800w像素，很清晰运行速度：运行速度没的说，非常流畅待机时间：续航不行，晚上放那不用，一夜都能掉百分之8的电
j***f,star3,使用一段时间发展对焦容易跑焦！
j***9,star5,外形外观：选择了常规色~黑色，简单大方屏幕音效：屏幕质感很好，灵敏性好拍照效果：拍照真实待机时间：待机时间长，充电比较快其他特色：和我的手机壳比较配
d***e,star5,外形外观：外观就不用说了，一直这个样子屏幕音效：屏幕完美，音响biu特否拍照效果：拍照效果一直都很好，录视频就更加不用说了，
j***w,star5,苹果手机无论从设计 做工 材质一直都是业界天花板 屏幕显示细腻 系统运行流畅 音质配合苹果耳机相当棒 照相还原真实 整体没有短板
臭***鑫,star5,外形外观非常漂亮，方方正正的，又回到当初用5s时的感觉，一直都喜欢苹果的方正型设计，屏幕超级清楚，音效也好，拍照?效果一流，4800万像素的提升不是一点点?呀，最新A16仿生处理器运行起来极快
j***L,star5,外形外观：很漂亮啦 女孩子都喜欢的银色 百搭手机壳哦拍照效果：很清晰！毛发拍的也很清楚 就是经常不聚焦！待机时间：不打游戏正常使用一天没问题啦 一天一充运行速度：iOS的顺滑也是体验到啦 很流畅哦
G***H,star5,外形外观：大小合适，拿起来很方便。屏幕音效：显示超级清晰，声音也很大，不怕打电话听不见了拍照效果：就和买了个摄像机一样，拍的非常清楚运行速度：很流畅，非常丝滑
臭***鑫,star5,使用一段时间，无网传各种问题，总体来说值得拥有，新机屏幕大，手感重，音效效果非常棒，?立体感，续航时间长，使用频繁一天一充，拍照?色彩还原度高，灵动岛设计别致，体验很棒
O***E,star5,外形外观：苹果颜值就无需多言了，很漂亮屏幕音效：显示效果非常棒，双扬声器看电影不错拍照效果：原图照片细腻，拍照速度快运行速度：运行丝滑，送3GS一路走来从未失望
-***g,star5,外形外观：好看的紫，在不同光线下显示的颜色不一样屏幕音效：好的拍照效果：清晰运行速度：快，不错待机时间：正常用，一天一充其他特色：品质杠杠的
j***7,star5,外形外观：升级换代，好看屏幕音效：打游戏看电视剧爽拍照效果：新增了很多功能运行速度：很流畅待机时间：超级耐用其他特色：ProMax的3D雷达，好用好玩
j***8,star5,银白色的iPhone外观精致，颜色百搭。手感很润，拿着很舒服。屏幕素质高，显示清楚精细。摄像头拍照很不错，录像很稳定。系统运行流畅，没有卡顿，功能挺多。待机时间属于比较长的，毕竟电池是系列里最大的了。总体很满意。
j***O,star5,"非常好，第一次使用苹果，一次买了两台,听同事说永不会卡，感觉有点吹牛，就想试试，用了快一个月了，开始还不太习惯，现在好多了，手机大小刚好，重量比安卓机重，拿起来手感很好，外观也很漂亮，特别那三个摄像头，很难不引起人的注意拍照效果绝了，功能也很强大,不足的是电池续航不是很满意，价格也不是很满意能便宜个三五千就完美了哈哈哈"
海***言,star5,A16芯片，动力十足，4800w像素主摄，细节满满。XDR显示屏，舒适观感，灵动岛功能，强力出圈，续航强劲用到底。物流速度很快，客服服务周到，满意。持续使用体验中
j***s,star5,外形外观：这款苹果手机...外观时尚潮流，很适合当下潮流屏幕音效：屏幕色彩艳丽...环绕立体声音响拍照效果：拍照像素很高...色泽艳丽运行速度：运行速度很快待机时间：很好，基本上可以满足日常需要其他特色：快递配送神速
B***R,star5,外形外观：银色永远是最好看的，经典配色，非常好搭配手机壳屏幕音效：显示效果非常好，息屏显示很方便拍照效果：拍照有提升，白平衡准确，不偏色了，对焦速度快了运行速度：运行速度一如既往的快，动画丝滑待机时间：待机时间妥妥的够用其他特色：灵动岛适配的也不错了，很多新功能了
j***2,star5,通信音质很好，很清晰。显示效果方面也很好，颜色很正，紫色好有质感，显得很高级，不锈钢边框手感非常好，屏幕音效方面高刷屏幕刷网页很快。拍照效果还原度很高，尤其是夜景，非常惊艳。运行速度非常快，满足日常一切所需，新机子待机没问题
炜***唯,star5,外形外观：外观外形总体来说还不错，外观很漂亮屏幕音效：屏幕效果挺不错的，比较苹果拍照效果：拍照很清晰运行速度：可以，没啥卡顿待机时间：新机还是挺长的
j***r,star5,外形外观：银白色真的超好看屏幕音效：常规拍照效果：高清晰度，夜晚拍照也超赞运行速度：流畅不卡顿
S***o,star5,拍照效果：效果特别棒，像素好，拍出来比较真实，不假运行速度：果粉都知道，运行快，不会卡。外形外观：紫色闭眼入。屏幕音效：音质好。
h***g,star5,手机不错 看了一阵才下单的 还行吧 用了有段时间了 反正苹果手机来来回回都差不多 外观还是很不错的屏幕音效：很好拍照效果：很好运行速度：很好除了不好的都挺好的
1***-,star5,外观颜值高，续航增强了，手机手感一流，4800W像素效果提升明显，比以前的更清晰了，无卡顿感觉，非常的丝滑流畅，手机电量用一天完全没有问题。进步非常的大，音质也很好。完美
法***弟,star3,还行吧。主打的就是一个热
我***王,star5,iPhone14pro系列真的非常棒，屏幕清晰明亮，系统流畅，还有120hz的高刷新率，灵动岛灵动又强大。主要是能显示很多外卖和点餐信息，4800万摄像头拍摄很清晰，喜欢苹果独家调教的拍摄风格，果断好评
大***了,star5,外观手机顶尖时尚 设计感极强 材质感也是一流的 同级别手机天花板 没有对手 屏幕显示 运行 音质各方面都是最出色了
j***p,star5,外形外观：漂亮，觉得非常可以屏幕音效：声音好听拍照效果：拍照很清晰啊运行速度：速度快啊待机时间：时间还是可以的其他特色：期待电量长，手机充电快，哈哈哈哈一个苹果手机确实可以用几年，保值率还可以，相对于升级来说，还是有待提高。
j***h,star5,618在京东买的、价格较平常优惠了，很多非常的划算，性价比高，宝贝确实是正品，然后用起来感觉14 Pro性能确实不错，特别是拍照，感觉相较于iPhone 13提升很多，这个快充也很给力，一般两小时左右就能充满。
b***了,star5,外形外观：很对我胃口，方正又圆润，朴素屏幕音效：特地多了下我目前用的se3，提升很大，音质很不错拍照效果：虽然不是目前最强拍照，但是拍照和摄影体验很好，适合小白，普通人也能拍出美照运行速度：不用说，必定快待机时间：从se3换到14pro，续航感觉明显提升其他特色：可以双卡，信号虽然还是比较差，但比我原来的机子还是有提升的。选择苹果的最大原因是ios系统对我来说很好用，对于医学生来说有提升学习效率的作用，苹果的产品生态有利于我对医学知识进行归纳总结和复盘，这是以前在安卓生态未能完整体验的。
l***j,star5,我对iPhone 14 Pro的购买非常满意。它的性能和功能都非常出色，让我对这款手机赞不绝口。它的超级视网膜显示屏让我享受到了精美细腻的画面，观看视频和照片的体验非常出色。拍摄功能也非常强大，无论是日常生活还是旅行拍摄，都可以得到高质量的照片和视频。此外，它的处理器和内存配置非常强大，运行速度极快，应用程序的打开和切换都非常流畅。还有，它的续航能力也非常出色，一整天的使用都不需要频繁充电。总而言之，买了这款iPhone 14 Pro后真的觉得物超所值，强烈推荐给其他消费者！
j***p,star5,外形外观：灵动岛可以啊，出去非常有排面屏幕音效：声音非常大，听着很清楚拍照效果：拍照很清晰运行速度：速度很快，比较流畅的待机时间：待机时间很长，比之前的好
一***斤,star5,颜值爆表，手感舒适，相机一流，响应速度巨快，屏幕真的一看就是好手机的屏幕，重量也刚刚好，用了一段时间了，续航还是不错的。
c***年,star5,不太懂手机，这个家人给的生日礼物。但使用后觉得续航，相机和音质很好。尤其相机在刚刚旅游途中使用很满意。简直张张大片。充电感觉有点慢。拍照效果：张张大片待机时间：续航非常满意
T***o,star5,外形外观：银色很好看，大小刚好合适，手感非常好屏幕音效：屏幕细腻，分辨率高，音质很立体拍照效果：4800万像素，拍照视频都非常出色运行速度：苹果最强手机处理器，速度很快
j***W,star5,屏幕音效：屏幕很好看运行速度：使用好非常好，高刷也很流畅待机时间：待机时间还不错，经常使用一天一充也完全没问题，很推荐
