https://item.jd.com/100026679498.html,品牌： Apple商品名称：AppleApple Watch SE商品编号：100026679498商品毛重：350.00g商品产地：中国大陆血压监测：不支持血压测量主机机型：Apple Watch SE 40毫米血氧监测：不支持血氧检测表盘形状：方形适用人群：青少年，成人屏幕类型：OLED防水：IPX6电源方式：磁吸充电线表带材质：硅胶
用户名,评分,评论
j***B,star5,送自己的新年礼物，京东苹果店活动也太好了吧，我买的这款是蜂窝版的，一般蜂窝版的要比GPS版贵几百，这活动价比任何版本的都优惠，原来还一直犹豫不决，一看到活动价立马下单，深空蓝色也很好搭配哈，配任何颜色的表带显得都不突兀。
S***C,star5,之前1499抢到的，可以说超值了，平时运动带上这个表非常方便，可以计算卡路里和心跳，设计也非常棒，看时间读消息非常方便，好！
静***洋,star5,主要功能：主要功能就是看时间。不会漏掉消息和电话，收到信息都会有震动提示。还有这个心率监测。还有就是这个运动模式比较多，表盘非常丰富。流畅度，这个很流畅的。续航能力：续航能力，这个真是差。一天都用不到。本身在这个续航上。纠结了好久，三年前，就在两者之间选择了，西铁城光动能表。后来又在纠结，那个华为的三代。最后觉得自己使用的是苹果手机，谁就买了相配套的。结果不能和老系统配对，配到了家人手机上，续航真的很拉胯。舒适程度：舒适程度，这个人体工学设计还是很好的。精准程度：尤其这个罗盘也海拔高度，这个灵敏度的非常好。其他特色：其他特色，主要就是苹果的这个系统。确实流畅。灵敏度：灵敏度是非常高的，轻轻一动都有变化。准确性：准确性也是非常高的。操作难易：操作也是很容易上手的。做工质量：收工质量也是非常精细。外形外观：外形外观的话，这个40毫米的大小，我觉得挺好的。屏幕是小了一件件车检是没有键盘输入不过语音识别很准的。其他特色：其他方面嘛，就是这个京东的配送确实很快，当天购买当天就可以到。
刘***电,star5,苹果这款手表不错使用了一段时间，回来评价京东自营都是正品，测试了一下传感器等一些运动方面，非常准确，相对别的品牌优势还是有的!外形外观：做工苹果一如既往的高档操作难易：功能精细，用过苹果的都会使用推荐一下，京东购买一手货源，正品保障
S***t,star5,主要功能：好看续航能力：一天舒适程度：很舒适精准程度：挺准的其他特色：特别特别好看，买这个主要是因为好看，还有一些检测功能，很喜欢，灵敏度：很灵敏操作难易：很简单做工质量：很不错外形外观：特别好看其他特色：功能太多了很丰富
h***1,star5,做工精致，灵敏度高，手表很漂亮，与手机无缝连接，可以更换多种表带。京东物流真的棒，不仅快还送货上门。这款续航比较一般，充电是真的慢。
遥***m,star5,用了一段时间了，忘记评论了，感觉不错，挺好用，准时，检测也准确，好评，送男朋友的，男朋友非常喜欢，带着跑步，打球，都特别舒服，好评好评
小***宁,star5,手表的功能确实很多，和苹果手机配合起来，特别方便，刚买下来的，电池不耐用，一会会就没有电了，配对完成后，把系统升级一下，问题就解决了，基本上能用2天，值得推荐，
咕***月,star5,非常的好，确实比华为、小米用起来，感觉更方便，因为手机是苹果，很好用，和手机搭配，感觉都是在使用隐藏功能。屏幕清晰，分辨率高，滑动很灵敏，待机时间大概一天，每天充电也习惯了。
