https://item.jd.com/100000458567.html,品牌： Apple商品名称：AppleApple Watch商品编号：100000458567商品毛重：280.00g商品产地：中国大陆适用人群：青少年，成人电源方式：其他优选服务：一年质保血氧监测：不支持血氧检测表带材质：硅胶防水：50米AI语音功能：不支持AI语音功能主机机型：其他
用户名,评分,评论
j***6,star5,性价比很高的iwatch，基本功能都有，主要是去健身房的测心率用，推荐！孩子没事的时候也拿着玩，和别的品牌比起来用着舒服。
p***8,star5,很智能，功能齐全，最好就是运动带出去不用带手机了，还可以下载歌曲这样很方便，一只手表搞定。表盘真的好看，看不厌的那种，棒棒哒
光***伙,star5,东西拿到手第一眼很惊艳 对于我来说 没啥特殊要求 就看看时间看看运动 用这款感觉很不错? 第一次买表 先给基础功能玩明白 推荐这款
呐***城,star5,总体评价很不错，也观望了很久，这次降价好多，所以果断购买，不得不说质量，手感都不错，反正就是看时间，很精准～接电话看信息挺方便～
j***n,star5,东西收到了，包装完好，送货及时，外观很漂亮，功能齐全，完全够日常使用，电量基本一天半到两天，系统很顺滑，价格实惠，值得购买。
秋***7,star5,主要功能：挺好的，目前没问题，后续追评续航能力：能够持续一两天舒适程度：带着很舒服精准程度：响应速度也很快其他特色：包装很高端，客服小姐姐回答很耐心，物流很快外形外观：白色很好看呢
极***2,star5,送老婆的礼物，她很喜欢，用起来还行，就是得2天一充电，基本还不玩，要是接电话多，再玩一下，也就只能坚持1天时间
江***雪,star5,抄底价格购买的这款手表，手表非常漂亮，基本保证一天半充电一次，来电电话，抬起手腕就能接听.
H***n,star5,性价比真的很高，对于看看消息，偶尔运动，搭配苹果手机用真的不错了。
别***见,star5,送朋友的，42的大气好看，白色更适合女生！女朋友超级喜欢
农***8,star5,非常好用，还可以回信息
蘇***安,star5,果粉必备神器，公司福利品，很开心能中大奖获得
j***j,star5,超级喜欢，颜值耐打！！！
购***秀,star5,非常好看，建议购买。
金***之,star5,刚刚收到宝贝，待开机试戴再做补充评论，京东自营店的，售后服务好，产品质量有保障。
琳***n,star5,续航能力：没用的功能关了，能用一天半，舒适程度：带着没啥感觉
1***-,star5,好用又破功名踢腿，哦，广兴仔仔细细
k***j,star3,京东自营值得信赖，就是有一点贵，物流很快
t***8,star5,太好了，这就是我想要的好宝贝，一直信赖京东
D***1,star5,非常好用，各个功能都很全面
D***o,star5,性价比很高的一款手表，推荐一下
漂***贝,star5,苹果设计的产品真不是吹的，质量，做工，使用体验真是杠杠的，关注这个手表有半年多了，一直犹豫要不要下手，趁着换手表的时候，索性换个智能手表，年轻人嘛，不要太老气，机械表等我40岁以后着。开通京东plus会员买的，在优惠的基础上便宜100元，目前戴的爱不释手，配合我的aripods使用，简直不要太嗨，换歌，查看微信等都特别方便，心率偏高提醒等，目前觉得是世面上最好的智能手表，银川地区还没有esim卡，果断入手的GPS版的！
j***9,star5,年货节搞活动，优惠非常大，果断下单一件，黑色很大气，带上效果也非常不错，大小合适，非常喜欢，系统也非常不错，很流畅，非常棒
v***z,star5,外形外观：这个外观相信大家都知道，苹果手表的这个外观设计确实是很好，质感和手感都很圆润，和手机连接后的操控性很好，平时都是戴习惯机械表，第一次买智能表，5代和3代对比的话对我来说没什么区别，所以还是买了性价比比较高的3代，趁上618比平时便宜2百多，果断入手，果然还是没有让人失望！舒适程度：戴在手上可以调结松紧，我喜欢松一点，和手很贴合，戴上去很轻，戴着办工也不会磕手！灵敏度：抬手就会显示良屏，灵敏度很高，但是如果你躺下来的时候想看一下时间就不能显示，得打太极！续航能力：续航能力非常不错，到手是有70左右的电的，戴了研究了一天，才用了35左右的电，充满估计可以用2天，非常不错了
w***k,star5,双十二12点十分马桶上秒杀，等待是值得的，喜人的优惠，白条12期免息，果断下单。快递迅速，包装良心，使用便利，老婆满意，完毕！！！
提***7,star5,主要功能：刚买的，各种功能都有，接电话发信息都可以续航能力：差不多一天一冲吧，这个续航能力可以了舒适程度：很舒服戴上。表带柔软精准程度：非常精准，颜值很高哎哈哈哈，非常喜欢
