https://item.jd.com/100023626356.html,Apple12.9英寸 ipad Pro（第五代）,100023626356,1.51kg,中国大陆,12.9英寸,2732*2048,娱乐平板,iPadOS,7.0mm以下,其他,128GB,八核,支持专用键盘,不支持IPv6,灰色
用户名,评分,评论
公***呐,star5,iPad，Apple pencil，妙控键盘，三件小1个w，不过很值得。12.9寸的大屏幕分辨率高，亮度给力，很通透细腻。M系列处理器跑分名列前茅，各种任务处理起来绰绰有余。电池这次很惊艳，续航很顶。外观虽然不是全面屏，但是窄边框设计也很好。后置摄像头日常用可以，前置摄像头视频会议和视频通话画质都足够了。以我来看，这部平板在各个方面都很给力，堪称全能。无论是出差参加会议办公还是在家追剧看电影，还是和朋友一起吃鸡玩游戏，都是yyds，个人表示非常满意，几乎没有任何槽点。
颓***旦,star5,这价格太香了，之前买的wifi版始终不是很方便，这次趁着京东活动，果断的换了5g版本，并且选择顶配2t硬盘，再也不用担心内存不足了。
胖***2,star5,手感很好呀?非常奈斯呢 又漂亮又不卡 手机电脑都是苹果的 除了贵没什么不好的YYDS，手机是苹果的电脑是苹果的，这下好了，iPad也是苹果的，哈哈哈哈
幻***r,star5,5g信号可以，ipad信号比iPhone好很多。看视频黑场相当给力，亮度也比oled给力。不用考虑所谓的光晕，平时用看不出来的。和官方笔搭配很好用，但是笔头偏硬，建议换第三方。
l***3,star5,买之前还在纠结12.9的屏幕尺寸是不是太大，开箱后实在是太惊艳啦！屏幕颜色细腻，看电影画质也很不错，音响效果好，除了重不方便带出门，本来也很少带出门。满意的一次购物体验！
j***I,star5,iPad Pro的功能还是很强大的，屏幕也大显示精度也高，买来之后，家里人都非常喜欢，孩子用它画画，大人用它做生产力工具，像一个超薄迷你笔记本电脑。赞?
m***s,star5,性价比及其高，作为礼物送给老婆的，老婆也非常喜欢。色彩细腻丰富多彩，专用笔绘画完全没有任何不适应。同时，又可以出差用的装备，一举多得。
k***s,star5,因为平时不打游戏，没有秽土这样高端的需求，买来只是日常办公使用，所以买m1就足够了，这次在京东买也是一波三折，最后京东很好的解决了问题，把优惠券全用上了
2***晶,star5,是正品很好用，上个月有活动价格便宜了很多，性价比超高，真的特别划算，包装也很高端大气上档次，iPadPro12.9值得购买
V***t,star5,外观材质：外观没的说，非常精致屏幕效果：买的就是这个屏幕2500分区miniled，亮度也OK，看视频超爽运行速度：太快了，游戏画面太清晰了轻薄程度：重还是有点重的其他特色：平板还是得iPad，除了价格没毛病
南***鸣,star5,性价比高，大容量内存和新版芯片M1加持，运行丝滑顺畅，色彩细腻丰富多彩，音效出色，蜂窝功能实用。这款平板各个方面功能都很强大，推荐购买。
p***e,star5,很强大的M1结合11寸的便携性，碰到合适的价格就入手了安装了一般的全包壳，1T以上版本是16GB内存，升级到ios16后出差基本的文字处理可以用它来完成了
灰***调,star5,屏幕效果：使用丝滑流畅，价格也比较优惠。平板还是得选平板，不论是性能还是系统生态都是一众安卓平板所无法比拟的运行速度：这种配置运行速度应该就不用我多说了吧！
j***o,star5,是正品没啥说的，pro用起来就是流畅，比之前11寸的大了不止一点。好在是在家里孩子网课或者画画用，大一点还是有好处的吧。
终***战,star5,ipad pro12.9的屏幕尺寸非常大，用来办公和玩游戏还有看电影！很喜欢这款平板电脑！还有京东快递小哥送货速度飕飕的!为京东快递小哥点赞！
y***7,star5,2021款m1芯片再用个五六年没问题，120hz高刷用惯了就回不去，五年后没有高刷会很尴尬，四扬声器声音更立体，128g大小也完全够用，做工一如既往的精致，A+会员下单，价格也更实惠，是个战未来的不错选择。
囍***浪,star3,还好吧 暂时没什么问题
-***-,star5,外观材质：金属材质的摸起来感觉很好屏幕效果：120hz的永不过时运行速度：8G运行内存能用很久了轻薄程度：体感是很薄的其他特色：M1的芯片在不重度游戏情况下3-5年都够用
s***盹,star5,与其说是平板，更像笔记本，首先外观很好看，轻薄且很有质感，大屏幕上网课轻松很多，触感不是盖的，非常的丝滑！
j***m,star5,一直都很想要一个平板电脑，看了很久，犹豫了很久，终于终于下定决心买了这一款，性能真的没得说，平时主要玩一点吃鸡之类的游戏，看看电视剧。很棒
琪***吃,star5,从air5换到pro，120的屏幕还是很强的，玩游戏很舒服，虽然都是M1芯片，但感觉pro比air5强，特别是玩原神，发热明显比air5少很多
n***v,star5,非常好！秒杀买的价格非常好，配置非常好！用来手写真的是太好的，大屏非常适合手写。买原装正品的笔是非常好的体验。还有学生优惠可以用价格非常实惠。
吴***祖,star5,首先说一下这个iPad的质感，简直无敌好吧。摸起来手感非常的丝滑，简直事件艺术品。包装也很安全，完好无损没有磕碰。流畅度也是第一。没有能打的对手。m1芯片更是行业的佼佼者了，在这个时代已经是性能过剩了吧。买前生产力，买厚爱奇艺。只是个泡面盖子罢了。懂得都懂。
c***o,star5,搭载了m1芯片的iPad Pro性能非常优秀，包装还是很用心的，即便是单独将iPad Pro的盒子放在包裹盒中，也不怕有任何磕碰可能，这一点苹果向来都是做的比较用心的。iPad Pro2021款全系列配备了快充充电器和快充数据线，这一点还是很人性化的。总体来说，这一代的iPad无论从性能还是颜值，都是相当优秀。
活***好,star5,官网发货太慢，实在是等不住要急用就买了京自营。之前看到很多买京东自营ipad翻车的，很担心，收货之后包装严实，没有任何变形，官网查询序列号未激活，机器非常好用，不愧是金钱的力量。就是生产时间是2021年的老库存了，还好不影响电池续航，很给力。
滿***河,star5,前年的老款了，东西不错，官方原封，屏幕无瑕疵。活动价格是真的给力，7899要什么自行车，22款靠边让让。1T版16G内存，用5年随随便便。
万***酱,star4,外观材质：灰色挺好看的，金属磨砂质感普通屏幕效果：lcd高刷屏还不错，流畅度挺好运行速度：m1加持目前基本没有卡顿，原宝120帧特化全高跑不满，是个狠游！轻薄程度：正常厚度，主要是一个方便携带接近两个月的使用体验感觉很舒适，整体没什么槽点，而且蜂窝功能很实用，本人出差用它办公处理了不少文档。m1确实不是盖的，SU for ipad优化很不错，建模方便，基本不卡顿，视频剪辑还行，速度快追上mbpro了，不过建议存储稍微买大一点
j***i,star5,外观材质：买的是深空灰色，挺好的。屏幕效果：那是相当的哇塞，画质清晰，观看视频效果非常好运行速度：棒棒哒轻薄程度：满意其他特色：其他特色：国行正品！四个喇叭比两个喇叭声音更大，尤其是在观影的时候，那声音效果真的很好！
第***人,star5,外观材质：妥妥的苹果味，质感无敌，就是那个味。屏幕效果：视网膜屏，很清晰，虽然没有xdr，但是效果很不错。运行速度：很快，这处理器用个10年没问题轻薄程度：超薄，不带壳很舒服。
西***3,star5,外观材质：很喜欢黑色，耐看。材质很棒，不怎么沾指纹。屏幕效果：屏幕效果非常清晰，色彩和我iPhone差不多。运行速度：没有遇到过卡顿，非常快。轻薄程度：很薄，不戴壳完全可以接受。
m***y,star5,外观材质：非常喜欢，新机的手感很丝滑屏幕效果：非常细腻，四个立体扬声器非常赞运行速度：比较丝滑，没有玩过游戏，但是应该挺好轻薄程度：很轻薄，感觉挺轻的其他特色：送货速度真快，一如既往好
f***-,star5,外观材质：全铝材质，使用还是要很注意。屏幕效果：很香，高刷用起来真的舒服。运行速度：M1的芯片足够呢，性能足够了。轻薄程度：挺薄的。其他特色：性价比应该是很高的，专业用的还是建议上22款。
璀***春,star5,刚激活还没熟悉操作方式，一切OK??，京东商城自营旗舰店值得信赖，第一个平板很满意，之前iPhone14Promax也是在这个店下的单，很好值得信赖，以前所的电器都在京东买，盒子包装保护都很好无磕碰
p***尘,star5,外观材质：好看，银色非常喜欢屏幕效果：mini LED屏幕是iPad里最好的了，看hdr视频也很棒运行速度：m1芯片对我来说学习加娱乐已经够用了没必要强求m2轻薄程度：很薄拿在手里分量稍重，不过也没办法，毕竟已经12.9寸了
c***8,star5,外观材质：非常舒适，拿在手里很舒服屏幕效果：很好，看着很舒服运行速度：非常快，很流畅，用起来飞快轻薄程度：很轻很薄其他特色：性价比不高，但是谁叫他是苹果呢本次购物体验不错，还得是京东…
