https://item.jd.com/100015125917.html,"['海尔BCD-531WGHSS5ED9U1', '100015125917', '95.0kg', '中国大陆', '一级能效', '变频', '170.1-180cm', '电脑控温', '风冷', '90.1-95cm', '500-549L', '不锈钢', '对开门', '独立式', '黑色系', '60.1-65cm']"
用户名,评分,评论
j***e,star5,冰箱用了几天了，很好，几乎静音，空间很大，装很多东西。这下干货也有空间放了。外形外观：漂亮，大气。很高大上。制冷效果：很好，温度很稳定。非常好。保鲜效果：保鲜很好。容量大小：非常大，装很多东西。
M***米,star5,看评论的，评论非常好，货到以后确实非常好，颜色大气，手摸上去很有质感，空间非常大，之前冰箱杂七杂八装不下，这个好了，大空间，非常满意。
j***X,star5,冰箱非常棒！非常喜欢，外形外观：棒极了制冷效果：杠杠的效果保鲜效果：非常好用！容量大小：容量非常大！
j***c,star5,外形外观：外观简单大气，颜色我特别喜欢，到货后迫不及待打开测试一下保鲜制冷效果了制冷效果：杠杠的，尤其是母婴功能，适合宝爸宝妈使用保鲜效果：可以智能调温，保鲜锁水容量大小：完全够用，一家五口人正好
z***7,star5,海尔冰箱质量非常好，声音也非常小。而且比较省电，买的时候有点儿大，我厨房门进不去。找了售后把门子卸下来，然后才进去的，服务非常棒。冰箱的空间很大，有了宝贝以前的小冰箱就淘汰。超值体验！相信海尔
M***_,star5,刚好做活动，价格便宜了很多，性价比超高，真的特别划算终于买到满意的商品了，超出期望，非常喜欢，身边的人都问我要链接价格实惠，质量杠杠的，非常好的一次购物，下次还来非常值得信赖的品牌，质量有保障，价格还亲民，相当满意款式很大方，质量非常好，价钱也很合理宝贝收到了，很惊喜，质量非常好，很满意的一次购物。我会继续回购的，店家值得信赖用了觉得很不错，商品质量好，发货也挺快的，总之就是很赞了很精致，质量非常好，很满意的一次购物。谢谢店家！发货快，包装严实，商品质量非常好，比专柜便宜很多，客服服务态度也特别好，好评东西不错，还有优惠，可以放心省钱购买，不要犹豫了。
夏***涵,star5,把家里用了好多年的冰箱换掉了 冰箱大小正合适 里面的容量很大 分区也合理 家里人很多 多买点菜储存起来完全没压力 五星好评
香***t,star5,冰箱外观很好看，很搭配家里的风格，这款冰箱功能很多，外观非常好看，支持无线功能，可以调节温度，膜撕掉后更好看了，也不占地方，价格也很好
陈***基,star5,物流快 配送员服务态度非常好  包安装 东西非常好看保鲜效果：保鲜效果也很棒海尔大品牌 值得信赖 东西没有问题外形外观：外观时尚好看   值得购买
默***钱,star5,在这里选购安全方便快捷?，快递小哥态度非常好，这个价格非常给力?，十分推荐，会继续回购，冰箱空间大，完全放得下，好用。
青***奶,star5,冰箱质量很好，物流也很快，辛苦师傅搬上两楼，还要辛苦等着6个小时启动，等待的时间好漫长！嘿嘿！京东购物就是放心安心！谢谢！
刘***8,star5,非常满意！箱子完好无损，包装很精致，商品没问题。发货速度真的很快，快递送货很及时，关键是这个价格很划算。东西也不错，价格比店里便宜了好多呢，太开心啦
差***生,star5,朋友装修，给朋友代买的，他一直不知道在哪里买合适，刚好六幺八我们就顺便给他看，正好有活动且活动力度挺大，买冰箱送洗衣机，所以就毫不犹豫将此套餐拿下，他挺满意的，只是由于家里还没装修完所以包装也一直没拆
w***8,star5,冰箱一直买的海尔的，从老家到新家，从双门到对开，信赖有始有终，国货之光！趁618果断入手，为新家添置点大电器，美美哒！！！
-***润,star5,冰箱蛮大的，一家三口够用啦！颜色也很好看，关键可以贴冰箱贴，因为还没开始用，所以还没撕膜，售后的小哥也是超仔细的，帮忙弄好还详细的教了使用方法，还叮嘱后期遇到任何使用问题都可以打电话咨询，这款母婴冰箱也是做了些攻略才买的，价格功能都合用
襄***1,star5,"1、质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物，有需要会再次光临的。收到货，第一时间拆包装，感觉质量还是比较好的，与卖家描述的还是一致的，挺满意的,个人真的很喜欢，完全超出我的期望值，发货速度比较快，包装很仔细、严实，物流公司服务态度很好，运送速度很快，总的.来说这次是很满意的一次购物，感谢卖家。"
j***c,star5,使用几天后，无霜、静音，空间足够大，满足了我家的所有需求。师傅送货上门，并指导了使用细节，服务也到位，好评！
u***9,star5,外形外观：好看，简单大方制冷效果：静音，快速保鲜效果：分层次，特别合理容量大小：足够家庭使用，特别完美，冰洗套装，便宜了不少，看了好多家
j***z,star3,刚到货，还没通通电，从外观上看整体不错，有点小瑕疵，师傅挺负责！
j***h,star5,冰箱已收到，本来想到下半年再送货的，买了放新家，10月份才能搬新家，那天试了3个小时左右后关闭的，冰箱非常喜欢，静音效果不错，颜色和设计都非常满意，特别是门把手设计的非常好看，还有客服态度非常好有问必答说这款性价比最高，另外这款也是我朋友推荐给我的，以后会介绍给亲朋好友。
王***5,star5,外形外观：很漂亮，大气制冷效果：冷冻很快，比以前用的制冷效果好保鲜效果：也很好容量大小：大小正好够用，用的说挺好的，值得购买
嘎***窝,star5,冰箱是搞活动时候买的，性价比非常高。买了新房子，这个好看的大冰箱真的是锦上添花，非常的高大上。冰箱容量也非常的大，可以放很多很多东西，也很容易分类，可以储备很多菜品了，真的非常满意，推荐大家购买。
j***l,star5,冰箱用了一段时间了再来评价，外观很现代，声音很轻，尤其是干湿分储，蔬菜水果可以保鲜很久，放干货那里也很给力，
娜***6,star5,高端大气上档次性价比很高的一款冰箱，风冷无霜的，节能又省电，一天一度电不到，节约能源，噪音低，制冷速度很快，食物保鲜性能很好，容量大能放好多东西，京东物流速度很快，服务态度很好。物流小哥也给力，直接送到家，安装摆放好。为你们的服务点赞?
z***4,star5,冰箱到货插电试用，非常棒！压缩机运行很安静，冰箱空间很大，外观大气有档次，海尔品牌值得信奈，值得拥有，非常满意的一次购物，客服服务很棒，物流很快，服务也很好！
j***g,star5,这款冰箱样式新颖，外观设计很好看颜色很喜欢，空间容量很大，双开门的容量很大 ，声音很小，制冷效果好，保鲜效果不错，总之很喜欢
j***R,star5,冰箱颜色质感喜欢，双开门大容量，能放很多东西！快递小哥辛苦啦，安装洗衣机的师傅很热心，帮助一起搬运！
梦***v,star5,制冷效果很棒，保鲜效果很棒，外观质感很棒，开门便捷性很棒，预留的位置也刚刚好，价格也很合适，总之很棒??????
