https://item.jd.com/100022001194.html,"['海尔HRO12H99-2U1 ', '100022001194', '13.67kg', '中国大陆', '1200G', '活性炭，PP棉，复合滤芯，RO反渗透膜', '纯水机', '2-3L/分钟', '厨房']"
用户名,评分,评论
h***7,star5,纯水机外表漂亮，设计合理，不占地方换芯方便。出水速度快而且静音效果很好。安装师傅细心工作耐心解释，特地经过放一段时间水清除炭沫再测试水质，纯水能达到饮用水标准，满意。
飞***啡,star5,出水速度：还不错??·??·??*?? ??静音效果：没什么声音??·??·??*?? ??外形设计：可以??·??·??*?? ??安装服务：很好??·??·??*?? ??物流速度：很快
C***头,star5,发货很及时，配送很快第二天就到了。安装师傅也很细心，提前预约上门安装，我这边安装没有收取费用。以前用的400 G，现在1200G就出水非常快乐。
落***V,star5,出水速度：还可以，正常使用没问题?出水够用静音效果：安静不吵，静音效果好外形设计：简介大方，小巧玲珑。。
j***g,star5,外形设计：外形非常美观，精巧大气，占用空间小静音效果：静音效果还可以，在接受范围出水速度：出水速度快，很快接满一杯水安装服务：专业，负责，到货第二天就上门安装物流速度：物流速度：相比其他还是很快其他特色：手机 App 查看、控制，实用便捷
是***风,star5,净水机收到了，新房安装的，终于可以喝到纯净的水了，因为新小区水质下敢保证。所以必须买台净水器，看到海尔这个是RO净水。就果断下水了，安装师傅也很认真，干活利落，非常的捧，必须好评了！出水速度：虽然400但只够了静音效果：安静外形设计：美观安装服务：到位物流速度：很快其他特色：好评了
j***d,star5,这款产品外形非常美观，精巧大气，不占空间，双出水设计非常人性化，提高滤芯使用寿命，出水速度快，静音效果还可以，在接受范围。特别感谢安装胡师傅，专业敬业，帮助选择合适安装位置，水电走线精致，愉快的一次购物经历。
w***3,star5,昨天安装的净水器，上门很快，师傅****挺好，机子外观挺漂亮、大气，不占空间，位置刚好，出水的速度很快，流畅，使用简单，废水比1/2，分净水和纯水，双出口。使用2天，目前比较满意。
j***e,star5,质量特别好，过滤出来的水很干净，发货速度很快，出水很流畅，水质口感很好，颜值也不错，滤网耐腐蚀安全性高，用得放心，价格也不错，推荐入手非常惊喜，
佳***咪,star5,给家人购买的净水机，送货速度很快，安装师傅****很好，机器出水很流畅，使用方便好用，噪音很小，家人使用方便。
但***子,star5,出水速度：非常快，我之前家里的快。静音效果：没什么声音，基本上很静音外形设计：很规整，很方便安装服务：服务主动联系，热情物流速度：京东物流很快，这是毋庸置疑的其他特色：海尔保修时间长
张***熙,star5,相信大品牌，无论是售后还是安装服务都很到位，东西刚刚到货，安装师傅就马上联系了并且上门安装，净水器颜值高，不占地方，出水量大并且声音不是很大，期望能多用几年在换滤芯
我***2,star5,性价比高，中午下单，晚上送到，立马安装，立马可用，运行声音小，净水效果很Ok，出水速度快，外观颜值高，滤芯更换超简单。
j***f,star5,安装师傅十几分钟就装好了，安装完测了下TDS值，11左右。过滤效果不错。出水速度也不错，口感也还可以。操作区域是触摸的，很灵敏。暂时感受就这样，还不错。使用一段时间再追评。
f***1,star5,首先我想说海尔的售后真的是yyds，态度超级好，会电话确认，保证服务最优。家里老人都是喝开水，所以安装的这个，安装完了接着烧了一壶水，基本上没有那个白色水垢，家里老人很喜欢，比小区桶装水实惠，也不用每天楼上楼下跑，总而言之很不错。
扬***进,star5,制水速度挺快的，声音也很安静。出水速度：快静音效果：安静外形设计：好看安装服务：很好物流速度：完美
雨***呤,star5,大容量就是出水速度很快，制水时候噪音也不大，关闭柜门后基本听不到什么声音，组合套餐很实惠，发货很快，安装师傅服务很好，也没有额外收费
j***W,star3,目前在使用中，安装师傅现场安装用到的辅材 在京东辅材明细里未列明
