https://item.jd.com/100039537953.html,"['海尔LU75X5(RPO)', '100039537953', '34.4kg', '中国大陆', '70-77英寸', '二级能效', '3840*2160', '3.5-4m', '120Hz', '游戏电视', '人工智能语音', '无摄像头', '护眼电视']"
用户名,评分,评论
L***G,star5,这款电视外观设计漂亮，屏幕清晰，音质特别好，外观大气，运行速度快，操作简单。价格也很实惠，实用性和颜值都非常赞，我很喜欢。物流速度也很快，客服态度非常好，很满意的一次购物。
2***8,star5,静音效果很好，设计特别具有美感，太满意了，到了就安装起来了，外观时尚，挑不出毛病，速度快耗能低，我强烈推荐给朋友购买，发货速度都级棒，精美的包装，我很喜欢，下次还会光临，颜值很高 很好看，宝贝真心不错，与图片相符，超棒的一次购物，信赖这个品牌，简单大方好看，慢慢的细节感，细节控可入，效率非常的快
j***a,star5,选择55寸平板电视时看了许多资料，朋友们也给了一些推荐意见，综合了几家品牌的电视，通过各种方式的对比，最终选择了这款性价比超高的海尔55X5PRO平板电视。外形外观：电视外观设计时尚，做工精良，质感不错。屏幕音效：画面非常清晰，音质效果很好。运行速度：2+32的内存，运行流畅，反应很快，没有丝毫卡顿。尺寸大小：尺寸大小合适，放在屋里看着也舒服。功能效果：功能齐全，操作方便，可直接链接WIFI，还能语音操作，非常棒。
j***z,star5,运行速度：运行很快，面画清晰屏幕音效：独立音效挺好，立体声动感尺寸大小：2.5米观看距离正好即送即装：运送速度，安装稳健双120Hz很好！色彩非常不错
j***u,star5,全部家电都是海尔的，非常好用。电视清晰度也好，质量，语音助手反应灵活。画质棒棒的，高刷频率，物流速度快，服务态度好，非常满意
j***u,star5,宝贝收到了，拿回家就迫不及待的安装使用了，安装很简单只要按字母指示安装上即可，还有语音控制，想看那个频道直接语音告知就行，画面也很清晰，值得购买。
j***o,star5,刚号赶上年中大促销，为最爱看电视的父母买部大电视。比对了很久，最终选择了海尔的这款电视，各项参数领先，120Hz高刷新率、加上运动防抖，3+32G大容量内存，和杜比音效的音。画质清晰细腻，音响也不错，75英寸的屏幕放客厅电视墙高端大气上档次，功能多多，个性化选择多多，智能语音灵敏好用，有趣有趣。总体非常满意。
群***4,star5,外形外观：大小正合适运行速度：试运行了，很不错屏幕音效：画质清晰，运行流畅尺寸大小：以前家里安装的50寸，这次买的55，看起来很过瘾功能效果：棒棒哒即送即装：昨天下单，今天就能看了，父母表示非常满意
j***9,star5,海尔的这款电视，120Hz高刷新率、加上运动防抖，4+64G大容量内存，和杜比音效的音。画质清晰细腻，音响也不错，85英寸的屏幕放客厅电视墙高端大气上档次，智能语音灵敏好用，有趣有趣。总体非常满意。
j***p,star5,海尔的这款电视，各项参数领先，120Hz高刷新率、加上运动防抖，4+64G大容量内存，和杜比音效的音。画质清晰细腻，音响也不错，85英寸的屏幕放客厅电视墙高端大气上档次，功能多多，个性化选择多多，智能语音灵敏好用，有趣有趣。总体非常满意。东西还不错，相对来说还是比较满意
j***f,star5,效果非常好，质量很好，看着很舒服，不刺眼，画质，音质没的说，是海尔电视里的中高端产品，值得信赖，物流很快，安装师傅也很快，也推荐了朋友购买，很完美的一次购物体验，
j***b,star5,海尔 85寸大屏幕 果然没有让我失望，质量很好，做工精细，款式很喜欢，重点是画面很高清，高刷新率的。物流送货也很快，非常满意。
j***z,star5,全部的家电都是海尔的，非常好用，电视清晰度也好，质量也不错，语音助手也清晰，画质很棒，服务态度很好值得购买，
m***R,star5,静音效果很好，设计特别具有美感，外观时尚，挑不出毛病，速度快耗能低，我强烈推荐给朋友购买，发货速度都级棒，精美的包装，我很喜欢，下次还会光临，颜值很高 很好看质量非常好，客服态度非常非常赞，有问题及时给解决了
佟***2,star5,宝贝收到了 卖家发货快  物流也很强大   客服服务态度好  很有耐心  还有精美包装  高端的品牌 性价比高  宝贝真的很好  和图片一致真的很物有所值  非常OK
K***8,star5,这次在京东商城网购的这款海尔电视机，京东快递员送货速度很快，电视尺寸大小合适，观看时感觉运行速度适中，音质和屏幕清晰度还是挺不错的。
j***n,star5,这个不得不说非常的好了，可以打游戏，高清电视非常棒，超级好，超级划算，美滋滋呀，喜欢喜欢超级喜欢?………………………………
B***n,star5,65的尺寸刚刚好，电视机的清晰度很高，内存大，播台反应速度，安装师傅态度非常好，货送到就给安装了，好评，回头试试游戏效果咋样
j****,star3,电视不错哦！对比了几个品牌最终决购买海尔！
沈***伟,star5,感谢二位送货师傅，帮忙把电视安装上。二位师傅干活非常认真细心，电视安装好开机，效果好画面清晰，所有功能正常，看电影声音画质都很棒！！！
j***楼,star5,家里家电都选的海尔，外观漂亮，屏幕清晰，色彩饱满，性价比很高，孩子老人都喜欢，不错很满意，送货和安装师傅服务也很到位，仔细。
j***b,star5,物流速度非常快，上午下单，中午就送到了安装好了，安装师傅也非常热情友好，服务态度很好，电视外包装完好，画质非常的清晰，音质也听的也很清楚，整体感觉非常棒。
3***7,star5,非常棒，占用空间也小，给好评，静音效果好，颜色很好看，速度很快，客服回复信息及时，设计简洁大方，越看越喜欢，服务人员态度好，上门安装也特别快，客服也很有耐心，安装费用合理没有多余收费，价格很实惠，功能也比较强大，用起来速度很快，到实体店感受过，外观非常大气上档次，功能齐全，噪音很小，价格划算，买到就是赚到，颜色大气，没有一点色差
3***2,star5,送货上门，包装完美，对于小家庭来说非常棒，美观实用，杠杠滴！爱了爱了爱了，质量很好，下次还会再光顾，商品质量好而价低廉，很舒适宝贝收到了很满意安装方便 操作简单，外观和大小都很满意，，看着挺好看的，没有噪音，非常棒！
3***4,star5,物流服务态度蛮好的，以后还会继续光顾的，操作简单，遥控便利，分区功能性比较突出，很高端的，不错的卖家很实在，货已经收到，包装完好，经济实用，最主要使用起来方便，客服回复速度快，有耐心，货真价实还保值，绝对正品，物超所值，我真喜欢这个东西，使用方便不错，检测各方面性能都很好符合要求，非常满意，质量非常好，设计惊艳到我
3***2,star5,没有一点瑕疵，外包装很严实，噪音小，几乎零噪音，相当满意！商品质量不错，颜色很正，家里用刚刚好，各方面都好，对我来说还挺好用，希望更多的朋友信赖京东，色系也是她所喜欢的，好评，看着很顺眼，质量和颜值杠杠滴，震惊了，颜色清新凉爽，一如既往的支持京东商城的，启动的时候声音也不大底部有轮，最近下了雨里面完好无损，每个按键都试了一下，产品已收非常满意
3***9,star5,质量不错，安装师傅也很给力，东西不错，特别好用，家人很喜欢，外机质感很好，用料厚实，支持正品，操作简单，遥控便利，分区功能性比较突出，太满意了，送货超快，货已经收到，包装完好，经济实用，最主要使用起来方便，包装厚实，材质真材实料，这个价格真的牛，价格还便宜，超级划算，我真喜欢这个东西，使用方便不错，宝贝已经收到了，物流送货速度也很快
-***-,star5,5月31号8点付的钱，抢的优惠。送货很快，送到家直接师傅帮安装上。电视尺寸大小正好，性价比很高，总体来看很不错
3***6,star5,确实不错，轻便、灵活，买到就是赚到，会多多关注，质量和售后非常稳定可靠，闺女出生后一直用这个品牌，效果也不错，速度杠杠的，不错哦，耐用，非常实用值得推荐，特别喜欢，很好用，喜欢很满意好，整体看起来很大气，外观很满意，客服态度很好 不愧是大品牌，便宜好用又大气，物流很快奥利给哦，产品设计理念很超前，实用，使用了一段时间，很不错，快的特别快
h***n,star5,趁着优惠，赶紧入手，一直是海尔的忠实粉，这次家里面大电器都是买的海尔家电，对于海尔一直很信任，安装师傅也很有耐心，安装过程中对于我们提出的要求都细心完成。
2***3,star5,喜欢终于等到了，细节品质、做工都非常好，和实体店没有任何区别，第一次买，外包装很好，没有磕碰，各个地方细节做的都很好，品质保证，值得信赖，服务人员态度也很好心心念念这台很久啦，工作时噪音很低，一次非常愉快的购物体验，安装收费标准不乱收，售后安装非常好，整个人都舒服了很多，给个好评以此鼓励已经是第五次购买了，一级能效比其他的要更节能些
v***9,star5,海尔电视送货速度很快，京东物流还是比天猫的速度快很多，下单的第二天就到了。而且安装也是当天就安装到位，用起来斌觉也很不错
我***子,star5,视听效果：声音效果特别好，好评，画质也很不错，特意问了客服推荐的高刷电视，高清流畅，观影体验感很好 尺寸大小：专门给客厅买的85英寸的大电视，大屏幕看着好高级，不知道怎么选尺寸的可以问客服，建议买大不买小 安装感受：发货送货都很快，上门安装的师傅态度特别好，认真负责，细节处理的很到位
3***6,star5,"安装师傅很热情,服务到位，完美符合预期，省心且放心，噪音也可以接受，性价比无敌，推荐购买，安装也到位，给5星好评，价格美丽，服务好，很满意，给父母买的，东西不错下次还来，一直信赖的大品牌，满意，棒棒哒~???材质很好，跟之前用过的特别的不一样，机器外观金属色耐脏且漂亮，质量没问题，关键价格也合适，外形外观颜色好看，老板太有意思啦"
神***吖,star5,期待已久的海尔电视终于安装了呢，各项功能都很好，声音格外清晰，打游戏也可以，最主要海尔是老牌子了，用的同时也放心
3***7,star5,很美，家人都说买的好，确实不错，轻便、灵活，物流快速，质量和售后非常稳定可靠，终于过来评价了，效果也不错，速度杠杠的，不错哦，产品收到了，质量很好，非常满意了一次网购，送货及安装服务好，送货上门搬货入户，客服态度很好 不愧是大品牌，是家庭的必備品，精美的包装卖家非常细心，物流很快奥利给哦，产品设计理念很超前，实用
j***w,star3,这个海尔电视下面居然是用布崩的，它的使用年限有多久？这种做法我还第一次看到，我表示深深的担忧，当我看到布崩的电视想买五年换新的时候，客户却说不能了，后续如何，拭目以待！
