https://item.jd.com/100014356677.html,"['海尔KFR-35GW/01KBB81U1', '100014356677', '30.0kg', '中国大陆', '键控/遥控，APP操控', '一级能效', '变频', '壁挂式', '冷暖', '智能调节，自清洁，独立除湿', '净化除菌，舒适风', '抗菌，除菌', '1.5匹']"
用户名,评分,评论
G***K,star5,海尔品牌值得信赖，质量没的说杠杠的，外观设计风格非常时尚，大气上档次，制冷速度也快，京东物流非常快，上午送来，下午就给安装好了，不错不错
j***2,star5,这几天天气特别热，就想买个空调，搜索了一通，觉得还是海尔的信的着，就选择了这一款，一级能效，省电，而且静音效果也好，关键是海尔的售后服务也非常棒，推荐
j***q,star5,外形外观：挺好的，简洁大方。冷暖效果：制冷很快，不用怕热了。静音效果：晚上睡觉一点也吵，很棒的产品。
t***1,star5,选择了海尔品牌，配送迅速，客服提前打电话预约安装和配送时间很贴心，产品优惠力度大！风声小、制冷速度快、还有省电模式，安装师傅安装迅速，两个小时打洞、安装完两台售后放心！大一匹放卧室，效果非常好！
j***f,star5,外形外观：外观大气，干净；开机制冷很快，声音小，安装师傅电话跟进特别快，昨天下单，今天就安转完毕。安装师傅服务特别好，高层安装大热天不容易，为海尔点赞！
j***K,star5,外形外观：外形外观非常时尚大气！冷暖效果：制冷效果好！静音效果：几乎没有噪音！送货时效：送货****好！服务质量：服务态度好！
j***2,star5,看了很多，对比了格力的云佳，才了解了什么叫双排铜管和1.6排管的区别，新一级能效什么意思！了解了什么叫自适应和防直吹，可以说21款的静悦堪比当初格力的凉之静！每个时代皆有它的代表作，在比价时代牺牲产品自身的配置是多数商家的必杀技，所以没有减配的才是良心的！
撑***伞,star5,空调安装非常迅速，制冷效果非常好，1级能效也很省电，下单到安装完成也就三天时间，非常棒?海尔空调值得信赖
c***2,star5,帮爸妈买的，天气太热了，乡下也要装个空调，京东太方便了，送货到家，第二天就来安装了，安装师傅人很好！
只***书,star5,老妈60岁了还没用过空调，京东上买了台海尔让他享受一下。这个夏天不在热，想想太穷了又要买房买车，日子过的太苦，以后要好好努力。空调很好。我人在上海，可以控制重庆的温度，昨天晚上17点付款，今天早上10点就收到，1点钟安装师傅就安好了太快了神速度啊
唐***i,star5,外形外观：外观时尚大气上档次，颜色正。冷暖效果：制冷效果很棒，很好用。静音效果：静音效果好，家人都喜欢。产品特色：性价比超高，一级能效省电，售后安装负责到位，很满意。
轩***1,star5,一次很好的购物体验，服务周到，物流快速，配送也很周到，态度也很好，物有所值啊，果断好评！大品牌！值得信赖的！效果超级好！贵有贵的道理！很棒的商品！
V***g,star5,外形外观：外观好看，白色的，跟装修风格一致冷暖效果：冬天开暖风，现在只开冷风，更何况还未安装，我觉得效果应该不错静音效果：还未安装，应该还可以产品特色：不错，连接海尔智家节能效果：可以柔风效果：不错哦送货时效：快安装时效：快
红***行,star5,京东购物还是靠谱的  虽然一开始有些不愉快 买完了才被告知该商品正在补货 等了能有2 -3天吧 就显示正在配送了  还可以接受。性价比挺高的  制冷快  上下 左右都能调风 功率还不大 省电。 安装速度也快 师傅都很专业 售后有保障。
l***洋,star5,还挺不错的，制冷效果好，而且声音也小，比我以前的空调用的电费确实也少了很多。感觉还是挺划算的。啦啦啦啦啦啦啦啦啦啦啦啦啦
V***e,star5,外形外观：简洁大方冷暖效果：速度快静音效果：可以送货时效：及时安装时效：及时服务质量：态度好
z***u,star5,真的比较节能，开的高一点一个小时一度电都不到，还可以WIFI控制很方便操作，有很多模式可以选择，可以精准控温，快递到货的速度特别快。
林***2,star3,海尔空调一般般啦，得豆豆啦
李***8,star5,物流很快，下单第二天中午就到货了，更惊喜的是紧跟着下午安装师傅就上门安装完毕了。海尔值得信赖的品牌！冷暖效果：很好静音效果：安静服务质量：一流
叶***锋,star5,冷暖效果：好，产品特色：强大节能效果：明显送货时效：快柔风效果：舒服安装时效：快服务质量：棒棒哒
梦***幻,star5,一直信赖的海尔空调，制冷效果好，制冷快，白色外观非常好看，简洁，售后服务好，安装师傅很有耐心，各方面处理的很好???
傲***酷,star5,海尔空调，前天下单今天到了，下午安装，一气呵成，非常满意，安装师傅很专业，和我之前按空调的师傅还是老乡很有缘分啊！抽真空抽了二十分钟，制冷非常快，3分钟左右整个屋子就凉快了非常满意！
b***i,star5,外形外观：简洁大方冷暖效果：制冷快，室内温度稳定静音效果：基本上没有声音节能效果：不费电柔风效果：吹出来的风比较柔和送货时效：送货很快安装时效：按约定时间安装服务质量：客服态度非常好?
x***u,star5,外形外观：外观时尚大气静音效果：基本上听不到什么声音，很安静冷暖效果：出风大，降温很快，送风柔和节能效果：比家里以前的空调省电多了送货时效：送货及时，安装到位服务质量：安装师傅很负责，不错
p***p,star5,外形外观：外观颜色是白色，很好看冷暖效果：制冷速度快，风力大静音效果：噪音很低，非常静音产品特色：主打新风功能，保证空气清新节能效果：新一级能效，很省电柔风效果：风力很柔和送货时效：送货速度非常快安装时效：安装很及时服务质量：服务很好
j***8,star5,质量很好，物美价廉，性价比高，清凉节买给老人用的，静音，制冷效果非常好，房间大些1.5匹用也没问题。相信海尔的售后服务，白色的和家具百搭。这个炎热的夏天不怕热了。
洪***3,star5,海尔空调已经收到安装好了，已经是第二台了。现在出的海尔空调比原来好看。质量就要用过才知道。海尔空调售后安装服务态度也很不错！下好单收到安装师傅就很快来安装。安装专业，速度也很快！还是挺不错的！快递也很给力！很不错！有需要的可以放心购买哦！
j***a,star5,外形外观：时尚、漂亮。静音效果：静音效果不错，声音不大。冷暖效果：制冷很快，夏季制热没试。产品特色：智能控制，孩子喜欢。节能效果：刚安装不知道，能效一级应该没问题。柔风效果：不错，这个不太重视。送货时效：送货快。安装时效：中午收到货，下午安装完成。服务质量：都非常满意，尤其是安装，外墙有苯板安装师傅想了很多办法冒着危险才成功，真的很不容易。
