https://item.jd.com/100013724559.html,"['海尔XQG100-HB106C', '100013724559', '79.0kg', '中国大陆', '一级能效', '变频', '滚筒洗烘', '85.1-90cm', '上排水', '55.1-60cm', '蒸汽除菌', '10-20kg', '除菌除螨，除菌', '灰色系', '55.1-60cm']"
用户名,评分,评论
j***u,star5,外形外观：颜值挺高，看得挺舒服尺寸大小也很合适，叠在一起的构造能节省很多的卫生间空间。功能也试了下，洗的很干净，烘干机也效果很不错
怪***w,star5,冰洗必须是海尔的，品质保证！家里有一台海尔波轮洗衣机，已经十几年了，没有坏过。这款滚筒洗衣机选了很久，洗烘一体的，并且带空气洗功能，吃火锅烧烤再也不用怕了。海尔的精华洗功能特别实用！彩屏+旋钮的设计，很好！大小很合适，超薄！
番***孑,star5,趁618活动买的，装上很合适，外观飘亮大气，操作方便，噪音不大，已使用一段时间，感觉很不错，值得购买。
欣***6,star5,外形外观：大气上档次，简约而不失高端洗净效果：洗净比1.08，很干净且柔顺容量大小：10kg容量很大，足够满足全家洗衣需求是海尔性价比很高的一款洗衣机，颜值高，品质有保证，洗的很干净，噪音也可接受！物流送货快，安装师傅也负责，京东的服务还是一如既往的优秀！
方***学,star5,服务很好，师父提前打电话来确定好上门时间的，安装起来很快，海尔的东西质量好，造型美观大气，看起来比之前4000多买的荣事达好，电器更新换代太快了，用新款很给力。
卫***魂,star5,东西是好东西，尤其是物流速度快，安装师傅一早就即送即装，速度快毫不拖泥带水，还教会我妈怎么操作，服务到家没得说。
郭***铭,star5,外形外观：大气上档次，家人都喜欢洗净效果：还没用，相信品牌！用后再追加评论除菌效果：应该不错的。相应品牌没错的容量大小：容量挺大的，很满意物流送货也很快，安装师傅很负责。总之，对京东的服务非常满意！
j***0,star5,老品牌，海尔洗衣机值得信赖，物超所值的一款机型，非常畅销，经济实惠，洗净比高，颜值担当，功能齐全，操作简单，老人都能轻松上手。值得推荐。
u***z,star5,洗衣机一直选海尔的品牌，节水节能，功能强大，对比了很多款，选择了这款精华洗，带烘干，空气洗，自动投放功能的洗衣机，洁净比1比1，非常不错，满意！！！
零***四,star5,外形外观：整洁大方，拉丝工艺洗净效果：清洗的很干净，525大筒径衣服也不会拧成一块。最重要的精华洗，时间短，节约用水，洗得干净整洁，整体很满意容量大小：10kg床单被罩都没问题
猫***蛇,star5,外形外观：高端大气，不占空间，老人都会用洗净效果：以前买过海尔，洗涤效果杆杆滴除菌效果：洗过的衣服干净，没有霉味容量大小：10公斤超大容量，大家庭用很适合。
j***1,star5,洗衣机外形很漂亮，大开门，有两种杀菌消毒功能，直驱电机非常静音，洗衣服基本声音很小，尤其甩干声音真是特别小，用一键智洗省时省电省水，还洗的很干净，特别好的一款洗衣机，性价比非常高。
