https://item.jd.com/100035718848.html,"['海尔BCD-335WLHFD9DS9', '100035718848', '83.0kg', '中国大陆', '一级能效', '变频', '180.1-190cm', 'PCM彩涂板', '风冷', '60-65cm', '300-349L', '多门', '银灰系', '独立式', '电脑控温', '65.1-70cm']"
用户名,评分,评论
j***y,star5,外形外观：白色简洁大方，底部散热，不用预留多余的空间，很适合小户型；容量大小：很喜欢这种大容量，可以囤一星期的食物。制冷效果：制冷很快，喜欢珍品区的储存
n***e,star5,看中了法式结构，之前的冰箱是双开门的，看着容量大，其实装的不多，法式结构就好多了，而且这款超薄，正好能放进厨房内嵌，简直完美
施***妞,star5,颜值界的天花板，这也太好看了吧，很喜欢。冰箱底部自带轮子，刚买的滑轮可以退了，哈哈。上边柜门正好比我厨房台面高些，正好可以打开到他的最大程度，抽屉加了阻尼，可以自己关上
j***E,star5,尺寸非常合适，颜值巅峰，内部空间特别大，特别能装，使用起来很静音，一级能耗，保鲜效果特不错，一次非常满意的购物体验
采***红,star5,冰箱不错，空间很大，一家三口足够用了，大品牌值得信赖，有需要会推荐给朋友的呢外形外观：外环很漂亮制冷效果：制冷不错啊，效果好保鲜效果：保鲜不错蔬菜不会坏容量大小：容量410升很大了
j***o,star5,冰箱下单第二天就送到了！东西不错，性价比很高！我购买这款是不带温度显示的，系统默认，可通过手机下载app进行温度调整。外观质感还是不错的！
陈***丶,star5,冰箱下面冷冻绝对够大，能放好多大桶的八喜和许多冰淇淋了，中间可以放速冻食品，早餐和夜宵都能对付下。容量比原来三门多的将近翻倍，颜值家人也很喜欢，相比黑色而言
w***e,star5,相信品牌的力量，冰籍没看别的牌子，就从海尔里选。颜值不错，就是冷冻室有点小，没办法，零嵌的款式不多。推进冰箱柜里，门其实不能完全打开，但应该不影响使用。
j***s,star5,外形外观：非常好看，就是那种一眼看到就像摸一摸的感觉制冷效果：这个还没用，我们家在装修末期了，我选择了推迟一个多月送来，然后又隔了几天拆包装容量大小：容量很大，我妈说我人不多买那么大冰箱干什么。真是要夸一下物流送货到门，第一次给我打电话我真没时间就改了时间送，后来送还让师傅等了一会，那么热的天师傅一点也不烦躁，真是赞
j***y,star5,冰箱非常好，颜色漂亮，非常有质感，0嵌很节省空间，非常推荐外形外观：这个颜色非常漂亮有质感制冷效果：非常棒，冰箱功能按键用起来也很舒服保鲜效果：非常好，相信海尔品牌容量大小：非常够用
s***3,star5,这个冰箱满足了我们的需求，家里新添了人口，生怕到时候不够用，也很怕冰箱串味之类的，打开冰箱的一刻确实非常惊艳，面板灵感来源于水墨画，纹理行云流水，层次分明。而且还是底部前置散热，两侧不需要预留散热空间，这款冰箱的全空间保鲜功能非常好，湿区存放蔬菜水果，而且还能存放母乳，减少营养流失，冷冻还有智能恒温技术，食材营养不流失，搭配海尔的高端epp全空间超净技术，食材更健康。
阿***5,star5,白色真的美炸了，心心念念的冰箱到手了，颜值很高，外观超喜欢。跟我的的装修风格非常合适。设计非常合理，里面布局结构利用率很高，容量大小合适，静音功效特好，制冷效果非常好。
L***r,star5,发货很快，包装的很好，价格也特别实惠，制冷效果好，运营静音。因为位置限制，厂家还提供免费上门拆门安装服务，值得购买。很好看，制作工艺很精美，材质也很好！给个赞！
j***o,star5,外形外观：面板灰色，耐看耐脏，超薄制冷效果：非常好，温度稳定保鲜效果：水果放几天都没问题容量大小：501升足够用啦
